PeakID (cmd=annotatePeaks.pl GATA2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_11101	chr2	150143770	150143901	+	0	NA	Intergenic	NA	343860	RND3								
Interval_17218	chr6	37164625	37164812	+	0	NA	Intergenic	NA	-5428	PIM1								
Interval_3063	chr10	130157223	130157785	+	0	NA	intron (GLRX3, intron 2 of 11)	NA	21129	GLRX3								
Interval_7192	chr16	970887	971090	+	0	NA	promoter-TSS (LMF1)	NA	-6	LMF1								
Interval_12562	chr21	34914355	34914531	+	0	NA	intron (RUNX1, intron 2 of 8)	NA	-24622	RUNX1								
Interval_9738	chr19	38544260	38544390	+	0	NA	intron (RYR1, intron 86 of 104)	NA	73710	MAP4K1								
Interval_18338	chr7	26081880	26082081	+	0	NA	Intergenic	NA	-70247	NFE2L3								
Interval_3552	chr11	65615493	65615814	+	0	NA	promoter-TSS (PCNXL3)	NA	666	PCNXL3								
Interval_4776	chr12	88372882	88373026	+	0	NA	Intergenic	NA	207519	KITLG								
Interval_6845	chr15	66364971	66365268	+	0	NA	intron (TIPIN, intron 1 of 7)	NA	-17777	SCARNA14								
Interval_2816	chr10	95723490	95723632	+	0	NA	intron (ENTPD1, intron 1 of 9)	NA	-29418	TCTN3								
Interval_7213	chr16	2673465	2673774	+	0	NA	promoter-TSS (ERVK13-1)	NA	-180	ERVK13-1								
Interval_6914	chr15	70577151	70577281	+	0	NA	intron (LOC101929151, intron 1 of 1)	NA	9390	LOC101929151								
Interval_2475	chr10	56079747	56080044	+	0	NA	Intergenic	NA	281407	ZWINT								
Interval_1055	chr1	123222404	123222537	+	0	NA	Intergenic	NA	1703358	EMBP1								
Interval_15052	chr4	77347419	77347628	+	0	NA	Intergenic	NA	190319	CCNG2								
Interval_10745	chr2	96816122	96816312	+	0	NA	promoter-TSS (CNNM3)	NA	-37	CNNM3								
Interval_12991	chr22	41666775	41666924	+	0	NA	Intergenic	NA	22060	NHP2L1								
Interval_15350	chr4	131248921	131249134	+	0	NA	Intergenic	NA	-516010	RP11-614F17.2								
Interval_7661	chr16	68781977	68782257	+	0	NA	intron (CDH1, intron 2 of 15)	NA	44825	CDH1								
Interval_6557	chr15	38269620	38269922	+	0	NA	intron (SPRED1, intron 1 of 5)	NA	16595	SPRED1								
Interval_6019	chr14	65493852	65493982	+	0	NA	intron (FUT8, intron 3 of 11)	NA	22764	MIR625								
Interval_11331	chr2	184799369	184799674	+	0	NA	intron (ZNF804A, intron 1 of 3)	NA	201155	ZNF804A								
Interval_13804	chr3	99825335	99825520	+	0	NA	intron (CMSS1, intron 1 of 9)	NA	38984	LOC102724841								
Interval_10264	chr2	28890401	28890579	+	0	NA	Intergenic	NA	-4177	WDR43								
Interval_14019	chr3	127298135	127298265	+	0	NA	Intergenic	NA	92470	RP11-88I21.2								
Interval_4251	chr12	15078924	15079221	+	0	NA	Intergenic	NA	-72851	RERG-AS1								
Interval_21748	chrX	72108991	72109121	+	0	NA	intron (NHSL2, intron 4 of 10)	NA	22845	RGAG4								
Interval_19892	chr8	71040032	71040303	+	0	NA	Intergenic	NA	316344	EYA1								
Interval_8034	chr17	18784805	18784973	+	0	NA	intron (TVP23B, intron 1 of 5)	NA	3744	TVP23B								
Interval_21768	chrX	78625373	78625851	+	0	NA	Intergenic	NA	33716	ZCCHC5								
Interval_18875	chr7	107581553	107581763	+	0	NA	intron (BCAP29, intron 2 of 8)	NA	899	BCAP29								
Interval_4501	chr12	50254511	50254729	+	0	NA	intron (LIMA1, intron 1 of 10)	NA	-20417	MIR1293								
Interval_14032	chr3	128457188	128457606	+	0	NA	Intergenic	NA	-6197	DNAJB8-AS1								
Interval_7704	chr16	72990307	72990498	+	0	NA	intron (ZFHX3, intron 1 of 9)	NA	-57503	LOC102723853								
Interval_20513	chr8	133217307	133217660	+	0	NA	intron (WISP1, intron 2 of 2)	NA	-4569	LOC102723635								
Interval_9954	chr19	49453093	49453210	+	0	NA	promoter-TSS (ALDH16A1)	NA	-65	ALDH16A1								
Interval_13307	chr3	23484503	23484728	+	0	NA	intron (UBE2E2, intron 3 of 5)	NA	-279838	UBE2E2-AS1								
Interval_18103	chr6	166348244	166348806	+	0	NA	exon (LOC100289495, exon 2 of 2)	NA	5894	LOC100289495								
Interval_17852	chr6	137427772	137427939	+	0	NA	intron (LOC102723633, intron 1 of 2)	NA	2394	LOC102723633								
Interval_11060	chr2	144560311	144560584	+	0	NA	intron (LOC101928455, intron 1 of 2)	NA	38548	LOC101928455								
Interval_3985	chr11	123438444	123438645	+	0	NA	intron (GRAMD1B, intron 2 of 19)	NA	-15944	GRAMD1B								
Interval_15056	chr4	77944437	77944630	+	0	NA	intron (MRPL1, intron 8 of 8)	NA	-6056	LOC102724916								
Interval_8550	chr17	68457576	68457917	+	0	NA	promoter-TSS (WIPI1)	NA	-234	WIPI1								
Interval_8624	chr17	75832751	75833048	+	0	NA	intron (UNC13D, intron 25 of 31)	NA	-11015	LOC100507191								
Interval_13827	chr3	101793386	101793528	+	0	NA	intron (NXPE3, intron 4 of 7)	NA	14272	NXPE3								
Interval_19956	chr8	79370008	79370257	+	0	NA	Intergenic	NA	-240682	STMN2								
Interval_4734	chr12	78034148	78034380	+	0	NA	intron (NAV3, intron 8 of 37)	NA	203359	NAV3								
Interval_12707	chr22	17102346	17102630	+	0	NA	intron (IL17RA, intron 7 of 12)	NA	17529	IL17RA								
Interval_15965	chr5	62099238	62099535	+	0	NA	Intergenic	NA	-206776	KIF2A								
Interval_8209	chr17	37609271	37609550	+	0	NA	promoter-TSS (SYNRG)	NA	28	SYNRG								
Interval_2795	chr10	92847774	92848004	+	0	NA	promoter-TSS (EXOC6)	NA	16747	EXOC6								
Interval_5652	chr13	99075892	99076270	+	0	NA	intron (DOCK9, intron 1 of 32)	NA	-10642	DOCK9-AS2								
Interval_13353	chr3	30626844	30627111	+	0	NA	intron (TGFBR2, intron 2 of 8)	NA	20328	TGFBR2								
Interval_2262	chr10	24599331	24599484	+	0	NA	intron (ARHGAP21, intron 14 of 25)	NA	-41882	LOC101928997								
Interval_8474	chr17	60677733	60677859	+	0	NA	promoter-TSS (BCAS3)	NA	-64	BCAS3								
Interval_9525	chr19	15467110	15467618	+	0	NA	Intergenic	NA	-3313	RASAL3								
Interval_4523	chr12	52184876	52185048	+	0	NA	intron (KRT80, intron 1 of 6)	NA	7038	KRT80								
Interval_18981	chr7	126054319	126054449	+	0	NA	Intergenic	NA	-479449	LOC101928357								
Interval_10305	chr2	36341714	36341868	+	0	NA	Intergenic	NA	13779	LOC100288911								
Interval_3040	chr10	124911722	124911854	+	0	NA	Intergenic	NA	-30335	ZRANB1								
Interval_16635	chr5	154604039	154604246	+	0	NA	Intergenic	NA	-8079	MIR3141								
Interval_12509	chr21	29202815	29203112	+	0	NA	intron (LINC00189, intron 1 of 1)	NA	9469	LINC00189								
Interval_6079	chr14	72016969	72017194	+	0	NA	intron (RGS6, intron 2 of 16)	NA	84642	RGS6								
Interval_4073	chr11	134813808	134813938	+	0	NA	Intergenic	NA	-171485	LOC100507548								
Interval_17172	chr6	34317860	34318014	+	0	NA	intron (NUDT3, intron 2 of 4)	NA	40346	LOC102723521								
Interval_20315	chr8	117957857	117958215	+	0	NA	intron (EXT1, intron 1 of 10)	NA	153783	EXT1								
Interval_10549	chr2	64767065	64767335	+	0	NA	Intergenic	NA	-16286	SERTAD2								
Interval_3486	chr11	61503591	61503770	+	0	NA	Intergenic	NA	-4916	MIR4488								
Interval_18250	chr7	14051825	14052037	+	0	NA	Intergenic	NA	-60691	ETV1								
Interval_10015	chr19	52715947	52716148	+	0	NA	intron (ZNF611, intron 3 of 4)	NA	19007	ZNF611								
Interval_14999	chr4	72358563	72358759	+	0	NA	intron (ADAMTS3, intron 4 of 21)	NA	210138	ADAMTS3								
Interval_21504	chrX	3273873	3274003	+	0	NA	intron (CXorf28, intron 2 of 2)	NA	2118	CXorf28								
Interval_14277	chr3	159833783	159834007	+	0	NA	intron (SCHIP1, intron 2 of 7)	NA	-9403	LOC101928351								
Interval_1706	chr1	206255096	206255226	+	0	NA	intron (SRGAP2, intron 1 of 19)	NA	51697	SRGAP2								
Interval_18850	chr7	105257546	105257789	+	0	NA	intron (SRPK2, intron 2 of 15)	NA	131257	SRPK2								
Interval_10274	chr2	30420998	30421182	+	0	NA	Intergenic	NA	-26181	LCLAT1								
Interval_18072	chr6	160441326	160441623	+	0	NA	intron (SLC22A3, intron 7 of 10)	NA	69650	LPAL2								
Interval_5952	chr14	57213255	57213385	+	0	NA	intron (EXOC5, intron 15 of 17)	NA	55527	EXOC5								
Interval_11664	chr2	226423350	226423884	+	0	NA	Intergenic	NA	235124	MIR5702								
Interval_20483	chr8	129665873	129666169	+	0	NA	Intergenic	NA	120867	GSDMC								
Interval_10755	chr2	97911449	97911755	+	0	NA	intron (TMEM131, intron 2 of 40)	NA	84324	TMEM131								
Interval_15564	chr4	180003012	180003151	+	0	NA	Intergenic	NA	1156068	LINC00290								
Interval_9620	chr19	20838331	20838554	+	0	NA	Intergenic	NA	-84811	ZNF85								
Interval_9900	chr19	46192789	46192927	+	0	NA	intron (AC006262.5, intron 2 of 2)	NA	10204	AC006262.5								
Interval_12245	chr20	47975410	47975573	+	0	NA	Intergenic	NA	-7735	LOC101060004								
Interval_13931	chr3	114904716	114904867	+	0	NA	intron (ZBTB20, intron 2 of 9)	NA	-138683	LOC102723469								
Interval_9426	chr19	10565802	10566033	+	0	NA	TTS (CDKN2D)	NA	109	KRI1								
Interval_7037	chr15	85646550	85646800	+	0	NA	intron (AKAP13, intron 10 of 38)	NA	109955	RP11-158M2.5								
Interval_21455	chrUn_KI270752v1	3302	3856	+	0	NA	Intergenic	NA	-7801	LOC102723822								
Interval_7274	chr16	10803746	10803889	+	0	NA	intron (TVP23A, intron 2 of 6)	NA	14834	TVP23A								
Interval_18494	chr7	44202580	44202710	+	0	NA	intron (YKT6, intron 1 of 7)	NA	1666	YKT6								
Interval_19068	chr7	139044537	139044667	+	0	NA	exon (ZC3HAV1, exon 13 of 13)	NA	-8577	ZC3HAV1L								
Interval_12543	chr21	33479841	33480246	+	0	NA	promoter-TSS (TMEM50B)	NA	-34	TMEM50B								
Interval_13416	chr3	37323933	37324063	+	0	NA	exon (GOLGA4, exon 13 of 23)	NA	-75479	C3orf35								
Interval_6996	chr15	78930946	78931205	+	0	NA	intron (CTSH, intron 7 of 11)	NA	14019	CTSH								
Interval_8394	chr17	50542089	50542290	+	0	NA	exon (EPN3, exon 10 of 10)	NA	-4900	SPATA20								
Interval_330	chr1	32984552	32984753	+	0	NA	Intergenic	NA	-19780	RNF19B								
Interval_7153	chr15	99733442	99733597	+	0	NA	promoter-TSS (LYSMD4)	NA	-125	LYSMD4								
Interval_17738	chr6	125377811	125378011	+	0	NA	Intergenic	NA	-3667	LOC102723341								
Interval_5999	chr14	63677911	63678124	+	0	NA	Intergenic	NA	-36094	WDR89								
Interval_12779	chr22	24300601	24300795	+	0	NA	intron (SPECC1L, intron 2 of 16)	NA	29881	SPECC1L								
Interval_16983	chr6	15339724	15340212	+	0	NA	intron (JARID2, intron 1 of 17)	NA	-91272	JARID2-AS1								
Interval_13770	chr3	86822376	86822664	+	0	NA	Intergenic	NA	163416	LOC101927518								
Interval_473	chr1	49044425	49044990	+	0	NA	intron (AGBL4, intron 5 of 13)	NA	-268047	BEND5								
Interval_10017	chr19	52742742	52742922	+	0	NA	Intergenic	NA	-7778	ZNF611								
Interval_9147	chr18	69057325	69057465	+	0	NA	intron (CCDC102B, intron 11 of 11)	NA	198461	RNU6-39P								
Interval_9958	chr19	49593438	49593660	+	0	NA	intron (PRR12, intron 2 of 13)	NA	1894	PRR12								
Interval_13624	chr3	56921915	56922045	+	0	NA	intron (ARHGEF3, intron 3 of 12)	NA	-18060	ARHGEF3-AS1								
Interval_14120	chr3	139338264	139338456	+	0	NA	Intergenic	NA	-5634	MRPS22								
Interval_5937	chr14	55118144	55118456	+	0	NA	Intergenic	NA	-10917	LGALS3								
Interval_13733	chr3	73194422	73194552	+	0	NA	Intergenic	NA	132828	EBLN2								
Interval_7079	chr15	91268567	91268817	+	0	NA	intron (SV2B, intron 8 of 11)	NA	168740	SV2B								
Interval_12322	chr20	56833496	56833647	+	0	NA	Intergenic	NA	204269	TFAP2C								
Interval_6419	chr14_GL000225v1_random	82622	82855	+	0	NA	Intergenic	NA	46449	LOC100287823								
Interval_21003	chr9	97589658	97589885	+	0	NA	intron (TMOD1, intron 8 of 9)	NA	43619	TSTD2								
Interval_997	chr1	115841024	115841263	+	0	NA	promoter-TSS (NHLH2)	NA	-17	NHLH2								
Interval_1722	chr1	207813192	207813619	+	0	NA	intron (LOC101929385, intron 3 of 3)	NA	-4974	LOC148696								
Interval_6785	chr15	60483084	60483239	+	0	NA	Intergenic	NA	-4072	NARG2								
Interval_1546	chr1	186536476	186536606	+	0	NA	Intergenic	NA	-75433	PDC								
Interval_6752	chr15	58114819	58115214	+	0	NA	Intergenic	NA	-23193	AQP9								
Interval_21285	chr9	128724261	128724484	+	0	NA	promoter-TSS (LOC100506100)	NA	-90	LOC100506100								
Interval_14320	chr3	168157407	168157549	+	0	NA	Intergenic	NA	-61554	GOLIM4								
Interval_17115	chr6	29490485	29491007	+	0	NA	Intergenic	NA	-2844	MAS1L								
Interval_15708	chr5	17361431	17361744	+	0	NA	Intergenic	NA	25723	LOC401177								
Interval_19673	chr8	48102669	48102850	+	0	NA	Intergenic	NA	94324	UBE2V2								
Interval_8496	chr17	63622001	63622364	+	0	NA	promoter-TSS (MAP3K3)	NA	-12525	MAP3K3								
Interval_5951	chr14	56847701	56847833	+	0	NA	intron (OTX2-AS1, intron 1 of 3)	NA	34584	OTX2-AS1								
Interval_19833	chr8	65948430	65948634	+	0	NA	Intergenic	NA	-73024	DNAJC5B								
Interval_8856	chr18	21715125	21715344	+	0	NA	Intergenic	NA	-10429	ABHD3								
Interval_19359	chr8	19067721	19067942	+	0	NA	Intergenic	NA	-54145	PSD3								
Interval_9669	chr19	32971979	32972281	+	0	NA	promoter-TSS (C19orf40)	NA	-167	CEP89								
Interval_3272	chr11	28108200	28108378	+	0	NA	promoter-TSS (METTL15)	NA	-60	METTL15								
Interval_5927	chr14	54435630	54435760	+	0	NA	intron (CNIH1, intron 2 of 4)	NA	5836	CNIH1								
Interval_5400	chr13	35512471	35512755	+	0	NA	intron (NBEA, intron 1 of 17)	NA	-35918	MAB21L1								
Interval_4094	chr12	1421508	1421769	+	0	NA	intron (ERC1, intron 17 of 18)	NA	-78853	LINC00942								
Interval_9086	chr18	59941509	59941639	+	0	NA	Intergenic	NA	41614	PMAIP1								
Interval_4385	chr12	32516275	32516520	+	0	NA	intron (FGD4, intron 1 of 15)	NA	116541	FGD4								
Interval_6554	chr15	37049500	37049797	+	0	NA	intron (MEIS2, intron 8 of 12)	NA	51489	MEIS2								
Interval_7328	chr16	17380657	17380857	+	0	NA	intron (XYLT1, intron 1 of 11)	NA	90124	XYLT1								
Interval_20410	chr8	124847600	124847783	+	0	NA	Intergenic	NA	-25633	MIR4662B								
Interval_16386	chr5	130324105	130324453	+	0	NA	Intergenic	NA	419583	CHSY3								
Interval_3947	chr11	119889832	119890009	+	0	NA	Intergenic	NA	137906	LOC101929156								
Interval_12199	chr20	43728975	43729128	+	0	NA	Intergenic	NA	-2049	GTSF1L								
Interval_20505	chr8	132580244	132580378	+	0	NA	intron (LRRC6, intron 11 of 12)	NA	-18832	HPYR1								
Interval_12933	chr22	37219382	37219778	+	0	NA	intron (SSTR3, intron 1 of 1)	NA	-8615	SSTR3								
Interval_10199	chr2	16626852	16626985	+	0	NA	intron (FAM49A, intron 1 of 11)	NA	-1149	FAM49A								
Interval_10501	chr2	60095580	60095710	+	0	NA	Intergenic	NA	291800	MIR4432								
Interval_7612	chr16	59919703	59919855	+	0	NA	intron (RP11-430C1.1, intron 1 of 3)	NA	64426	RP11-430C1.1								
Interval_12915	chr22	36130665	36130795	+	0	NA	intron (LOC102723507, intron 3 of 3)	NA	4855	LOC102723507								
Interval_6038	chr14	67883052	67883280	+	0	NA	intron (RAD51B, intron 5 of 10)	NA	63387	RAD51B								
Interval_1338	chr1	163838044	163838361	+	0	NA	Intergenic	NA	-415011	LOC100422212								
Interval_18668	chr7	76587256	76587386	+	0	NA	intron (LOC100133091, intron 2 of 2)	NA	37980	LOC100133091								
Interval_2461	chr10	49943762	49943902	+	0	NA	intron (LINC00843, intron 1 of 6)	NA	1751	LINC00843								
Interval_12597	chr21	37547796	37547936	+	0	NA	Intergenic	NA	127566	DYRK1A								
Interval_2611	chr10	72290996	72291514	+	0	NA	Intergenic	NA	17336	DDIT4								
Interval_6865	chr15	67766576	67766726	+	0	NA	intron (MAP2K5, intron 19 of 21)	NA	-53053	SKOR1								
Interval_21177	chr9	115694196	115694546	+	0	NA	Intergenic	NA	49868	LOC101928775								
Interval_819	chr1	94646412	94646542	+	0	NA	Intergenic	NA	-22061	LOC102723542								
Interval_20118	chr8	98768709	98768938	+	0	NA	intron (STK3, intron 2 of 10)	NA	173748	STK3								
Interval_19173	chr7	152459837	152460072	+	0	NA	Intergenic	NA	-4170	LINC01003								
Interval_18963	chr7	120997079	120997253	+	0	NA	intron (CPED1, intron 2 of 22)	NA	8469	CPED1								
Interval_9786	chr19	40690740	40690875	+	0	NA	promoter-TSS (NUMBL)	NA	950	NUMBL								
Interval_19797	chr8	60991374	60991626	+	0	NA	Intergenic	NA	-23752	LOC100130298								
Interval_5331	chr13	29727356	29727507	+	0	NA	Intergenic	NA	79743	LOC102723345								
Interval_19719	chr8	53384722	53384908	+	0	NA	Intergenic	NA	36277	LOC102724359								
Interval_1498	chr1	182493033	182493440	+	0	NA	intron (RGSL1, intron 9 of 21)	NA	43115	RGSL1								
Interval_13495	chr3	46046293	46046507	+	0	NA	Intergenic	NA	-18913	XCR1								
Interval_443	chr1	44674495	44674716	+	0	NA	promoter-TSS (C1orf228)	NA	-26	TMEM53								
Interval_12112	chr20	34791302	34791599	+	0	NA	intron (NCOA6, intron 1 of 13)	NA	1113	NCOA6								
Interval_9943	chr19	48967007	48967155	+	0	NA	TTS (FTL)	NA	1772	FTL								
Interval_11772	chr2	238203684	238203824	+	0	NA	promoter-TSS (ILKAP)	NA	-101	ILKAP								
Interval_8998	chr18	48023797	48024024	+	0	NA	Intergenic	NA	-92764	SMAD2								
Interval_16534	chr5	143434526	143434906	+	0	NA	promoter-TSS (NR3C1)	NA	-28034	LOC102723997								
Interval_18468	chr7	41689089	41689237	+	0	NA	exon (INHBA, exon 3 of 3)	NA	-4753	INHBA-AS1								
Interval_3400	chr11	47265239	47265500	+	0	NA	intron (NR1H3, intron 6 of 8)	NA	-4751	MADD								
Interval_8645	chr17	76946748	76946878	+	0	NA	intron (MGAT5B, intron 15 of 16)	NA	78097	MGAT5B								
Interval_8905	chr18	28345787	28345964	+	0	NA	Intergenic	NA	-168394	CDH2								
Interval_3823	chr11	104570468	104570643	+	0	NA	intron (LOC102723895, intron 1 of 2)	NA	2042	LOC102723895								
Interval_1237	chr1	156212877	156212994	+	0	NA	promoter-TSS (PMF1-BGLAP)	NA	-53	PMF1-BGLAP								
Interval_4675	chr12	69383421	69383610	+	0	NA	intron (YEATS4, intron 4 of 4)	NA	23805	YEATS4								
Interval_18407	chr7	35856893	35857175	+	0	NA	intron (SEPT7, intron 3 of 13)	NA	55989	SEPT7								
Interval_10839	chr2	106330586	106330716	+	0	NA	Intergenic	NA	-51463	PLGLA								
Interval_5447	chr13	40936954	40937251	+	0	NA	intron (ELF1, intron 8 of 8)	NA	-15328	SUGT1P3								
Interval_4056	chr11	132058520	132058735	+	0	NA	intron (NTM, intron 1 of 6)	NA	147809	NTM								
Interval_16610	chr5	150774305	150774524	+	0	NA	Intergenic	NA	-3532	SMIM3								
Interval_20901	chr9	76807231	76807528	+	0	NA	intron (PRUNE2, intron 6 of 20)	NA	42941	PCA3								
Interval_12177	chr20	41028484	41028664	+	0	NA	promoter-TSS (TOP1)	NA	-248	TOP1								
Interval_15477	chr4	158663740	158664244	+	0	NA	Intergenic	NA	8058	C4orf46								
Interval_7158	chr15	100119895	100120065	+	0	NA	intron (ADAMTS17, intron 12 of 21)	NA	158661	LOC102724973								
Interval_5345	chr13	30681897	30682027	+	0	NA	Intergenic	NA	-7925	TRNAN7								
Interval_10870	chr2	112627740	112627926	+	0	NA	Intergenic	NA	16347	FLJ42351								
Interval_6284	chr14	94225614	94225800	+	0	NA	intron (PPP4R4, intron 3 of 24)	NA	51395	PPP4R4								
Interval_9697	chr19	35446147	35446282	+	0	NA	Intergenic	NA	-3501	FFAR2								
Interval_7657	chr16	68517863	68518100	+	0	NA	Intergenic	NA	-21308	ZFP90								
Interval_19220	chr8	2729214	2729447	+	0	NA	promoter-TSS (RP11-134O21.1)	NA	-962	RP11-134O21.1								
Interval_1216	chr1	154752007	154752251	+	0	NA	intron (KCNN3, intron 3 of 8)	NA	118149	KCNN3								
Interval_4815	chr12	91099374	91099654	+	0	NA	Intergenic	NA	12251	LUM								
Interval_21644	chrX	40150174	40150397	+	0	NA	intron (BCOR, intron 1 of 14)	NA	23633	LOC102724413								
Interval_10591	chr2	69683272	69683598	+	0	NA	Intergenic	NA	-39590	AAK1								
Interval_5992	chr14	62331262	62331423	+	0	NA	Intergenic	NA	-191369	LINC00644								
Interval_13206	chr3	14229930	14230077	+	0	NA	Intergenic	NA	51275	LSM3								
Interval_244	chr1	26298264	26298433	+	0	NA	intron (UBXN11, intron 4 of 14)	NA	8356	UBXN11								
Interval_1147	chr1	148286023	148286280	+	0	NA	intron (LOC284561, intron 1 of 1)	NA	4786	TRNAH9								
Interval_6131	chr14	75857288	75857418	+	0	NA	intron (TTLL5, intron 28 of 31)	NA	125192	LOC102724170								
Interval_19930	chr8	74200756	74200928	+	0	NA	Intergenic	NA	-66806	LOC101926965								
Interval_51	chr1	7831480	7831717	+	0	NA	intron (PER3, intron 18 of 20)	NA	21893	UTS2								
Interval_20391	chr8	124172002	124172299	+	0	NA	promoter-TSS (FER1L6-AS2)	NA	-628	FER1L6-AS2								
Interval_7033	chr15	85380435	85380593	+	0	NA	promoter-TSS (AKAP13)	NA	-73	AKAP13								
Interval_12920	chr22	36292840	36293024	+	0	NA	intron (MYH9, intron 30 of 40)	NA	-6030	MIR6819								
Interval_20036	chr8	91060666	91061093	+	0	NA	exon (GS1-251I9.4, exon 3 of 3)	NA	9164	GS1-251I9.4								
Interval_13032	chr22	45462197	45462337	+	0	NA	Intergenic	NA	-40572	FBLN1								
Interval_15594	chr4	184820353	184820520	+	0	NA	intron (ACSL1, intron 1 of 19)	NA	5678	ACSL1								
Interval_2810	chr10	94677855	94677987	+	0	NA	Intergenic	NA	-5573	CYP2C18								
Interval_2731	chr10	87106437	87106593	+	0	NA	intron (FAM35A, intron 3 of 11)	NA	11319	FAM35A								
Interval_20824	chr9	35658229	35658412	+	0	NA	promoter-TSS (CCDC107)	NA	30	CCDC107								
Interval_15864	chr5	49660729	49661343	+	0	NA	Intergenic	NA	780364	EMB								
Interval_19395	chr8	20951373	20951597	+	0	NA	Intergenic	NA	-22501	RP11-421P23.1								
Interval_10684	chr2	85704730	85705265	+	0	NA	Intergenic	NA	10639	GNLY								
Interval_13176	chr3	10845382	10845593	+	0	NA	intron (SLC6A11, intron 5 of 13)	NA	29255	SLC6A11								
Interval_10353	chr2	39996917	39997118	+	0	NA	intron (SLC8A1-AS1, intron 2 of 4)	NA	79383	SLC8A1-AS1								
Interval_6835	chr15	65304697	65304827	+	0	NA	promoter-TSS (RNU5B-1)	NA	85	RNU5B-1								
Interval_9586	chr19	18192772	18193275	+	0	NA	promoter-TSS (MPV17L2)	NA	-207	MPV17L2								
Interval_10033	chr19	54210697	54211227	+	0	NA	Intergenic	NA	10104	RPS9								
Interval_12439	chr21	18772008	18772267	+	0	NA	Intergenic	NA	-12325	AL109763.2								
Interval_15422	chr4	147687084	147687237	+	0	NA	Intergenic	NA	-3019	PRMT9								
Interval_21524	chrX	10003915	10004246	+	0	NA	Intergenic	NA	-11675	WWC3								
Interval_7542	chr16	54055844	54056144	+	0	NA	intron (FTO, intron 8 of 8)	NA	16601	FTO-IT1								
Interval_14586	chr4	2756388	2756547	+	0	NA	promoter-TSS (TNIP2)	NA	-442	TNIP2								
Interval_17274	chr6	42409565	42409884	+	0	NA	intron (TRERF1, intron 1 of 15)	NA	41537	TRERF1								
Interval_8937	chr18	34979390	34979520	+	0	NA	intron (MAPRE2, intron 1 of 7)	NA	-62195	MAPRE2								
Interval_9374	chr19	7680751	7680912	+	0	NA	promoter-TSS (TRAPPC5)	NA	10	TRAPPC5								
Interval_8200	chr17	36947967	36948206	+	0	NA	promoter-TSS (AATF)	NA	-789	AATF								
Interval_11521	chr2	207769886	207770163	+	0	NA	promoter-TSS (FZD5)	NA	-605	FZD5								
Interval_17647	chr6	109039995	109040190	+	0	NA	intron (SESN1, intron 1 of 9)	NA	54413	SESN1								
Interval_19560	chr8	34101575	34101705	+	0	NA	Intergenic	NA	-503848	DUSP26								
Interval_17478	chr6	83810780	83810952	+	0	NA	Intergenic	NA	-42400	RIPPLY2								
Interval_14556	chr3	197695691	197695865	+	0	NA	intron (KIAA0226, intron 9 of 20)	NA	-21258	MIR922								
Interval_14545	chr3	197030896	197031272	+	0	NA	Intergenic	NA	-1269	MFI2								
Interval_14991	chr4	70706711	70706844	+	0	NA	intron (RUFY3, intron 1 of 11)	NA	18298	UTP3								
Interval_2904	chr10	104268976	104269141	+	0	NA	promoter-TSS (MIR4482-1)	NA	185	GSTO2								
Interval_8291	chr17	44147076	44147215	+	0	NA	intron (C17orf53, intron 2 of 9)	NA	5239	C17orf53								
Interval_3367	chr11	43869142	43869342	+	0	NA	Intergenic	NA	-11565	ALKBH3								
Interval_6754	chr15	58221970	58222177	+	0	NA	intron (LOC101928635, intron 3 of 3)	NA	27907	LOC101928635								
Interval_5518	chr13	51407862	51408159	+	0	NA	intron (INTS6, intron 5 of 18)	NA	45129	INTS6								
Interval_16309	chr5	118956859	118957041	+	0	NA	intron (DTWD2, intron 1 of 5)	NA	31595	DTWD2								
Interval_6512	chr15	31051780	31051964	+	0	NA	intron (TRPM1, intron 10 of 26)	NA	13207	MIR211								
Interval_5450	chr13	41519999	41520129	+	0	NA	Intergenic	NA	48311	MIR5006								
Interval_16071	chr5	76527893	76528023	+	0	NA	intron (IQGAP2, intron 2 of 34)	NA	81109	LOC101929109								
Interval_11817	chr20	1068925	1069057	+	0	NA	Intergenic	NA	-9668	LOC102724519								
Interval_18033	chr6	156131770	156131999	+	0	NA	intron (LOC101928923, intron 2 of 3)	NA	162857	LOC101928923								
Interval_2252	chr10	22682149	22682478	+	0	NA	intron (PIP4K2A, intron 1 of 8)	NA	32261	PIP4K2A								
Interval_12964	chr22	39956913	39957356	+	0	NA	intron (GRAP2, intron 3 of 7)	NA	-37815	FAM83F								
Interval_20883	chr9	72589956	72590110	+	0	NA	intron (TMC1, intron 2 of 23)	NA	-21277	LOC101927191								
Interval_15634	chr5	1889110	1889368	+	0	NA	intron (CTD-2194D22.4, intron 2 of 3)	NA	1908	CTD-2194D22.4								
Interval_3825	chr11	104653475	104653608	+	0	NA	Intergenic	NA	-80944	LOC102723895								
Interval_19547	chr8	33005989	33006119	+	0	NA	Intergenic	NA	454712	FUT10								
Interval_3935	chr11	119095575	119095760	+	0	NA	promoter-TSS (H2AFX)	NA	-200	H2AFX								
