PeakID (cmd=annotatePeaks.pl JUND.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_2676	chr6	27831661	27831873	+	0	NA	promoter-TSS (HIST1H4K)	NA	-240	HIST1H4K								
Interval_3405	chrM	11389	11744	+	0	NA	promoter-TSS (TRNS2)	NA	-572	TRNH								
Interval_1857	chr20	23125701	23125875	+	0	NA	exon (LINC00656, exon 4 of 4)	NA	6848	LINC00656								
Interval_1547	chr19	50804822	50805150	+	0	NA	promoter-TSS (C19orf48)	NA	-271	C19orf48								
Interval_788	chr13	20943590	20943863	+	0	NA	intron (LINC00367, intron 2 of 5)	NA	5702	LINC00367								
Interval_2715	chr6	53623601	53623784	+	0	NA	Intergenic	NA	-4637	RP11-345L23.1								
Interval_196	chr1	172532780	172533071	+	0	NA	promoter-TSS (SUCO)	NA	-112	SUCO								
Interval_1118	chr16	81632915	81633091	+	0	NA	intron (CMIP, intron 3 of 20)	NA	-18388	CMIP								
Interval_791	chr13	23378216	23378423	+	0	NA	intron (SACS, intron 2 of 10)	NA	-40652	SACS-AS1								
Interval_1624	chr2	38634710	38634930	+	0	NA	Intergenic	NA	-31090	GALM								
Interval_3380	chr9	129488554	129488783	+	0	NA	promoter-TSS (LINC00963)	NA	8	LINC00963								
Interval_756	chr12	119973034	119973232	+	0	NA	intron (LOC102723723, intron 2 of 2)	NA	-16727	CCDC64								
Interval_343	chr10	41914566	41914841	+	0	NA	Intergenic	NA	-327820	LOC101929373								
Interval_2098	chr3	40971640	40971947	+	0	NA	Intergenic	NA	-227658	CTNNB1								
Interval_3457	chrX	103152282	103152581	+	0	NA	Intergenic	NA	-59337	NXF3								
Interval_2684	chr6	31958913	31959093	+	0	NA	promoter-TSS (SKIV2L)	NA	84	NELFE								
Interval_2536	chr5	124629140	124629373	+	0	NA	Intergenic	NA	119568	ZNF608								
Interval_2366	chr4	106583591	106583926	+	0	NA	Intergenic	NA	-216323	GIMD1								
Interval_1513	chr19	44530875	44531159	+	0	NA	Intergenic	NA	-1492	CEACAM20								
Interval_764	chr12	122449411	122449672	+	0	NA	Intergenic	NA	-26972	CLIP1								
Interval_555	chr11	72805413	72805597	+	0	NA	Intergenic	NA	-8902	ATG16L2								
Interval_1750	chr2	170408595	170408768	+	0	NA	intron (MYO3B, intron 22 of 35)	NA	-57570	LOC101929753								
Interval_2477	chr5	68334075	68334460	+	0	NA	Intergenic	NA	41699	PIK3R1								
Interval_3171	chr8	98338275	98338487	+	0	NA	Intergenic	NA	-43165	NIPAL2								
Interval_985	chr15	75107910	75108189	+	0	NA	Intergenic	NA	84457	PPCDC								
Interval_66	chr1	54850758	54851044	+	0	NA	exon (DHCR24, exon 9 of 9)	NA	36347	DHCR24								
Interval_2203	chr3	140171583	140171652	+	0	NA	intron (CLSTN2, intron 1 of 16)	NA	236432	CLSTN2								
Interval_192	chr1	168504114	168504416	+	0	NA	Intergenic	NA	-8621	RP5-968D22.3								
Interval_2753	chr6	111476769	111476942	+	0	NA	intron (REV3L, intron 2 of 33)	NA	6582	REV3L								
Interval_2562	chr5	141521147	141521460	+	0	NA	intron (DIAPH1, intron 27 of 28)	NA	32062	PCDHGC5								
Interval_473	chr11	9460804	9460997	+	0	NA	promoter-TSS (ZNF143)	NA	-65	ZNF143								
Interval_3275	chr8	138192002	138192282	+	0	NA	intron (FAM135B, intron 9 of 19)	NA	-108597	FLJ45872								
Interval_2176	chr3	121998132	121998324	+	0	NA	intron (ILDR1, intron 3 of 5)	NA	9027	ILDR1								
Interval_109	chr1	107593601	107593824	+	0	NA	intron (VAV3, intron 25 of 25)	NA	-303570	MIR7852								
Interval_1606	chr2	20502070	20502323	+	0	NA	Intergenic	NA	37011	LOC102724948								
Interval_2426	chr4	190006221	190006394	+	0	NA	Intergenic	NA	20950	FRG2								
Interval_313	chr10	6275446	6275696	+	0	NA	Intergenic	NA	-50973	RP11-563J2.2								
Interval_182	chr1	159068150	159068467	+	0	NA	intron (AIM2, intron 1 of 3)	NA	3572	LOC102724240								
Interval_527	chr11	62556422	62556677	+	0	NA	Intergenic	NA	-9747	AHNAK								
Interval_1783	chr2	206098964	206099137	+	0	NA	Intergenic	NA	-12868	INO80D								
Interval_3200	chr8	115427547	115428010	+	0	NA	intron (TRPS1, intron 5 of 6)	NA	240234	TRPS1								
Interval_341	chr10	41875404	41875473	+	0	NA	Intergenic	NA	-367085	LOC101929373								
Interval_2221	chr3	153058446	153058629	+	0	NA	Intergenic	NA	-103675	RAP2B								
Interval_2273	chr4	397735	397980	+	0	NA	Intergenic	NA	47640	MIR571								
Interval_44	chr1	33050158	33050381	+	0	NA	Intergenic	NA	-13358	AK2								
Interval_2302	chr4	38523889	38524064	+	0	NA	promoter-TSS (RP11-83C7.2)	NA	-796	RP11-83C7.2								
Interval_599	chr11	118471546	118474438	+	0	NA	exon (KMT2A, exon 3 of 36)	NA	34900	LOC101929115								
Interval_1395	chr18	79068930	79069308	+	0	NA	promoter-TSS (ATP9B)	NA	-75662	LOC100996274								
Interval_89	chr1	85278934	85279194	+	0	NA	TTS (LOC646626)	NA	-2160	BCL10								
Interval_884	chr14	84036779	84037161	+	0	NA	Intergenic	NA	-122937	LOC102724338								
Interval_3049	chr8	36982053	36982410	+	0	NA	Intergenic	NA	-6073	LOC102723593								
Interval_221	chr1	192936691	192936982	+	0	NA	TTS (LOC102724954)	NA	18172	LOC102724954								
Interval_1907	chr20	51404662	51404906	+	0	NA	intron (NFATC2, intron 9 of 10)	NA	48184	MIR3194								
Interval_2466	chr5	59380398	59380579	+	0	NA	intron (PDE4D, intron 3 of 16)	NA	-23587	PDE4D								
Interval_2598	chr5	166640160	166640447	+	0	NA	Intergenic	NA	286067	LOC102557615								
Interval_129	chr1	115781352	115781589	+	0	NA	Intergenic	NA	-12665	CASQ2								
Interval_2353	chr4	87089607	87090378	+	0	NA	exon (AFF1, exon 6 of 21)	NA	130596	KLHL8								
Interval_860	chr14	67359862	67360039	+	0	NA	promoter-TSS (EIF2S1)	NA	53	ATP6V1D								
Interval_3298	chr9	4293345	4293565	+	0	NA	intron (GLIS3, intron 1 of 10)	NA	-4803	LOC101929330								
Interval_37	chr1	30756641	30757023	+	0	NA	intron (LAPTM5, intron 1 of 7)	NA	1004	LAPTM5								
Interval_2140	chr3	72127925	72128142	+	0	NA	Intergenic	NA	-23224	LINC00870								
Interval_897	chr14	95507255	95507485	+	0	NA	intron (SYNE3, intron 1 of 17)	NA	-8753	LOC101929107								
Interval_2153	chr3	99895902	99896270	+	0	NA	intron (FILIP1L, intron 4 of 5)	NA	-19883	FILIP1L								
Interval_1242	chr17	65060823	65061049	+	0	NA	Intergenic	NA	-5162	GNA13								
Interval_1851	chr20	17968863	17969108	+	0	NA	promoter-TSS (MGME1)	NA	42	MGME1								
Interval_935	chr15	44726631	44726879	+	0	NA	Intergenic	NA	-9607	TRIM69								
Interval_833	chr14	41932824	41932997	+	0	NA	Intergenic	NA	325349	LRFN5								
Interval_852	chr14	61569838	61570030	+	0	NA	promoter-TSS (FLJ22447)	NA	597	RP11-47I22.2								
Interval_2268	chr3	197031447	197031826	+	0	NA	Intergenic	NA	-1821	MFI2								
Interval_353	chr10	58157360	58157619	+	0	NA	Intergenic	NA	110445	IPMK								
Interval_1124	chr16	87388454	87388849	+	0	NA	promoter-TSS (MAP1LC3B)	NA	-3544	MAP1LC3B								
Interval_2181	chr3	123182514	123182687	+	0	NA	Intergenic	NA	-19327	SEC22A								
Interval_458	chr11	2933397	2933582	+	0	NA	Intergenic	NA	-4069	PHLDA2								
Interval_3210	chr8	118973402	118973630	+	0	NA	intron (COLEC10, intron 1 of 5)	NA	21228	COLEC10								
Interval_2493	chr5	84197600	84197844	+	0	NA	intron (EDIL3, intron 2 of 9)	NA	187145	EDIL3								
Interval_2945	chr7	115231269	115231442	+	0	NA	Intergenic	NA	112617	LOC102724386								
Interval_28	chr1	25022897	25023071	+	0	NA	promoter-TSS (MIR4425)	NA	-519	MIR4425								
Interval_552	chr11	70556910	70557174	+	0	NA	intron (SHANK2, intron 17 of 23)	NA	-74052	SHANK2-AS1								
Interval_3003	chr8	18747922	18748176	+	0	NA	intron (PSD3, intron 7 of 13)	NA	89622	LOC101929092								
Interval_727	chr12	92971016	92971349	+	0	NA	Intergenic	NA	-41851	EEA1								
Interval_3326	chr9	36029822	36030125	+	0	NA	Intergenic	NA	-6940	RECK								
Interval_144	chr1	124446376	124446640	+	0	NA	Intergenic	NA	2927396	EMBP1								
Interval_1336	chr18	55878332	55878524	+	0	NA	Intergenic	NA	41771	RP11-214L13.1								
Interval_1900	chr20	48002684	48002884	+	0	NA	Intergenic	NA	-12667	RP11-347D21.3								
Interval_335	chr10	31947634	31947918	+	0	NA	Intergenic	NA	-18900	ARHGAP12								
Interval_3103	chr8	60950966	60951237	+	0	NA	Intergenic	NA	16647	LOC100130298								
Interval_2210	chr3	145058556	145058729	+	0	NA	Intergenic	NA	1085317	C3orf58								
Interval_977	chr15	70870145	70870364	+	0	NA	intron (LRRC49, intron 1 of 16)	NA	-15989	LARP6								
Interval_2488	chr5	79697773	79698042	+	0	NA	intron (CMYA5, intron 1 of 12)	NA	-31009	CMYA5								
Interval_1238	chr17	63275425	63275694	+	0	NA	intron (TANC2, intron 9 of 27)	NA	170802	CYB561								
Interval_1031	chr16	18946070	18946248	+	0	NA	Intergenic	NA	-19755	SMG1								
Interval_134	chr1	117007316	117007489	+	0	NA	intron (CD101, intron 1 of 9)	NA	5652	CD101								
Interval_2543	chr5	132295239	132295480	+	0	NA	promoter-TSS (LOC101927705)	NA	11	LOC101927705								
Interval_2116	chr3	52670854	52671214	+	0	NA	intron (PBRM1, intron 6 of 31)	NA	14755	PBRM1								
Interval_1950	chr21	29064939	29065172	+	0	NA	exon (CCT8, exon 7 of 15)	NA	8742	CCT8								
Interval_2338	chr4	73704723	73704931	+	0	NA	Intergenic	NA	-35679	IL8								
Interval_1054	chr16	31302176	31302391	+	0	NA	intron (ITGAM, intron 14 of 29)	NA	42316	ITGAM								
Interval_1123	chr16	87145485	87145732	+	0	NA	Intergenic	NA	-66514	RP11-899L11.1								
Interval_565	chr11	79387510	79387719	+	0	NA	intron (TENM4, intron 1 of 33)	NA	14439	MIR708								
Interval_1107	chr16	69396241	69396418	+	0	NA	Intergenic	NA	-10344	TERF2								
Interval_2653	chr6	15901728	15902015	+	0	NA	Intergenic	NA	-93073	LOC101928406								
Interval_1967	chr21	38277505	38277845	+	0	NA	intron (KCNJ15, intron 1 of 2)	NA	20977	KCNJ15								
Interval_2468	chr5	60961909	60962090	+	0	NA	intron (NDUFAF2, intron 1 of 3)	NA	16870	NDUFAF2								
Interval_701	chr12	68963295	68963472	+	0	NA	promoter-TSS (CPM)	NA	-143	CPM								
Interval_95	chr1	88595462	88595656	+	0	NA	intron (RP11-76N22.2, intron 1 of 3)	NA	-24700	RP11-76N22.2								
Interval_1643	chr2	55051199	55051466	+	0	NA	promoter-TSS (RTN4)	NA	-2142	RTN4								
Interval_1725	chr2	144703829	144704168	+	0	NA	intron (TEX41, intron 1 of 4)	NA	36031	TEX41								
Interval_293	chr1	235011781	235012168	+	0	NA	Intergenic	NA	57844	LOC731656								
Interval_664	chr12	31653341	31653522	+	0	NA	intron (METTL20, intron 1 of 3)	NA	-5756	METTL20								
Interval_905	chr14	103361886	103362208	+	0	NA	Intergenic	NA	-23317	MARK3								
Interval_553	chr11	72273190	72273403	+	0	NA	Intergenic	NA	-29120	PHOX2A								
Interval_1591	chr2	10283363	10283566	+	0	NA	Intergenic	NA	18829	LOC101929691								
Interval_2481	chr5	72600518	72600697	+	0	NA	intron (LOC102477328, intron 1 of 2)	NA	43530	LOC102503427								
Interval_2745	chr6	106325643	106325930	+	0	NA	promoter-TSS (ATG5)	NA	34	ATG5								
Interval_3265	chr8	132895575	132895830	+	0	NA	intron (TG, intron 11 of 36)	NA	28779	TG								
Interval_546	chr11	66418213	66418453	+	0	NA	Intergenic	NA	-2671	NPAS4								
Interval_78	chr1	69688202	69688476	+	0	NA	intron (LRRC7, intron 2 of 25)	NA	120792	LRRC7								
Interval_1202	chr17	40915244	40915809	+	0	NA	Intergenic	NA	22117	KRT23								
Interval_1935	chr21	17848383	17848601	+	0	NA	intron (CHODL-AS1, intron 1 of 2)	NA	-17310	LOC102724267								
Interval_2162	chr3	106560468	106560686	+	0	NA	Intergenic	NA	-132548	LOC101929514								
Interval_2479	chr5	71601800	71601983	+	0	NA	intron (MCCC2, intron 4 of 15)	NA	14505	MCCC2								
Interval_607	chr11	120400844	120401061	+	0	NA	intron (ARHGEF12, intron 1 of 40)	NA	64397	ARHGEF12								
Interval_1691	chr2	100188418	100188638	+	0	NA	Intergenic	NA	-19726	LINC01104								
Interval_732	chr12	100576748	100577018	+	0	NA	intron (GAS2L3, intron 1 of 8)	NA	3215	GAS2L3								
Interval_2674	chr6	27146841	27147271	+	0	NA	promoter-TSS (HIST1H2AH)	NA	-26	HIST1H2AH								
Interval_1604	chr2	18077797	18077986	+	0	NA	Intergenic	NA	199234	KCNS3								
Interval_2147	chr3	84664542	84664781	+	0	NA	intron (LINC00971, intron 19 of 20)	NA	204914	LINC00971								
Interval_2607	chr5	176537795	176538075	+	0	NA	promoter-TSS (RNF44)	NA	-1278	RNF44								
Interval_2816	chr6	163585919	163586223	+	0	NA	Intergenic	NA	85413	LOC102724152								
Interval_542	chr11	65766601	65766996	+	0	NA	Intergenic	NA	13793	AP5B1								
Interval_1436	chr19	7903628	7903955	+	0	NA	promoter-TSS (MAP2K7)	NA	-86	MAP2K7								
Interval_1960	chr21	33947763	33948020	+	0	NA	intron (LINC00649, intron 2 of 2)	NA	-1035	LOC400863								
Interval_3180	chr8	103184545	103184996	+	0	NA	intron (BAALC, intron 1 of 1)	NA	-12630	RP11-318M2.2								
Interval_1951	chr21	29196362	29196717	+	0	NA	intron (LINC00189, intron 1 of 1)	NA	3045	LINC00189								
Interval_380	chr10	73909038	73909281	+	0	NA	TTS (C10orf55)	NA	-1973	PLAU								
Interval_868	chr14	69543714	69543926	+	0	NA	Intergenic	NA	31063	CCDC177								
Interval_760	chr12	121145346	121145531	+	0	NA	intron (P2RX7, intron 1 of 10)	NA	12619	P2RX7								
Interval_644	chr12	15700593	15700883	+	0	NA	intron (EPS8, intron 1 of 20)	NA	32037	EPS8								
Interval_1463	chr19	14585199	14585490	+	0	NA	intron (CLEC17A, intron 2 of 13)	NA	2260	CLEC17A								
Interval_2561	chr5	141046400	141046576	+	0	NA	exon (LOC101926905, exon 4 of 4)	NA	-4888	PCDHB1								
Interval_1298	chr18	9782529	9782702	+	0	NA	intron (RAB31, intron 2 of 6)	NA	74384	RAB31								
Interval_3125	chr8	77344192	77344365	+	0	NA	Intergenic	NA	-106479	LOC102724874								
Interval_1786	chr2	207633176	207633369	+	0	NA	Intergenic	NA	-7889	METTL21A								
Interval_1535	chr19	48978940	48979172	+	0	NA	intron (GYS1, intron 7 of 14)	NA	13747	FTL								
Interval_3000	chr8	14655667	14656114	+	0	NA	intron (SGCZ, intron 1 of 7)	NA	197620	MIR383								
Interval_2001	chr22	32020204	32020444	+	0	NA	Intergenic	NA	-38846	SLC5A1								
Interval_3178	chr8	102653839	102654184	+	0	NA	promoter-TSS (KLF10)	NA	-47	KLF10								
Interval_2524	chr5	112913352	112913647	+	0	NA	intron (REEP5, intron 2 of 4)	NA	8835	REEP5								
Interval_81	chr1	76076080	76076330	+	0	NA	intron (ST6GALNAC3, intron 1 of 4)	NA	1501	ST6GALNAC3								
Interval_3035	chr8	29637553	29637727	+	0	NA	Intergenic	NA	110469	LINC00589								
Interval_102	chr1	96560199	96560372	+	0	NA	Intergenic	NA	-161320	PTBP2								
Interval_2984	chr8	3691855	3692174	+	0	NA	intron (CSMD1, intron 7 of 69)	NA	-963646	RP11-134O21.1								
Interval_862	chr14	67700653	67700963	+	0	NA	Intergenic	NA	-1078	RDH12								
Interval_1221	chr17	54119106	54119297	+	0	NA	Intergenic	NA	296323	KIF2B								
Interval_1715	chr2	136008290	136008641	+	0	NA	TTS (AC093391.2)	NA	-22813	DARS								
Interval_1173	chr17	27529159	27529653	+	0	NA	intron (KSR1, intron 2 of 21)	NA	72940	KSR1								
Interval_3251	chr8	128251197	128251395	+	0	NA	Intergenic	NA	101180	MIR1208								
Interval_2985	chr8	3697555	3697728	+	0	NA	intron (CSMD1, intron 7 of 69)	NA	-969273	RP11-134O21.1								
Interval_406	chr10	96380953	96381160	+	0	NA	intron (TLL2, intron 16 of 20)	NA	-23897	OPALIN								
Interval_317	chr10	17228444	17228666	+	0	NA	exon (VIM, exon 1 of 9)	NA	620	VIM								
Interval_2789	chr6	146290440	146290621	+	0	NA	intron (GRM1, intron 2 of 8)	NA	-253162	RAB32								
Interval_1033	chr16	19513550	19513817	+	0	NA	intron (GDE1, intron 2 of 5)	NA	8430	GDE1								
Interval_3239	chr8	125429909	125430382	+	0	NA	promoter-TSS (TRIB1)	NA	-2714	TRIB1								
Interval_1712	chr2	131923386	131923621	+	0	NA	Intergenic	NA	70658	LOC101928067								
Interval_481	chr11	13208265	13208467	+	0	NA	Intergenic	NA	-69412	ARNTL								
Interval_568	chr11	86162281	86162513	+	0	NA	Intergenic	NA	-82367	EED								
Interval_355	chr10	60032806	60033051	+	0	NA	intron (ANK3, intron 50 of 50)	NA	-72015	C10orf40								
Interval_827	chr14	22916267	22916463	+	0	NA	intron (RBM23, intron 1 of 10)	NA	2784	RBM23								
Interval_2506	chr5	95081640	95081865	+	0	NA	promoter-TSS (MCTP1)	NA	-107	MCTP1								
Interval_825	chr14	22646644	22646880	+	0	NA	Intergenic	NA	48464	ABHD4								
Interval_1418	chr19	4808295	4808468	+	0	NA	Intergenic	NA	16665	FEM1A								
Interval_2307	chr4	40577048	40577274	+	0	NA	intron (RBM47, intron 1 of 6)	NA	-62403	RBM47								
Interval_2878	chr7	44885522	44885851	+	0	NA	promoter-TSS (PURB)	NA	-301	PURB								
Interval_705	chr12	75722782	75723000	+	0	NA	Intergenic	NA	-211253	KRR1								
Interval_653	chr12	25052093	25052343	+	0	NA	promoter-TSS (LRMP)	NA	-516	LRMP								
Interval_3384	chr9	132354997	132355173	+	0	NA	promoter-TSS (SETX)	NA	-99	SETX								
Interval_2508	chr5	96896893	96897159	+	0	NA	intron (ERAP2, intron 9 of 18)	NA	20559	ERAP2								
Interval_1363	chr18	64875937	64876212	+	0	NA	Intergenic	NA	116747	LOC101927404								
Interval_1156	chr17	15928097	15928372	+	0	NA	Intergenic	NA	-16683	ADORA2B								
Interval_1445	chr19	10502754	10502941	+	0	NA	promoter-TSS (KEAP1)	NA	-162	KEAP1								
Interval_3363	chr9	114894868	114895090	+	0	NA	intron (TNFSF8, intron 4 of 4)	NA	35616	TNFSF8								
Interval_415	chr10	101353834	101354044	+	0	NA	promoter-TSS (BTRC)	NA	-175	BTRC								
Interval_1747	chr2	164920400	164920603	+	0	NA	intron (SLC38A11, intron 7 of 10)	NA	35024	SLC38A11								
Interval_2424	chr4	189771707	189771923	+	0	NA	Intergenic	NA	15756	LOC102723973								
Interval_2636	chr6	11350347	11350565	+	0	NA	intron (NEDD9, intron 1 of 9)	NA	31892	NEDD9								
Interval_670	chr12	33508996	33509169	+	0	NA	Intergenic	NA	-69263	SYT10								
Interval_493	chr11	27234091	27234459	+	0	NA	Intergenic	NA	128973	CCDC34								
Interval_452	chr10	132588594	132588865	+	0	NA	intron (INPP5A, intron 1 of 15)	NA	50880	INPP5A								
Interval_2430	chr5	6645537	6645858	+	0	NA	intron (SRD5A1, intron 1 of 5)	NA	12310	SRD5A1								
Interval_2035	chr22_KI270735v1_random	34041	34249	+	0	NA	NA	NA	NA	NA								
Interval_3318	chr9	32728298	32728540	+	0	NA	Intergenic	NA	-55080	TMEM215								
Interval_1384	chr18	76564088	76564465	+	0	NA	Intergenic	NA	-1133	LOC102723325								
Interval_1829	chr20	1392709	1393134	+	0	NA	promoter-TSS (MIR6869)	NA	40	MIR6869								
Interval_2828	chr7	2530301	2530573	+	0	NA	Intergenic	NA	3363	MIR4648								
Interval_480	chr11	13126327	13126795	+	0	NA	Intergenic	NA	117138	RASSF10								
Interval_2587	chr5	157100394	157100568	+	0	NA	intron (HAVCR2, intron 3 of 6)	NA	8756	HAVCR2								
Interval_77	chr1	67890000	67890253	+	0	NA	intron (GNG12-AS1, intron 1 of 9)	NA	-56654	GNG12								
Interval_413	chr10	99621264	99621505	+	0	NA	promoter-TSS (SLC25A28)	NA	37902	SLC25A28								
Interval_2535	chr5	124583751	124584104	+	0	NA	Intergenic	NA	164897	ZNF608								
Interval_29	chr1	25030835	25031111	+	0	NA	Intergenic	NA	7470	MIR4425								
Interval_1219	chr17	48505922	48506113	+	0	NA	Intergenic	NA	24893	HOXB1								
Interval_1492	chr19	35448718	35448913	+	0	NA	promoter-TSS (FFAR2)	NA	-900	FFAR2								
Interval_3241	chr8	125513025	125513454	+	0	NA	Intergenic	NA	80380	TRIB1								
Interval_1608	chr2	25558431	25558648	+	0	NA	intron (DTNB, intron 8 of 8)	NA	94121	DTNB								
Interval_125	chr1	114040497	114040785	+	0	NA	Intergenic	NA	61250	OLFML3								
Interval_1049	chr16	30713804	30713994	+	0	NA	intron (SRCAP, intron 16 of 33)	NA	3362	SNORA30								
Interval_993	chr15	85668040	85668374	+	0	NA	intron (AKAP13, intron 14 of 37)	NA	88423	RP11-158M2.5								
Interval_2347	chr4	81421551	81421770	+	0	NA	Intergenic	NA	50268	RASGEF1B								
Interval_1836	chr20	5648028	5648257	+	0	NA	Intergenic	NA	-37146	GPCPD1								
Interval_2507	chr5	96657210	96657410	+	0	NA	Intergenic	NA	-4727	CAST								
Interval_2770	chr6	134295977	134296229	+	0	NA	intron (SGK1, intron 1 of 13)	NA	-102604	LOC102723463								
Interval_2398	chr4	140789851	140790071	+	0	NA	Intergenic	NA	-33644	TBC1D9								
Interval_906	chr14	105070129	105070327	+	0	NA	Intergenic	NA	-4678	GPR132								
Interval_3294	chr9	1458539	1458848	+	0	NA	Intergenic	NA	-1517	LOC101929228								
Interval_1029	chr16	17273177	17273350	+	0	NA	intron (XYLT1, intron 2 of 11)	NA	138775	LOC102723692								
Interval_1711	chr2	131668978	131669167	+	0	NA	Intergenic	NA	-15825	LOC100507460								
Interval_252	chr1	213327296	213327576	+	0	NA	Intergenic	NA	276203	RPS6KC1								
Interval_2412	chr4	168504078	168504258	+	0	NA	intron (PALLD, intron 1 of 20)	NA	7098	PALLD								
Interval_445	chr10	124355073	124355272	+	0	NA	Intergenic	NA	59260	OAT								
Interval_1389	chr18	77067287	77067639	+	0	NA	intron (MBP, intron 1 of 5)	NA	65355	MBP								
Interval_1615	chr2	32916208	32916311	+	0	NA	intron (LINC00486, intron 5 of 5)	NA	-10868	AL121656.5								
Interval_2459	chr5	49602248	49602546	+	0	NA	Intergenic	NA	839003	EMB								
Interval_2948	chr7	120951002	120951212	+	0	NA	intron (ING3, intron 1 of 4)	NA	344	ING3								
Interval_397	chr10	88097218	88097450	+	0	NA	Intergenic	NA	-168926	LOC101929727								
Interval_2996	chr8	11297507	11297872	+	0	NA	intron (MTMR9, intron 2 of 9)	NA	13198	MTMR9								
Interval_2829	chr7	2757844	2758178	+	0	NA	intron (GNA12, intron 3 of 4)	NA	5129	GNA12								
Interval_1865	chr20	29096208	29096346	+	0	NA	intron (LOC100996808, intron 1 of 1)	NA	-3256	LOC100996808								
Interval_1830	chr20	2301258	2301578	+	0	NA	intron (TGM3, intron 1 of 12)	NA	-7040	TGM3								
Interval_3310	chr9	20354704	20354998	+	0	NA	exon (MLLT3, exon 9 of 11)	NA	56331	MIR4473								
Interval_1213	chr17	45329611	45329935	+	0	NA	Intergenic	NA	-12725	MAP3K14								
Interval_1766	chr2	195657042	195657281	+	0	NA	promoter-TSS (SLC39A10)	NA	-150	SLC39A10								
Interval_2540	chr5	126713129	126713353	+	0	NA	Intergenic	NA	42471	LOC102723557								
Interval_896	chr14	94394696	94394904	+	0	NA	Intergenic	NA	-4108	SERPINA1								
Interval_1265	chr17	78413165	78413347	+	0	NA	intron (PGS1, intron 7 of 9)	NA	34632	PGS1								
Interval_1237	chr17	61139324	61139518	+	0	NA	intron (BCAS3, intron 22 of 25)	NA	228184	LOC101927855								
Interval_2280	chr4	7648260	7648433	+	0	NA	intron (SORCS2, intron 4 of 26)	NA	-105744	AFAP1-AS1								
Interval_2096	chr3	40258669	40258861	+	0	NA	exon (MYRIP, exon 16 of 16)	NA	-50917	EIF1B								
Interval_3082	chr8	51345777	51346022	+	0	NA	exon (PXDNL, exon 18 of 21)	NA	-369937	LOC102724313								
Interval_438	chr10	118002726	118003030	+	0	NA	Intergenic	NA	43908	RAB11FIP2								
Interval_1386	chr18	76740366	76740731	+	0	NA	Intergenic	NA	81747	LOC100131655								
Interval_1301	chr18	11325371	11325595	+	0	NA	Intergenic	NA	-164591	RP11-712C7.1								
Interval_3217	chr8	122134735	122135108	+	0	NA	Intergenic	NA	-493531	HAS2								
Interval_1778	chr2	203579247	203579420	+	0	NA	Intergenic	NA	-43998	RAPH1								
Interval_540	chr11	65574312	65574538	+	0	NA	TTS (FAM89B)	NA	-1613	EHBP1L1								
Interval_1542	chr19	50003989	50004259	+	0	NA	intron (VRK3, intron 5 of 14)	NA	21245	VRK3								
Interval_1078	chr16	46395039	46395220	+	0	NA	Intergenic	NA	173968	ANKRD26P1								
Interval_720	chr12	89789933	89790238	+	0	NA	Intergenic	NA	81130	LINC00936								
Interval_1707	chr2	124985352	124985620	+	0	NA	Intergenic	NA	960199	CNTNAP5								
Interval_1618	chr2	37144009	37144182	+	0	NA	intron (EIF2AK2, intron 4 of 16)	NA	12952	EIF2AK2								
Interval_287	chr1	234772438	234772747	+	0	NA	Intergenic	NA	-12542	PP2672								
Interval_223	chr1	197838907	197839113	+	0	NA	Intergenic	NA	-63517	DENND1B								
Interval_1662	chr2	68387550	68387783	+	0	NA	intron (PLEK, intron 5 of 8)	NA	-21973	LOC101927723								
Interval_3303	chr9	16884914	16885236	+	0	NA	Intergenic	NA	-14275	BNC2								
Interval_3170	chr8	97628086	97628318	+	0	NA	Intergenic	NA	-15945	MTDH								
Interval_1456	chr19	13151717	13151995	+	0	NA	intron (IER2, intron 1 of 1)	NA	1388	IER2								
Interval_239	chr1	207205087	207205446	+	0	NA	Intergenic	NA	101004	C4BPA								
Interval_2801	chr6	155493757	155493986	+	0	NA	Intergenic	NA	-37968	NOX3								
Interval_1067	chr16	34591493	34591879	+	0	NA	Intergenic	NA	159694	LOC102724523								
Interval_1626	chr2	40042051	40042277	+	0	NA	intron (SLC8A1-AS1, intron 2 of 4)	NA	124530	SLC8A1-AS1								
Interval_2293	chr4	26076325	26076500	+	0	NA	Intergenic	NA	162220	SMIM20								
Interval_2539	chr5	126066873	126067094	+	0	NA	Intergenic	NA	-112594	LOC102546228								
Interval_2106	chr3	46110778	46110983	+	0	NA	Intergenic	NA	-83393	XCR1								
Interval_633	chr12	8619206	8619393	+	0	NA	Intergenic	NA	-6453	AICDA								
Interval_2063	chr3	15769075	15769288	+	0	NA	intron (ANKRD28, intron 2 of 26)	NA	28770	ANKRD28								
Interval_2312	chr4	49105312	49105485	+	0	NA	Intergenic	NA	-55934	LOC101927209								
Interval_2350	chr4	83548472	83548851	+	0	NA	intron (AGPAT9, intron 3 of 12)	NA	12928	AGPAT9								
Interval_3324	chr9	35657713	35658007	+	0	NA	promoter-TSS (CCDC107)	NA	158	RMRP								
