PeakID (cmd=annotatePeaks.pl GSE1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_651	chr6	16439339	16439415	+	0	NA	intron (ATXN1, intron 6 of 7)	NA	200797	GMPR								
Interval_400	chr19	2974513	2974713	+	0	NA	Intergenic	NA	-2925	TLE6								
Interval_659	chr6	35348562	35348682	+	0	NA	intron (PPARD, intron 3 of 9)	NA	6051	PPARD								
Interval_555	chr4	49097680	49097764	+	0	NA	Intergenic	NA	-64298	LOC101927209								
Interval_321	chr16	46400395	46400488	+	0	NA	Intergenic	NA	168656	ANKRD26P1								
Interval_738	chr8	36503019	36503065	+	0	NA	Intergenic	NA	-281282	KCNU1								
Interval_703	chr7	88279024	88279256	+	0	NA	exon (STEAP4, exon 4 of 4)	NA	27773	STEAP4								
Interval_634	chr5	139566819	139566915	+	0	NA	intron (UBE2D2, intron 2 of 7)	NA	5701	UBE2D2								
Interval_4	chr1	23378282	23378459	+	0	NA	Intergenic	NA	9399	C1orf213								
Interval_12	chr1	89754441	89754752	+	0	NA	intron (LOC102723361, intron 1 of 2)	NA	-2121	LOC102723361								
Interval_355	chr17	35778287	35778346	+	0	NA	TTS (MMP28)	NA	17320	MMP28								
Interval_737	chr8	32361616	32361774	+	0	NA	intron (NRG1, intron 1 of 4)	NA	-79051	NRG1-IT3								
Interval_35	chr1	123108581	123108669	+	0	NA	Intergenic	NA	1589513	EMBP1								
Interval_775	chr9	35845068	35845230	+	0	NA	intron (TMEM8B, intron 6 of 12)	NA	-11774	FAM221B								
Interval_567	chr4	49632899	49632998	+	0	NA	Intergenic	NA	-143624	LOC101060532								
Interval_713	chr7	123448599	123448695	+	0	NA	Intergenic	NA	85989	IQUB								
Interval_513	chr3	42192938	42193078	+	0	NA	intron (TRAK1, intron 7 of 15)	NA	70939	CCK								
Interval_502	chr22_KI270733v1_random	128527	128573	+	0	NA	Intergenic	NA	31551	LOC102724621								
Interval_752	chr8	78768604	78768680	+	0	NA	intron (IL7, intron 2 of 5)	NA	36881	IL7								
Interval_189	chr12	6570881	6571043	+	0	NA	exon (CHD4, exon 39 of 40)	NA	1528	LOC100127974								
Interval_336	chr16	89484138	89484264	+	0	NA	intron (ANKRD11, intron 1 of 13)	NA	20875	LOC101927863								
Interval_535	chr3	171814090	171814239	+	0	NA	Intergenic	NA	-3670	PLD1								
Interval_644	chr5	180069559	180069653	+	0	NA	intron (RNF130, intron 1 of 8)	NA	2512	RNF130								
Interval_58	chr1	124652742	124652818	+	0	NA	Intergenic	NA	3133668	EMBP1								
Interval_21	chr1	109214851	109214953	+	0	NA	exon (SARS, exon 2 of 2)	NA	1009	SARS								
Interval_338	chr17	4852820	4852925	+	0	NA	intron (MINK1, intron 1 of 32)	NA	19532	MINK1								
Interval_396	chr18	62504158	62504434	+	0	NA	Intergenic	NA	-19360	ZCCHC2								
Interval_444	chr2	93537820	93537898	+	0	NA	Intergenic	NA	1049324	LOC100133920								
Interval_398	chr18	78625950	78626026	+	0	NA	Intergenic	NA	352460	LOC645321								
Interval_820	chrUn_KI270438v1	106815	106919	+	0	NA	NA	NA	NA	NA								
Interval_226	chr13	16823986	16824066	+	0	NA	Intergenic	NA	-1371271	FAM230C								
Interval_351	chr17	26619987	26620080	+	0	NA	Intergenic	NA	673909	MIR4522								
Interval_56	chr1	124614064	124614225	+	0	NA	Intergenic	NA	3095032	EMBP1								
Interval_710	chr7	111451597	111451686	+	0	NA	intron (IMMP2L, intron 3 of 5)	NA	110876	IMMP2L								
Interval_586	chr4	109561183	109561417	+	0	NA	intron (CCDC109B, intron 1 of 7)	NA	1101	CCDC109B								
Interval_378	chr18	110382	110458	+	0	NA	intron (ROCK1P1, intron 1 of 4)	NA	1355	ROCK1P1								
Interval_655	chr6	23701653	23701729	+	0	NA	Intergenic	NA	302583	LOC102724749								
Interval_399	chr18	79683000	79683101	+	0	NA	intron (CTDP1, intron 1 of 12)	NA	3226	CTDP1								
Interval_551	chr4	39725466	39725542	+	0	NA	intron (UBE2K, intron 1 of 4)	NA	27460	UBE2K								
Interval_394	chr18	61733588	61733750	+	0	NA	Intergenic	NA	-14507	RP11-1096D5.1								
Interval_523	chr3	101922359	101922510	+	0	NA	Intergenic	NA	-18425	LOC152225								
Interval_821	chrUn_KI270438v1	109186	109878	+	0	NA	NA	NA	NA	NA								
Interval_325	chr16	46557254	46557330	+	0	NA	intron (ANKRD26P1, intron 4 of 16)	NA	11805	ANKRD26P1								
Interval_41	chr1	123719027	123719109	+	0	NA	Intergenic	NA	2199956	EMBP1								
Interval_53	chr1	124421028	124421106	+	0	NA	Intergenic	NA	2901955	EMBP1								
Interval_460	chr2	161170973	161171141	+	0	NA	intron (TANK, intron 2 of 8)	NA	10539	TANK								
Interval_135	chr10	41910835	41910969	+	0	NA	Intergenic	NA	-331621	LOC101929373								
Interval_561	chr4	49147404	49147536	+	0	NA	Intergenic	NA	-14550	LOC101927209								
Interval_424	chr1_KI270709v1_random	10619	10696	+	0	NA	NA	NA	NA	NA								
Interval_416	chr19	50375158	50375258	+	0	NA	Intergenic	NA	-1215	NR1H2								
Interval_448	chr2	105835038	105835189	+	0	NA	intron (NCK2, intron 2 of 3)	NA	90050	NCK2								
Interval_629	chr5	121068843	121068919	+	0	NA	Intergenic	NA	-253669	LOC102467226								
Interval_82	chr1	143238632	143238708	+	0	NA	Intergenic	NA	67689	LOC101929814								
Interval_62	chr1	125177102	125177178	+	0	NA	Intergenic	NA	3658028	EMBP1								
Interval_456	chr2	145751762	145751925	+	0	NA	Intergenic	NA	728727	LOC100505498								
Interval_73	chr1	143203668	143203746	+	0	NA	Intergenic	NA	102652	LOC101929814								
Interval_313	chr16	46388598	46389063	+	0	NA	Intergenic	NA	180267	ANKRD26P1								
Interval_293	chr16	34573061	34573135	+	0	NA	Intergenic	NA	141106	LOC102724523								
Interval_101	chr1	167499779	167499923	+	0	NA	intron (CD247, intron 1 of 7)	NA	18759	CD247								
Interval_757	chr8	111832413	111832506	+	0	NA	Intergenic	NA	-596278	RP11-946L20.4								
Interval_79	chr1	143225227	143225310	+	0	NA	Intergenic	NA	81091	LOC101929814								
Interval_383	chr18	16633072	16633148	+	0	NA	Intergenic	NA	-1307191	LOC644669								
Interval_740	chr8	42898377	42898536	+	0	NA	intron (HOOK3, intron 1 of 21)	NA	1566	HOOK3								
Interval_421	chr1_KI270709v1_random	7496	7595	+	0	NA	NA	NA	NA	NA								
Interval_769	chr8	142030077	142030226	+	0	NA	Intergenic	NA	-146188	MIR4472-1								
Interval_30	chr1	122922432	122922508	+	0	NA	Intergenic	NA	1403358	EMBP1								
Interval_619	chr5	49666776	49666852	+	0	NA	Intergenic	NA	774586	EMB								
Interval_503	chr22_KI270733v1_random	135093	135143	+	0	NA	Intergenic	NA	24983	LOC102724621								
Interval_576	chr4	49711489	49711701	+	0	NA	Intergenic	NA	-222271	LOC101060532								
Interval_824	chrUn_KI270438v1	112348	112454	+	0	NA	NA	NA	NA	NA								
Interval_177	chr11	107927993	107928077	+	0	NA	promoter-TSS (RAB39A)	NA	-516	RAB39A								
Interval_791	chr9	127519502	127519655	+	0	NA	intron (FAM129B, intron 5 of 13)	NA	49539	FAM129B								
Interval_71	chr1	143194594	143194687	+	0	NA	Intergenic	NA	111719	LOC101929814								
Interval_128	chr10	41859893	41859986	+	0	NA	Intergenic	NA	-382584	LOC101929373								
Interval_856	chrY	56763481	56763577	+	0	NA	Intergenic	NA	-192714	SPRY3-2								
Interval_315	chr16	46390996	46391092	+	0	NA	Intergenic	NA	178053	ANKRD26P1								
Interval_657	chr6	26757070	26757161	+	0	NA	TTS (TRNAI22)	NA	563	TRNAI22								
Interval_359	chr17	44007258	44007336	+	0	NA	intron (NAGS, intron 4 of 6)	NA	2633	NAGS								
Interval_819	chrUn_KI270438v1	104539	104962	+	0	NA	NA	NA	NA	NA								
Interval_687	chr7	10824315	10824405	+	0	NA	Intergenic	NA	115826	NDUFA4								
Interval_78	chr1	143223237	143223338	+	0	NA	Intergenic	NA	83072	LOC101929814								
Interval_799	chrUn_GL000216v2	13585	13663	+	0	NA	NA	NA	NA	NA								
Interval_324	chr16	46401371	46401631	+	0	NA	Intergenic	NA	167596	ANKRD26P1								
Interval_3	chr1	20102996	20103120	+	0	NA	Intergenic	NA	16508	PLA2G2D								
Interval_390	chr18	26642610	26642924	+	0	NA	intron (KCTD1, intron 1 of 4)	NA	-2423	KCTD1								
Interval_773	chr9	25295698	25295813	+	0	NA	Intergenic	NA	383103	TUSC1								
Interval_343	chr17	23016261	23016340	+	0	NA	Intergenic	NA	-493114	LOC102723754								
Interval_6	chr1	25699133	25699336	+	0	NA	intron (MAN1C1, intron 1 of 9)	NA	81766	MAN1C1								
Interval_601	chr4	177844068	177844145	+	0	NA	intron (LINC01099, intron 1 of 1)	NA	63830	LINC01099								
Interval_446	chr2	101098626	101098787	+	0	NA	intron (TBC1D8, intron 1 of 19)	NA	52678	TBC1D8								
Interval_376	chr17_KI270729v1_random	139615	139691	+	0	NA	NA	NA	NA	NA								
Interval_851	chrY	20473666	20473743	+	0	NA	intron (TTTY10, intron 2 of 5)	NA	45524	TTTY10								
Interval_388	chr18	24346421	24346544	+	0	NA	intron (OSBPL1A, intron 3 of 26)	NA	24796	MIR320C2								
Interval_382	chr18	16549225	16549315	+	0	NA	Intergenic	NA	-1223351	LOC644669								
Interval_840	chrX	76757872	76757960	+	0	NA	intron (LOC101928469, intron 2 of 3)	NA	161388	MIR384								
Interval_171	chr11	61963507	61963583	+	0	NA	TTS (BEST1)	NA	4115	FTH1								
Interval_219	chr12	122517929	122518099	+	0	NA	intron (RSRC2, intron 5 of 10)	NA	8999	RSRC2								
Interval_669	chr6	133707551	133707732	+	0	NA	intron (RP3-323P13.2, intron 4 of 8)	NA	-113506	MGC34034								
Interval_783	chr9	89154772	89154980	+	0	NA	intron (SHC3, intron 1 of 11)	NA	23891	SHC3								
Interval_294	chr16	34573985	34574332	+	0	NA	Intergenic	NA	142166	LOC102724523								
Interval_319	chr16	46399786	46399874	+	0	NA	Intergenic	NA	169267	ANKRD26P1								
Interval_114	chr1	238477028	238477260	+	0	NA	Intergenic	NA	8873	LINC01139								
Interval_842	chrX	111052680	111052761	+	0	NA	intron (PAK3, intron 2 of 15)	NA	-70357	PAK3								
Interval_475	chr20	8180946	8181022	+	0	NA	intron (PLCB1, intron 2 of 31)	NA	48719	PLCB1								
Interval_455	chr2	145411592	145411768	+	0	NA	Intergenic	NA	388564	LOC100505498								
Interval_650	chr6	11519455	11519571	+	0	NA	Intergenic	NA	-18714	TMEM170B								
Interval_458	chr2	153222307	153222384	+	0	NA	Intergenic	NA	256463	RPRM								
Interval_593	chr4	145007436	145007514	+	0	NA	intron (ANAPC10, intron 5 of 6)	NA	-90529	ABCE1								
Interval_530	chr3	131335503	131335580	+	0	NA	intron (LOC339874, intron 2 of 3)	NA	-26333	NUDT16P1								
Interval_648	chr6	5997763	5997839	+	0	NA	TTS (NRN1)	NA	6256	NRN1								
Interval_249	chr14	50038932	50039052	+	0	NA	intron (RP11-58E21.3, intron 3 of 5)	NA	892	RP11-58E21.3								
Interval_200	chr12	49222664	49222802	+	0	NA	intron (LOC102723916, intron 1 of 2)	NA	13810	LOC102723916								
Interval_112	chr1	228921687	228921828	+	0	NA	Intergenic	NA	186680	RHOU								
Interval_778	chr9	64857945	64858036	+	0	NA	Intergenic	NA	31061	LOC100132154								
Interval_297	chr16	34581234	34581802	+	0	NA	Intergenic	NA	149526	LOC102724523								
Interval_207	chr12	89857614	89857742	+	0	NA	Intergenic	NA	148723	LINC00936								
Interval_208	chr12	92233821	92233885	+	0	NA	Intergenic	NA	87169	LOC101928617								
Interval_15	chr1	92356922	92357027	+	0	NA	intron (RPAP2, intron 11 of 11)	NA	57924	RPAP2								
Interval_810	chrUn_KI270330v1	1412	1547	+	0	NA	NA	NA	NA	NA								
Interval_620	chr5	54671302	54671380	+	0	NA	intron (LOC102467080, intron 1 of 2)	NA	72917	LOC102467080								
Interval_326	chr16	50021867	50021943	+	0	NA	Intergenic	NA	-3301	CNEP1R1								
Interval_816	chrUn_KI270337v1	806	995	+	0	NA	NA	NA	NA	NA								
Interval_682	chr7	812858	813127	+	0	NA	Intergenic	NA	-19513	SUN1								
Interval_803	chrUn_GL000216v2	80001	80116	+	0	NA	NA	NA	NA	NA								
Interval_154	chr10	123997442	123997692	+	0	NA	Intergenic	NA	96040	CHST15								
Interval_707	chr7	98754882	98754958	+	0	NA	Intergenic	NA	115130	TMEM130								
Interval_857	chrY	56771122	56771214	+	0	NA	Intergenic	NA	-185075	SPRY3-2								
Interval_677	chr6	154302269	154302345	+	0	NA	intron (IPCEF1, intron 1 of 11)	NA	45937	IPCEF1								
Interval_656	chr6	26502747	26502835	+	0	NA	intron (BTN1A1, intron 3 of 7)	NA	1669	BTN1A1								
Interval_558	chr4	49120503	49120589	+	0	NA	Intergenic	NA	-41474	LOC101927209								
Interval_843	chrX	128690838	128690914	+	0	NA	Intergenic	NA	437447	LOC101928522								
Interval_663	chr6	82563449	82563538	+	0	NA	Intergenic	NA	199249	TPBG								
Interval_749	chr8	67393124	67393201	+	0	NA	Intergenic	NA	49434	LOC102724708								
Interval_404	chr19	13790539	13790619	+	0	NA	Intergenic	NA	-4865	ZSWIM4								
Interval_725	chr7	150557216	150557293	+	0	NA	Intergenic	NA	-10116	GIMAP4								
Interval_380	chr18	10058407	10058560	+	0	NA	Intergenic	NA	144525	VAPA								
Interval_214	chr12	109755362	109755485	+	0	NA	intron (FAM222A, intron 2 of 2)	NA	13238	FAM222A								
Interval_485	chr21	6511058	6511134	+	0	NA	intron (LOC102724636, intron 2 of 2)	NA	11354	LOC102724636								
Interval_782	chr9	85165188	85165266	+	0	NA	Intergenic	NA	8960	LOC102724605								
Interval_305	chr16	34589467	34589569	+	0	NA	Intergenic	NA	157526	LOC102724523								
Interval_742	chr8	43240021	43240102	+	0	NA	Intergenic	NA	-52381	POTEA								
Interval_443	chr2	92393482	92393558	+	0	NA	Intergenic	NA	452387	ACTR3BP2								
Interval_162	chr11	46305483	46305576	+	0	NA	intron (CREB3L1, intron 2 of 11)	NA	27891	CREB3L1								
Interval_452	chr2	136008487	136008566	+	0	NA	TTS (AC093391.2)	NA	-22874	DARS								
Interval_518	chr3	58471359	58471689	+	0	NA	promoter-TSS (LOC101929223)	NA	-131	LOC101929223								
Interval_363	chr17	59437907	59438001	+	0	NA	intron (RP11-567L7.6, intron 4 of 4)	NA	71862	MIR4729								
Interval_814	chrUn_KI270333v1	2041	2123	+	0	NA	NA	NA	NA	NA								
Interval_415	chr19	47920268	47920352	+	0	NA	Intergenic	NA	1881	SNAR-A1								
Interval_817	chrUn_KI270438v1	103652	103809	+	0	NA	NA	NA	NA	NA								
Interval_728	chr8	8346641	8346717	+	0	NA	intron (SGK223, intron 3 of 5)	NA	39401	SGK223								
Interval_649	chr6	6588748	6588824	+	0	NA	promoter-TSS (LY86)	NA	130	LY86								
Interval_183	chr11	120344499	120344630	+	0	NA	intron (ARHGEF12, intron 1 of 40)	NA	7655	ARHGEF12								
Interval_240	chr13	30848032	30848318	+	0	NA	Intergenic	NA	-34387	LINC00545								
Interval_822	chrUn_KI270438v1	110482	110584	+	0	NA	NA	NA	NA	NA								
Interval_170	chr11	61391210	61391287	+	0	NA	Intergenic	NA	-1540	TMEM216								
Interval_242	chr13	48116060	48116136	+	0	NA	Intergenic	NA	-20957	MED4								
Interval_569	chr4	49644631	49644707	+	0	NA	Intergenic	NA	-155345	LOC101060532								
Interval_717	chr7	139861980	139862139	+	0	NA	intron (TBXAS1, intron 5 of 16)	NA	32906	TBXAS1								
Interval_797	chrM	15871	16561	+	0	NA	promoter-TSS (TRNP)	NA	-193	TRNP								
Interval_595	chr4	154078643	154078760	+	0	NA	Intergenic	NA	-289625	SFRP2								
Interval_470	chr2	233872168	233872250	+	0	NA	Intergenic	NA	-3800	MSL3P1								
Interval_288	chr16	11814853	11815139	+	0	NA	Intergenic	NA	13836	BCAR4								
Interval_152	chr10	118511755	118511915	+	0	NA	Intergenic	NA	83813	PRLHR								
Interval_412	chr19	41637619	41637710	+	0	NA	Intergenic	NA	-10596	CEACAM4								
Interval_686	chr7	7243113	7243266	+	0	NA	intron (C1GALT1, intron 3 of 3)	NA	-11965	LOC101927354								
Interval_571	chr4	49709407	49709551	+	0	NA	Intergenic	NA	-220155	LOC101060532								
Interval_509	chr3	15647822	15647902	+	0	NA	TTS (BTD)	NA	45893	BTD								
Interval_43	chr1	123760651	123760734	+	0	NA	Intergenic	NA	2241580	EMBP1								
Interval_165	chr11	52688332	52688411	+	0	NA	Intergenic	NA	1915627	OR4C46								
Interval_331	chr16	73154009	73154270	+	0	NA	Intergenic	NA	-9692	C16orf47								
Interval_121	chr10	28399073	28399270	+	0	NA	Intergenic	NA	-96147	MPP7								
Interval_66	chr1	143184672	143184863	+	0	NA	Intergenic	NA	121592	LOC101929814								
Interval_741	chr8	43237942	43238147	+	0	NA	Intergenic	NA	-54398	POTEA								
Interval_449	chr2	109255664	109255853	+	0	NA	intron (SH3RF3, intron 1 of 9)	NA	16769	LOC102724819								
Interval_292	chr16	22959711	22959787	+	0	NA	Intergenic	NA	145210	HS3ST2								
Interval_602	chr4	185513364	185513809	+	0	NA	intron (PDLIM3, intron 4 of 7)	NA	21972	PDLIM3								
Interval_440	chr2	89833247	89833324	+	0	NA	Intergenic	NA	-195632	LOC101927050								
Interval_733	chr8	21966853	21967015	+	0	NA	exon (XPO7, exon 2 of 28)	NA	47265	XPO7								
Interval_759	chr8	117881503	117881928	+	0	NA	intron (EXT1, intron 1 of 10)	NA	230104	EXT1								
Interval_828	chrUn_KI270466v1	708	800	+	0	NA	NA	NA	NA	NA								
Interval_1	chr1	8974070	8974235	+	0	NA	intron (CA6, intron 7 of 7)	NA	28318	CA6								
Interval_837	chrX	44255912	44255988	+	0	NA	intron (EFHC2, intron 3 of 13)	NA	22835	EFHC2								
Interval_457	chr2	147844756	147844950	+	0	NA	promoter-TSS (ACVR2A)	NA	50	ACVR2A								
Interval_751	chr8	75356633	75356709	+	0	NA	Intergenic	NA	-78190	CASC9								
Interval_603	chr5	1002088	1002183	+	0	NA	Intergenic	NA	-4795	LOC100506688								
Interval_301	chr16	34584885	34584965	+	0	NA	Intergenic	NA	152933	LOC102724523								
Interval_481	chr20	46340462	46340538	+	0	NA	Intergenic	NA	23958	SLC35C2								
Interval_251	chr14	54782690	54782823	+	0	NA	intron (SAMD4A, intron 9 of 10)	NA	-94831	LOC729451								
Interval_306	chr16	34592670	34592964	+	0	NA	Intergenic	NA	160825	LOC102724523								
Interval_248	chr14	40729629	40729709	+	0	NA	Intergenic	NA	-225042	LOC644919								
Interval_246	chr14	24027358	24027492	+	0	NA	intron (LOC101927011, intron 1 of 1)	NA	1834	LOC101927011								
Interval_264	chr14	89504607	89504853	+	0	NA	intron (LOC102723683, intron 3 of 4)	NA	-71486	FOXN3-AS2								
Interval_574	chr4	49710662	49710977	+	0	NA	Intergenic	NA	-221495	LOC101060532								
Interval_438	chr2	89828613	89828691	+	0	NA	Intergenic	NA	-190999	LOC101927050								
Interval_196	chr12	26954107	26954248	+	0	NA	exon (FGFR1OP2, exon 2 of 5)	NA	15805	FGFR1OP2								
Interval_61	chr1	125175018	125175094	+	0	NA	Intergenic	NA	3655944	EMBP1								
Interval_560	chr4	49140519	49140601	+	0	NA	Intergenic	NA	-21460	LOC101927209								
Interval_694	chr7	58386106	58386191	+	0	NA	Intergenic	NA	-518098	LOC102723842								
Interval_278	chr15	44288368	44288504	+	0	NA	promoter-TSS (CASC4)	NA	-180	CASC4								
Interval_27	chr1	122843927	122844013	+	0	NA	Intergenic	NA	1324858	EMBP1								
Interval_847	chrY	11327641	11327726	+	0	NA	Intergenic	NA	1093907	GYG2P1								
Interval_176	chr11	88138918	88138994	+	0	NA	intron (RAB38, intron 2 of 2)	NA	35168	RAB38								
Interval_850	chrY	11747659	11747755	+	0	NA	Intergenic	NA	673883	GYG2P1								
Interval_583	chr4	87896427	87896574	+	0	NA	Intergenic	NA	63531	MEPE								
Interval_260	chr14	79777932	79778008	+	0	NA	intron (NRXN3, intron 20 of 21)	NA	-433449	DIO2-AS1								
Interval_641	chr5	159366947	159367128	+	0	NA	Intergenic	NA	35519	AC008697.1								
Interval_34	chr1	122963595	122963671	+	0	NA	Intergenic	NA	1444521	EMBP1								
Interval_553	chr4	40656332	40656434	+	0	NA	Intergenic	NA	-93514	NSUN7								
Interval_257	chr14	68742139	68742189	+	0	NA	Intergenic	NA	54079	ZFP36L1								
Interval_753	chr8	91563370	91563447	+	0	NA	Intergenic	NA	353914	SLC26A7								
Interval_724	chr7	150365830	150365929	+	0	NA	Intergenic	NA	-2254	REPIN1								
Interval_774	chr9	32712461	32712538	+	0	NA	Intergenic	NA	-71000	TMEM215								
Interval_314	chr16	46389617	46390082	+	0	NA	Intergenic	NA	179248	ANKRD26P1								
Interval_279	chr15	44288603	44288658	+	0	NA	promoter-TSS (CASC4)	NA	14	CASC4								
Interval_849	chrY	11721964	11722133	+	0	NA	Intergenic	NA	699542	GYG2P1								
Interval_395	chr18	62503865	62504063	+	0	NA	Intergenic	NA	-19692	ZCCHC2								
Interval_167	chr11	55397187	55397263	+	0	NA	Intergenic	NA	29341	OR4A15								
Interval_93	chr1	150090280	150090383	+	0	NA	intron (VPS45, intron 10 of 14)	NA	22663	VPS45								
Interval_197	chr12	37260988	37261064	+	0	NA	Intergenic	NA	-1055729	ALG10B								
Interval_827	chrUn_KI270466v1	392	571	+	0	NA	NA	NA	NA	NA								
Interval_422	chr1_KI270709v1_random	9218	9313	+	0	NA	NA	NA	NA	NA								
Interval_815	chrUn_KI270337v1	7	98	+	0	NA	NA	NA	NA	NA								
Interval_787	chr9	112331067	112331113	+	0	NA	intron (PTBP3, intron 1 of 14)	NA	2574	PTBP3								
Interval_497	chr22	18730600	18730679	+	0	NA	intron (LOC642643, intron 2 of 8)	NA	2506	LOC642643								
Interval_472	chr2	235390552	235390675	+	0	NA	Intergenic	NA	-103476	AGAP1								
Interval_342	chr17	21976413	21976489	+	0	NA	Intergenic	NA	-193016	LOC100996792-2								
Interval_145	chr10	88792828	88792895	+	0	NA	Intergenic	NA	-10087	LIPM								
Interval_735	chr8	29637709	29637802	+	0	NA	Intergenic	NA	110354	LINC00589								
Interval_131	chr10	41878683	41878759	+	0	NA	Intergenic	NA	-363802	LOC101929373								
Interval_705	chr7	98133343	98133479	+	0	NA	intron (LMTK2, intron 1 of 13)	NA	26526	LMTK2								
Interval_436	chr2	83094366	83094442	+	0	NA	Intergenic	NA	237601	LOC1720								
Interval_645	chr6	1665229	1665503	+	0	NA	intron (GMDS, intron 9 of 10)	NA	-44609	FLJ46552								
Interval_498	chr22	18892455	18892556	+	0	NA	Intergenic	NA	-13718	DGCR6								
Interval_384	chr18	18750205	18750281	+	0	NA	Intergenic	NA	2361608	ROCK1								
Interval_317	chr16	46395032	46395114	+	0	NA	Intergenic	NA	174024	ANKRD26P1								
Interval_653	chr6	19770906	19770982	+	0	NA	Intergenic	NA	33729	LOC100506885								
Interval_581	chr4	82274447	82274657	+	0	NA	Intergenic	NA	99444	HNRNPD								
Interval_204	chr12	81332160	81332316	+	0	NA	intron (PPFIA2, intron 18 of 30)	NA	49712	LOC102724663								
Interval_229	chr13	17854355	17854435	+	0	NA	Intergenic	NA	-340902	FAM230C								
Interval_779	chr9	70974452	70974529	+	0	NA	intron (TRPM3, intron 1 of 25)	NA	-105432	TRPM3								
Interval_273	chr14_GL000225v1_random	131688	131800	+	0	NA	Intergenic	NA	95455	LOC100287823								
Interval_554	chr4	40656575	40656662	+	0	NA	Intergenic	NA	-93279	NSUN7								
Interval_521	chr3	72748853	72748939	+	0	NA	TTS (SHQ1)	NA	-56767	LOC101927225								
Interval_181	chr11	117850213	117850289	+	0	NA	intron (FXYD6, intron 1 of 8)	NA	-25507	FXYD2								
Interval_320	chr16	46400068	46400195	+	0	NA	Intergenic	NA	168966	ANKRD26P1								
Interval_174	chr11	66068954	66069148	+	0	NA	TTS (SF3B2)	NA	-1302	PACS1								
Interval_575	chr4	49711321	49711412	+	0	NA	Intergenic	NA	-222042	LOC101060532								
Interval_405	chr19	14005174	14005388	+	0	NA	intron (RFX1, intron 1 of 20)	NA	1041	RFX1								
Interval_435	chr2	74875338	74875504	+	0	NA	intron (HK2, intron 7 of 17)	NA	41246	HK2								
Interval_65	chr1	125180137	125180243	+	0	NA	Intergenic	NA	3661078	EMBP1								
Interval_833	chrUn_KI270744v1	157020	157175	+	0	NA	Intergenic	NA	-47687	LOC102723433								
Interval_552	chr4	40621727	40621885	+	0	NA	intron (RBM47, intron 1 of 6)	NA	-119733	MIR4802								
Interval_591	chr4	138882033	138882146	+	0	NA	Intergenic	NA	-133670	CCRN4L								
Interval_606	chr5	14925474	14925561	+	0	NA	Intergenic	NA	-51078	LOC102723499								
Interval_441	chr2	89836473	89836550	+	0	NA	Intergenic	NA	-198858	LOC101927050								
Interval_201	chr12	53366040	53366116	+	0	NA	Intergenic	NA	-14117	SP1								
Interval_340	chr17	14673008	14673091	+	0	NA	Intergenic	NA	-341756	LOC101928475								
Interval_349	chr17	26603854	26603964	+	0	NA	Intergenic	NA	690033	MIR4522								
Interval_98	chr1	158809329	158809551	+	0	NA	Intergenic	NA	-21938	MNDA								
Interval_848	chrY	11563790	11563866	+	0	NA	Intergenic	NA	857762	GYG2P1								
Interval_766	chr8	132895687	132895882	+	0	NA	intron (TG, intron 11 of 36)	NA	28867	TG								
Interval_628	chr5	112930112	112930173	+	0	NA	Intergenic	NA	-7808	REEP5								
Interval_755	chr8	102979749	102979864	+	0	NA	Intergenic	NA	-41214	ATP6V1C1								
Interval_403	chr19	5136120	5136322	+	0	NA	intron (KDM4B, intron 7 of 14)	NA	157026	PTPRS								
Interval_432	chr2	60460542	60460866	+	0	NA	exon (BCL11A, exon 4 of 4)	NA	-58587	LOC102724142								
Interval_667	chr6	112340169	112340245	+	0	NA	Intergenic	NA	-7123	RFPL4B								
Interval_500	chr22	45552821	45552870	+	0	NA	intron (FBLN1, intron 14 of 16)	NA	50006	FBLN1								
Interval_179	chr11	110989920	110989996	+	0	NA	Intergenic	NA	-107378	LOC102723966								
Interval_664	chr6	86205210	86205288	+	0	NA	Intergenic	NA	255556	LOC101928842								
Interval_357	chr17	40140346	40140443	+	0	NA	promoter-TSS (CASC3)	NA	-82	CASC3								
Interval_627	chr5	112599608	112599684	+	0	NA	Intergenic	NA	-28790	LOC102467214								
Interval_681	chr6	165227687	165227928	+	0	NA	Intergenic	NA	81809	C6orf118								
Interval_729	chr8	9566780	9566874	+	0	NA	intron (TNKS, intron 1 of 27)	NA	10892	TNKS								
Interval_274	chr14_GL000225v1_random	133728	133862	+	0	NA	Intergenic	NA	97506	LOC100287823								
Interval_233	chr13	18213567	18213652	+	0	NA	intron (FAM230C, intron 1 of 7)	NA	18312	FAM230C								
Interval_739	chr8	41544921	41545114	+	0	NA	TTS (GINS4)	NA	15811	GINS4								
Interval_119	chr10	7602551	7602747	+	0	NA	intron (ITIH5, intron 3 of 9)	NA	-2077	LOC101928171								
Interval_706	chr7	98137757	98138093	+	0	NA	intron (LMTK2, intron 2 of 13)	NA	31040	LMTK2								
Interval_67	chr1	143185102	143185223	+	0	NA	Intergenic	NA	121197	LOC101929814								
Interval_722	chr7	148624018	148624094	+	0	NA	Intergenic	NA	33491	C7orf33								
