PeakID (cmd=annotatePeaks.pl HOXA9.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_1143	chr7	11430271	11430474	+	0	NA	intron (THSD7A, intron 13 of 26)	NA	401825	THSD7A								
Interval_406	chr16	19513716	19513951	+	0	NA	intron (GDE1, intron 2 of 5)	NA	8295	GDE1								
Interval_513	chr17	83199822	83200169	+	0	NA	Intergenic	NA	26505	LOC100505909								
Interval_1072	chr6	27795886	27796079	+	0	NA	promoter-TSS (TRNAQ10)	NA	-50	TRNAQ10								
Interval_653	chr2	126863614	126864093	+	0	NA	Intergenic	NA	208001	GYPC								
Interval_1013	chr5	77231475	77231765	+	0	NA	intron (PDE8B, intron 1 of 20)	NA	20973	PDE8B								
Interval_1191	chr7	147771032	147771392	+	0	NA	intron (CNTNAP2, intron 13 of 23)	NA	-393153	MIR548F4								
Interval_1008	chr5	67178117	67178336	+	0	NA	Intergenic	NA	18563	CD180								
Interval_1387	chrUn_KI270337v1	1	77	+	0	NA	NA	NA	NA	NA								
Interval_642	chr2	89833258	89833327	+	0	NA	Intergenic	NA	-195639	LOC101927050								
Interval_349	chr14	81427378	81427676	+	0	NA	promoter-TSS (STON2)	NA	-315	STON2								
Interval_834	chr3	49238460	49238740	+	0	NA	intron (CCDC36, intron 3 of 7)	NA	-35520	MIR4271								
Interval_667	chr2	151025040	151025333	+	0	NA	Intergenic	NA	236689	RBM43								
Interval_668	chr2	156401054	156401359	+	0	NA	promoter-TSS (TRNAG19)	NA	11	TRNAG19								
Interval_179	chr10	127433867	127434270	+	0	NA	intron (DOCK1, intron 48 of 51)	NA	-115281	NPS								
Interval_101	chr1	201571137	201571461	+	0	NA	intron (NAV1, intron 1 of 31)	NA	51395	RPS10P7								
Interval_245	chr11	118484194	118484296	+	0	NA	exon (KMT2A, exon 9 of 36)	NA	-43250	TTC36								
Interval_1293	chr8	124247414	124247720	+	0	NA	promoter-TSS (RP11-37N22.1)	NA	-169	RP11-37N22.1								
Interval_1186	chr7	120951066	120951398	+	0	NA	exon (ING3, exon 2 of 5)	NA	469	ING3								
Interval_217	chr11	65766617	65766925	+	0	NA	Intergenic	NA	13820	AP5B1								
Interval_39	chr1	89464076	89464312	+	0	NA	Intergenic	NA	56515	GBP1P1								
Interval_500	chr17	56919099	56919294	+	0	NA	Intergenic	NA	-5148	TRIM25								
Interval_800	chr22_KI270733v1_random	150071	150211	+	0	NA	Intergenic	NA	9960	LOC102724621								
Interval_606	chr1_KI270709v1_random	7503	7586	+	0	NA	NA	NA	NA	NA								
Interval_138	chr10	27433905	27434240	+	0	NA	Intergenic	NA	-19704	PTCHD3								
Interval_358	chr14	103198739	103199155	+	0	NA	Intergenic	NA	-9919	LINC00605								
Interval_610	chr2	12008832	12009059	+	0	NA	intron (AC096559.1, intron 2 of 5)	NA	1829	AC096559.1								
Interval_369	chr14_KI270725v1_random	100481	100676	+	0	NA	NA	NA	NA	NA								
Interval_770	chr21	45814411	45815377	+	0	NA	Intergenic	NA	21525	AL592528.1								
Interval_1094	chr6	76174505	76174846	+	0	NA	Intergenic	NA	-101997	IMPG1								
Interval_883	chr3	187968857	187969164	+	0	NA	Intergenic	NA	-184865	LPP								
Interval_857	chr3	124878758	124879170	+	0	NA	intron (ITGB5, intron 1 of 13)	NA	8689	ITGB5								
Interval_797	chr22_KI270733v1_random	148774	148908	+	0	NA	Intergenic	NA	11260	LOC102724621								
Interval_646	chr2	102234282	102234520	+	0	NA	intron (IL1RL2, intron 8 of 8)	NA	47087	IL1RL2								
Interval_1033	chr5	125860709	125861090	+	0	NA	Intergenic	NA	-318678	LOC102546228								
Interval_700	chr2	237064953	237065233	+	0	NA	Intergenic	NA	-8926	AC105760.3								
Interval_377	chr15	55106256	55106489	+	0	NA	Intergenic	NA	90661	RSL24D1								
Interval_383	chr15	67720552	67720825	+	0	NA	intron (MAP2K5, intron 16 of 20)	NA	-99016	SKOR1								
Interval_1337	chr9	64455257	64455468	+	0	NA	Intergenic	NA	-9177	LOC102724314								
Interval_591	chr19	46555884	46556256	+	0	NA	intron (PPP5D1, intron 1 of 3)	NA	45130	PPP5D1								
Interval_1151	chr7	35380841	35381037	+	0	NA	Intergenic	NA	67084	LOC401324								
Interval_33	chr1	78004211	78004485	+	0	NA	promoter-TSS (DNAJB4)	NA	-604	DNAJB4								
Interval_880	chr3	179969485	179969820	+	0	NA	intron (PEX5L, intron 1 of 14)	NA	67401	PEX5L								
Interval_43	chr1	96362656	96362895	+	0	NA	intron (RP5-898J17.1, intron 1 of 5)	NA	11350	RP5-898J17.1								
Interval_455	chr16	57300338	57300719	+	0	NA	promoter-TSS (TRNAL11)	NA	34	TRNAL11								
Interval_577	chr19	33177099	33177285	+	0	NA	TTS (WDR88)	NA	135	TRNAT4								
Interval_181	chr11	269535	269752	+	0	NA	Intergenic	NA	-8927	NLRP6								
Interval_553	chr18	74524206	74524563	+	0	NA	TTS (CNDP2)	NA	-10073	CNDP1								
Interval_659	chr2	137969341	137969664	+	0	NA	intron (HNMT, intron 1 of 2)	NA	5264	HNMT								
Interval_60	chr1	124370218	124370292	+	0	NA	Intergenic	NA	2851143	EMBP1								
Interval_376	chr15	54150368	54150726	+	0	NA	intron (UNC13C, intron 4 of 32)	NA	172185	UNC13C								
Interval_1130	chr6	161406603	161407052	+	0	NA	intron (PARK2, intron 8 of 10)	NA	-132766	AGPAT4								
Interval_334	chr14	20935671	20935959	+	0	NA	Intergenic	NA	16474	ECRP								
Interval_423	chr16	34582932	34583241	+	0	NA	Intergenic	NA	151094	LOC102724523								
Interval_762	chr21	29217873	29218058	+	0	NA	intron (LINC00189, intron 1 of 1)	NA	24471	LINC00189								
Interval_1222	chr8	33867147	33867340	+	0	NA	Intergenic	NA	-267215	DUSP26								
Interval_1268	chr8	99498514	99498844	+	0	NA	intron (VPS13B, intron 25 of 61)	NA	37991	MIR599								
Interval_658	chr2	137968899	137969219	+	0	NA	intron (HNMT, intron 1 of 2)	NA	4821	HNMT								
Interval_230	chr11	103878657	103878928	+	0	NA	Intergenic	NA	28841	MIR4693								
Interval_1001	chr5	50717765	50718002	+	0	NA	intron (PARP8, intron 3 of 26)	NA	51984	PARP8								
Interval_206	chr11	45826529	45826858	+	0	NA	Intergenic	NA	-20713	CRY2								
Interval_877	chr3	171838263	171838708	+	0	NA	Intergenic	NA	-4864	TMEM212								
Interval_537	chr18	51211567	51211777	+	0	NA	Intergenic	NA	-13991	MEX3C								
Interval_1416	chrX	156030567	156030758	+	0	NA	Intergenic	NA	33081	IL9R								
Interval_426	chr16	34588214	34588289	+	0	NA	Intergenic	NA	156259	LOC102724523								
Interval_390	chr15	78453437	78453652	+	0	NA	intron (IREB2, intron 2 of 21)	NA	15368	IREB2								
Interval_688	chr2	207683898	207684288	+	0	NA	Intergenic	NA	15888	LOC102724714								
Interval_913	chr4	49097821	49098113	+	0	NA	Intergenic	NA	-63365	LOC101927209								
Interval_890	chr3	196776040	196776299	+	0	NA	intron (PAK2, intron 1 of 14)	NA	8917	RNU6-42P								
Interval_1065	chr6	14355235	14355548	+	0	NA	Intergenic	NA	-69937	LINC01108								
Interval_329	chr13	87124030	87124430	+	0	NA	Intergenic	NA	494510	MIR4500								
Interval_307	chr13	17764921	17765105	+	0	NA	Intergenic	NA	-430284	FAM230C								
Interval_112	chr1	224430541	224430781	+	0	NA	intron (WDR26, intron 3 of 13)	NA	-3443	LOC101928291								
Interval_690	chr2	215728726	215728937	+	0	NA	intron (LINC00607, intron 5 of 9)	NA	50647	LOC102724861								
Interval_170	chr10	101071280	101071690	+	0	NA	Intergenic	NA	9704	KAZALD1								
Interval_1389	chrUn_KI270438v1	104054	104370	+	0	NA	NA	NA	NA	NA								
Interval_1350	chr9	111109156	111109374	+	0	NA	Intergenic	NA	-71180	LPAR1								
Interval_634	chr2	64750874	64751063	+	0	NA	promoter-TSS (SERTAD2)	NA	-97056	SERTAD2								
Interval_306	chr13	17752018	17752208	+	0	NA	Intergenic	NA	-443184	FAM230C								
Interval_555	chr18	79071596	79071913	+	0	NA	intron (ATP9B, intron 1 of 26)	NA	2360	ATP9B								
Interval_1168	chr7	76008967	76009167	+	0	NA	intron (STYXL1, intron 5 of 8)	NA	-14393	TMEM120A								
Interval_148	chr10	44978712	44978956	+	0	NA	promoter-TSS (C10orf10)	NA	48	C10orf10								
Interval_1280	chr8	109896271	109896559	+	0	NA	Intergenic	NA	78315	KCNV1								
Interval_1292	chr8	122595861	122596094	+	0	NA	Intergenic	NA	-185685	ZHX2								
Interval_1092	chr6	73232075	73232522	+	0	NA	intron (LOC102724032, intron 1 of 2)	NA	513	LOC102724032								
Interval_1185	chr7	116610319	116610574	+	0	NA	Intergenic	NA	-9614	LOC100996266								
Interval_896	chr4	7655467	7655937	+	0	NA	intron (SORCS2, intron 5 of 26)	NA	-98388	AFAP1-AS1								
Interval_1250	chr8	76545827	76546110	+	0	NA	Intergenic	NA	-135312	ZFHX4								
Interval_999	chr5	49660980	49661104	+	0	NA	Intergenic	NA	780358	EMB								
Interval_849	chr3	112967876	112968160	+	0	NA	intron (CD200R1, intron 1 of 3)	NA	7104	CD200R1								
Interval_252	chr11	128039502	128040013	+	0	NA	Intergenic	NA	482553	ETS1								
Interval_167	chr10	90461775	90462083	+	0	NA	intron (RP11-15K3.1, intron 2 of 6)	NA	78876	RP11-15K3.1								
Interval_782	chr22	28670250	28670512	+	0	NA	intron (TTC28, intron 1 of 21)	NA	9484	TTC28								
Interval_286	chr12	100576740	100577021	+	0	NA	intron (GAS2L3, intron 1 of 8)	NA	3197	GAS2L3								
Interval_1258	chr8	89130957	89131392	+	0	NA	Intergenic	NA	485984	RP11-37B2.1								
Interval_421	chr16	34582217	34582448	+	0	NA	Intergenic	NA	150340	LOC102724523								
Interval_818	chr3	22713881	22714367	+	0	NA	Intergenic	NA	-489169	UBE2E2								
Interval_1256	chr8	85774118	85774397	+	0	NA	TTS (REXO1L2P)	NA	1836	REXO1L2P								
Interval_1037	chr5	139058099	139058388	+	0	NA	intron (SIL1, intron 3 of 9)	NA	140133	SIL1								
Interval_1006	chr5	58235441	58235740	+	0	NA	Intergenic	NA	-113249	LOC101928569								
Interval_909	chr4	47174031	47174218	+	0	NA	intron (GABRB1, intron 4 of 8)	NA	142846	GABRB1								
Interval_154	chr10	61486877	61487104	+	0	NA	intron (RP11-809M12.1, intron 5 of 5)	NA	-33752	TMEM26								
Interval_203	chr11	44104882	44105259	+	0	NA	intron (EXT2, intron 1 of 13)	NA	9521	EXT2								
Interval_1385	chrUn_KI270333v1	1077	1238	+	0	NA	NA	NA	NA	NA								
Interval_1194	chr7	153864002	153864236	+	0	NA	intron (DPP6, intron 1 of 25)	NA	-188573	DPP6								
Interval_966	chr4	143939591	143939850	+	0	NA	intron (RP11-673E1.1, intron 3 of 6)	NA	27389	RP11-673E1.1								
Interval_1388	chrUn_KI270438v1	103644	103833	+	0	NA	NA	NA	NA	NA								
Interval_907	chr4	35643692	35644063	+	0	NA	Intergenic	NA	402136	LOC101928667								
Interval_1209	chr8	18839651	18840153	+	0	NA	intron (PSD3, intron 3 of 14)	NA	-16719	PSD3								
Interval_1282	chr8	115451332	115451853	+	0	NA	intron (TRPS1, intron 4 of 5)	NA	217409	TRPS1								
Interval_463	chr16	83689260	83689674	+	0	NA	intron (CDH13, intron 10 of 13)	NA	116660	LOC102724163								
Interval_805	chr3	5126715	5126898	+	0	NA	intron (ARL8B, intron 1 of 6)	NA	4514	ARL8B								
Interval_1129	chr6	159013311	159013622	+	0	NA	Intergenic	NA	-13074	RSPH3								
Interval_617	chr2	27050777	27051035	+	0	NA	promoter-TSS (AGBL5)	NA	124	TRNAY4								
Interval_671	chr2	158214418	158214669	+	0	NA	intron (CCDC148-AS1, intron 4 of 4)	NA	47893	CCDC148-AS1								
Interval_121	chr1	241310586	241310769	+	0	NA	intron (RGS7, intron 2 of 15)	NA	46553	RGS7								
Interval_1285	chr8	119200773	119201007	+	0	NA	Intergenic	NA	-7481	MAL2								
Interval_779	chr22	17359588	17359827	+	0	NA	Intergenic	NA	-92974	CECR3								
Interval_434	chr16	46386886	46387424	+	0	NA	Intergenic	NA	181942	ANKRD26P1								
Interval_790	chr22_KI270733v1_random	138380	138487	+	0	NA	Intergenic	NA	21668	LOC102724621								
Interval_1334	chr9	37290864	37291190	+	0	NA	intron (ZCCHC7, intron 2 of 8)	NA	-131669	GRHPR								
Interval_362	chr14_GL000225v1_random	70860	70932	+	0	NA	Intergenic	NA	34607	LOC100287823								
Interval_1343	chr9	101530150	101530333	+	0	NA	Intergenic	NA	-3608	RNF20								
Interval_517	chr18	110291	110506	+	0	NA	intron (ROCK1P1, intron 1 of 4)	NA	1333	ROCK1P1								
Interval_102	chr1	206102429	206102689	+	0	NA	TTS (C1orf186)	NA	14489	AVPR1B								
Interval_704	chr20	1392833	1393029	+	0	NA	promoter-TSS (MIR6869)	NA	-7	MIR6869								
Interval_296	chr12	118399084	118399373	+	0	NA	intron (SUDS3, intron 6 of 11)	NA	22675	SUDS3								
Interval_1156	chr7	45021737	45021996	+	0	NA	intron (CCM2, intron 1 of 8)	NA	21678	CCM2								
Interval_1296	chr8	125191701	125192363	+	0	NA	intron (NSMCE2, intron 5 of 7)	NA	65698	LOC102723524								
Interval_628	chr2	47487090	47487537	+	0	NA	intron (MSH2, intron 15 of 15)	NA	83018	KCNK12								
Interval_1369	chrM	7199	7315	+	0	NA	promoter-TSS (TRND)	NA	257	TRNS1								
Interval_950	chr4	109811787	109812034	+	0	NA	Intergenic	NA	-3600	GAR1								
Interval_870	chr3	151875752	151876089	+	0	NA	intron (SUCNR1, intron 1 of 2)	NA	2277	SUCNR1								
Interval_1277	chr8	106736333	106736756	+	0	NA	intron (OXR1, intron 1 of 5)	NA	33700	ABRA								
Interval_969	chr4	150348141	150348328	+	0	NA	intron (LRBA, intron 48 of 56)	NA	-233691	MAB21L2								
Interval_638	chr2	81645729	81646074	+	0	NA	Intergenic	NA	97182	LOC102724542								
Interval_858	chr3	125125724	125126219	+	0	NA	intron (SLC12A8, intron 5 of 12)	NA	25581	MIR5092								
Interval_981	chr5	2836169	2836454	+	0	NA	Intergenic	NA	84163	C5orf38								
Interval_851	chr3	119570341	119570550	+	0	NA	Intergenic	NA	-9231	ADPRH								
Interval_379	chr15	56043621	56043937	+	0	NA	Intergenic	NA	-50033	NEDD4								
Interval_335	chr14	21263274	21263725	+	0	NA	intron (HNRNPC, intron 1 of 8)	NA	5980	HNRNPC								
Interval_239	chr11	118471659	118474316	+	0	NA	exon (KMT2A, exon 3 of 36)	NA	34895	LOC101929115								
Interval_1101	chr6	106135188	106135456	+	0	NA	Intergenic	NA	38723	PRDM1								
Interval_207	chr11	50187213	50187431	+	0	NA	Intergenic	NA	111140	LOC441601								
Interval_1113	chr6	125780102	125780379	+	0	NA	promoter-TSS (NCOA7)	NA	78	TRNAE19								
Interval_953	chr4	117777875	117778191	+	0	NA	Intergenic	NA	50123	LOC102723914								
Interval_945	chr4	83369803	83370223	+	0	NA	Intergenic	NA	-34860	HPSE								
Interval_1401	chrUn_KI270467v1	1934	3552	+	0	NA	NA	NA	NA	NA								
Interval_970	chr4	151887303	151887705	+	0	NA	Intergenic	NA	22515	LOC102724700								
Interval_94	chr1	184163676	184163971	+	0	NA	Intergenic	NA	50149	LOC102724846								
Interval_902	chr4	21090213	21090428	+	0	NA	intron (KCNIP4, intron 1 of 8)	NA	-106311	KCNIP4								
Interval_1051	chr5	165188967	165189162	+	0	NA	Intergenic	NA	718785	LOC102546299								
Interval_1235	chr8	52806075	52806478	+	0	NA	Intergenic	NA	-133632	NPBWR1								
Interval_563	chr19	6425003	6425332	+	0	NA	promoter-TSS (KHSRP)	NA	-384	KHSRP								
Interval_633	chr2	60460379	60460712	+	0	NA	exon (BCL11A, exon 4 of 4)	NA	-58428	LOC102724142								
Interval_746	chr21	9900227	9900514	+	0	NA	Intergenic	NA	-79309	MGC39584								
Interval_398	chr15	90097582	90097880	+	0	NA	intron (IDH2, intron 1 of 10)	NA	4745	IDH2								
Interval_721	chr20	31053643	31053843	+	0	NA	Intergenic	NA	-203921	DEFB115								
Interval_3	chr1	8121350	8121734	+	0	NA	Intergenic	NA	-81222	LOC102724539								
Interval_573	chr19	17970025	17970413	+	0	NA	intron (KCNN1, intron 1 of 9)	NA	18917	KCNN1								
Interval_1136	chr6	170400070	170400332	+	0	NA	TTS (LOC101929670)	NA	2799	LOC101929670								
Interval_551	chr18	70381587	70381799	+	0	NA	exon (RP11-41O4.2, exon 3 of 3)	NA	2898	RP11-41O4.2								
Interval_143	chr10	41875404	41875473	+	0	NA	Intergenic	NA	-367085	LOC101929373								
Interval_310	chr13	19713567	19713957	+	0	NA	intron (PSPC1, intron 7 of 9)	NA	69224	PSPC1								
Interval_466	chr16	85838490	85838715	+	0	NA	Intergenic	NA	38906	COX4I1								
Interval_1273	chr8	101809724	101810052	+	0	NA	intron (NCALD, intron 4 of 7)	NA	314446	NCALD								
Interval_140	chr10	31142078	31142511	+	0	NA	Intergenic	NA	-45589	LOC101929352								
Interval_211	chr11	59615902	59616218	+	0	NA	promoter-TSS (LOC101927226)	NA	84	OSBP								
Interval_13	chr1	25624315	25624550	+	0	NA	intron (MAN1C1, intron 1 of 11)	NA	-62009	MAN1C1								
Interval_965	chr4	139975841	139976290	+	0	NA	intron (MAML3, intron 1 of 4)	NA	-82920	LOC101927544								
Interval_459	chr16	75468785	75468968	+	0	NA	Intergenic	NA	-4190	TMEM170A								
Interval_88	chr1	175573453	175573820	+	0	NA	intron (TNR, intron 1 of 22)	NA	16648	LOC101928727								
Interval_1302	chr8	132895616	132895889	+	0	NA	intron (TG, intron 11 of 47)	NA	28835	TG								
Interval_1214	chr8	25385259	25385638	+	0	NA	intron (DOCK5, intron 40 of 51)	NA	39592	GNRH1								
Interval_1237	chr8	53944996	53945265	+	0	NA	intron (RGS20, intron 3 of 5)	NA	77326	TCEA1								
Interval_796	chr22_KI270733v1_random	148242	148329	+	0	NA	Intergenic	NA	11816	LOC102724621								
Interval_410	chr16	22660752	22660943	+	0	NA	Intergenic	NA	115149	LOC653786								
Interval_84	chr1	169312320	169312523	+	0	NA	intron (NME7, intron 1 of 9)	NA	-55535	BLZF1								
Interval_1378	chrUn_GL000219v1	114360	114566	+	0	NA	Intergenic	NA	-14821	LOC283788								
Interval_637	chr2	70916321	70916671	+	0	NA	intron (VAX2, intron 1 of 2)	NA	15896	VAX2								
Interval_562	chr19	4723942	4724155	+	0	NA	promoter-TSS (DPP9)	NA	-22	TRNAG3								
Interval_228	chr11	100681103	100681639	+	0	NA	Intergenic	NA	-6305	ARHGAP42								
Interval_105	chr1	218846347	218846600	+	0	NA	Intergenic	NA	327315	RP11-135J2.4								
Interval_546	chr18	63878682	63878949	+	0	NA	Intergenic	NA	-8890	SERPINB2								
Interval_1281	chr8	113497551	113497784	+	0	NA	Intergenic	NA	-60654	CSMD3								
Interval_1267	chr8	96861320	96861531	+	0	NA	intron (CPQ, intron 4 of 8)	NA	216198	CPQ								
Interval_1394	chrUn_KI270438v1	109554	109868	+	0	NA	NA	NA	NA	NA								
Interval_34	chr1	78911987	78912225	+	0	NA	intron (ELTD1, intron 12 of 14)	NA	94704	ELTD1								
Interval_1020	chr5	91314389	91314627	+	0	NA	promoter-TSS (LUCAT1)	NA	-106	LUCAT1								
Interval_763	chr21	29656696	29657111	+	0	NA	intron (GRIK1, intron 4 of 15)	NA	60863	GRIK1-AS2								
Interval_725	chr20	32067236	32067491	+	0	NA	intron (HCK, intron 2 of 13)	NA	15175	HCK								
Interval_1196	chr8	3697524	3697755	+	0	NA	intron (CSMD1, intron 7 of 69)	NA	-969271	RP11-134O21.1								
Interval_391	chr15	79971060	79971444	+	0	NA	promoter-TSS (BCL2A1)	NA	49	BCL2A1								
Interval_1021	chr5	97534266	97534584	+	0	NA	intron (LOC102546227, intron 2 of 3)	NA	29729	LOC102546227								
Interval_681	chr2	191377240	191377677	+	0	NA	intron (MYO1B, intron 13 of 30)	NA	129500	MYO1B								
Interval_416	chr16	34571728	34571960	+	0	NA	Intergenic	NA	139852	LOC102724523								
Interval_556	chr19	351712	351895	+	0	NA	Intergenic	NA	-7012	MIER2								
Interval_657	chr2	137173647	137174021	+	0	NA	intron (THSD7B, intron 6 of 26)	NA	182942	THSD7B								
Interval_693	chr2	225458756	225459180	+	0	NA	intron (NYAP2, intron 2 of 5)	NA	58082	NYAP2								
Interval_303	chr13	16709063	16709141	+	0	NA	Intergenic	NA	-1486195	FAM230C								
Interval_494	chr17	46178863	46179139	+	0	NA	intron (KANSL1, intron 2 of 15)	NA	-14572	KANSL1-AS1								
Interval_568	chr19	9059344	9059535	+	0	NA	Intergenic	NA	-33806	OR1M1								
Interval_758	chr21	20308721	20309111	+	0	NA	Intergenic	NA	494192	LINC00320								
Interval_569	chr19	9927518	9927857	+	0	NA	intron (OLFM2, intron 1 of 5)	NA	-13982	OLFM2								
Interval_1139	chr7	2873245	2873488	+	0	NA	Intergenic	NA	11507	LOC102723871								
Interval_162	chr10	77246100	77246307	+	0	NA	intron (KCNMA1, intron 3 of 17)	NA	105438	RP11-180I22.2								
Interval_892	chr4	1579959	1580511	+	0	NA	exon (LOC100507054, exon 1 of 2)	NA	281	LOC100507054								
Interval_400	chr15	96720223	96720632	+	0	NA	Intergenic	NA	61227	SPATA8-AS1								
Interval_1188	chr7	133689004	133689312	+	0	NA	intron (EXOC4, intron 10 of 17)	NA	398277	MIR6133								
Interval_621	chr2	32916206	32916310	+	0	NA	intron (LINC00486, intron 5 of 5)	NA	-10869	AL121656.5								
Interval_889	chr3	196150000	196150266	+	0	NA	intron (LINC00885, intron 2 of 2)	NA	7497	LINC00885								
Interval_489	chr17	31314191	31314460	+	0	NA	promoter-TSS (EVI2B)	NA	-225	EVI2B								
Interval_619	chr2	27954862	27955489	+	0	NA	intron (BRE, intron 4 of 13)	NA	-41192	MIR4263								
Interval_567	chr19	7829807	7830137	+	0	NA	promoter-TSS (EVI5L)	NA	-16528	EVI5L								
Interval_111	chr1	224334012	224334265	+	0	NA	Intergenic	NA	-3966	NVL								
Interval_493	chr17	46139453	46139792	+	0	NA	intron (KANSL1, intron 3 of 15)	NA	-53951	KANSL1-AS1								
Interval_1110	chr6	122664042	122664339	+	0	NA	intron (PKIB, intron 1 of 4)	NA	-115360	FABP7								
Interval_304	chr13	17390257	17390325	+	0	NA	Intergenic	NA	-805006	FAM230C								
Interval_660	chr2	143451735	143451918	+	0	NA	intron (ARHGAP15, intron 8 of 13)	NA	-151522	LOC101928361								
Interval_1257	chr8	86036763	86037180	+	0	NA	Intergenic	NA	32651	PSKH2								
Interval_709	chr20	10004231	10004450	+	0	NA	intron (LOC101929371, intron 1 of 1)	NA	18007	LOC101929371								
Interval_287	chr12	101857088	101857442	+	0	NA	Intergenic	NA	-20177	DRAM1								
Interval_677	chr2	176495011	176495229	+	0	NA	Intergenic	NA	105932	MIR1246								
Interval_1373	chrM	16060	16149	+	0	NA	promoter-TSS (TRNP)	NA	-81	TRNP								
Interval_231	chr11	104198655	104198838	+	0	NA	Intergenic	NA	-34447	PDGFD								
Interval_442	chr16	46395038	46395108	+	0	NA	Intergenic	NA	174024	ANKRD26P1								
Interval_1016	chr5	80866569	80866820	+	0	NA	intron (MSH3, intron 22 of 23)	NA	-93978	RASGRF2								
Interval_1412	chrX	95760427	95760693	+	0	NA	Intergenic	NA	577342	LOC643486								
Interval_106	chr1	221097801	221098066	+	0	NA	intron (LOC101929750, intron 2 of 2)	NA	20095	LOC101929750								
Interval_976	chr4	173252471	173252693	+	0	NA	intron (GALNT7, intron 2 of 11)	NA	-15587	MIR548T								
Interval_478	chr17	23016266	23016338	+	0	NA	Intergenic	NA	-493116	LOC102723754								
Interval_1395	chrUn_KI270438v1	110491	110572	+	0	NA	NA	NA	NA	NA								
Interval_684	chr2	199458105	199458472	+	0	NA	promoter-TSS (SATB2)	NA	6820	SATB2								
Interval_1010	chr5	69484976	69485166	+	0	NA	intron (LOC101928924, intron 1 of 1)	NA	541	LOC101928924								
Interval_501	chr17	57541892	57542179	+	0	NA	intron (MSI2, intron 7 of 12)	NA	-18438	RP11-118E18.2								
Interval_1210	chr8	19209391	19209590	+	0	NA	intron (RP11-1080G15.1, intron 3 of 4)	NA	36032	RP11-1080G15.1								
Interval_457	chr16	72927744	72927941	+	0	NA	intron (ZFHX3, intron 2 of 8)	NA	-120063	LOC102723853								
Interval_371	chr15	41215644	41216008	+	0	NA	exon (EXD1, exon 4 of 10)	NA	14917	EXD1								
Interval_1180	chr7	102874065	102874499	+	0	NA	intron (FBXL13, intron 11 of 14)	NA	-38718	LRRC17								
Interval_1070	chr6	22302893	22303145	+	0	NA	promoter-TSS (PRL)	NA	-166	PRL								
Interval_578	chr19	38214427	38214610	+	0	NA	intron (DPF1, intron 8 of 10)	NA	15100	DPF1								
Interval_1363	chr9	137328266	137328560	+	0	NA	intron (EXD3, intron 10 of 14)	NA	-26162	NRARP								
Interval_51	chr1	116535857	116536182	+	0	NA	exon (CD58, exon 3 of 6)	NA	24092	MIR548AC								
Interval_431	chr16	34591971	34592204	+	0	NA	Intergenic	NA	160095	LOC102724523								
Interval_48	chr1	109084030	109084228	+	0	NA	Intergenic	NA	-6652	TMEM167B								
Interval_409	chr16	22297113	22297393	+	0	NA	promoter-TSS (POLR3E)	NA	113	TRNAL27								
Interval_243	chr11	118481702	118482100	+	0	NA	promoter-TSS (KMT2A)	NA	43809	LOC101929115								
Interval_992	chr5	40486486	40487370	+	0	NA	Intergenic	NA	-194023	PTGER4								
Interval_1341	chr9	91516974	91517238	+	0	NA	Intergenic	NA	-29810	LOC101927916								
Interval_519	chr18	485188	485527	+	0	NA	intron (COLEC12, intron 1 of 9)	NA	15366	COLEC12								
Interval_1206	chr8	14358294	14358520	+	0	NA	intron (SGCZ, intron 2 of 7)	NA	495097	MIR383								
Interval_507	chr17	69047636	69047866	+	0	NA	intron (ABCA9, intron 4 of 39)	NA	13244	ABCA9								
Interval_1063	chr6	10082327	10082524	+	0	NA	intron (OFCC1, intron 2 of 11)	NA	129183	OFCC1								
Interval_212	chr11	60476904	60477327	+	0	NA	Intergenic	NA	-15598	MS4A12								
Interval_775	chr22	11317783	11317974	+	0	NA	Intergenic	NA	-372873	LOC102723780								
Interval_1012	chr5	73160235	73160539	+	0	NA	Intergenic	NA	-12833	TMEM174								
Interval_178	chr10	127148807	127149135	+	0	NA	intron (FAM196A, intron 3 of 3)	NA	47201	FAM196A								
Interval_164	chr10	84156866	84157118	+	0	NA	Intergenic	NA	15084	LOC642934								
Interval_2	chr1	8047898	8048214	+	0	NA	Intergenic	NA	-21748	ERRFI1								
Interval_337	chr14	31229564	31230071	+	0	NA	Intergenic	NA	-22334	HECTD1								
Interval_801	chr22_KI270733v1_random	150462	150563	+	0	NA	Intergenic	NA	9589	LOC102724621								
Interval_366	chr14_GL000225v1_random	131696	131788	+	0	NA	Intergenic	NA	95453	LOC100287823								
Interval_378	chr15	56038184	56038375	+	0	NA	Intergenic	NA	-44533	NEDD4								
Interval_374	chr15	51846479	51846852	+	0	NA	intron (TMOD3, intron 1 of 9)	NA	11625	TMOD3								
Interval_933	chr4	49711507	49711695	+	0	NA	Intergenic	NA	-222277	LOC101060532								
Interval_1086	chr6	63211583	63211798	+	0	NA	Intergenic	NA	108287	LGSN								
Interval_265	chr12	32374086	32374430	+	0	NA	intron (BICD1, intron 8 of 8)	NA	-226176	FGD4								
