PeakID (cmd=annotatePeaks.pl IRF2BP2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_5652	chr2	223465778	223466053	+	0	NA	Intergenic	NA	136584	SCG2								
Interval_8480	chr7	87152300	87152850	+	0	NA	promoter-TSS (DMTF1)	NA	21	DMTF1								
Interval_4711	chr19	18588666	18588843	+	0	NA	promoter-TSS (C19orf60)	NA	69	C19orf60								
Interval_4200	chr18	44548613	44548809	+	0	NA	Intergenic	NA	-17014	LOC101927921								
Interval_9654	chrM	1280	1993	+	0	NA	promoter-TSS (TRNV)	NA	34	TRNV								
Interval_1552	chr11	46639423	46639605	+	0	NA	intron (ATG13, intron 1 of 17)	NA	22238	ATG13								
Interval_3241	chr16	29290964	29291202	+	0	NA	Intergenic	NA	-11204	SNX29P2								
Interval_3362	chr16	66873234	66873439	+	0	NA	Intergenic	NA	-7195	PDP2								
Interval_4336	chr19	680435	680811	+	0	NA	intron (FSTL3, intron 3 of 4)	NA	4234	FSTL3								
Interval_8376	chr7	44200846	44200987	+	0	NA	promoter-TSS (YKT6)	NA	-52	YKT6								
Interval_7458	chr5	95861453	95861631	+	0	NA	Intergenic	NA	9310	C5orf27								
Interval_549	chr1	124562355	124562563	+	0	NA	Intergenic	NA	3043347	EMBP1								
Interval_7421	chr5	76733138	76733280	+	0	NA	exon (F2R, exon 2 of 2)	NA	17166	F2R								
Interval_7541	chr5	135481443	135481735	+	0	NA	Intergenic	NA	-29190	TIFAB								
Interval_6677	chr3	105626846	105627055	+	0	NA	Intergenic	NA	242093	CBLB								
Interval_5541	chr2	173043605	173043788	+	0	NA	intron (RAPGEF4, intron 23 of 24)	NA	-32141	ZAK								
Interval_2866	chr15	56733521	56733723	+	0	NA	exon (ZNF280D, exon 1 of 15)	NA	459	ZNF280D								
Interval_8945	chr8	67064275	67064607	+	0	NA	promoter-TSS (CSPP1)	NA	88	CSPP1								
Interval_2668	chr14	78007335	78007487	+	0	NA	Intergenic	NA	-162962	NRXN3								
Interval_2538	chr14	50363898	50364069	+	0	NA	intron (CDKL1, intron 11 of 19)	NA	31941	CDKL1								
Interval_1512	chr11	33257464	33257935	+	0	NA	promoter-TSS (HIPK3)	NA	377	HIPK3								
Interval_8273	chr7	4641704	4642138	+	0	NA	Intergenic	NA	-40378	FOXK1								
Interval_8471	chr7	77824407	77824660	+	0	NA	intron (PHTF2, intron 1 of 18)	NA	25690	PHTF2								
Interval_5616	chr2	207632852	207633068	+	0	NA	Intergenic	NA	-8007	METTL21A								
Interval_169	chr1	25022442	25022990	+	0	NA	promoter-TSS (MIR4425)	NA	-787	MIR4425								
Interval_2975	chr15	74842972	74843225	+	0	NA	promoter-TSS (ULK3)	NA	248	ULK3								
Interval_4594	chr19	13792324	13792527	+	0	NA	Intergenic	NA	-3035	ZSWIM4								
Interval_8669	chr8	2021482	2022135	+	0	NA	Intergenic	NA	-23235	MYOM2								
Interval_8087	chr6	109382730	109383235	+	0	NA	promoter-TSS (CD164)	NA	-423	CD164								
Interval_2267	chr12	121190501	121190833	+	0	NA	Intergenic	NA	-19194	P2RX4								
Interval_213	chr1	27885705	27885905	+	0	NA	intron (THEMIS2, intron 5 of 5)	NA	13262	THEMIS2								
Interval_7173	chr4	109990652	109991099	+	0	NA	intron (EGF, intron 18 of 19)	NA	-1450	RNU6-35P								
Interval_5542	chr2	173048942	173049109	+	0	NA	intron (RAPGEF4, intron 24 of 24)	NA	-26812	ZAK								
Interval_2667	chr14	78005455	78005595	+	0	NA	Intergenic	NA	-164848	NRXN3								
Interval_7058	chr4	49108314	49108505	+	0	NA	Intergenic	NA	-52923	LOC101927209								
Interval_6859	chr3	183370888	183371109	+	0	NA	intron (MCF2L2, intron 3 of 29)	NA	57271	MCF2L2								
Interval_367	chr1	56425233	56425499	+	0	NA	Intergenic	NA	-14490	LOC102724140								
Interval_7155	chr4	99894386	99894646	+	0	NA	promoter-TSS (LAMTOR3)	NA	30	LAMTOR3								
Interval_1766	chr11	78416899	78417224	+	0	NA	intron (GAB2, intron 1 of 10)	NA	12878	RP11-452H21.4								
Interval_3936	chr17	68237293	68237726	+	0	NA	intron (AMZ2, intron 1 of 4)	NA	-11568	AMZ2								
Interval_4547	chr19	11035977	11036146	+	0	NA	intron (SMARCA4, intron 27 of 32)	NA	-53301	LDLR								
Interval_4316	chr18	78539673	78540042	+	0	NA	Intergenic	NA	438591	LOC645321								
Interval_4023	chr17	78413066	78413472	+	0	NA	intron (PGS1, intron 7 of 9)	NA	34645	PGS1								
Interval_6123	chr21	35475788	35476007	+	0	NA	intron (LOC100506403, intron 1 of 2)	NA	104867	LOC100506403								
Interval_8881	chr8	53944845	53945314	+	0	NA	intron (RGS20, intron 2 of 4)	NA	77377	TCEA1								
Interval_7043	chr4	40307759	40307973	+	0	NA	intron (LOC101930098, intron 2 of 3)	NA	-8619	LOC101060498								
Interval_514	chr1	120354818	120355142	+	0	NA	Intergenic	NA	14163	LOC101929786								
Interval_9367	chr9	34458525	34458797	+	0	NA	promoter-TSS (DNAI1)	NA	-91	FAM219A								
Interval_7636	chr5	169874729	169874882	+	0	NA	intron (FAM196B, intron 3 of 3)	NA	105935	FAM196B								
Interval_6544	chr3	43709154	43709347	+	0	NA	intron (ABHD5, intron 3 of 6)	NA	18367	ABHD5								
Interval_5290	chr2	65366572	65366942	+	0	NA	promoter-TSS (SPRED2)	NA	65880	SPRED2								
Interval_989	chr1	245056960	245057292	+	0	NA	intron (EFCAB2, intron 3 of 7)	NA	55005	EFCAB2								
Interval_930	chr1	229023715	229023868	+	0	NA	Intergenic	NA	232513	LOC102723935								
Interval_7782	chr6	13302835	13303313	+	0	NA	Intergenic	NA	-7488	RP1-257A7.4								
Interval_3592	chr17	8222499	8222704	+	0	NA	promoter-TSS (TRNAD17)	NA	-292	TRNAD17								
Interval_3517	chr17	2282416	2282679	+	0	NA	intron (SMG6, intron 8 of 8)	NA	21228	SMG6								
Interval_7491	chr5	115544635	115544936	+	0	NA	promoter-TSS (FEM1C)	NA	109	FEM1C								
Interval_4383	chr19	1855383	1855813	+	0	NA	intron (KLF16, intron 1 of 1)	NA	-7079	REXO1								
Interval_1728	chr11	70424239	70424497	+	0	NA	intron (CTTN, intron 12 of 13)	NA	25862	CTTN								
Interval_2340	chr12	132489505	132489700	+	0	NA	promoter-TSS (FBRSL1)	NA	-853	FBRSL1								
Interval_1033	chr10	22630638	22630946	+	0	NA	intron (PIP4K2A, intron 1 of 8)	NA	-75556	LOC101928970								
Interval_5233	chr2	46500229	46500464	+	0	NA	Intergenic	NA	20781	TMEM247								
Interval_2889	chr15	63610461	63610666	+	0	NA	intron (HERC1, intron 77 of 77)	NA	-9736	USP3-AS1								
Interval_5634	chr2	218568337	218568705	+	0	NA	promoter-TSS (RQCD1)	NA	-160	USP37								
Interval_6567	chr3	46228349	46228538	+	0	NA	Intergenic	NA	-13938	CCR3								
Interval_977	chr1	243730533	243730816	+	0	NA	intron (AKT3, intron 2 of 13)	NA	112910	AKT3								
Interval_663	chr1	154937151	154937456	+	0	NA	promoter-TSS (PMVK)	NA	-295	PMVK								
Interval_583	chr1	146376337	146376521	+	0	NA	Intergenic	NA	6328	TRNAN-GUU-5								
Interval_9673	chrUn_GL000219v1	42598	42729	+	0	NA	Intergenic	NA	56979	LOC283788								
Interval_9696	chrUn_KI270467v1	1149	1371	+	0	NA	NA	NA	NA	NA								
Interval_7410	chr5	71601740	71601922	+	0	NA	intron (MCCC2, intron 4 of 15)	NA	14445	MCCC2								
Interval_6026	chr20	62122098	62122470	+	0	NA	promoter-TSS (LSM14B)	NA	-176	LSM14B								
Interval_1683	chr11	65888441	65888761	+	0	NA	promoter-TSS (FIBP)	NA	-62	FIBP								
Interval_1145	chr10	69065368	69066063	+	0	NA	Intergenic	NA	-22357	SRGN								
Interval_904	chr1	223992524	223992791	+	0	NA	promoter-TSS (LOC101926980)	NA	-2108	LOC101926980								
Interval_4814	chr19	41859699	41859935	+	0	NA	promoter-TSS (RPS19)	NA	-101	RPS19								
Interval_1680	chr11	65780484	65780803	+	0	NA	promoter-TSS (AP5B1)	NA	-52	AP5B1								
Interval_6722	chr3	126472375	126472666	+	0	NA	intron (ZXDC, intron 1 of 8)	NA	3399	ZXDC								
Interval_1996	chr12	31733840	31733997	+	0	NA	Intergenic	NA	-4744	AMN1								
Interval_3977	chr17	75035173	75035401	+	0	NA	promoter-TSS (TRNAR20)	NA	174	TRNAR25								
Interval_5716	chr2	238287468	238287634	+	0	NA	intron (PER2, intron 1 of 22)	NA	1112	PER2								
Interval_1007	chr10	5291683	5291990	+	0	NA	Intergenic	NA	-73177	UCN3								
Interval_9441	chr9	97985142	97985277	+	0	NA	intron (ANP32B, intron 1 of 6)	NA	2002	ANP32B								
Interval_2677	chr14	84036873	84037377	+	0	NA	Intergenic	NA	-123092	LOC102724338								
Interval_9745	chrX	30643506	30643651	+	0	NA	Intergenic	NA	-9781	GK								
Interval_6324	chr22	39961006	39961137	+	0	NA	intron (GRAP2, intron 4 of 7)	NA	-33878	FAM83F								
Interval_7953	chr6	36680059	36680727	+	0	NA	intron (CDKN1A, intron 1 of 2)	NA	1683	CDKN1A								
Interval_1456	chr11	6648618	6648789	+	0	NA	intron (DCHS1, intron 2 of 21)	NA	7146	DCHS1								
Interval_6412	chr3	5196338	5196481	+	0	NA	intron (EDEM1, intron 2 of 9)	NA	8735	EDEM1								
Interval_1589	chr11	61369528	61369881	+	0	NA	TTS (TMEM138)	NA	-7405	CYB561A3								
Interval_8241	chr6	170553253	170553464	+	0	NA	promoter-TSS (PSMB1)	NA	-29	PSMB1								
Interval_5560	chr2	178414753	178414899	+	0	NA	intron (AC009948.5, intron 1 of 2)	NA	1167	AC009948.5								
Interval_3524	chr17	2401550	2402217	+	0	NA	promoter-TSS (MNT)	NA	-919	MNT								
Interval_5854	chr20	25324483	25324732	+	0	NA	intron (ABHD12, intron 2 of 10)	NA	66106	ABHD12								
Interval_1966	chr12	14770021	14770173	+	0	NA	TTS (HIST4H4)	NA	1034	HIST4H4								
Interval_7122	chr4	82891138	82891328	+	0	NA	promoter-TSS (SEC31A)	NA	28	SEC31A								
Interval_397	chr1	66929929	66930202	+	0	NA	promoter-TSS (MIER1)	NA	4701	MIER1								
Interval_4555	chr19	11317588	11317963	+	0	NA	intron (TSPAN16, intron 6 of 6)	NA	21636	TSPAN16								
Interval_4332	chr19	510618	510994	+	0	NA	intron (TPGS1, intron 1 of 1)	NA	3309	TPGS1								
Interval_6454	chr3	14371885	14372026	+	0	NA	Intergenic	NA	-19387	RP11-536I6.1								
Interval_3215	chr16	23641204	23641518	+	0	NA	promoter-TSS (DCTN5)	NA	-4	PALB2								
Interval_3502	chr17	1587131	1587391	+	0	NA	intron (SLC43A2, intron 9 of 14)	NA	-24445	PITPNA								
Interval_5047	chr19	56120541	56120822	+	0	NA	intron (ZNF787, intron 1 of 2)	NA	599	ZNF787								
Interval_6982	chr4	8191390	8191733	+	0	NA	Intergenic	NA	-7810	SH3TC1								
Interval_2338	chr12	132445979	132446361	+	0	NA	intron (LOC101928629, intron 4 of 4)	NA	28084	MUC8								
Interval_9299	chr9	5493599	5493767	+	0	NA	Intergenic	NA	-16829	PDCD1LG2								
Interval_7675	chr5	176448232	176448363	+	0	NA	promoter-TSS (FAF2)	NA	-58	FAF2								
Interval_4189	chr18	34979170	34979453	+	0	NA	intron (MAPRE2, intron 1 of 7)	NA	-62339	MAPRE2								
Interval_5144	chr2	23926750	23926939	+	0	NA	promoter-TSS (UBXN2A)	NA	-13604	UBXN2A								
Interval_1209	chr10	82866426	82866701	+	0	NA	intron (NRG3, intron 5 of 10)	NA	-634073	LOC101929590								
Interval_3160	chr16	11354823	11354964	+	0	NA	Intergenic	NA	-5573	LOC101927071								
Interval_3709	chr17	33968633	33968840	+	0	NA	intron (ASIC2, intron 1 of 9)	NA	214896	RP11-215E13.1								
Interval_7789	chr6	13715589	13715877	+	0	NA	Intergenic	NA	-4169	RANBP9								
Interval_5109	chr2	10409875	10410024	+	0	NA	intron (HPCAL1, intron 4 of 6)	NA	36900	SNORA80B								
Interval_7224	chr4	144894674	144895019	+	0	NA	Intergenic	NA	202525	ANAPC10								
Interval_627	chr1	151281344	151281629	+	0	NA	promoter-TSS (ZNF687)	NA	443	LOC100507670								
Interval_3816	chr17	48047696	48047875	+	0	NA	promoter-TSS (NFE2L1)	NA	-995	NFE2L1								
Interval_6231	chr22	26573399	26573758	+	0	NA	intron (TPST2, intron 1 of 6)	NA	-8174	TPST2								
Interval_145	chr1	23168818	23168991	+	0	NA	promoter-TSS (LUZP1)	NA	-46	LUZP1								
Interval_825	chr1	203512940	203513088	+	0	NA	Intergenic	NA	18871	OPTC								
Interval_96	chr1	12510491	12510632	+	0	NA	exon (VPS13D, exon 70 of 70)	NA	3315	SNORA59A								
Interval_3230	chr16	28211822	28212389	+	0	NA	promoter-TSS (XPO6)	NA	-46615	SBK1								
Interval_3513	chr17	2087688	2088086	+	0	NA	exon (SMG6, exon 1 of 7)	NA	32788	HIC1								
Interval_4213	chr18	48834781	48834945	+	0	NA	intron (CTIF, intron 10 of 11)	NA	115848	SMAD7								
Interval_4854	chr19	45443482	45443691	+	0	NA	intron (ERCC1, intron 1 of 8)	NA	6932	MIR6088								
Interval_4971	chr19	50658074	50658345	+	0	NA	promoter-TSS (SYT3)	NA	8764	C19orf81								
Interval_8714	chr8	16197014	16197230	+	0	NA	Intergenic	NA	-4331	MSR1								
Interval_246	chr1	31483320	31483784	+	0	NA	Intergenic	NA	-16533	RP11-439L8.3								
Interval_7287	chr5	402894	403038	+	0	NA	intron (AHRR, intron 4 of 11)	NA	40177	C5orf55								
Interval_4746	chr19	34172310	34172535	+	0	NA	promoter-TSS (LSM14A)	NA	-76	LSM14A								
Interval_3442	chr16	87002631	87003029	+	0	NA	Intergenic	NA	-54954	LOC440390								
Interval_3769	chr17	43024501	43024642	+	0	NA	promoter-TSS (RND2)	NA	-924	RND2								
Interval_8119	chr6	132713851	132714090	+	0	NA	promoter-TSS (VNN1)	NA	85	VNN1								
Interval_7178	chr4	113762601	113762801	+	0	NA	promoter-TSS (CAMK2D)	NA	-956	CAMK2D								
Interval_4047	chr17	80152031	80152522	+	0	NA	Intergenic	NA	-5093	EIF4A3								
Interval_1012	chr10	6163567	6163777	+	0	NA	intron (PFKFB3, intron 1 of 14)	NA	-11410	MIR3155B								
Interval_6635	chr3	64023379	64023688	+	0	NA	promoter-TSS (PSMD6)	NA	73	PSMD6								
Interval_1777	chr11	85854805	85855153	+	0	NA	promoter-TSS (CCDC83)	NA	-122	CCDC83								
Interval_5531	chr2	169069623	169069764	+	0	NA	exon (DHRS9, exon 2 of 6)	NA	4904	DHRS9								
Interval_7015	chr4	25938957	25939214	+	0	NA	Intergenic	NA	24893	SMIM20								
Interval_203	chr1	27111989	27112510	+	0	NA	intron (SLC9A1, intron 1 of 10)	NA	42881	SLC9A1								
Interval_837	chr1	206468024	206468313	+	0	NA	Intergenic	NA	-2075	IKBKE								
Interval_1726	chr11	69642638	69642980	+	0	NA	intron (CCND1, intron 1 of 4)	NA	1704	CCND1								
Interval_8496	chr7	97117442	97117714	+	0	NA	exon (ACN9, exon 1 of 2)	NA	985	ACN9								
Interval_1985	chr12	26299117	26299257	+	0	NA	Intergenic	NA	-84410	LOC101928554								
Interval_3322	chr16	53099716	53100027	+	0	NA	intron (CHD9, intron 1 of 38)	NA	44878	CHD9								
Interval_5378	chr2	96532144	96532401	+	0	NA	Intergenic	NA	-4481	ARID5A								
Interval_5789	chr20	5120178	5120395	+	0	NA	promoter-TSS (PCNA)	NA	-285	PCNA								
Interval_5036	chr19	55407481	55407813	+	0	NA	exon (UBE2S, exon 1 of 4)	NA	310	UBE2S								
Interval_3261	chr16	30949150	30949375	+	0	NA	TTS (FBXL19)	NA	178	ORAI3								
Interval_7524	chr5	132556853	132557255	+	0	NA	promoter-TSS (IL5)	NA	130	RAD50								
Interval_7749	chr6	6331496	6331639	+	0	NA	Intergenic	NA	-10876	F13A1								
Interval_3969	chr17	74690587	74690722	+	0	NA	intron (RAB37, intron 1 of 8)	NA	22346	CD300LF								
Interval_1359	chr10	123136191	123136365	+	0	NA	exon (HMX3, exon 1 of 2)	NA	227	HMX3								
Interval_9647	chr9	137240454	137240637	+	0	NA	promoter-TSS (TUBB4B)	NA	-714	TUBB4B								
Interval_4070	chr17	81560863	81561000	+	0	NA	intron (NPLOC4, intron 16 of 16)	NA	-8548	C17orf70								
Interval_8268	chr7	2715527	2715847	+	0	NA	TTS (AMZ1)	NA	27485	AMZ1								
Interval_9662	chrM	8389	8742	+	0	NA	TTS (TRND)	NA	270	TRNK								
Interval_6936	chr4	674296	674493	+	0	NA	promoter-TSS (ATP5I)	NA	-56	ATP5I								
Interval_6064	chr21	15729845	15729995	+	0	NA	promoter-TSS (USP25)	NA	-105	USP25								
Interval_6970	chr4	6783461	6783873	+	0	NA	intron (KIAA0232, intron 1 of 8)	NA	935	KIAA0232								
Interval_9016	chr8	98236294	98236438	+	0	NA	intron (NIPAL2, intron 3 of 9)	NA	58850	NIPAL2								
Interval_8146	chr6	139374535	139374779	+	0	NA	promoter-TSS (CITED2)	NA	-295	CITED2								
Interval_4429	chr19	3125146	3125477	+	0	NA	Intergenic	NA	-10882	GNA15								
Interval_8270	chr7	2734889	2735258	+	0	NA	intron (GNA12, intron 2 of 3)	NA	46871	AMZ1								
Interval_3127	chr16	8832806	8833124	+	0	NA	TTS (PMM2)	NA	28845	CARHSP1								
Interval_4403	chr19	2168956	2169332	+	0	NA	intron (DOT1L, intron 1 of 27)	NA	4995	DOT1L								
Interval_7433	chr5	79235979	79236110	+	0	NA	promoter-TSS (JMY)	NA	-58	JMY								
Interval_6572	chr3	46928205	46928438	+	0	NA	intron (CCDC12, intron 3 of 7)	NA	35527	PTH1R								
Interval_5791	chr20	5798043	5798406	+	0	NA	intron (C20orf196, intron 2 of 2)	NA	41395	C20orf196								
Interval_8226	chr6	167153584	167153755	+	0	NA	Intergenic	NA	4162	GPR31								
Interval_1471	chr11	9566083	9566352	+	0	NA	Intergenic	NA	-8470	WEE1								
Interval_9587	chr9	129413635	129413921	+	0	NA	Intergenic	NA	-74882	LINC00963								
Interval_3206	chr16	22298063	22298295	+	0	NA	promoter-TSS (POLR3E)	NA	804	POLR3E								
Interval_7360	chr5	43042780	43043304	+	0	NA	exon (LOC153684, exon 1 of 2)	NA	908	LOC153684								
Interval_8830	chr8	37880971	37881112	+	0	NA	intron (RAB11FIP1, intron 1 of 4)	NA	18456	RAB11FIP1								
Interval_5390	chr2	99181038	99181280	+	0	NA	promoter-TSS (MRPL30)	NA	80	MRPL30								
Interval_6066	chr21	22438891	22439100	+	0	NA	Intergenic	NA	340378	LINC00308								
Interval_4071	chr17	81598510	81598724	+	0	NA	intron (NPLOC4, intron 9 of 16)	NA	38495	NPLOC4								
Interval_115	chr1	16512956	16513156	+	0	NA	Intergenic	NA	1229	RNU1-1								
Interval_1447	chr11	5684956	5685253	+	0	NA	promoter-TSS (TRIM5)	NA	5	TRIM5								
Interval_660	chr1	154751861	154752027	+	0	NA	intron (KCNN3, intron 3 of 8)	NA	107918	KCNN3								
Interval_1476	chr11	10541091	10541280	+	0	NA	promoter-TSS (MRVI1-AS1)	NA	42	RNF141								
Interval_746	chr1	173714876	173715032	+	0	NA	promoter-TSS (KLHL20)	NA	13	KLHL20								
Interval_720	chr1	161749690	161749843	+	0	NA	promoter-TSS (DUSP12)	NA	-2	DUSP12								
Interval_3503	chr17	1590122	1590303	+	0	NA	intron (SLC43A2, intron 9 of 14)	NA	-27396	PITPNA								
Interval_9775	chrX	49166945	49167221	+	0	NA	TTS (MAGIX)	NA	4217	MAGIX								
Interval_6794	chr3	152268629	152268841	+	0	NA	promoter-TSS (MBNL1)	NA	-334	MBNL1								
Interval_3148	chr16	11224161	11224308	+	0	NA	Intergenic	NA	31948	SOCS1								
Interval_9758	chrX	41334151	41334484	+	0	NA	intron (DDX3X, intron 1 of 15)	NA	919	DDX3X								
Interval_864	chr1	212234611	212234796	+	0	NA	promoter-TSS (RP11-15I11.3)	NA	-51	RP11-15I11.3								
Interval_2045	chr12	51238908	51239150	+	0	NA	intron (DAZAP2, intron 1 of 3)	NA	305	DAZAP2								
Interval_2140	chr12	89162771	89163141	+	0	NA	Intergenic	NA	-143264	RP11-13A1.1								
Interval_8373	chr7	43834567	43835084	+	0	NA	Intergenic	NA	34721	MRPS24								
Interval_1916	chr12	6607333	6607549	+	0	NA	promoter-TSS (CHD4)	NA	-57	CHD4								
Interval_6919	chr3	196287555	196287777	+	0	NA	promoter-TSS (PCYT1A)	NA	47	PCYT1A								
Interval_1302	chr10	107340446	107340612	+	0	NA	Intergenic	NA	-175821	SORCS1								
Interval_5181	chr2	30147763	30148032	+	0	NA	intron (YPEL5, intron 1 of 2)	NA	1013	YPEL5								
Interval_7110	chr4	77819517	77819694	+	0	NA	promoter-TSS (CNOT6L)	NA	-215	CNOT6L								
Interval_5999	chr20	53696790	53696931	+	0	NA	Intergenic	NA	-88073	ZNF217								
Interval_4675	chr19	17481236	17481440	+	0	NA	intron (SLC27A1, intron 1 of 11)	NA	-20422	NXNL1								
Interval_7938	chr6	35302704	35302879	+	0	NA	intron (DEF6, intron 1 of 10)	NA	4973	DEF6								
Interval_3827	chr17	49968582	49968803	+	0	NA	promoter-TSS (DLX4)	NA	-506	DLX4								
Interval_1380	chr10	132320234	132320476	+	0	NA	Intergenic	NA	11518	LOC102724967								
Interval_5379	chr2	96536731	96537451	+	0	NA	exon (LOC100996535, exon 1 of 2)	NA	233	LOC100996535								
Interval_8246	chr7	604154	604439	+	0	NA	intron (AC147651.4, intron 1 of 1)	NA	898	AC147651.4								
Interval_9025	chr8	100559689	100559906	+	0	NA	promoter-TSS (ANKRD46)	NA	-11	ANKRD46								
Interval_1262	chr10	97400370	97400524	+	0	NA	exon (RRP12, exon 2 of 32)	NA	923	RRP12								
Interval_4629	chr19	14785214	14785667	+	0	NA	Intergenic	NA	-8358	EMR2								
Interval_1750	chr11	73779645	73779824	+	0	NA	Intergenic	NA	-8138	MRPL48								
Interval_1524	chr11	35662616	35663161	+	0	NA	promoter-TSS (TRIM44)	NA	196	TRIM44								
Interval_5876	chr20	34303390	34303576	+	0	NA	promoter-TSS (AHCY)	NA	-1488	AHCY								
Interval_8131	chr6	136783999	136784156	+	0	NA	promoter-TSS (LOC101928429)	NA	-39	LOC101928429								
Interval_3390	chr16	71808835	71809069	+	0	NA	exon (AP1G1, exon 1 of 24)	NA	121	AP1G1								
Interval_6629	chr3	61533175	61533330	+	0	NA	Intergenic	NA	-28322	PTPRG								
Interval_9592	chr9	129642195	129642354	+	0	NA	promoter-TSS (ASB6)	NA	-105	ASB6								
Interval_6290	chr22	36529017	36529445	+	0	NA	promoter-TSS (EIF3D)	NA	-1	EIF3D								
Interval_9365	chr9	34168837	34169205	+	0	NA	Intergenic	NA	-9984	UBAP1								
Interval_9522	chr9	114883761	114884022	+	0	NA	Intergenic	NA	45353	TNFSF8								
Interval_3009	chr15	81000724	81000979	+	0	NA	promoter-TSS (MESDC1)	NA	-103	MESDC1								
Interval_7863	chr6	26196832	26196973	+	0	NA	exon (HIST1H3D, exon 2 of 2)	NA	2391	HIST1H2AD								
Interval_6700	chr3	119638900	119639313	+	0	NA	Intergenic	NA	21484	POPDC2								
Interval_9724	chrX	9341995	9342179	+	0	NA	Intergenic	NA	-123074	TBL1X								
Interval_1526	chr11	36391227	36391391	+	0	NA	intron (PRR5L, intron 2 of 9)	NA	15324	PRR5L								
Interval_8485	chr7	91264262	91264399	+	0	NA	promoter-TSS (FZD1)	NA	-138	FZD1								
Interval_2645	chr14	75284030	75284348	+	0	NA	Intergenic	NA	5411	FOS								
Interval_5204	chr2	38654056	38654202	+	0	NA	Intergenic	NA	-11781	GALM								
Interval_736	chr1	169367862	169368083	+	0	NA	promoter-TSS (BLZF1)	NA	-9	NME7								
Interval_6146	chr21	38806020	38806242	+	0	NA	promoter-TSS (ETS2)	NA	-315	ETS2								
Interval_6314	chr22	38705789	38706014	+	0	NA	promoter-TSS (GTPBP1)	NA	173	GTPBP1								
Interval_9219	chr8	141128358	141128629	+	0	NA	promoter-TSS (DENND3)	NA	-128	DENND3								
Interval_1746	chr11	73376190	73376420	+	0	NA	promoter-TSS (RELT)	NA	-363	RELT								
Interval_1373	chr10	128054456	128054597	+	0	NA	intron (PTPRE, intron 5 of 19)	NA	67246	PTPRE								
Interval_952	chr1	234612593	234612998	+	0	NA	Intergenic	NA	-3270	IRF2BP2								
Interval_7402	chr5	68046460	68046772	+	0	NA	Intergenic	NA	-143260	LOC102467655								
Interval_918	chr1	226680059	226680301	+	0	NA	intron (ITPKB, intron 2 of 7)	NA	-5112	ITPKB-IT1								
Interval_3479	chr16	89186335	89186967	+	0	NA	intron (CDH15, intron 5 of 13)	NA	13470	SLC22A31								
Interval_600	chr1	149607584	149607764	+	0	NA	intron (LOC642441, intron 1 of 1)	NA	561	LINC00869								
Interval_2778	chr15	25790387	25790564	+	0	NA	intron (ATP10A, intron 2 of 21)	NA	58305	MIR4715								
Interval_5388	chr2	98758178	98758427	+	0	NA	Intergenic	NA	13934	LOC101927070								
Interval_4058	chr17	81097937	81098150	+	0	NA	intron (BAIAP2, intron 6 of 13)	NA	27270	MIR657								
Interval_8026	chr6	67684187	67684318	+	0	NA	Intergenic	NA	-356671	LOC102723883								
Interval_1528	chr11	36455882	36456157	+	0	NA	intron (PRR5L, intron 8 of 8)	NA	54294	TRAF6								
Interval_3309	chr16	49366823	49366986	+	0	NA	Intergenic	NA	-6993	C16orf78								
Interval_8957	chr8	73975935	73976220	+	0	NA	promoter-TSS (TMEM70)	NA	-65	TMEM70								
Interval_1443	chr11	3905525	3905713	+	0	NA	intron (STIM1, intron 1 of 11)	NA	49546	MIR4687								
Interval_1369	chr10	125064813	125065068	+	0	NA	intron (CTBP2, intron 1 of 9)	NA	-32070	MIR4296								
Interval_1477	chr11	10808911	10809060	+	0	NA	promoter-TSS (EIF4G2)	NA	50	EIF4G2								
Interval_2053	chr12	52192204	52192439	+	0	NA	promoter-TSS (KRT80)	NA	-307	KRT80								
Interval_6193	chr22	17158960	17159100	+	0	NA	promoter-TSS (CECR5-AS1)	NA	175	CECR5								
Interval_6939	chr4	932290	932421	+	0	NA	promoter-TSS (GAK)	NA	-25	GAK								
Interval_308	chr1	41751341	41751538	+	0	NA	intron (HIVEP3, intron 1 of 8)	NA	167268	HIVEP3								
Interval_2937	chr15	70266794	70267139	+	0	NA	Intergenic	NA	-170086	TLE3								
Interval_2581	chr14	64993364	64993561	+	0	NA	intron (FNTB, intron 1 of 11)	NA	6673	FNTB								
Interval_5940	chr20	46089768	46090070	+	0	NA	promoter-TSS (NCOA5)	NA	-9941	NCOA5								
Interval_4965	chr19	50364545	50364817	+	0	NA	intron (NAPSA, intron 1 of 8)	NA	993	NAPSA								
Interval_1077	chr10	38573477	38573618	+	0	NA	Intergenic	NA	-123049	ACTR3BP5								
Interval_7092	chr4	73069762	73069895	+	0	NA	promoter-TSS (COX18)	NA	-73	COX18								
Interval_6414	chr3	5431890	5432117	+	0	NA	Intergenic	NA	-181802	MIR4790								
Interval_2508	chr14	32938338	32938577	+	0	NA	promoter-TSS (NPAS3)	NA	3548	NPAS3								
Interval_5692	chr2	232013921	232014260	+	0	NA	intron (DIS3L2, intron 1 of 20)	NA	52507	DIS3L2								
