PeakID (cmd=annotatePeaks.pl ERG.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_15149	chr16	85379024	85379265	+	0	NA	intron (GSE1, intron 2 of 15)	NA	-67239	LOC101928502								
Interval_22146	chr2	131146126	131146611	+	0	NA	intron (PLEKHB2, intron 8 of 8)	NA	41521	PLEKHB2								
Interval_20650	chr2	24971414	24972060	+	0	NA	promoter-TSS (DNAJC27-AS1)	NA	357	DNAJC27								
Interval_40721	chrX	129954638	129954892	+	0	NA	Intergenic	NA	-26232	BCORL1								
Interval_14444	chr16	30371068	30371392	+	0	NA	Intergenic	NA	-1029	TBC1D10B								
Interval_2050	chr1	109669634	109669925	+	0	NA	intron (GSTM2, intron 5 of 7)	NA	1757	GSTM2								
Interval_4299	chr10	11713029	11713408	+	0	NA	Intergenic	NA	-29139	ECHDC3								
Interval_24224	chr20	45857213	45857726	+	0	NA	promoter-TSS (ACOT8)	NA	-63	ACOT8								
Interval_7309	chr11	83156644	83157412	+	0	NA	promoter-TSS (PCF11)	NA	-67	PCF11								
Interval_39704	chr9	133619797	133620135	+	0	NA	Intergenic	NA	-16397	DBH								
Interval_30406	chr5	10514097	10514466	+	0	NA	Intergenic	NA	-5087	LOC389273								
Interval_24025	chr20	35225540	35225831	+	0	NA	Intergenic	NA	-1051	MMP24								
Interval_39735	chr9	134344303	134344481	+	0	NA	intron (RXRA, intron 1 of 9)	NA	-35057	MIR4669								
Interval_10571	chr13	45747190	45747410	+	0	NA	Intergenic	NA	44831	SPERT								
Interval_12069	chr14	81220792	81221667	+	0	NA	promoter-TSS (GTF2A1)	NA	113	LOC101928504								
Interval_19691	chr19	43747903	43748196	+	0	NA	exon (SMG9, exon 3 of 14)	NA	6941	SMG9								
Interval_9543	chr12	104138127	104138601	+	0	NA	promoter-TSS (NFYB)	NA	-123	NFYB								
Interval_19703	chr19	44025151	44025534	+	0	NA	promoter-TSS (ZNF222)	NA	-12	ZNF222								
Interval_16584	chr17	59437945	59438140	+	0	NA	intron (RP11-567L7.6, intron 4 of 4)	NA	71959	MIR4729								
Interval_7569	chr11	114073476	114073663	+	0	NA	intron (ZBTB16, intron 2 of 6)	NA	14001	ZBTB16								
Interval_7215	chr11	75562294	75562966	+	0	NA	promoter-TSS (SERPINH1)	NA	574	SERPINH1								
Interval_38576	chr9	41272916	41273165	+	0	NA	Intergenic	NA	-83676	CBWD6								
Interval_19731	chr19	44891396	44891909	+	0	NA	exon (TOMM40, exon 2 of 10)	NA	432	TOMM40								
Interval_26106	chr3	5016507	5016856	+	0	NA	Intergenic	NA	37269	BHLHE40								
Interval_7956	chr12	591626	591922	+	0	NA	intron (NINJ2, intron 1 of 3)	NA	49716	NINJ2								
Interval_16516	chr17	57600043	57600487	+	0	NA	TTS (RP11-118E18.4)	NA	8160	RP11-118E18.4								
Interval_37564	chr8	109334040	109334685	+	0	NA	promoter-TSS (ENY2)	NA	39	ENY2								
Interval_27033	chr3	53412954	53413458	+	0	NA	Intergenic	NA	-65608	DCP1A								
Interval_32082	chr5	163915679	163916061	+	0	NA	Intergenic	NA	194700	LOC102724458								
Interval_13395	chr15	74373749	74374255	+	0	NA	Intergenic	NA	-6262	CYP11A1								
Interval_32333	chr5	179923513	179923813	+	0	NA	Intergenic	NA	-15807	TBC1D9B								
Interval_27272	chr3	98039353	98039667	+	0	NA	Intergenic	NA	-4206	GABRR3								
Interval_22792	chr2	193331483	193331985	+	0	NA	Intergenic	NA	581889	PCGEM1								
Interval_29409	chr4	59556173	59556466	+	0	NA	Intergenic	NA	-1366304	MIR548AG1								
Interval_38217	chr9	749759	750026	+	0	NA	Intergenic	NA	42758	KANK1								
Interval_3695	chr1	225881762	225881923	+	0	NA	intron (TMEM63A, intron 1 of 16)	NA	561	TMEM63A								
Interval_28190	chr3	177715127	177715342	+	0	NA	intron (LINC00578, intron 3 of 3)	NA	-50319	LOC101928711								
Interval_3529	chr1	212035529	212035811	+	0	NA	promoter-TSS (INTS7)	NA	-10	INTS7								
Interval_36549	chr8	10857664	10857948	+	0	NA	exon (LOC101929248, exon 3 of 3)	NA	5031	LOC101929248								
Interval_16191	chr17	43773287	43773685	+	0	NA	intron (DUSP3, intron 2 of 2)	NA	5514	DUSP3								
Interval_13950	chr15	101294075	101294277	+	0	NA	intron (SNRPA1, intron 1 of 7)	NA	1100	SNRPA1								
Interval_38251	chr9	4792684	4793084	+	0	NA	promoter-TSS (RCL1)	NA	50	RCL1								
Interval_20821	chr2	36789518	36789800	+	0	NA	intron (VIT, intron 5 of 8)	NA	92969	VIT								
Interval_1668	chr1	77497143	77497548	+	0	NA	intron (AK5, intron 10 of 13)	NA	186053	ZZZ3								
Interval_17507	chr18	3060547	3061007	+	0	NA	Intergenic	NA	-47462	LPIN2								
Interval_24777	chr21	31974614	31974784	+	0	NA	exon (HUNK, exon 7 of 11)	NA	101384	HUNK								
Interval_451	chr1	16915667	16915910	+	0	NA	intron (CROCC, intron 1 of 35)	NA	-8450	CROCC								
Interval_36092	chr7	120996376	120996625	+	0	NA	intron (CPED1, intron 1 of 17)	NA	7109	CPED1								
Interval_13792	chr15	90931903	90932188	+	0	NA	intron (HDDC3, intron 2 of 3)	NA	524	HDDC3								
Interval_7702	chr11	119584086	119584585	+	0	NA	Intergenic	NA	144390	PVRL1								
Interval_38341	chr9	20974180	20974351	+	0	NA	intron (FOCAD, intron 37 of 45)	NA	57194	PTPLAD2								
Interval_38065	chr8	143183342	143183503	+	0	NA	Intergenic	NA	-23084	LY6H								
Interval_8075	chr12	4270899	4271319	+	0	NA	Intergenic	NA	-2627	CCND2								
Interval_26716	chr3	44184276	44184614	+	0	NA	Intergenic	NA	-57441	TOPAZ1								
Interval_38232	chr9	2621918	2622293	+	0	NA	exon (VLDLR, exon 1 of 18)	NA	268	VLDLR-AS1								
Interval_16646	chr17	62703793	62704337	+	0	NA	TTS (MARCH10)	NA	76664	MRC2								
Interval_28692	chr4	915229	915394	+	0	NA	intron (GAK, intron 1 of 27)	NA	17019	GAK								
Interval_37786	chr8	128184637	128184941	+	0	NA	Intergenic	NA	34673	MIR1208								
Interval_28885	chr4	7987614	7987778	+	0	NA	intron (ABLIM2, intron 15 of 18)	NA	17671	MIR95								
Interval_11236	chr14	21071162	21071860	+	0	NA	promoter-TSS (NDRG2)	NA	1251	ARHGEF40								
Interval_33521	chr6	51273194	51273431	+	0	NA	Intergenic	NA	-348531	LOC101927082								
Interval_25015	chr21	42878839	42879752	+	0	NA	promoter-TSS (WDR4)	NA	-20	WDR4								
Interval_39265	chr9	121557919	121558504	+	0	NA	Intergenic	NA	-58184	GGTA1P								
Interval_26806	chr3	47250681	47250841	+	0	NA	intron (KIF9, intron 11 of 21)	NA	-32025	KLHL18								
Interval_31972	chr5	151640740	151640976	+	0	NA	Intergenic	NA	-36087	CTB-113P19.1								
Interval_2744	chr1	160720802	160720995	+	0	NA	Intergenic	NA	-10390	CD48								
Interval_40046	chrX	15677013	15677211	+	0	NA	intron (CA5BP1, intron 2 of 4)	NA	2196	CA5BP1								
Interval_11627	chr14	57314455	57314646	+	0	NA	Intergenic	NA	-45651	EXOC5								
Interval_18645	chr19	8253091	8253310	+	0	NA	intron (CERS4, intron 2 of 10)	NA	43566	CERS4								
Interval_33170	chr6	33815999	33816175	+	0	NA	Intergenic	NA	-12071	MLN								
Interval_36127	chr7	128933145	128933475	+	0	NA	Intergenic	NA	-7408	IRF5								
Interval_30001	chr4	121182388	121182592	+	0	NA	intron (TNIP3, intron 3 of 12)	NA	44976	TNIP3								
Interval_589	chr1	23558259	23558596	+	0	NA	intron (ID3, intron 2 of 2)	NA	1367	ID3								
Interval_20739	chr2	27715411	27715681	+	0	NA	Intergenic	NA	-51573	SUPT7L								
Interval_1835	chr1	92990959	92991197	+	0	NA	Intergenic	NA	-29556	FAM69A								
Interval_13288	chr15	69452651	69453377	+	0	NA	exon (RPLP1, exon 1 of 4)	NA	194	RPLP1								
Interval_18677	chr19	8832077	8833090	+	0	NA	promoter-TSS (ZNF558)	NA	-10010	MBD3L1								
Interval_40293	chrX	48574113	48574870	+	0	NA	exon (RBM3, exon 1 of 7)	NA	138	RBM3								
Interval_21005	chr2	46500313	46500481	+	0	NA	Intergenic	NA	20832	TMEM247								
Interval_37215	chr8	70400996	70401222	+	0	NA	intron (NCOA2, intron 1 of 21)	NA	-70025	RP11-333A23.4								
Interval_33911	chr6	110044176	110044422	+	0	NA	Intergenic	NA	66043	GPR6								
Interval_24874	chr21	36173782	36174169	+	0	NA	intron (DOPEY2, intron 2 of 36)	NA	9434	DOPEY2								
Interval_20447	chr2	9263440	9263694	+	0	NA	intron (ASAP2, intron 1 of 28)	NA	56802	ASAP2								
Interval_5756	chr10	118046667	118047038	+	0	NA	promoter-TSS (CASC2)	NA	31	CASC2								
Interval_39134	chr9	111482710	111482870	+	0	NA	intron (KIAA0368, intron 1 of 49)	NA	767	KIAA0368								
Interval_1928	chr1	100352884	100353467	+	0	NA	intron (CDC14A, intron 1 of 10)	NA	1435	CDC14A								
Interval_30456	chr5	14608230	14608436	+	0	NA	intron (FAM105A, intron 6 of 7)	NA	26551	FAM105A								
Interval_6680	chr11	63503464	63503863	+	0	NA	Intergenic	NA	-2389	LGALS12								
Interval_34576	chr6	158560539	158560718	+	0	NA	intron (TMEM181, intron 1 of 16)	NA	-20324	TMEM181								
Interval_32797	chr6	24720685	24721529	+	0	NA	promoter-TSS (C6orf62)	NA	-271	C6orf62								
Interval_15089	chr16	84406555	84406833	+	0	NA	intron (ATP2C2, intron 3 of 26)	NA	38167	ATP2C2								
Interval_14471	chr16	30761416	30761689	+	0	NA	promoter-TSS (RNF40)	NA	725	C16orf93								
Interval_15216	chr16	87833128	87833367	+	0	NA	intron (SLC7A5, intron 9 of 9)	NA	1413	MIR6775								
Interval_14081	chr16	2715597	2715889	+	0	NA	exon (PRSS27, exon 3 of 6)	NA	4808	PRSS27								
Interval_18820	chr19	12689560	12689952	+	0	NA	intron (FBXW9, intron 7 of 9)	NA	1781	LOC648044								
Interval_1210	chr1	44213257	44213695	+	0	NA	promoter-TSS (DMAP1)	NA	-233	DMAP1								
Interval_5017	chr10	71797474	71798394	+	0	NA	intron (CDH23, intron 2 of 22)	NA	7153	MIR7152								
Interval_15971	chr17	38674273	38674566	+	0	NA	exon (C17orf96, exon 1 of 1)	NA	515	C17orf96								
Interval_23722	chr20	11716241	11716507	+	0	NA	Intergenic	NA	-29022	LOC102724924								
Interval_2101	chr1	111616353	111616618	+	0	NA	Intergenic	NA	-3662	RAP1A								
Interval_31243	chr5	98770285	98770521	+	0	NA	exon (RGMB-AS1, exon 2 of 2)	NA	1108	RGMB								
Interval_9678	chr12	110693789	110694071	+	0	NA	intron (HVCN1, intron 1 of 7)	NA	-4118	HVCN1								
Interval_33701	chr6	81752577	81752870	+	0	NA	promoter-TSS (FAM46A)	NA	-12	FAM46A								
Interval_16416	chr17	50148390	50148880	+	0	NA	intron (PPP1R9B, intron 1 of 9)	NA	1881	PPP1R9B								
Interval_1236	chr1	44784066	44784502	+	0	NA	exon (BEST4, exon 9 of 10)	NA	3692	BEST4								
Interval_32439	chr6	2820483	2820783	+	0	NA	Intergenic	NA	20837	SERPINB1								
Interval_3065	chr1	183124290	183124573	+	0	NA	intron (LAMC1, intron 13 of 27)	NA	-61608	LAMC2								
Interval_16369	chr17	49219113	49219494	+	0	NA	intron (ABI3, intron 3 of 7)	NA	9076	ABI3								
Interval_26880	chr3	49416144	49416671	+	0	NA	TTS (TCTA)	NA	4201	TCTA								
Interval_3724	chr1	226643952	226644452	+	0	NA	intron (ITPKB, intron 4 of 7)	NA	30866	ITPKB-IT1								
Interval_28230	chr3	179956547	179956885	+	0	NA	intron (PEX5L, intron 1 of 14)	NA	57179	RP11-791G22.1								
Interval_40697	chrX	123962839	123963123	+	0	NA	intron (STAG2, intron 1 of 33)	NA	-1640	LOC101928402								
Interval_2717	chr1	159923592	159924040	+	0	NA	promoter-TSS (TAGLN2)	NA	-99	TAGLN2								
Interval_25825	chr22	42436098	42436542	+	0	NA	intron (NFAM1, intron 1 of 5)	NA	-3925	NFAM1								
Interval_34249	chr6	137856645	137856812	+	0	NA	intron (RP11-356I2.4, intron 3 of 3)	NA	-10460	TNFAIP3								
Interval_1745	chr1	87331852	87332047	+	0	NA	intron (LMO4, intron 1 of 4)	NA	3481	LMO4								
Interval_15294	chr16	88976888	88977534	+	0	NA	promoter-TSS (CBFA2T3)	NA	-55	CBFA2T3								
Interval_17438	chr17	82878572	82878834	+	0	NA	intron (TBCD, intron 1 of 25)	NA	-38648	ZNF750								
Interval_5988	chr11	554884	555174	+	0	NA	TTS (LRRC56)	NA	5750	C11orf35								
Interval_24820	chr21	33541253	33541702	+	0	NA	intron (GART, intron 1 of 21)	NA	681	GART								
Interval_31169	chr5	91434360	91434655	+	0	NA	Intergenic	NA	-51175	ARRDC3								
Interval_38201	chr8	145051501	145052110	+	0	NA	promoter-TSS (C8orf33)	NA	-633	C8orf33								
Interval_35627	chr7	76419318	76419549	+	0	NA	intron (ZP3, intron 1 of 8)	NA	-5522	ZP3								
Interval_22421	chr2	161992623	161992817	+	0	NA	exon (DPP4, exon 26 of 26)	NA	81338	DPP4								
Interval_13206	chr15	66613653	66614244	+	0	NA	Intergenic	NA	-48451	LCTL								
Interval_11141	chr13	112689506	112689982	+	0	NA	promoter-TSS (ATP11A)	NA	-304	ATP11A								
Interval_10605	chr13	46748345	46748524	+	0	NA	intron (LRCH1, intron 18 of 18)	NA	48798	ESD								
Interval_6986	chr11	67600432	67600687	+	0	NA	Intergenic	NA	-6293	NDUFV1								
Interval_2935	chr1	172699171	172699598	+	0	NA	Intergenic	NA	40339	FASLG								
Interval_34394	chr6	144343780	144344686	+	0	NA	promoter-TSS (UTRN)	NA	48	UTRN								
Interval_26567	chr3	36893043	36893346	+	0	NA	intron (TRANK1, intron 4 of 22)	NA	51863	TRANK1								
Interval_29171	chr4	40551458	40551618	+	0	NA	intron (RBM47, intron 1 of 6)	NA	-49431	MIR4802								
Interval_24161	chr20	41436729	41437029	+	0	NA	intron (CHD6, intron 26 of 27)	NA	-70021	EMILIN3								
Interval_9292	chr12	77065586	77066269	+	0	NA	promoter-TSS (E2F7)	NA	-347	E2F7								
Interval_34159	chr6	135044737	135045010	+	0	NA	intron (HBS1L, intron 2 of 4)	NA	9975	HBS1L								
Interval_20377	chr2	3660132	3660395	+	0	NA	intron (ALLC, intron 1 of 11)	NA	-23613	ALLC								
Interval_3266	chr1	201114242	201114693	+	0	NA	exon (ASCL5, exon 1 of 1)	NA	905	ASCL5								
Interval_23282	chr2	231671329	231671697	+	0	NA	Intergenic	NA	-37012	PTMA								
Interval_33645	chr6	72580371	72580817	+	0	NA	Intergenic	NA	-41249	KCNQ5								
Interval_6041	chr11	2899478	2899685	+	0	NA	promoter-TSS (SLC22A18)	NA	-2701	SLC22A18								
Interval_8153	chr12	6745658	6746205	+	0	NA	Intergenic	NA	7539	MLF2								
Interval_19531	chr19	39736131	39736418	+	0	NA	intron (CLC, intron 1 of 3)	NA	1755	CLC								
Interval_10351	chr13	30410511	30410729	+	0	NA	Intergenic	NA	-36721	LINC00426								
Interval_32042	chr5	159412388	159412764	+	0	NA	Intergenic	NA	53700	AC008703.1								
Interval_2923	chr1	172380750	172381130	+	0	NA	intron (DNM3, intron 18 of 20)	NA	3970	LOC102724541								
Interval_21164	chr2	61144779	61145120	+	0	NA	promoter-TSS (C2orf74)	NA	26	LOC339803								
Interval_30961	chr5	74766764	74767622	+	0	NA	promoter-TSS (GFM2)	NA	178	GFM2								
Interval_11766	chr14	66804293	66804466	+	0	NA	intron (GPHN, intron 3 of 23)	NA	205364	LOC101927899								
Interval_13492	chr15	76339218	76339425	+	0	NA	intron (ISL2, intron 3 of 5)	NA	2515	ISL2								
Interval_25319	chr22	23859330	23859592	+	0	NA	intron (SLC2A11, intron 1 of 11)	NA	2461	SLC2A11								
Interval_19599	chr19	41348906	41349109	+	0	NA	intron (TGFB1, intron 1 of 6)	NA	4926	TGFB1								
Interval_8762	chr12	49264512	49265019	+	0	NA	promoter-TSS (TUBA1C)	NA	-317	TUBA1C								
Interval_34513	chr6	152302024	152302414	+	0	NA	intron (SYNE1, intron 91 of 146)	NA	334674	SYNE1								
Interval_24412	chr20	53943804	53944055	+	0	NA	exon (BCAS1, exon 12 of 12)	NA	-68220	SUMO1P1								
Interval_22082	chr2	127093326	127094047	+	0	NA	intron (BIN1, intron 1 of 16)	NA	13641	BIN1								
Interval_22655	chr2	178479030	178479289	+	0	NA	promoter-TSS (FKBP7)	NA	-243	FKBP7								
Interval_17273	chr17	80774571	80775316	+	0	NA	intron (RPTOR, intron 6 of 33)	NA	30689	RP11-28G8.1								
Interval_30682	chr5	50441236	50441631	+	0	NA	promoter-TSS (EMB)	NA	-33	EMB								
Interval_9332	chr12	89163958	89164298	+	0	NA	Intergenic	NA	-144436	RP11-13A1.1								
Interval_34661	chr6	170584320	170584904	+	0	NA	promoter-TSS (PDCD2)	NA	42	PDCD2								
Interval_8839	chr12	51926162	51926325	+	0	NA	Intergenic	NA	18825	ACVRL1								
Interval_11608	chr14	55580796	55581012	+	0	NA	promoter-TSS (KTN1-AS1)	NA	697	KTN1								
Interval_16645	chr17	62652312	62652793	+	0	NA	intron (MRC2, intron 1 of 29)	NA	25151	MRC2								
Interval_39070	chr9	106103184	106103475	+	0	NA	Intergenic	NA	408785	TMEM38B								
Interval_7266	chr11	77175826	77176409	+	0	NA	intron (MYO7A, intron 18 of 26)	NA	47861	MYO7A								
Interval_10522	chr13	42969622	42969827	+	0	NA	intron (EPSTI1, intron 2 of 10)	NA	22547	EPSTI1								
Interval_30223	chr4	173169516	173170340	+	0	NA	intron (GALNT7, intron 1 of 11)	NA	1175	GALNT7								
Interval_23152	chr2	222701738	222701964	+	0	NA	intron (MOGAT1, intron 5 of 5)	NA	30107	MOGAT1								
Interval_33999	chr6	118746195	118746366	+	0	NA	Intergenic	NA	-36428	LOC100287632								
Interval_24604	chr20	63803629	63804129	+	0	NA	promoter-TSS (ZBTB46)	NA	-4197	LOC101928604								
Interval_31841	chr5	142935718	142936037	+	0	NA	intron (ARHGAP26, intron 11 of 21)	NA	-66967	ARHGAP26-AS1								
Interval_23615	chr20	4026084	4026299	+	0	NA	Intergenic	NA	-10622	RNF24								
Interval_21369	chr2	71100559	71100768	+	0	NA	Intergenic	NA	29601	MCEE								
Interval_37522	chr8	106269866	106270395	+	0	NA	promoter-TSS (OXR1)	NA	-177794	OXR1								
Interval_12084	chr14	83141576	83141840	+	0	NA	Intergenic	NA	490779	RP11-406A9.2								
Interval_3472	chr1	207904218	207904875	+	0	NA	intron (CD34, intron 1 of 7)	NA	6792	CD34								
Interval_9057	chr12	57519971	57520198	+	0	NA	promoter-TSS (MBD6)	NA	433	DDIT3								
Interval_19063	chr19	17036093	17036407	+	0	NA	Intergenic	NA	-9435	CPAMD8								
Interval_9694	chr12	111409662	111410307	+	0	NA	intron (SH2B3, intron 1 of 7)	NA	4067	SH2B3								
Interval_23407	chr2	238776469	238776791	+	0	NA	Intergenic	NA	71049	LOC100287387								
Interval_16160	chr17	42925019	42925211	+	0	NA	Intergenic	NA	24318	G6PC								
Interval_4999	chr10	71319540	71319760	+	0	NA	exon (SLC29A3, exon 1 of 6)	NA	397	SLC29A3								
Interval_32433	chr6	2733388	2733600	+	0	NA	intron (MYLK4, intron 2 of 12)	NA	30508	MYLK4								
Interval_28080	chr3	161755974	161756211	+	0	NA	Intergenic	NA	326491	OTOL1								
Interval_37225	chr8	71178515	71178842	+	0	NA	Intergenic	NA	183554	EYA1								
Interval_7743	chr11	121655962	121656267	+	0	NA	Intergenic	NA	203911	SORL1								
Interval_37254	chr8	76454802	76455039	+	0	NA	intron (LINC01111, intron 2 of 5)	NA	48266	LINC01111								
Interval_7352	chr11	87097552	87097774	+	0	NA	intron (TMEM135, intron 4 of 13)	NA	59575	TMEM135								
Interval_14507	chr16	31302087	31302333	+	0	NA	intron (ITGAM, intron 14 of 29)	NA	42243	ITGAM								
Interval_19517	chr19	39409388	39410430	+	0	NA	promoter-TSS (MIR4530)	NA	-231	MIR4530								
Interval_40604	chrX	109839972	109840286	+	0	NA	Intergenic	NA	-106844	ACSL4								
Interval_22596	chr2	175181581	175181961	+	0	NA	promoter-TSS (ATP5G3)	NA	-9	ATP5G3								
Interval_35402	chr7	51162827	51163058	+	0	NA	intron (COBL, intron 6 of 13)	NA	153867	COBL								
Interval_20640	chr2	24490844	24491274	+	0	NA	promoter-TSS (NCOA1)	NA	-73343	NCOA1								
Interval_21270	chr2	68185611	68185849	+	0	NA	intron (PPP3R1, intron 5 of 5)	NA	27857	PNO1								
Interval_25462	chr22	30265770	30266204	+	0	NA	promoter-TSS (OSM)	NA	853	OSM								
Interval_24642	chr20	64255585	64255809	+	0	NA	promoter-TSS (PCMTD2)	NA	2	PCMTD2								
Interval_8828	chr12	51291928	51292267	+	0	NA	exon (BIN2, exon 10 of 13)	NA	21744	LOC102723983								
Interval_6570	chr11	59807248	59807545	+	0	NA	intron (MRPL16, intron 3 of 3)	NA	3476	MRPL16								
Interval_33881	chr6	108258883	108259043	+	0	NA	intron (SNX3, intron 1 of 3)	NA	2297	SNX3								
Interval_9875	chr12	121620361	121620714	+	0	NA	Intergenic	NA	-6013	ORAI1								
Interval_30026	chr4	126752910	126753098	+	0	NA	Intergenic	NA	343349	LOC102724210								
Interval_27559	chr3	125594339	125594554	+	0	NA	intron (OSBPL11, intron 1 of 12)	NA	1091	OSBPL11								
Interval_39232	chr9	121073123	121073396	+	0	NA	Intergenic	NA	-22983	C5								
Interval_25167	chr22	18001637	18001874	+	0	NA	promoter-TSS (MICAL3)	NA	-254	MICAL3								
Interval_30208	chr4	170391439	170391813	+	0	NA	Intergenic	NA	162004	RP11-789C1.1								
Interval_7670	chr11	118979555	118979754	+	0	NA	exon (FOXR1, exon 4 of 6)	NA	7869	FOXR1								
Interval_34956	chr7	16644664	16644955	+	0	NA	intron (ANKMY2, intron 1 of 9)	NA	1008	ANKMY2								
Interval_27730	chr3	132283498	132283717	+	0	NA	Intergenic	NA	-33760	ACPP								
Interval_36558	chr8	11768535	11769093	+	0	NA	promoter-TSS (NEIL2)	NA	-849	NEIL2								
Interval_30290	chr4	185210195	185210457	+	0	NA	intron (SNX25, intron 1 of 17)	NA	705	SNX25								
Interval_8035	chr12	2733990	2734295	+	0	NA	Intergenic	NA	37527	RP11-885B4.2								
Interval_27482	chr3	120642624	120642864	+	0	NA	intron (HGD, intron 8 of 11)	NA	39827	HGD								
Interval_14487	chr16	30950027	30950263	+	0	NA	intron (ORAI3, intron 1 of 1)	NA	1061	ORAI3								
Interval_36300	chr7	148697503	148697674	+	0	NA	Intergenic	NA	-1253	CUL1								
Interval_34153	chr6	134513113	134513309	+	0	NA	intron (LOC101928249, intron 4 of 4)	NA	11305	LOC101928249								
Interval_14543	chr16	46743407	46743702	+	0	NA	intron (MYLK3, intron 1 of 12)	NA	19546	MYLK3								
Interval_36668	chr8	21985094	21985563	+	0	NA	intron (XPO7, intron 12 of 27)	NA	-39888	NPM2								
Interval_2154	chr1	113977998	113978226	+	0	NA	TTS (HIPK1)	NA	-1279	OLFML3								
Interval_3323	chr1	203267337	203267854	+	0	NA	Intergenic	NA	-19441	RP11-134P9.3								
Interval_12758	chr15	40564534	40565110	+	0	NA	exon (C15orf57, exon 1 of 4)	NA	235	C15orf57								
Interval_2843	chr1	167130978	167131531	+	0	NA	Intergenic	NA	37177	DUSP27								
Interval_20980	chr2	45211656	45211999	+	0	NA	intron (LINC01121, intron 1 of 5)	NA	-42944	LOC102723947								
Interval_30548	chr5	35803169	35803435	+	0	NA	intron (SPEF2, intron 34 of 36)	NA	-53573	IL7R								
Interval_39659	chr9	132889042	132889376	+	0	NA	exon (C9orf9, exon 4 of 4)	NA	10306	C9orf9								
Interval_8464	chr12	25775974	25776357	+	0	NA	Intergenic	NA	97914	MIR4302								
Interval_18294	chr19	1026250	1026577	+	0	NA	exon (CNN2, exon 1 of 6)	NA	114	CNN2								
Interval_19035	chr19	16338481	16339189	+	0	NA	Intergenic	NA	13995	KLF2								
Interval_28407	chr3	187748093	187748302	+	0	NA	Intergenic	NA	-2472	BCL6								
Interval_16696	chr17	63946266	63946875	+	0	NA	intron (SCN4A, intron 19 of 24)	NA	-14226	CD79B								
Interval_22109	chr2	128233526	128233800	+	0	NA	intron (LOC102723551, intron 1 of 2)	NA	7125	LOC102723551								
Interval_28102	chr3	168117883	168118080	+	0	NA	Intergenic	NA	-22352	GOLIM4								
Interval_34362	chr6	143511018	143511780	+	0	NA	intron (FUCA2, intron 1 of 6)	NA	484	FUCA2								
Interval_12257	chr14	94173933	94174161	+	0	NA	promoter-TSS (PPP4R4)	NA	-265	PPP4R4								
Interval_21609	chr2	96145245	96145584	+	0	NA	promoter-TSS (DUSP2)	NA	26	DUSP2								
Interval_34947	chr7	16157675	16157993	+	0	NA	intron (ISPD, intron 8 of 8)	NA	-52652	ISPD-AS1								
Interval_33388	chr6	42050430	42050980	+	0	NA	promoter-TSS (TAF8)	NA	192	TAF8								
Interval_8150	chr12	6703698	6703968	+	0	NA	Intergenic	NA	-3403	PIANP								
Interval_18905	chr19	13881919	13882372	+	0	NA	TTS (C19orf57)	NA	4896	NANOS3								
Interval_37627	chr8	116766156	116766722	+	0	NA	promoter-TSS (UTP23)	NA	-64	UTP23								
Interval_19529	chr19	39590388	39590578	+	0	NA	Intergenic	NA	-12046	LGALS13								
Interval_1587	chr1	67265038	67265235	+	0	NA	Intergenic	NA	-42753	IL12RB2								
Interval_11888	chr14	72714074	72714429	+	0	NA	intron (DPF3, intron 6 of 10)	NA	161037	LOC102724054								
Interval_29982	chr4	118682980	118683237	+	0	NA	intron (LOC101929741, intron 1 of 5)	NA	1711	LOC101929741								
Interval_14712	chr16	58001211	58001697	+	0	NA	promoter-TSS (USB1)	NA	81	USB1								
Interval_12830	chr15	43133466	43133966	+	0	NA	promoter-TSS (TMEM62)	NA	180	TMEM62								
Interval_638	chr1	25120371	25120630	+	0	NA	Intergenic	NA	96997	MIR4425								
Interval_17502	chr18	2969780	2969981	+	0	NA	intron (LPIN2, intron 1 of 19)	NA	-23257	LOC727896								
Interval_19335	chr19	34501563	34501772	+	0	NA	TTS (WTIP)	NA	19692	WTIP								
Interval_22606	chr2	176178968	176179129	+	0	NA	intron (HOXD-AS1, intron 1 of 2)	NA	-9639	HOXD1								
Interval_39991	chrX	7148031	7148212	+	0	NA	promoter-TSS (HDHD1)	NA	69	HDHD1								
Interval_17928	chr18	46337173	46337367	+	0	NA	exon (RNF165, exon 2 of 2)	NA	-95790	RNF165								
Interval_4417	chr10	19728459	19728761	+	0	NA	promoter-TSS (RP11-354E11.2)	NA	-60	RP11-354E11.2								
Interval_22810	chr2	196166909	196167238	+	0	NA	intron (STK17B, intron 1 of 7)	NA	-4524	LOC101927454								
Interval_33548	chr6	52670994	52671420	+	0	NA	exon (TMEM14A, exon 1 of 5)	NA	121	TMEM14A								
Interval_24064	chr20	36606794	36607004	+	0	NA	intron (C20orf24, intron 1 of 4)	NA	1165	C20orf24								
Interval_10726	chr13	52850730	52850911	+	0	NA	Intergenic	NA	-2180	PCDH8								
Interval_28383	chr3	186871309	186871875	+	0	NA	Intergenic	NA	-15469	ADIPOQ-AS1								
Interval_30311	chr5	371914	372236	+	0	NA	intron (AHRR, intron 3 of 11)	NA	67899	AHRR								
