PeakID (cmd=annotatePeaks.pl ETV6.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_11277	chr2	203802430	203802593	+	0	NA	Intergenic	NA	-65277	CTLA4								
Interval_13709	chr3	133112835	133112979	+	0	NA	intron (TMEM108, intron 1 of 4)	NA	31923	TMEM108								
Interval_17014	chr6	122770908	122771043	+	0	NA	Intergenic	NA	-8575	FABP7								
Interval_5358	chr14	20495329	20495575	+	0	NA	Intergenic	NA	-10085	RNASE10								
Interval_10714	chr2	99154851	99155286	+	0	NA	promoter-TSS (LIPT1)	NA	113	LIPT1								
Interval_18834	chr8	73293832	73294021	+	0	NA	promoter-TSS (RDH10)	NA	536	RPL7								
Interval_7201	chr16	75305295	75305524	+	0	NA	intron (CFDP1, intron 5 of 6)	NA	-57083	BCAR1								
Interval_284	chr1	24190169	24190640	+	0	NA	Intergenic	NA	-3129	IFNLR1								
Interval_11934	chr20	43427676	43427854	+	0	NA	Intergenic	NA	-30099	SRSF6								
Interval_18968	chr8	100174556	100174681	+	0	NA	intron (SPAG1, intron 3 of 17)	NA	16283	SPAG1								
Interval_20603	chrX	111020373	111020514	+	0	NA	intron (PAK3, intron 2 of 15)	NA	-102634	PAK3								
Interval_20004	chr9	122348395	122348728	+	0	NA	Intergenic	NA	-22444	PTGS1								
Interval_1992	chr1	247415828	247416346	+	0	NA	promoter-TSS (NLRP3)	NA	142	NLRP3								
Interval_11501	chr2	237691920	237692401	+	0	NA	promoter-TSS (LRRFIP1)	NA	64558	LRRFIP1								
Interval_1644	chr1	206766384	206766724	+	0	NA	Intergenic	NA	5940	IL10								
Interval_9996	chr19	57233201	57233515	+	0	NA	intron (AURKC, intron 4 of 6)	NA	2298	AURKC								
Interval_11764	chr20	21622936	21623426	+	0	NA	intron (LOC101929608, intron 3 of 4)	NA	53157	LOC101929625								
Interval_9460	chr19	28673001	28673131	+	0	NA	Intergenic	NA	-40338	LOC101927210								
Interval_5776	chr14	85416742	85417076	+	0	NA	intron (LINC00911, intron 2 of 2)	NA	23030	LINC00911								
Interval_11107	chr2	174044091	174044247	+	0	NA	Intergenic	NA	18883	LOC100128905								
Interval_20340	chrX	1504426	1504708	+	0	NA	intron (P2RY8, intron 1 of 1)	NA	32577	P2RY8								
Interval_13846	chr3	155870664	155870789	+	0	NA	exon (GMPS, exon 1 of 16)	NA	190	GMPS								
Interval_13479	chr3	99484936	99485163	+	0	NA	Intergenic	NA	-153547	COL8A1								
Interval_12006	chr20	49278661	49278923	+	0	NA	promoter-TSS (ZNFX1)	NA	-153	SNORD12C								
Interval_12818	chr22	49936193	49936474	+	0	NA	Intergenic	NA	17703	CRELD2								
Interval_9994	chr19	56638011	56638200	+	0	NA	Intergenic	NA	-7433	SMIM17								
Interval_19090	chr8	118196032	118196267	+	0	NA	exon (SAMD12, exon 5 of 5)	NA	-84330	EXT1								
Interval_9525	chr19	35347758	35347927	+	0	NA	TTS (CD22)	NA	2301	MIR5196								
Interval_1418	chr1	180397277	180397480	+	0	NA	intron (ACBD6, intron 6 of 7)	NA	40966	MIR3121								
Interval_4050	chr12	10673921	10674416	+	0	NA	exon (STYK1, exon 1 of 10)	NA	124	STYK1								
Interval_4579	chr12	92929331	92929520	+	0	NA	promoter-TSS (EEA1)	NA	-708	EEA1								
Interval_15492	chr5	77679934	77680090	+	0	NA	Intergenic	NA	-41315	OTP								
Interval_15361	chr5	56156278	56156483	+	0	NA	intron (ANKRD55, intron 2 of 7)	NA	4546	ANKRD55								
Interval_8316	chr17	78364952	78365185	+	0	NA	TTS (RP11-806H10.4)	NA	4610	RP11-806H10.4								
Interval_6919	chr16	28492049	28492300	+	0	NA	promoter-TSS (CLN3)	NA	-92	CLN3								
Interval_3917	chr12	990645	991204	+	0	NA	promoter-TSS (RAD52)	NA	-56	RAD52								
Interval_8595	chr18	30358716	30358841	+	0	NA	Intergenic	NA	59868	MIR302F								
Interval_217	chr1	17640574	17640768	+	0	NA	TTS (ARHGEF10L)	NA	100800	ARHGEF10L								
Interval_1255	chr1	157595375	157595626	+	0	NA	intron (FCRL4, intron 2 of 9)	NA	2501	FCRL4								
Interval_9212	chr19	11204966	11205206	+	0	NA	intron (DOCK6, intron 40 of 48)	NA	-10496	KANK2								
Interval_15142	chr5	10445249	10445770	+	0	NA	intron (ROPN1L, intron 2 of 5)	NA	3647	ROPN1L								
Interval_5819	chr14	90732213	90732338	+	0	NA	intron (TTC7B, intron 4 of 20)	NA	84142	TTC7B								
Interval_1381	chr1	173409679	173409870	+	0	NA	intron (LOC100506023, intron 2 of 2)	NA	-7083	LOC102724568								
Interval_2930	chr11	3797832	3797962	+	0	NA	promoter-TSS (PGAP2)	NA	78	PGAP2								
Interval_13966	chr3	179604493	179604945	+	0	NA	promoter-TSS (NDUFB5)	NA	-68	NDUFB5								
Interval_12186	chr20	64077066	64077443	+	0	NA	promoter-TSS (MIR6813)	NA	-249	MIR6813								
Interval_14985	chr4	152679789	152680252	+	0	NA	promoter-TSS (TMEM154)	NA	145	TMEM154								
Interval_8993	chr19	2974517	2975036	+	0	NA	Intergenic	NA	-2762	TLE6								
Interval_1721	chr1	219089008	219089211	+	0	NA	intron (RP11-135J2.4, intron 3 of 4)	NA	84679	RP11-135J2.4								
Interval_2898	chr11	961637	961847	+	0	NA	intron (AP2A2, intron 2 of 20)	NA	35933	AP2A2								
Interval_3135	chr11	45080118	45080487	+	0	NA	Intergenic	NA	-67041	PRDM11								
Interval_2551	chr10	87862026	87862586	+	0	NA	exon (KLLN, exon 1 of 1)	NA	1131	KLLN								
Interval_19950	chr9	114385418	114385650	+	0	NA	intron (AKNA, intron 1 of 21)	NA	12969	AKNA								
Interval_793	chr1	80956311	80956487	+	0	NA	Intergenic	NA	315169	RP5-887A10.1								
Interval_3342	chr11	65421943	65422913	+	0	NA	promoter-TSS (NEAT1)	NA	-370	NEAT1								
Interval_18128	chr7	135171721	135171876	+	0	NA	promoter-TSS (C7orf49)	NA	-972	C7orf49								
Interval_2396	chr10	69484120	69484363	+	0	NA	intron (TSPAN15, intron 2 of 7)	NA	-10383	TSPAN15								
Interval_14710	chr4	82429525	82429950	+	0	NA	promoter-TSS (ENOPH1)	NA	488	HNRNPDL								
Interval_3184	chr11	57434777	57434969	+	0	NA	Intergenic	NA	-7725	SLC43A3								
Interval_18988	chr8	101392573	101392736	+	0	NA	Intergenic	NA	23761	NACAP1								
Interval_12340	chr21	37225567	37225756	+	0	NA	intron (DSCR3, intron 6 of 6)	NA	17158	DSCR9								
Interval_2532	chr10	84139419	84139544	+	0	NA	promoter-TSS (GHITM)	NA	52	GHITM								
Interval_18000	chr7	104895708	104895851	+	0	NA	exon (LHFPL3-AS2, exon 4 of 4)	NA	30866	LHFPL3-AS2								
Interval_9192	chr19	10758131	10758556	+	0	NA	intron (DNM2, intron 1 of 20)	NA	-21911	MIR4748								
Interval_14348	chr4	14877144	14877761	+	0	NA	Intergenic	NA	124593	CPEB2-AS1								
Interval_16371	chr6	18264694	18264955	+	0	NA	promoter-TSS (DEK)	NA	-256	DEK								
Interval_959	chr1	109797711	109797964	+	0	NA	Intergenic	NA	-33815	EPS8L3								
Interval_8999	chr19	3343694	3343881	+	0	NA	Intergenic	NA	-22770	NFIC								
Interval_16949	chr6	109998122	109998363	+	0	NA	Intergenic	NA	19986	GPR6								
Interval_1964	chr1	245260826	245261133	+	0	NA	intron (KIF26B, intron 2 of 14)	NA	105994	KIF26B								
Interval_10177	chr2	23452785	23453021	+	0	NA	intron (KLHL29, intron 1 of 13)	NA	67476	KLHL29								
Interval_5390	chr14	22742049	22742279	+	0	NA	Intergenic	NA	-24358	OXA1L								
Interval_18535	chr8	32487179	32487438	+	0	NA	intron (NRG1, intron 1 of 4)	NA	46562	NRG1-IT3								
Interval_8080	chr17	64342027	64342210	+	0	NA	intron (PECAM1, intron 12 of 13)	NA	56275	PECAM1								
Interval_4539	chr12	89162686	89163128	+	0	NA	Intergenic	NA	-143215	RP11-13A1.1								
Interval_14942	chr4	141311927	141312052	+	0	NA	Intergenic	NA	6858	LOC102724501								
Interval_9882	chr19	51467847	51468407	+	0	NA	Intergenic	NA	-9673	SIGLEC8								
Interval_3911	chr12	617588	617867	+	0	NA	intron (NINJ2, intron 1 of 3)	NA	45862	NINJ2								
Interval_10094	chr2	10400573	10400867	+	0	NA	intron (HPCAL1, intron 3 of 5)	NA	46129	SNORA80B								
Interval_17805	chr7	74094227	74094552	+	0	NA	intron (LIMK1, intron 1 of 14)	NA	1233	LIMK1								
Interval_16656	chr6	41939332	41940078	+	0	NA	intron (CCND3, intron 1 of 3)	NA	18478	BYSL								
Interval_4846	chr12	121615866	121615994	+	0	NA	Intergenic	NA	-10620	ORAI1								
Interval_2120	chr10	17850572	17850921	+	0	NA	intron (MRC1, intron 7 of 29)	NA	5624	MIR511-1								
Interval_20441	chrX	37755095	37755582	+	0	NA	Intergenic	NA	-24679	CYBB								
Interval_12	chr1	1407148	1407462	+	0	NA	promoter-TSS (MRPL20)	NA	8	MRPL20								
Interval_9033	chr19	4791333	4791840	+	0	NA	promoter-TSS (FEM1A)	NA	-130	FEM1A								
Interval_13320	chr3	52154672	52154922	+	0	NA	promoter-TSS (POC1A)	NA	-107	POC1A								
Interval_19292	chr8	133572052	133572229	+	0	NA	promoter-TSS (ST3GAL1)	NA	-200	ST3GAL1								
Interval_7906	chr17	49677825	49678044	+	0	NA	exon (SPOP, exon 1 of 12)	NA	30017	SLC35B1								
Interval_9374	chr19	17406378	17406554	+	0	NA	promoter-TSS (BST2)	NA	763	SLC27A1								
Interval_14582	chr4	56804510	56804908	+	0	NA	Intergenic	NA	17160	SPINK2								
Interval_7580	chr17	19302952	19303174	+	0	NA	intron (EPN2-AS1, intron 2 of 2)	NA	3198	EPN2-AS1								
Interval_3133	chr11	45026093	45026510	+	0	NA	Intergenic	NA	52399	AC068858.1								
Interval_10825	chr2	113390392	113390942	+	0	NA	Intergenic	NA	-47024	CBWD2								
Interval_12234	chr21	23978109	23978285	+	0	NA	Intergenic	NA	343180	AP000469.2								
Interval_14266	chr4	3557106	3557351	+	0	NA	Intergenic	NA	-19641	LINC00955								
Interval_3126	chr11	44574548	44574839	+	0	NA	intron (CD82, intron 1 of 9)	NA	9102	CD82								
Interval_19573	chr9	26947367	26947626	+	0	NA	promoter-TSS (PLAA)	NA	-26	PLAA								
Interval_11319	chr2	214020043	214020250	+	0	NA	intron (SPAG16, intron 15 of 17)	NA	82813	LOC101928084								
Interval_6848	chr16	19717885	19718386	+	0	NA	promoter-TSS (KNOP1)	NA	218	KNOP1								
Interval_6213	chr15	57007693	57008107	+	0	NA	intron (TCF12, intron 3 of 20)	NA	-89401	LOC145783								
Interval_19149	chr8	124260980	124261261	+	0	NA	Intergenic	NA	-13722	RP11-37N22.1								
Interval_11606	chr20	2800564	2801519	+	0	NA	promoter-TSS (CPXM1)	NA	-395	CPXM1								
Interval_20680	chrX	140848912	140849127	+	0	NA	Intergenic	NA	-64461	CDR1								
Interval_5780	chr14	85813211	85813426	+	0	NA	Intergenic	NA	-121360	LOC101928767								
Interval_12402	chr21	42503702	42503977	+	0	NA	intron (SLC37A1, intron 2 of 18)	NA	-7532	RSPH1								
Interval_6613	chr15	91253634	91253918	+	0	NA	intron (SV2B, intron 3 of 11)	NA	28556	SV2B								
Interval_5041	chr13	29495283	29495500	+	0	NA	intron (MTUS2, intron 10 of 13)	NA	-7641	MTUS2-AS1								
Interval_9509	chr19	34475125	34475312	+	0	NA	Intergenic	NA	-7468	WTIP								
Interval_7792	chr17	42677076	42677208	+	0	NA	promoter-TSS (PLEKHH3)	NA	-126	PLEKHH3								
Interval_6678	chr15	101175539	101175755	+	0	NA	TTS (CHSY1)	NA	76285	CHSY1								
Interval_16536	chr6	32944594	32944799	+	0	NA	Intergenic	NA	-3626	HLA-DMB								
Interval_5484	chr14	49633809	49634446	+	0	NA	exon (DNAAF2, exon 1 of 3)	NA	1103	DNAAF2								
Interval_12928	chr3	11225808	11226049	+	0	NA	promoter-TSS (HRH1)	NA	-19224	LOC102723663								
Interval_10099	chr2	10542150	10542342	+	0	NA	Intergenic	NA	89802	LOC102723993								
Interval_116	chr1	10398645	10398945	+	0	NA	promoter-TSS (PGD)	NA	-233	PGD								
Interval_17826	chr7	75905956	75906427	+	0	NA	Intergenic	NA	-8911	POR								
Interval_19017	chr8	104411938	104412097	+	0	NA	intron (DPYS, intron 7 of 9)	NA	55036	DPYS								
Interval_16196	chr6	4021063	4021658	+	0	NA	promoter-TSS (PRPF4B)	NA	31	PRPF4B								
Interval_6982	chr16	34572962	34573242	+	0	NA	Intergenic	NA	141110	LOC102724523								
Interval_17435	chr7	4725624	4725749	+	0	NA	intron (FOXK1, intron 1 of 8)	NA	43387	FOXK1								
Interval_3445	chr11	69598229	69598490	+	0	NA	intron (LOC102724346, intron 1 of 2)	NA	6676	LOC102724346								
Interval_8927	chr19	840814	841045	+	0	NA	promoter-TSS (PRTN3)	NA	-56	PRTN3								
Interval_8523	chr18	11259440	11259727	+	0	NA	Intergenic	NA	-110821	PIEZO2								
Interval_15053	chr4	179391273	179391398	+	0	NA	Intergenic	NA	-1483399	LINC01099								
Interval_9001	chr19	3434975	3435523	+	0	NA	intron (NFIC, intron 6 of 8)	NA	45293	C19orf77								
Interval_18879	chr8	84068624	84068749	+	0	NA	Intergenic	NA	-114665	RALYL								
Interval_16823	chr6	79133368	79133493	+	0	NA	Intergenic	NA	-55136	PHIP								
Interval_5773	chr14	84129139	84129392	+	0	NA	Intergenic	NA	-215232	LOC102724338								
Interval_12023	chr20	50041643	50041770	+	0	NA	promoter-TSS (TRERNA1)	NA	-77	TRERNA1								
Interval_4876	chr12	123393203	123393358	+	0	NA	intron (SETD8, intron 2 of 6)	NA	9123	SETD8								
Interval_16810	chr6	74115811	74116034	+	0	NA	intron (RP11-554D15.1, intron 1 of 3)	NA	46471	RP11-554D15.1								
Interval_5482	chr14	48829986	48830242	+	0	NA	Intergenic	NA	625223	LOC101927483								
Interval_150	chr1	12345396	12345651	+	0	NA	intron (VPS13D, intron 42 of 68)	NA	115467	VPS13D								
Interval_13960	chr3	179071602	179071959	+	0	NA	promoter-TSS (ZMAT3)	NA	88	ZMAT3								
Interval_18300	chr8	8995139	8995341	+	0	NA	Intergenic	NA	-7630	ERI1								
Interval_4557	chr12	89862829	89863087	+	0	NA	Intergenic	NA	154003	LINC00936								
Interval_9679	chr19	43674725	43674955	+	0	NA	Intergenic	NA	-4494	PLAUR								
Interval_13779	chr3	143806454	143806625	+	0	NA	intron (SLC9A9, intron 2 of 15)	NA	41992	SLC9A9								
Interval_17053	chr6	131399670	131399847	+	0	NA	Intergenic	NA	149599	AKAP7								
Interval_9082	chr19	6772401	6772938	+	0	NA	promoter-TSS (VAV1)	NA	1	VAV1								
Interval_7316	chr16	87464340	87465126	+	0	NA	intron (ZCCHC14, intron 1 of 13)	NA	27121	ZCCHC14								
Interval_15647	chr5	111694319	111694444	+	0	NA	intron (STARD4-AS1, intron 2 of 6)	NA	63837	NREP								
Interval_5627	chr14	68977689	68978119	+	0	NA	intron (ACTN1, intron 1 of 20)	NA	1462	ACTN1								
Interval_3604	chr11	90223010	90223342	+	0	NA	promoter-TSS (CHORDC1)	NA	188	CHORDC1								
Interval_9019	chr19	4242185	4242319	+	0	NA	Intergenic	NA	-4862	CCDC94								
Interval_3612	chr11	93199696	93199852	+	0	NA	Intergenic	NA	-13960	SLC36A4								
Interval_1153	chr1	153566537	153566833	+	0	NA	promoter-TSS (S100A2)	NA	-855	S100A2								
Interval_342	chr1	27300411	27300601	+	0	NA	intron (WDTC1, intron 12 of 15)	NA	-21639	TMEM222								
Interval_18979	chr8	100951891	100952719	+	0	NA	promoter-TSS (YWHAZ)	NA	688	YWHAZ								
Interval_19378	chr8	143112779	143113036	+	0	NA	Intergenic	NA	32263	LOC101928108								
Interval_7593	chr17	21214084	21214562	+	0	NA	exon (TMEM11, exon 1 of 3)	NA	272	TMEM11								
Interval_14642	chr4	73821365	73821559	+	0	NA	Intergenic	NA	-15094	CXCL6								
Interval_4660	chr12	104289316	104289667	+	0	NA	intron (TXNRD1, intron 2 of 13)	NA	-14241	EID3								
Interval_8942	chr19	1248997	1249590	+	0	NA	promoter-TSS (LOC102723811)	NA	735	MIDN								
Interval_16830	chr6	81950765	81951106	+	0	NA	Intergenic	NA	-12514	LOC102724168								
Interval_20684	chrX	148310492	148310712	+	0	NA	Intergenic	NA	329273	FMR1NB								
Interval_14082	chr3	189577674	189578115	+	0	NA	Intergenic	NA	-53533	TP63								
Interval_322	chr1	26541662	26542658	+	0	NA	promoter-TSS (RPS6KA1)	NA	-12382	MIR1976								
Interval_8680	chr18	48179608	48180351	+	0	NA	intron (ZBTB7C, intron 2 of 3)	NA	-72322	C18orf12								
Interval_6652	chr15	96357518	96357694	+	0	NA	Intergenic	NA	15834	LOC102724872								
Interval_1321	chr1	162893409	162893611	+	0	NA	Intergenic	NA	-24695	C1orf110								
Interval_10220	chr2	27628784	27629095	+	0	NA	promoter-TSS (GPN1)	NA	-61	CCDC121								
Interval_15812	chr5	139661137	139661331	+	0	NA	intron (CXXC5, intron 1 of 2)	NA	-14267	CXXC5								
Interval_5330	chr13	111153562	111153790	+	0	NA	promoter-TSS (LOC101060553)	NA	-75	LOC101060553								
Interval_309	chr1	25997156	25997397	+	0	NA	intron (PAFAH2, intron 1 of 10)	NA	881	PAFAH2								
Interval_2687	chr10	102452778	102453209	+	0	NA	intron (LOC100505761, intron 4 of 4)	NA	-1450	C10orf95								
Interval_18273	chr8	3683821	3683955	+	0	NA	intron (CSMD1, intron 7 of 69)	NA	-955520	RP11-134O21.1								
Interval_7816	chr17	44077644	44077825	+	0	NA	exon (HDAC5, exon 27 of 27)	NA	7004	G6PC3								
Interval_5777	chr14	85453130	85453580	+	0	NA	Intergenic	NA	59476	LINC00911								
Interval_13507	chr3	105345288	105345437	+	0	NA	Intergenic	NA	-21351	ALCAM								
Interval_9261	chr19	13162998	13163355	+	0	NA	Intergenic	NA	12708	IER2								
Interval_16445	chr6	27177686	27177895	+	0	NA	promoter-TSS (TRNAI20)	NA	-502	TRNAI20								
Interval_16029	chr5	172322162	172322697	+	0	NA	Intergenic	NA	-38638	UBTD2								
Interval_8333	chr17	78840759	78841387	+	0	NA	promoter-TSS (USP36)	NA	-175	USP36								
Interval_532	chr1	40374508	40374843	+	0	NA	promoter-TSS (SMAP2)	NA	969	SMAP2								
Interval_10052	chr2	7588401	7588583	+	0	NA	Intergenic	NA	-82898	LOC101929510								
Interval_4410	chr12	57477843	57478051	+	0	NA	promoter-TSS (ARHGAP9)	NA	-2	ARHGAP9								
Interval_3372	chr11	66002058	66002779	+	0	NA	promoter-TSS (EIF1AD)	NA	-252	EIF1AD								
Interval_13266	chr3	49277083	49277291	+	0	NA	promoter-TSS (C3orf62)	NA	-112	C3orf62								
Interval_1959	chr1	244970146	244970451	+	0	NA	promoter-TSS (EFCAB2)	NA	-31	EFCAB2								
Interval_16564	chr6	34273302	34273719	+	0	NA	Intergenic	NA	-4081	LOC102723521								
Interval_17383	chr7	812817	813307	+	0	NA	Intergenic	NA	-2495	SUN1								
Interval_7855	chr17	46250793	46250980	+	0	NA	intron (LRRC37A, intron 3 of 15)	NA	-25512	KANSL1								
Interval_19406	chr8	143829001	143829630	+	0	NA	promoter-TSS (PUF60)	NA	71	PUF60								
Interval_14084	chr3	189862825	189862992	+	0	NA	intron (TP63, intron 4 of 13)	NA	32933	MIR944								
Interval_11492	chr2	236871467	236872106	+	0	NA	Intergenic	NA	184381	AC105760.3								
Interval_21	chr1	1764303	1764540	+	0	NA	intron (NADK, intron 2 of 11)	NA	15613	NADK								
Interval_16766	chr6	57046462	57046757	+	0	NA	promoter-TSS (KIAA1586)	NA	77	KIAA1586								
Interval_16431	chr6	26538009	26538405	+	0	NA	promoter-TSS (HMGN4)	NA	-137	HMGN4								
Interval_405	chr1	31483252	31483621	+	0	NA	Intergenic	NA	-16649	RP11-439L8.3								
Interval_15401	chr5	64775364	64775617	+	0	NA	intron (CWC27, intron 2 of 12)	NA	6541	CWC27								
Interval_19210	chr8	127811957	127812382	+	0	NA	Intergenic	NA	16204	MIR1204								
Interval_12001	chr20	48891176	48891742	+	0	NA	Intergenic	NA	-81742	ARFGEF2								
Interval_12563	chr22	27370337	27370652	+	0	NA	Intergenic	NA	35176	LOC102724900								
Interval_5491	chr14	50061012	50061313	+	0	NA	Intergenic	NA	-21278	RP11-58E21.3								
Interval_19662	chr9	40991900	40992333	+	0	NA	promoter-TSS (LOC100132352)	NA	-221	LOC100132352								
Interval_14482	chr4	41863669	41863858	+	0	NA	Intergenic	NA	18848	LINC00682								
Interval_9975	chr19	55421388	55421598	+	0	NA	Intergenic	NA	-13536	UBE2S								
Interval_10515	chr2	65382944	65383146	+	0	NA	intron (SPRED2, intron 1 of 5)	NA	49554	SPRED2								
Interval_7695	chr17	36722199	36722388	+	0	NA	Intergenic	NA	120712	MRM1								
Interval_10367	chr2	45567909	45568315	+	0	NA	intron (SRBD1, intron 9 of 14)	NA	43182	SRBD1								
Interval_10987	chr2	146392259	146392398	+	0	NA	Intergenic	NA	-194729	PABPC1P2								
Interval_670	chr1	57674942	57675120	+	0	NA	intron (DAB1, intron 2 of 16)	NA	-185512	DAB1-AS1								
Interval_6656	chr15	97683932	97684288	+	0	NA	Intergenic	NA	-123412	RP11-461F11.3								
Interval_9018	chr19	4213286	4213462	+	0	NA	intron (ANKRD24, intron 15 of 21)	NA	-15944	EBI3								
Interval_15524	chr5	82676766	82677043	+	0	NA	Intergenic	NA	-163251	MIR3977								
Interval_14881	chr4	123444389	123444633	+	0	NA	Intergenic	NA	46125	SPRY1								
Interval_1079	chr1	146034510	146034635	+	0	NA	Intergenic	NA	-1120	TRNAE21								
Interval_2553	chr10	87879002	87879334	+	0	NA	intron (PTEN, intron 1 of 8)	NA	15486	PTEN								
Interval_3741	chr11	117824947	117825142	+	0	NA	promoter-TSS (FXYD2)	NA	-300	FXYD2								
Interval_12847	chr3	1980099	1980277	+	0	NA	Intergenic	NA	144344	LOC101930259								
Interval_9921	chr19	54190782	54190987	+	0	NA	promoter-TSS (TSEN34)	NA	618	TSEN34								
Interval_11442	chr2	230457399	230457778	+	0	NA	intron (SP100, intron 9 of 15)	NA	41432	SP100								
Interval_8991	chr19	2950033	2950192	+	0	NA	Intergenic	NA	-5158	ZNF77								
Interval_4006	chr12	7047364	7047665	+	0	NA	Intergenic	NA	-13162	C1S								
Interval_12044	chr20	50450950	50451137	+	0	NA	Intergenic	NA	-59278	PTPN1								
Interval_6623	chr15	92809098	92809638	+	0	NA	intron (LOC101926994, intron 1 of 3)	NA	966	LOC101926994								
Interval_15976	chr5	163426173	163426414	+	0	NA	Intergenic	NA	-11278	CCNG1								
Interval_12591	chr22	30267660	30268020	+	0	NA	promoter-TSS (OSM)	NA	-2475	OSM								
Interval_4114	chr12	19539896	19540036	+	0	NA	Intergenic	NA	-63197	LOC101928387								
Interval_18667	chr8	48810407	48810575	+	0	NA	Intergenic	NA	-75180	EFCAB1								
Interval_14808	chr4	101324081	101324317	+	0	NA	intron (PPP3CA, intron 1 of 11)	NA	6188	MIR1255A								
Interval_14712	chr4	82865762	82865907	+	0	NA	intron (SEC31A, intron 10 of 26)	NA	25427	SEC31A								
Interval_6266	chr15	63544432	63544761	+	0	NA	intron (USP3, intron 1 of 12)	NA	40085	USP3								
Interval_11499	chr2	237497864	237498111	+	0	NA	intron (MLPH, intron 2 of 12)	NA	10736	MLPH								
Interval_20445	chrX	38618198	38618522	+	0	NA	intron (TSPAN7, intron 1 of 7)	NA	56882	TSPAN7								
Interval_3123	chr11	44190722	44190847	+	0	NA	intron (EXT2, intron 8 of 13)	NA	95235	EXT2								
Interval_9458	chr19	28475683	28475859	+	0	NA	Intergenic	NA	-9078	LOC102724942								
Interval_17795	chr7	73602000	73602322	+	0	NA	intron (MLXIPL, intron 2 of 11)	NA	22412	MLXIPL								
Interval_15393	chr5	61408526	61408979	+	0	NA	intron (ZSWIM6, intron 1 of 13)	NA	-112623	ZSWIM6								
Interval_7491	chr17	7583633	7584284	+	0	NA	promoter-TSS (LOC102724164)	NA	-142	LOC102724164								
Interval_4369	chr12	54473339	54473765	+	0	NA	promoter-TSS (GTSF1)	NA	30	GTSF1								
Interval_18391	chr8	21483957	21484412	+	0	NA	Intergenic	NA	185945	RP11-24P4.1								
Interval_11339	chr2	216683944	216684255	+	0	NA	intron (IGFBP5, intron 1 of 3)	NA	11450	IGFBP5								
Interval_6314	chr15	66866043	66866485	+	0	NA	Intergenic	NA	75890	LOC102723481								
Interval_4947	chr12	132418695	132419082	+	0	NA	intron (LOC101928629, intron 4 of 4)	NA	13798	LOC101928629								
Interval_17081	chr6	134402564	134403113	+	0	NA	intron (LOC102723463, intron 1 of 2)	NA	4131	LOC102723463								
Interval_20133	chr9	129888406	129888867	+	0	NA	exon (FNBP1, exon 15 of 15)	NA	19026	MIR6855								
Interval_9786	chr19	47336268	47337104	+	0	NA	promoter-TSS (C5AR2)	NA	-319	C5AR2								
Interval_3290	chr11	64240778	64241084	+	0	NA	promoter-TSS (FKBP2)	NA	-10	FKBP2								
Interval_17028	chr6	126040951	126041136	+	0	NA	Intergenic	NA	32343	LOC102723353								
Interval_11943	chr20	44610498	44610719	+	0	NA	intron (PKIG, intron 4 of 5)	NA	41053	ADA								
Interval_4770	chr12	113214781	113215387	+	0	NA	intron (IQCD, intron 1 of 4)	NA	6196	IQCD								
Interval_1417	chr1	180310241	180310366	+	0	NA	intron (ACBD6, intron 7 of 7)	NA	-35622	RP5-1180C10.2								
Interval_6282	chr15	64841554	64841984	+	0	NA	promoter-TSS (PLEKHO2)	NA	-114	PLEKHO2								
Interval_12316	chr21	34889609	34889996	+	0	NA	promoter-TSS (RUNX1)	NA	19	RUNX1								
Interval_820	chr1	88930268	88930421	+	0	NA	Intergenic	NA	-38726	GTF2B								
Interval_9634	chr19	41351368	41351814	+	0	NA	intron (TGFB1, intron 1 of 6)	NA	2342	TGFB1								
Interval_4495	chr12	72275171	72275311	+	0	NA	intron (TRHDE, intron 1 of 18)	NA	-1732	TRHDE-AS1								
Interval_489	chr1	36486986	36487191	+	0	NA	Intergenic	NA	-3774	CSF3R								
Interval_18806	chr8	67343729	67343927	+	0	NA	promoter-TSS (ARFGEF1)	NA	100	LOC102724708								
Interval_9435	chr19	19329224	19329401	+	0	NA	intron (MAU2, intron 1 of 16)	NA	8625	MAU2								
Interval_19991	chr9	121370238	121370764	+	0	NA	promoter-TSS (STOM)	NA	29	LOC102723324								
Interval_2878	chr10	133278496	133278689	+	0	NA	TTS (TUBGCP2)	NA	-1689	ADAM8								
Interval_8417	chr17	81966854	81967315	+	0	NA	Intergenic	NA	-5903	NOTUM								
Interval_14445	chr4	38523619	38523857	+	0	NA	promoter-TSS (RP11-83C7.2)	NA	-558	RP11-83C7.2								
Interval_11361	chr2	218398106	218398308	+	0	NA	promoter-TSS (CTDSP1)	NA	-1548	CTDSP1								
Interval_15566	chr5	95048689	95049008	+	0	NA	intron (MCTP1, intron 1 of 22)	NA	32816	MCTP1								
Interval_536	chr1	40450034	40450223	+	0	NA	promoter-TSS (ZFP69B)	NA	16	ZFP69B								
Interval_16398	chr6	23623262	23623780	+	0	NA	Intergenic	NA	224413	LOC102724749								
Interval_16573	chr6	35047358	35047484	+	0	NA	intron (ANKS1A, intron 11 of 23)	NA	93989	TCP11								
