PeakID (cmd=annotatePeaks.pl P31FUJ_4_776_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
P31FUJ_4_776_R1_peak_30458	chrX	39859355	39860348	+	77	NA	Intergenic	NA	22289	MIR1587								
P31FUJ_4_776_R1_peak_27430	chr7	127584937	127585582	+	77	NA	exon (GCC1, exon 1 of 2)	NA	341	GCC1								
P31FUJ_4_776_R1_peak_19991	chr22	38395182	38396084	+	77	NA	intron (LOC101927161, intron 2 of 2)	NA	3293	LOC400927								
P31FUJ_4_776_R1_peak_30912	chrY	19744672	19745117	+	77	NA	promoter-TSS (KDM5D)	NA	45	KDM5D								
P31FUJ_4_776_R1_peak_24608	chr5	178549450	178550572	+	77	NA	intron (COL23A1, intron 2 of 28)	NA	40561	COL23A1								
P31FUJ_4_776_R1_peak_4158	chr10	97319844	97320250	+	77	NA	exon (FRAT1, exon 1 of 1)	NA	782	FRAT1								
P31FUJ_4_776_R1_peak_19591	chr22	16824826	16825494	+	77	NA	Intergenic	NA	-2314	HSFY1P1								
P31FUJ_4_776_R1_peak_5028	chr11	36091674	36092250	+	77	NA	intron (LDLRAD3, intron 3 of 5)	NA	-14061	LOC101928510								
P31FUJ_4_776_R1_peak_8078	chr13	28486400	28486963	+	77	NA	intron (FLT1, intron 1 of 29)	NA	8447	FLT1								
P31FUJ_4_776_R1_peak_8846	chr13	102595770	102596126	+	77	NA	promoter-TSS (TPP2)	NA	-989	TPP2								
P31FUJ_4_776_R1_peak_22449	chr4	40121839	40122264	+	77	NA	exon (N4BP2, exon 10 of 19)	NA	-64852	LOC344967								
P31FUJ_4_776_R1_peak_30469	chrX	40152581	40153528	+	77	NA	intron (BCOR, intron 1 of 14)	NA	20864	LOC102724413								
P31FUJ_4_776_R1_peak_15320	chr19	40424660	40425837	+	77	NA	intron (SERTAD1, intron 1 of 1)	NA	777	SERTAD1								
P31FUJ_4_776_R1_peak_22544	chr4	53929501	53929909	+	77	NA	Intergenic	NA	57577	RPL21P44								
P31FUJ_4_776_R1_peak_17949	chr2	206083825	206084169	+	77	NA	intron (INO80D, intron 1 of 10)	NA	2185	INO80D								
P31FUJ_4_776_R1_peak_21281	chr3	107598749	107599243	+	77	NA	intron (BBX, intron 2 of 16)	NA	-46894	BBX								
P31FUJ_4_776_R1_peak_17353	chr2	131682623	131683153	+	77	NA	Intergenic	NA	-2009	LOC100507460								
P31FUJ_4_776_R1_peak_2099	chr1	167297217	167298052	+	77	NA	intron (POU2F1, intron 1 of 15)	NA	-31410	POU2F1								
P31FUJ_4_776_R1_peak_23101	chr4	168155857	168156139	+	77	NA	intron (ANXA10, intron 3 of 11)	NA	63461	ANXA10								
P31FUJ_4_776_R1_peak_13878	chr18	8835086	8835666	+	77	NA	Intergenic	NA	45955	SOGA2								
P31FUJ_4_776_R1_peak_16368	chr2	42315281	42315745	+	77	NA	intron (EML4, intron 17 of 22)	NA	45703	COX7A2L								
P31FUJ_4_776_R1_peak_14849	chr19	13861412	13862392	+	77	NA	Intergenic	NA	-12823	MIR181C								
P31FUJ_4_776_R1_peak_30354	chrX	13013498	13013889	+	77	NA	Intergenic	NA	30164	FAM9C								
P31FUJ_4_776_R1_peak_20061	chr22	41285261	41286147	+	77	NA	exon (RANGAP1, exon 1 of 17)	NA	313	RANGAP1								
P31FUJ_4_776_R1_peak_23259	chr5	32443538	32443940	+	77	NA	intron (ZFR, intron 2 of 18)	NA	999	ZFR								
P31FUJ_4_776_R1_peak_27243	chr7	102122384	102123075	+	77	NA	intron (CUX1, intron 8 of 23)	NA	-162339	SH2B2								
P31FUJ_4_776_R1_peak_22139	chr3	197959420	197959950	+	77	NA	promoter-TSS (LMLN)	NA	-515	LMLN								
P31FUJ_4_776_R1_peak_16873	chr2	74181310	74181755	+	77	NA	Intergenic	NA	-2664	MOB1A								
P31FUJ_4_776_R1_peak_18291	chr20	2289275	2290379	+	77	NA	Intergenic	NA	-18631	TGM3								
P31FUJ_4_776_R1_peak_1267	chr1	82140432	82140903	+	77	NA	Intergenic	NA	561367	LPHN2								
P31FUJ_4_776_R1_peak_30526	chrX	48800661	48801652	+	77	NA	promoter-TSS (HDAC6)	NA	-969	HDAC6								
P31FUJ_4_776_R1_peak_10983	chr15	97504363	97504822	+	77	NA	intron (RP11-461F11.1, intron 2 of 4)	NA	17374	RP11-461F11.1								
P31FUJ_4_776_R1_peak_30851	chrX	152831057	152831806	+	77	NA	promoter-TSS (CETN2)	NA	464	NSDHL								
P31FUJ_4_776_R1_peak_12836	chr17	38296427	38296881	+	77	NA	promoter-TSS (MRPL45)	NA	-369	MRPL45								
P31FUJ_4_776_R1_peak_29016	chr9	5437285	5437893	+	77	NA	intron (PLGRKT, intron 1 of 5)	NA	-12914	CD274								
P31FUJ_4_776_R1_peak_30718	chrX	109709648	109710099	+	77	NA	intron (ACSL4, intron 1 of 16)	NA	23519	ACSL4								
P31FUJ_4_776_R1_peak_25062	chr6	26520450	26520732	+	77	NA	promoter-TSS (TRNAL26)	NA	-617	TRNAL26								
P31FUJ_4_776_R1_peak_6633	chr12	21614252	21614700	+	77	NA	intron (GYS2, intron 1 of 15)	NA	-9618	GYS2								
P31FUJ_4_776_R1_peak_12261	chr17	1516926	1517481	+	77	NA	promoter-TSS (INPP5K)	NA	284	PITPNA-AS1								
P31FUJ_4_776_R1_peak_30540	chrX	49163416	49163769	+	77	NA	promoter-TSS (MAGIX)	NA	749	MAGIX								
P31FUJ_4_776_R1_peak_27996	chr8	26265686	26266602	+	77	NA	Intergenic	NA	-25347	PPP2R2A								
P31FUJ_4_776_R1_peak_5178	chr11	58525327	58526001	+	77	NA	Intergenic	NA	-17559	OR5B21								
P31FUJ_4_776_R1_peak_2014	chr1	160720151	160721204	+	77	NA	Intergenic	NA	-10169	CD48								
P31FUJ_4_776_R1_peak_25993	chr6	125346476	125346876	+	77	NA	Intergenic	NA	27568	LOC102723341								
P31FUJ_4_776_R1_peak_11417	chr16	23528086	23528680	+	77	NA	intron (EARS2, intron 7 of 8)	NA	-17889	GGA2								
P31FUJ_4_776_R1_peak_18193	chr2	240560426	240560957	+	77	NA	exon (DUSP28, exon 1 of 3)	NA	637	DUSP28								
P31FUJ_4_776_R1_peak_16552	chr2	57444024	57444653	+	77	NA	Intergenic	NA	-257406	LOC101927235								
P31FUJ_4_776_R1_peak_23178	chr5	1344176	1344785	+	77	NA	intron (CLPTM1L, intron 1 of 16)	NA	407	CLPTM1L								
P31FUJ_4_776_R1_peak_18094	chr2	219249736	219250373	+	77	NA	TTS (TUBA4A)	NA	-3189	TUBA4B								
P31FUJ_4_776_R1_peak_25075	chr6	27138799	27139772	+	77	NA	promoter-TSS (HIST1H4I)	NA	-24	HIST1H4I								
P31FUJ_4_776_R1_peak_18113	chr2	222866744	222867027	+	77	NA	intron (ACSL3, intron 1 of 16)	NA	5871	ACSL3								
P31FUJ_4_776_R1_peak_2799	chr1	223992801	223993425	+	77	NA	promoter-TSS (LOC100288102)	NA	360	LOC101926980								
P31FUJ_4_776_R1_peak_30453	chrX	39749983	39750816	+	77	NA	Intergenic	NA	-87163	MIR1587								
P31FUJ_4_776_R1_peak_1111	chr1	59693371	59694042	+	77	NA	intron (FGGY, intron 15 of 16)	NA	39546	MIR4711								
P31FUJ_4_776_R1_peak_1681	chr1	145608112	145608501	+	77	NA	promoter-TSS (NBPF25P)	NA	346	GPR89A								
P31FUJ_4_776_R1_peak_8746	chr13	90213255	90213810	+	77	NA	Intergenic	NA	-17710	MIR622								
P31FUJ_4_776_R1_peak_23387	chr5	50442711	50443235	+	77	NA	Intergenic	NA	-1573	EMB								
P31FUJ_4_776_R1_peak_29441	chr9	87795818	87796424	+	77	NA	Intergenic	NA	23206	CTSL3P								
P31FUJ_4_776_R1_peak_8288	chr13	41324480	41325405	+	77	NA	intron (NAA16, intron 5 of 18)	NA	13737	NAA16								
P31FUJ_4_776_R1_peak_6629	chr12	20628015	20628951	+	77	NA	intron (PDE3A, intron 5 of 15)	NA	-66982	SLCO1C1								
P31FUJ_4_776_R1_peak_10059	chr15	34366676	34367113	+	77	NA	intron (LPCAT4, intron 1 of 12)	NA	302	LPCAT4								
P31FUJ_4_776_R1_peak_30752	chrX	119692842	119693343	+	77	NA	exon (SEPT6, exon 1 of 11)	NA	133	SEPT6								
P31FUJ_4_776_R1_peak_15038	chr19	18637041	18637651	+	77	NA	intron (KLHL26, intron 1 of 2)	NA	318	KLHL26								
P31FUJ_4_776_R1_peak_30632	chrX	72079675	72080265	+	77	NA	exon (NHSL2, exon 4 of 11)	NA	35561	RPS26P11								
P31FUJ_4_776_R1_peak_2393	chr1	188422788	188423192	+	77	NA	Intergenic	NA	912543	LOC101929766								
P31FUJ_4_776_R1_peak_3765	chr10	70381855	70382436	+	77	NA	promoter-TSS (LRRC20)	NA	505	LRRC20								
P31FUJ_4_776_R1_peak_30797	chrX	131987496	131987979	+	77	NA	Intergenic	NA	-35480	MST4								
P31FUJ_4_776_R1_peak_14669	chr19	8568461	8569108	+	77	NA	intron (MYO1F, intron 1 of 27)	NA	8663	MYO1F								
P31FUJ_4_776_R1_peak_30633	chrX	72097540	72098622	+	77	NA	intron (NHSL2, intron 4 of 10)	NA	33820	RGAG4								
P31FUJ_4_776_R1_peak_5906	chr11	112159106	112160314	+	77	NA	intron (IL18, intron 1 of 5)	NA	4407	IL18								
P31FUJ_4_776_R1_peak_18154	chr2	231665630	231666417	+	77	NA	Intergenic	NA	-42502	PTMA								
P31FUJ_4_776_R1_peak_61	chr1	5991969	5992327	+	77	NA	promoter-TSS (KCNAB2)	NA	299	NPHP4								
P31FUJ_4_776_R1_peak_18443	chr20	8524224	8524553	+	77	NA	intron (PLCB1, intron 3 of 32)	NA	-306797	RNU105B								
P31FUJ_4_776_R1_peak_26939	chr7	75993881	75994618	+	77	NA	intron (TMEM120A, intron 1 of 11)	NA	425	TMEM120A								
P31FUJ_4_776_R1_peak_7174	chr12	62213956	62214759	+	77	NA	Intergenic	NA	-21589	FAM19A2								
P31FUJ_4_776_R1_peak_13458	chr17	67826008	67826348	+	77	NA	exon (BPTF, exon 1 of 31)	NA	650	BPTF								
P31FUJ_4_776_R1_peak_9685	chr14	77347131	77347766	+	77	NA	intron (TMED8, intron 1 of 4)	NA	4581	TMED8								
P31FUJ_4_776_R1_peak_22831	chr4	95600041	95601314	+	77	NA	Intergenic	NA	-51467	UNC5C								
P31FUJ_4_776_R1_peak_6624	chr12	20280738	20281571	+	77	NA	Intergenic	NA	-17007	LOC102724247								
P31FUJ_4_776_R1_peak_26222	chr6	141514012	141514686	+	77	NA	Intergenic	NA	574450	NMBR								
P31FUJ_4_776_R1_peak_13639	chr17	77341937	77342451	+	77	NA	intron (SEPT9, intron 1 of 10)	NA	-33889	SEPT9								
P31FUJ_4_776_R1_peak_24731	chr6	5004138	5004710	+	77	NA	promoter-TSS (RPP40)	NA	-361	RPP40								
P31FUJ_4_776_R1_peak_20275	chr3	4533189	4533745	+	77	NA	intron (ITPR1, intron 4 of 58)	NA	40119	ITPR1								
P31FUJ_4_776_R1_peak_27472	chr7	129012715	129014463	+	77	NA	intron (TNPO3, intron 4 of 22)	NA	41584	TNPO3								
P31FUJ_4_776_R1_peak_22555	chr4	55948866	55949982	+	77	NA	intron (CEP135, intron 1 of 25)	NA	616	CEP135								
P31FUJ_4_776_R1_peak_28248	chr8	62072057	62072664	+	77	NA	Intergenic	NA	-176582	NKAIN3								
P31FUJ_4_776_R1_peak_17497	chr2	153640151	153641094	+	77	NA	Intergenic	NA	-92187	GALNT13								
P31FUJ_4_776_R1_peak_1703	chr1	146341970	146342295	+	77	NA	intron (LOC102724364, intron 1 of 3)	NA	27368	LOC102724364								
P31FUJ_4_776_R1_peak_10431	chr15	63121314	63121719	+	77	NA	promoter-TSS (LACTB)	NA	-284	LACTB								
P31FUJ_4_776_R1_peak_30400	chrX	19866309	19867432	+	77	NA	intron (SH3KBP1, intron 1 of 17)	NA	103439	CXorf23								
P31FUJ_4_776_R1_peak_30756	chrX	119852480	119852935	+	77	NA	intron (UPF3B, intron 1 of 13)	NA	321	UPF3B								
P31FUJ_4_776_R1_peak_12227	chr17	501468	502058	+	77	NA	Intergenic	NA	-55823	FAM101B								
P31FUJ_4_776_R1_peak_1252	chr1	77926707	77927270	+	77	NA	intron (NEXN, intron 7 of 12)	NA	-37449	NEXN-AS1								
P31FUJ_4_776_R1_peak_30660	chrX	79139210	79139720	+	77	NA	Intergenic	NA	-31507	GPR174								
P31FUJ_4_776_R1_peak_26494	chr7	5513306	5514270	+	77	NA	promoter-TSS (FBXL18)	NA	-20	FBXL18								
P31FUJ_4_776_R1_peak_23552	chr5	73672780	73673573	+	77	NA	intron (ARHGEF28, intron 1 of 35)	NA	107435	UTP15								
P31FUJ_4_776_R1_peak_20134	chr22	43925021	43926143	+	77	NA	intron (PNPLA3, intron 1 of 8)	NA	1843	PNPLA3								
P31FUJ_4_776_R1_peak_14000	chr18	23796566	23797203	+	77	NA	intron (LAMA3, intron 12 of 73)	NA	-76136	LAMA3								
P31FUJ_4_776_R1_peak_20961	chr3	51589030	51589528	+	77	NA	intron (RAD54L2, intron 1 of 21)	NA	50369	RAD54L2								
P31FUJ_4_776_R1_peak_18471	chr20	10857590	10858100	+	77	NA	Intergenic	NA	51427	RP4-697P8.3								
P31FUJ_4_776_R1_peak_12910	chr17	40330629	40331475	+	77	NA	exon (RARA, exon 2 of 9)	NA	-10967	RARA								
P31FUJ_4_776_R1_peak_7928	chr12	132762248	132762712	+	77	NA	promoter-TSS (ANKLE2)	NA	-5719	ANKLE2								
P31FUJ_4_776_R1_peak_4555	chr11	450298	451023	+	77	NA	intron (PTDSS2, intron 1 of 12)	NA	313	PTDSS2								
P31FUJ_4_776_R1_peak_15351	chr19	40864813	40865503	+	77	NA	Intergenic	NA	-14711	CYP2A6								
P31FUJ_4_776_R1_peak_21553	chr3	136674629	136675148	+	77	NA	intron (STAG1, intron 1 of 33)	NA	77501	STAG1								
P31FUJ_4_776_R1_peak_14329	chr18	79526336	79527334	+	77	NA	intron (NFATC1, intron 9 of 9)	NA	-3489	LOC102723506								
P31FUJ_4_776_R1_peak_10533	chr15	67023714	67024302	+	77	NA	intron (LOC102723493, intron 2 of 4)	NA	-36361	LOC102723493								
P31FUJ_4_776_R1_peak_28511	chr8	103298101	103298627	+	77	NA	promoter-TSS (FZD6)	NA	-467	FZD6								
P31FUJ_4_776_R1_peak_23390	chr5	50501005	50501526	+	77	NA	Intergenic	NA	-59865	EMB								
P31FUJ_4_776_R1_peak_2089	chr1	165870721	165871295	+	77	NA	intron (UCK2, intron 1 of 6)	NA	-36913	MIR3658								
P31FUJ_4_776_R1_peak_19966	chr22	37626844	37628101	+	77	NA	intron (GGA1, intron 11 of 16)	NA	-12205	SH3BP1								
P31FUJ_4_776_R1_peak_12359	chr17	5233329	5233911	+	77	NA	intron (RP11-333E1.1, intron 5 of 7)	NA	1240	SCIMP								
P31FUJ_4_776_R1_peak_17707	chr2	178478127	178478551	+	77	NA	exon (FKBP7, exon 1 of 5)	NA	289	FKBP7								
P31FUJ_4_776_R1_peak_262	chr1	16914267	16914684	+	77	NA	intron (CROCC, intron 1 of 35)	NA	-9763	CROCC								
P31FUJ_4_776_R1_peak_84	chr1	7954286	7954825	+	77	NA	Intergenic	NA	-7367	PARK7								
P31FUJ_4_776_R1_peak_13246	chr17	57866861	57868038	+	77	NA	intron (CUEDC1, intron 8 of 10)	NA	-17377	MRPS23								
P31FUJ_4_776_R1_peak_22455	chr4	40289503	40289890	+	77	NA	Intergenic	NA	-5415	LOC101930098								
P31FUJ_4_776_R1_peak_29321	chr9	75890766	75891526	+	77	NA	exon (PCSK5, exon 1 of 38)	NA	502	PCSK5								
P31FUJ_4_776_R1_peak_25496	chr6	42984633	42985079	+	77	NA	intron (PPP2R5D, intron 1 of 13)	NA	357	PPP2R5D								
P31FUJ_4_776_R1_peak_28486	chr8	101374903	101375441	+	77	NA	Intergenic	NA	6279	NACAP1								
P31FUJ_4_776_R1_peak_573	chr1	29182252	29182805	+	77	NA	promoter-TSS (SRSF4)	NA	-531	SRSF4								
P31FUJ_4_776_R1_peak_30337	chrX	9465696	9466131	+	77	NA	intron (TBL1X, intron 1 of 17)	NA	2618	TBL1X								
P31FUJ_4_776_R1_peak_18121	chr2	224658373	224658834	+	77	NA	Intergenic	NA	-88778	CUL3								
P31FUJ_4_776_R1_peak_16870	chr2	74147039	74147882	+	77	NA	promoter-TSS (BOLA3-AS1)	NA	452	BOLA3								
P31FUJ_4_776_R1_peak_18127	chr2	226791845	226792162	+	77	NA	exon (IRS1, exon 2 of 2)	NA	6787	IRS1								
P31FUJ_4_776_R1_peak_27137	chr7	98285452	98286352	+	77	NA	intron (BRI3, intron 2 of 3)	NA	4235	BRI3								
P31FUJ_4_776_R1_peak_14255	chr18	63320571	63321132	+	77	NA	Intergenic	NA	-1471	BCL2								
P31FUJ_4_776_R1_peak_766	chr1	39026479	39026847	+	77	NA	intron (NDUFS5, intron 1 of 2)	NA	368	NDUFS5								
P31FUJ_4_776_R1_peak_10136	chr15	41013223	41013740	+	77	NA	intron (INO80, intron 26 of 34)	NA	60043	CHAC1								
P31FUJ_4_776_R1_peak_9663	chr14	76190425	76191483	+	77	NA	intron (GPATCH2L, intron 8 of 9)	NA	36600	GPATCH2L								
P31FUJ_4_776_R1_peak_23413	chr5	53731291	53731931	+	77	NA	Intergenic	NA	170975	NDUFS4								
P31FUJ_4_776_R1_peak_10055	chr15	34318355	34318884	+	77	NA	exon (SLC12A6, exon 1 of 25)	NA	19107	SLC12A6								
P31FUJ_4_776_R1_peak_3862	chr10	73702170	73702899	+	77	NA	intron (BMS1P4, intron 11 of 11)	NA	-4738	AGAP5								
P31FUJ_4_776_R1_peak_18681	chr20	33732398	33732942	+	77	NA	intron (ZNF341, intron 1 of 13)	NA	910	ZNF341								
P31FUJ_4_776_R1_peak_14019	chr18	32084830	32086106	+	77	NA	Intergenic	NA	-6423	RNF138								
P31FUJ_4_776_R1_peak_9997	chr14	105528006	105528512	+	77	NA	intron (TMEM121, intron 1 of 1)	NA	1643	TMEM121								
P31FUJ_4_776_R1_peak_1659	chr1	121087542	121088143	+	77	NA	intron (FCGR1B, intron 2 of 4)	NA	497	FCGR1B								
P31FUJ_4_776_R1_peak_26409	chr6	159106943	159107456	+	77	NA	promoter-TSS (LOC101929094)	NA	-274	LOC101929094								
P31FUJ_4_776_R1_peak_8100	chr13	30003613	30004170	+	77	NA	Intergenic	NA	67360	LINC00544								
P31FUJ_4_776_R1_peak_20645	chr3	37147883	37148355	+	77	NA	intron (LRRFIP2, intron 3 of 13)	NA	28208	LRRFIP2								
P31FUJ_4_776_R1_peak_18205	chr2	241734735	241735330	+	77	NA	intron (D2HGDH, intron 1 of 8)	NA	453	D2HGDH								
P31FUJ_4_776_R1_peak_14218	chr18	62436099	62436811	+	77	NA	Intergenic	NA	-86970	ZCCHC2								
P31FUJ_4_776_R1_peak_18807	chr20	41316687	41317354	+	77	NA	Intergenic	NA	-16897	ZHX3								
P31FUJ_4_776_R1_peak_9069	chr14	22426477	22427793	+	77	NA	intron (LOC102724753, intron 1 of 2)	NA	51759	LOC102724753								
P31FUJ_4_776_R1_peak_20669	chr3	38346978	38347512	+	77	NA	intron (XYLB, intron 1 of 16)	NA	485	XYLB								
P31FUJ_4_776_R1_peak_26873	chr7	73211595	73211891	+	77	NA	Intergenic	NA	-8896	NCF1B								
P31FUJ_4_776_R1_peak_25245	chr6	32920051	32920820	+	77	NA	Intergenic	NA	20635	HLA-DMB								
P31FUJ_4_776_R1_peak_13421	chr17	64837565	64837950	+	77	NA	promoter-TSS (PLEKHM1P)	NA	-573	PLEKHM1P								
P31FUJ_4_776_R1_peak_22025	chr3	192826224	192826626	+	77	NA	intron (MB21D2, intron 1 of 1)	NA	91736	MB21D2								
P31FUJ_4_776_R1_peak_8405	chr13	48859313	48860324	+	77	NA	Intergenic	NA	-116791	FNDC3A								
P31FUJ_4_776_R1_peak_15539	chr19	45886376	45887421	+	77	NA	promoter-TSS (IRF2BP1)	NA	-780	IRF2BP1								
P31FUJ_4_776_R1_peak_3711	chr10	67849495	67850076	+	77	NA	Intergenic	NA	-11606	DNAJC12								
P31FUJ_4_776_R1_peak_1422	chr1	97920351	97920920	+	77	NA	intron (DPYD, intron 1 of 21)	NA	399	DPYD								
P31FUJ_4_776_R1_peak_21440	chr3	126654415	126655212	+	77	NA	exon (TXNRD3, exon 1 of 15)	NA	311	TXNRD3								
P31FUJ_4_776_R1_peak_11575	chr16	30901714	30902152	+	77	NA	intron (CTF1, intron 2 of 2)	NA	5326	CTF1								
P31FUJ_4_776_R1_peak_12056	chr16	82192949	82193455	+	77	NA	Intergenic	NA	-22978	MPHOSPH6								
P31FUJ_4_776_R1_peak_26537	chr7	20220245	20221110	+	77	NA	intron (LOC100506098, intron 4 of 4)	NA	3208	LOC100506098								
P31FUJ_4_776_R1_peak_26755	chr7	44979253	44979811	+	77	NA	promoter-TSS (MYO1G)	NA	-427	MYO1G								
P31FUJ_4_776_R1_peak_25984	chr6	122753921	122754490	+	77	NA	Intergenic	NA	-25296	FABP7								
P31FUJ_4_776_R1_peak_18565	chr20	23063592	23064039	+	77	NA	Intergenic	NA	-14151	THBD								
P31FUJ_4_776_R1_peak_18174	chr2	237474969	237475509	+	77	NA	Intergenic	NA	-12012	MLPH								
P31FUJ_4_776_R1_peak_9783	chr14	91038665	91039437	+	77	NA	intron (RPS6KA5, intron 1 of 12)	NA	21598	RPS6KA5								
P31FUJ_4_776_R1_peak_22750	chr4	83239966	83240312	+	77	NA	Intergenic	NA	44028	COQ2								
P31FUJ_4_776_R1_peak_30403	chrX	19886874	19887455	+	77	NA	intron (SH3KBP1, intron 1 of 17)	NA	83145	CXorf23								
P31FUJ_4_776_R1_peak_2705	chr1	211605829	211606933	+	77	NA	Intergenic	NA	-27624	SLC30A1								
P31FUJ_4_776_R1_peak_23095	chr4	158722933	158723279	+	77	NA	intron (PPID, intron 1 of 9)	NA	294	PPID								
P31FUJ_4_776_R1_peak_21425	chr3	125310276	125310846	+	77	NA	intron (ZNF148, intron 4 of 8)	NA	64793	ZNF148								
P31FUJ_4_776_R1_peak_26342	chr6	154432216	154432907	+	77	NA	intron (CNKSR3, intron 5 of 12)	NA	-75795	IPCEF1								
P31FUJ_4_776_R1_peak_11619	chr16	31471977	31472565	+	77	NA	promoter-TSS (TGFB1I1)	NA	63	TGFB1I1								
P31FUJ_4_776_R1_peak_5328	chr11	64241051	64241336	+	77	NA	promoter-TSS (FKBP2)	NA	-241	FKBP2								
P31FUJ_4_776_R1_peak_22068	chr3	195221769	195222400	+	77	NA	intron (XXYLT1, intron 2 of 2)	NA	48439	XXYLT1								
P31FUJ_4_776_R1_peak_12494	chr17	10171956	10172456	+	77	NA	intron (GAS7, intron 1 of 13)	NA	-145900	GAS7								
P31FUJ_4_776_R1_peak_5868	chr11	105181813	105182395	+	77	NA	Intergenic	NA	-42370	CARD18								
P31FUJ_4_776_R1_peak_25719	chr6	87757217	87757892	+	77	NA	Intergenic	NA	-27306	LOC101928911								
P31FUJ_4_776_R1_peak_23243	chr5	20536012	20536945	+	77	NA	intron (CDH18, intron 1 of 12)	NA	639830	LOC102723561								
P31FUJ_4_776_R1_peak_12692	chr17	29929172	29930737	+	77	NA	promoter-TSS (EFCAB5)	NA	254	SSH2								
P31FUJ_4_776_R1_peak_26551	chr7	26201030	26201418	+	77	NA	promoter-TSS (HNRNPA2B1)	NA	-449	HNRNPA2B1								
P31FUJ_4_776_R1_peak_25166	chr6	30672353	30672902	+	77	NA	intron (DHX16, intron 1 of 19)	NA	426	DHX16								
P31FUJ_4_776_R1_peak_13403	chr17	64332383	64332875	+	77	NA	intron (PECAM1, intron 13 of 14)	NA	65764	PECAM1								
P31FUJ_4_776_R1_peak_27174	chr7	100318199	100318568	+	77	NA	intron (SPDYE3, intron 8 of 9)	NA	10681	SPDYE3								
P31FUJ_4_776_R1_peak_3536	chr10	43846162	43846575	+	77	NA	intron (LINC00619, intron 2 of 2)	NA	1062	LINC00619								
P31FUJ_4_776_R1_peak_20220	chr22	50260613	50261172	+	77	NA	intron (MAPK12, intron 2 of 11)	NA	768	MAPK12								
P31FUJ_4_776_R1_peak_14324	chr18	79069518	79069848	+	77	NA	intron (ATP9B, intron 1 of 27)	NA	-75075	LOC100996274								
P31FUJ_4_776_R1_peak_21780	chr3	160980410	160981189	+	77	NA	intron (PPM1L, intron 2 of 3)	NA	124341	B3GALNT1								
P31FUJ_4_776_R1_peak_25744	chr6	89910289	89910755	+	77	NA	Intergenic	NA	16053	GJA10								
P31FUJ_4_776_R1_peak_15481	chr19	44304330	44305024	+	77	NA	intron (ZNF235, intron 1 of 4)	NA	348	ZNF235								
P31FUJ_4_776_R1_peak_26849	chr7	66492960	66493594	+	77	NA	promoter-TSS (LOC100289098)	NA	-407	LOC100289098								
P31FUJ_4_776_R1_peak_7192	chr12	63410552	63411965	+	77	NA	Intergenic	NA	-257067	AVPR1A								
P31FUJ_4_776_R1_peak_18290	chr20	2288099	2288926	+	77	NA	Intergenic	NA	-19946	TGM3								
P31FUJ_4_776_R1_peak_10808	chr15	82810280	82810813	+	77	NA	promoter-TSS (WHAMM)	NA	2325	WHAMM								
P31FUJ_4_776_R1_peak_26507	chr7	6058616	6059114	+	77	NA	intron (EIF2AK1, intron 1 of 14)	NA	364	EIF2AK1								
P31FUJ_4_776_R1_peak_29110	chr9	22612520	22613558	+	77	NA	Intergenic	NA	-33161	FLJ35282								
P31FUJ_4_776_R1_peak_25997	chr6	125802865	125803542	+	77	NA	intron (NCOA7, intron 3 of 17)	NA	12440	NCOA7								
P31FUJ_4_776_R1_peak_9945	chr14	102777948	102779008	+	77	NA	intron (TRAF3, intron 1 of 10)	NA	999	TRAF3								
P31FUJ_4_776_R1_peak_26542	chr7	23182133	23182621	+	77	NA	exon (NUPL2, exon 1 of 8)	NA	536	NUPL2								
P31FUJ_4_776_R1_peak_17127	chr2	102892710	102893184	+	77	NA	Intergenic	NA	130916	TMEM182								
P31FUJ_4_776_R1_peak_23072	chr4	152536411	152536806	+	77	NA	TTS (MIR4453)	NA	176	MIR4453								
P31FUJ_4_776_R1_peak_14303	chr18	76467831	76468421	+	77	NA	intron (ZNF516, intron 1 of 6)	NA	-23942	LOC101927989								
P31FUJ_4_776_R1_peak_17483	chr2	151638469	151639480	+	77	NA	intron (NEB, intron 63 of 174)	NA	95500	NEB								
P31FUJ_4_776_R1_peak_9129	chr14	23160441	23161366	+	77	NA	intron (SLC7A8, intron 3 of 10)	NA	22757	SLC7A8								
P31FUJ_4_776_R1_peak_30874	chrX	154369925	154371037	+	77	NA	intron (FLNA, intron 2 of 47)	NA	4157	FLNA								
P31FUJ_4_776_R1_peak_20222	chr22	50306668	50307451	+	77	NA	intron (PLXNB2, intron 1 of 37)	NA	524	PLXNB2								
P31FUJ_4_776_R1_peak_26036	chr6	132512093	132512863	+	77	NA	intron (STX7, intron 1 of 9)	NA	720	STX7								
P31FUJ_4_776_R1_peak_28582	chr8	113739749	113740245	+	77	NA	Intergenic	NA	-362844	CSMD3								
P31FUJ_4_776_R1_peak_9024	chr14	20781171	20781517	+	77	NA	intron (RNASE6, intron 1 of 1)	NA	293	RNASE6								
P31FUJ_4_776_R1_peak_26533	chr7	17939904	17940410	+	77	NA	intron (SNX13, intron 1 of 15)	NA	361	SNX13								
