PeakID (cmd=annotatePeaks.pl UT7_3_187_R1_peaks.narrowPeak genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
UT7_3_187_R1_peak_3007	chr1	168053717	168053990	+	80	NA	intron (DCAF6, intron 17 of 21)	NA	55188	MIR1255B2								
UT7_3_187_R1_peak_29389	chr5	65563326	65563673	+	80	NA	promoter-TSS (PPWD1)	NA	263	PPWD1								
UT7_3_187_R1_peak_9561	chr12	122499593	122499871	+	80	NA	intron (ZCCHC8, intron 1 of 10)	NA	1341	ZCCHC8								
UT7_3_187_R1_peak_8148	chr12	15789043	15789342	+	80	NA	exon (EPS8, exon 1 of 21)	NA	-56417	EPS8								
UT7_3_187_R1_peak_19592	chr19	52936164	52936393	+	80	NA	intron (ZNF816-ZNF321P, intron 3 of 3)	NA	6316	ZNF321P								
UT7_3_187_R1_peak_16154	chr17	60863495	60863718	+	80	NA	intron (BCAS3, intron 7 of 23)	NA	77374	TRNASUP1								
UT7_3_187_R1_peak_34178	chr7	100627167	100627420	+	80	NA	exon (TFR2, exon 17 of 19)	NA	15191	MOSPD3								
UT7_3_187_R1_peak_5296	chr10	96830923	96831379	+	80	NA	exon (LOC102723665, exon 2 of 2)	NA	-1883	LCOR								
UT7_3_187_R1_peak_24736	chr22	29838520	29838835	+	80	NA	promoter-TSS (ASCC2)	NA	-403	ASCC2								
UT7_3_187_R1_peak_7705	chr11	128845712	128846005	+	80	NA	intron (KCNJ1, intron 1 of 1)	NA	21515	KCNJ1								
UT7_3_187_R1_peak_3329	chr1	197146819	197147336	+	80	NA	promoter-TSS (ASPM)	NA	-383	ASPM								
UT7_3_187_R1_peak_26351	chr3	50590244	50590474	+	80	NA	Intergenic	NA	20881	HEMK1								
UT7_3_187_R1_peak_29749	chr5	119321506	119321717	+	80	NA	intron (TNFAIP8, intron 2 of 2)	NA	34146	LOC102723444								
UT7_3_187_R1_peak_19657	chr19	55007284	55007533	+	80	NA	Intergenic	NA	30856	GP6								
UT7_3_187_R1_peak_38642	chrX	150984399	150984776	+	80	NA	promoter-TSS (HMGB3)	NA	1196	HMGB3								
UT7_3_187_R1_peak_9091	chr12	75977630	75977929	+	80	NA	Intergenic	NA	53997	PHLDA1								
UT7_3_187_R1_peak_4818	chr10	50555948	50556168	+	80	NA	intron (SGMS1, intron 2 of 10)	NA	67919	SGMS1								
UT7_3_187_R1_peak_8146	chr12	15663116	15663502	+	80	NA	intron (EPS8, intron 8 of 20)	NA	69466	EPS8								
UT7_3_187_R1_peak_235	chr1	10122888	10123300	+	80	NA	intron (UBE4B, intron 11 of 28)	NA	-87612	KIF1B								
UT7_3_187_R1_peak_14013	chr16	47143206	47143413	+	80	NA	promoter-TSS (RP11-329J18.2)	NA	716	NETO2								
UT7_3_187_R1_peak_21727	chr2	181790992	181791278	+	80	NA	Intergenic	NA	-100673	SSFA2								
UT7_3_187_R1_peak_27629	chr3	195856308	195856589	+	80	NA	Intergenic	NA	-2220	LOC101929697								
UT7_3_187_R1_peak_27032	chr3	134487014	134487335	+	80	NA	intron (CEP63, intron 1 of 14)	NA	469	CEP63								
UT7_3_187_R1_peak_5363	chr10	100187074	100187524	+	80	NA	Intergenic	NA	-1270	ERLIN1								
UT7_3_187_R1_peak_34436	chr7	130941424	130941925	+	80	NA	Intergenic	NA	28210	LOC100506860								
UT7_3_187_R1_peak_5141	chr10	79285649	79286052	+	80	NA	intron (ZMIZ1, intron 8 of 23)	NA	-61616	PPIF								
UT7_3_187_R1_peak_19438	chr19	49982309	49982649	+	80	NA	intron (VRK3, intron 12 of 12)	NA	12824	SIGLEC16								
UT7_3_187_R1_peak_21707	chr2	181304961	181305192	+	80	NA	TTS (MIR4437)	NA	537	MIR4437								
UT7_3_187_R1_peak_14465	chr16	81739166	81739591	+	80	NA	exon (RP11-960L18.1, exon 1 of 3)	NA	304	RP11-960L18.1								
UT7_3_187_R1_peak_27940	chr4	24582988	24583256	+	80	NA	intron (DHX15, intron 1 of 13)	NA	1439	DHX15								
UT7_3_187_R1_peak_20943	chr2	99490467	99490827	+	80	NA	promoter-TSS (REV1)	NA	-629	REV1								
UT7_3_187_R1_peak_831	chr1	27882565	27882839	+	80	NA	exon (THEMIS2, exon 3 of 5)	NA	10159	THEMIS2								
UT7_3_187_R1_peak_15174	chr17	17763276	17763622	+	80	NA	intron (RAI1, intron 2 of 5)	NA	16080	SMCR5								
UT7_3_187_R1_peak_35582	chr8	94971409	94971666	+	80	NA	Intergenic	NA	-15228	LOC100506538								
UT7_3_187_R1_peak_32710	chr6	135145379	135145723	+	80	NA	Intergenic	NA	-35764	MYB								
UT7_3_187_R1_peak_8116	chr12	12760088	12760369	+	80	NA	intron (APOLD1, intron 1 of 1)	NA	-4481	MIR613								
UT7_3_187_R1_peak_7016	chr11	73153390	73153925	+	80	NA	Intergenic	NA	-11559	FCHSD2								
UT7_3_187_R1_peak_7295	chr11	88181512	88181816	+	80	NA	Intergenic	NA	5103	MIR3166								
UT7_3_187_R1_peak_20604	chr2	69933511	69934383	+	80	NA	intron (MXD1, intron 3 of 5)	NA	18906	MXD1								
UT7_3_187_R1_peak_18751	chr19	38374173	38374406	+	80	NA	promoter-TSS (PSMD8)	NA	-261	PSMD8								
UT7_3_187_R1_peak_17334	chr18	79507419	79507914	+	80	NA	intron (NFATC1, intron 9 of 9)	NA	15680	LOC102723506								
UT7_3_187_R1_peak_29260	chr5	42994633	42995046	+	80	NA	Intergenic	NA	-1506	FLJ32255								
UT7_3_187_R1_peak_16253	chr17	64363345	64363570	+	80	NA	intron (PECAM1, intron 6 of 14)	NA	34936	PECAM1								
UT7_3_187_R1_peak_1323	chr1	44036310	44036683	+	80	NA	Intergenic	NA	-19156	SLC6A9								
UT7_3_187_R1_peak_8995	chr12	62251035	62251793	+	80	NA	intron (LOC102724280, intron 2 of 2)	NA	8126	LOC102724280								
UT7_3_187_R1_peak_9423	chr12	116385478	116385970	+	80	NA	Intergenic	NA	42594	MIR4472-2								
UT7_3_187_R1_peak_761	chr1	26574529	26574872	+	80	NA	exon (RPS6KA1, exon 22 of 22)	NA	20158	MIR1976								
UT7_3_187_R1_peak_2585	chr1	153957326	153958045	+	80	NA	intron (CRTC2, intron 1 of 12)	NA	545	CRTC2								
UT7_3_187_R1_peak_31362	chr6	28773180	28773644	+	80	NA	Intergenic	NA	9025	TRNAF4								
UT7_3_187_R1_peak_15026	chr17	8139147	8139421	+	80	NA	promoter-TSS (TRNAS6)	NA	241	TRNAT22								
UT7_3_187_R1_peak_7778	chr12	1329882	1330335	+	80	NA	intron (ERC1, intron 10 of 14)	NA	-170383	LINC00942								
UT7_3_187_R1_peak_1603	chr1	55244972	55245291	+	80	NA	Intergenic	NA	19490	MIR4422								
UT7_3_187_R1_peak_37052	chr9	96875610	96875825	+	80	NA	intron (ZNF782, intron 1 of 5)	NA	6817	LOC100132781								
UT7_3_187_R1_peak_24034	chr21	33490997	33491257	+	80	NA	exon (DNAJC28, exon 1 of 2)	NA	596	DNAJC28								
UT7_3_187_R1_peak_692	chr1	25860813	25861259	+	80	NA	TTS (PAQR7)	NA	-1578	AUNIP								
UT7_3_187_R1_peak_20705	chr2	74151978	74152434	+	80	NA	exon (BOLA3-AS1, exon 3 of 3)	NA	4225	BOLA3-AS1								
UT7_3_187_R1_peak_14090	chr16	56682484	56682940	+	80	NA	intron (MT1X, intron 1 of 2)	NA	242	MT1X								
UT7_3_187_R1_peak_33984	chr7	78020051	78020286	+	80	NA	intron (MAGI2, intron 21 of 21)	NA	180038	PHTF2								
UT7_3_187_R1_peak_33239	chr7	469201	469446	+	80	NA	Intergenic	NA	-37639	LOC100131372								
UT7_3_187_R1_peak_6701	chr11	65382933	65383409	+	80	NA	promoter-TSS (SLC25A45)	NA	-498	SLC25A45								
UT7_3_187_R1_peak_34363	chr7	121041550	121041848	+	80	NA	intron (CPED1, intron 3 of 22)	NA	53002	CPED1								
UT7_3_187_R1_peak_20738	chr2	74562762	74563023	+	80	NA	intron (M1AP, intron 7 of 10)	NA	8507	DOK1								
UT7_3_187_R1_peak_452	chr1	19311659	19312083	+	80	NA	promoter-TSS (PQLC2)	NA	275	AKR7A2								
UT7_3_187_R1_peak_3975	chr1	233081965	233082611	+	80	NA	intron (PCNXL2, intron 23 of 23)	NA	-118140	LOC101927736								
UT7_3_187_R1_peak_18287	chr19	17244511	17245053	+	80	NA	intron (NR2F6, intron 1 of 3)	NA	560	NR2F6								
UT7_3_187_R1_peak_11448	chr14	100699367	100699622	+	80	NA	Intergenic	NA	-27371	DLK1								
UT7_3_187_R1_peak_30420	chr5	176183838	176184138	+	80	NA	intron (RP11-844P9.2, intron 4 of 25)	NA	15307	RP11-844P9.2								
UT7_3_187_R1_peak_5146	chr10	79318117	79318387	+	80	NA	Intergenic	NA	-29214	PPIF								
UT7_3_187_R1_peak_3785	chr1	225444700	225444907	+	80	NA	Intergenic	NA	-15948	LBR								
UT7_3_187_R1_peak_13098	chr15	96345841	96346288	+	80	NA	intron (LOC102724872, intron 2 of 2)	NA	4292	LOC102724872								
UT7_3_187_R1_peak_15015	chr17	7884173	7884368	+	80	NA	promoter-TSS (CHD3)	NA	-515	CHD3								
UT7_3_187_R1_peak_3000	chr1	167631626	167632189	+	80	NA	promoter-TSS (LOC102724466)	NA	-372	LOC102724466								
UT7_3_187_R1_peak_12117	chr15	56320129	56320439	+	80	NA	intron (TEX9, intron 1 of 10)	NA	-45128	TEX9								
UT7_3_187_R1_peak_28796	chr4	146520543	146520927	+	80	NA	intron (SLC10A7, intron 1 of 11)	NA	1236	SLC10A7								
UT7_3_187_R1_peak_34129	chr7	99837595	99837901	+	80	NA	intron (CYP3A43, intron 2 of 13)	NA	9735	CYP3A43								
UT7_3_187_R1_peak_21400	chr2	144579973	144580723	+	80	NA	TTS (LOC101928455)	NA	58449	LOC101928455								
UT7_3_187_R1_peak_24118	chr21	35103029	35103479	+	80	NA	Intergenic	NA	-63828	RUNX1-IT1								
UT7_3_187_R1_peak_3011	chr1	168146528	168146775	+	80	NA	Intergenic	NA	-9944	GPR161								
UT7_3_187_R1_peak_19901	chr2	8535856	8536522	+	80	NA	Intergenic	NA	47603	AC011747.4								
UT7_3_187_R1_peak_5099	chr10	78255919	78256202	+	80	NA	Intergenic	NA	7435	LINC00856								
UT7_3_187_R1_peak_7903	chr12	6843782	6844059	+	80	NA	exon (GNB3, exon 8 of 10)	NA	2998	GNB3								
UT7_3_187_R1_peak_30664	chr6	2798381	2798849	+	80	NA	Intergenic	NA	32901	WRNIP1								
UT7_3_187_R1_peak_38615	chrX	148600677	148600982	+	80	NA	intron (AFF2, intron 1 of 19)	NA	100210	AFF2								
UT7_3_187_R1_peak_18996	chr19	42242805	42243143	+	80	NA	promoter-TSS (GSK3A)	NA	-390	GSK3A								
UT7_3_187_R1_peak_16505	chr17	76443265	76443512	+	80	NA	intron (UBE2O, intron 1 of 17)	NA	9802	UBE2O								
UT7_3_187_R1_peak_12313	chr15	64844105	64845014	+	80	NA	intron (PLEKHO2, intron 1 of 4)	NA	2676	PLEKHO2								
UT7_3_187_R1_peak_21668	chr2	177332686	177333433	+	80	NA	intron (AC074286.1, intron 3 of 8)	NA	-19185	MIR6512								
UT7_3_187_R1_peak_5871	chr11	3784762	3785185	+	80	NA	intron (NUP98, intron 1 of 32)	NA	12781	NUP98								
UT7_3_187_R1_peak_19289	chr19	48175304	48175664	+	80	NA	intron (C19orf68, intron 2 of 3)	NA	4523	C19orf68								
UT7_3_187_R1_peak_26529	chr3	58237887	58238143	+	80	NA	intron (ABHD6, intron 1 of 8)	NA	509	ABHD6								
UT7_3_187_R1_peak_21516	chr2	162344306	162344554	+	80	NA	intron (GCA, intron 1 of 7)	NA	25543	GCA								
UT7_3_187_R1_peak_6047	chr11	12201555	12201885	+	80	NA	intron (MICAL2, intron 2 of 21)	NA	38037	MIR6124								
UT7_3_187_R1_peak_29163	chr5	33209584	33209788	+	80	NA	Intergenic	NA	-231090	TARS								
UT7_3_187_R1_peak_4269	chr10	329559	329877	+	80	NA	intron (DIP2C, intron 13 of 20)	NA	194731	ZMYND11								
UT7_3_187_R1_peak_24948	chr22	36458099	36458621	+	80	NA	Intergenic	NA	-12978	LOC101926989								
UT7_3_187_R1_peak_9225	chr12	100200903	100201148	+	80	NA	exon (ACTR6, exon 1 of 11)	NA	248	ACTR6								
UT7_3_187_R1_peak_5399	chr10	102025098	102025346	+	80	NA	exon (C10orf76, exon 6 of 24)	NA	30951	C10orf76								
UT7_3_187_R1_peak_21483	chr2	159140792	159141575	+	80	NA	intron (TANC1, intron 4 of 22)	NA	-45652	MIR6888								
UT7_3_187_R1_peak_29685	chr5	108726463	108726946	+	80	NA	Intergenic	NA	1557	LINC01023								
UT7_3_187_R1_peak_1314	chr1	43945708	43945957	+	80	NA	promoter-TSS (IPO13)	NA	820	LOC101929609								
UT7_3_187_R1_peak_28017	chr4	40202409	40202849	+	80	NA	intron (RHOH, intron 1 of 2)	NA	5722	RHOH								
UT7_3_187_R1_peak_17641	chr19	5628205	5628416	+	80	NA	intron (SAFB, intron 2 of 18)	NA	5275	SAFB								
UT7_3_187_R1_peak_14662	chr16	88936353	88936565	+	80	NA	intron (CBFA2T3, intron 1 of 11)	NA	-3189	LOC100129697								
UT7_3_187_R1_peak_14914	chr17	4944502	4945251	+	80	NA	TTS (PFN1)	NA	4210	PFN1								
UT7_3_187_R1_peak_14430	chr16	81469448	81469767	+	80	NA	intron (CMIP, intron 1 of 20)	NA	-64295	MIR7854								
UT7_3_187_R1_peak_5489	chr10	109893133	109893502	+	80	NA	intron (XPNPEP1, intron 3 of 20)	NA	30236	XPNPEP1								
UT7_3_187_R1_peak_26851	chr3	128094334	128094675	+	80	NA	intron (RUVBL1, intron 8 of 10)	NA	29324	RUVBL1								
UT7_3_187_R1_peak_7075	chr11	75333827	75334220	+	80	NA	intron (ARRB1, intron 1 of 15)	NA	1163	MIR326								
UT7_3_187_R1_peak_36323	chr9	3522984	3523225	+	80	NA	intron (RFX3, intron 1 of 17)	NA	1543	RFX3								
UT7_3_187_R1_peak_11674	chr15	30822719	30823346	+	80	NA	intron (HERC2P10, intron 2 of 4)	NA	4996	HERC2P10								
UT7_3_187_R1_peak_25431	chr22	46595454	46596112	+	80	NA	intron (GRAMD4, intron 1 of 17)	NA	19766	GRAMD4								
UT7_3_187_R1_peak_11080	chr14	72870002	72870422	+	80	NA	TTS (LOC102724054)	NA	5076	LOC102724054								
UT7_3_187_R1_peak_3410	chr1	199843562	199843832	+	80	NA	Intergenic	NA	-183944	NR5A2								
UT7_3_187_R1_peak_3374	chr1	198679589	198679831	+	80	NA	intron (PTPRC, intron 2 of 32)	NA	40742	PTPRC								
UT7_3_187_R1_peak_13674	chr16	22281997	22282228	+	80	NA	intron (EEF2K, intron 17 of 17)	NA	-15028	TRNAL27								
UT7_3_187_R1_peak_26083	chr3	44338457	44338727	+	80	NA	exon (TCAIM, exon 1 of 11)	NA	140	TCAIM								
UT7_3_187_R1_peak_7431	chr11	111097566	111097762	+	80	NA	intron (LOC102723966, intron 1 of 2)	NA	328	LOC102723966								
UT7_3_187_R1_peak_939	chr1	30777804	30778361	+	80	NA	Intergenic	NA	-20246	LAPTM5								
UT7_3_187_R1_peak_26643	chr3	98593895	98594347	+	80	NA	promoter-TSS (CPOX)	NA	-510	CPOX								
UT7_3_187_R1_peak_7540	chr11	119087344	119087724	+	80	NA	promoter-TSS (HMBS)	NA	2657	HMBS								
UT7_3_187_R1_peak_8984	chr12	57936237	57936451	+	80	NA	promoter-TSS (RP11-620J15.3)	NA	-180	RP11-620J15.3								
UT7_3_187_R1_peak_7314	chr11	93716140	93716472	+	80	NA	intron (KIAA1731, intron 18 of 29)	NA	-5208	SCARNA9								
UT7_3_187_R1_peak_8488	chr12	47814128	47814776	+	80	NA	intron (HDAC7, intron 1 of 25)	NA	5964	HDAC7								
UT7_3_187_R1_peak_1190	chr1	39759761	39760258	+	80	NA	exon (BMP8B, exon 7 of 7)	NA	11339	OXCT2								
UT7_3_187_R1_peak_2032	chr1	101000195	101000501	+	80	NA	intron (DPH5, intron 5 of 7)	NA	25435	DPH5								
UT7_3_187_R1_peak_35890	chr8	128039151	128039408	+	80	NA	intron (PVT1, intron 4 of 7)	NA	-9924	MIR1207								
UT7_3_187_R1_peak_15002	chr17	7688578	7688836	+	80	NA	exon (WRAP53, exon 2 of 11)	NA	-1157	TP53								
UT7_3_187_R1_peak_31980	chr6	43703041	43703375	+	80	NA	Intergenic	NA	-15396	MRPS18A								
UT7_3_187_R1_peak_27180	chr3	150726366	150726723	+	80	NA	Intergenic	NA	10947	LOC101928105								
UT7_3_187_R1_peak_20939	chr2	99336902	99337261	+	79	NA	promoter-TSS (EIF5B)	NA	-277	EIF5B								
UT7_3_187_R1_peak_24617	chr22	25404618	25405327	+	79	NA	intron (LOC102724336, intron 2 of 3)	NA	1423	LOC102724336								
UT7_3_187_R1_peak_34420	chr7	129959018	129959322	+	79	NA	Intergenic	NA	-6210	UBE2H								
UT7_3_187_R1_peak_36876	chr9	77848431	77848728	+	79	NA	intron (GNAQ, intron 2 of 6)	NA	182870	GNAQ								
UT7_3_187_R1_peak_2870	chr1	160363513	160363821	+	79	NA	Intergenic	NA	-3404	NHLH1								
UT7_3_187_R1_peak_29058	chr5	3838562	3838988	+	79	NA	Intergenic	NA	242721	IRX1								
UT7_3_187_R1_peak_17599	chr19	4454832	4455109	+	79	NA	intron (UBXN6, intron 1 of 10)	NA	2824	UBXN6								
UT7_3_187_R1_peak_15841	chr17	46906043	46906397	+	79	NA	Intergenic	NA	-16900	GOSR2								
UT7_3_187_R1_peak_3220	chr1	182614638	182615411	+	79	NA	promoter-TSS (LOC284648)	NA	-116	LOC284648								
UT7_3_187_R1_peak_35841	chr8	125429155	125429450	+	79	NA	Intergenic	NA	-1019	TRIB1								
UT7_3_187_R1_peak_18509	chr19	27935499	27935825	+	79	NA	intron (LOC101927170, intron 4 of 4)	NA	-22869	LOC102724694								
UT7_3_187_R1_peak_18316	chr19	17774970	17775291	+	79	NA	intron (FCHO1, intron 12 of 26)	NA	-19980	B3GNT3								
UT7_3_187_R1_peak_24225	chr21	39094683	39094936	+	79	NA	Intergenic	NA	-83550	LOC102724740								
UT7_3_187_R1_peak_32047	chr6	44226922	44227416	+	79	NA	intron (SLC29A1, intron 1 of 12)	NA	3622	SLC29A1								
UT7_3_187_R1_peak_32029	chr6	44042957	44043498	+	79	NA	Intergenic	NA	-30686	LOC101929683								
UT7_3_187_R1_peak_24553	chr22	23216260	23216658	+	79	NA	intron (BCR, intron 1 of 21)	NA	36094	BCR								
UT7_3_187_R1_peak_21007	chr2	104658601	104659219	+	79	NA	Intergenic	NA	-44848	LOC101927383								
UT7_3_187_R1_peak_15848	chr17	47072062	47072324	+	79	NA	intron (LOC101927060, intron 2 of 2)	NA	28072	LOC101927060								
UT7_3_187_R1_peak_27857	chr4	6750921	6751278	+	79	NA	Intergenic	NA	34984	BLOC1S4								
UT7_3_187_R1_peak_32027	chr6	44000878	44001159	+	79	NA	exon (C6orf223, exon 2 of 4)	NA	418	C6orf223								
UT7_3_187_R1_peak_17631	chr19	5005661	5005917	+	79	NA	intron (KDM4B, intron 1 of 23)	NA	73070	MIR4747								
UT7_3_187_R1_peak_13827	chr16	29661077	29661296	+	79	NA	Intergenic	NA	-1764	SPN								
UT7_3_187_R1_peak_18204	chr19	15865713	15866132	+	79	NA	Intergenic	NA	-1022	LOC102724299								
UT7_3_187_R1_peak_14648	chr16	88789991	88791238	+	79	NA	Intergenic	NA	-6671	PIEZO1								
UT7_3_187_R1_peak_17658	chr19	5953271	5953904	+	79	NA	intron (RANBP3, intron 2 of 16)	NA	24722	RANBP3								
UT7_3_187_R1_peak_1605	chr1	55275909	55276142	+	79	NA	Intergenic	NA	50384	MIR4422								
UT7_3_187_R1_peak_28075	chr4	54550417	54550735	+	79	NA	Intergenic	NA	56555	LOC339978								
UT7_3_187_R1_peak_16076	chr17	58340625	58340904	+	79	NA	intron (BZRAP1-AS1, intron 2 of 3)	NA	-4742	MIR4736								
UT7_3_187_R1_peak_31717	chr6	35452320	35452777	+	79	NA	exon (FANCE, exon 1 of 10)	NA	209	FANCE								
UT7_3_187_R1_peak_27574	chr3	194083461	194083706	+	79	NA	Intergenic	NA	5308	LOC102724877								
UT7_3_187_R1_peak_31555	chr6	31896505	31896963	+	79	NA	exon (EHMT2, exon 2 of 26)	NA	973	EHMT2								
UT7_3_187_R1_peak_2228	chr1	112934449	112934972	+	79	NA	intron (SLC16A1, intron 1 of 4)	NA	11360	AKR7A2P1								
UT7_3_187_R1_peak_10897	chr14	64880617	64880915	+	79	NA	promoter-TSS (SPTB)	NA	-33595	CHURC1								
UT7_3_187_R1_peak_8401	chr12	45215640	45215914	+	79	NA	promoter-TSS (ANO6)	NA	-210	ANO6								
UT7_3_187_R1_peak_29203	chr5	36724628	36724888	+	79	NA	Intergenic	NA	118403	SLC1A3								
UT7_3_187_R1_peak_26422	chr3	52210951	52211634	+	79	NA	exon (ALAS1, exon 10 of 12)	NA	13209	ALAS1								
UT7_3_187_R1_peak_23917	chr21	25485884	25486255	+	79	NA	Intergenic	NA	-54368	LINC00158								
UT7_3_187_R1_peak_19688	chr19	55229099	55229428	+	79	NA	promoter-TSS (TMEM86B)	NA	1	TMEM86B								
UT7_3_187_R1_peak_32036	chr6	44064084	44064444	+	79	NA	Intergenic	NA	-9649	LOC101929683								
UT7_3_187_R1_peak_32719	chr6	135185485	135185963	+	79	NA	intron (MYB, intron 1 of 15)	NA	4409	MYB								
UT7_3_187_R1_peak_2550	chr1	153433101	153433440	+	79	NA	Intergenic	NA	6757	S100A7L2								
UT7_3_187_R1_peak_10560	chr14	33811780	33812180	+	79	NA	Intergenic	NA	139098	EGLN3								
UT7_3_187_R1_peak_20653	chr2	71469319	71469705	+	79	NA	intron (DYSF, intron 1 of 55)	NA	15889	DYSF								
UT7_3_187_R1_peak_21881	chr2	197310913	197311121	+	79	NA	promoter-TSS (ANKRD44)	NA	-220	ANKRD44								
UT7_3_187_R1_peak_35920	chr8	129534284	129534820	+	79	NA	Intergenic	NA	-50464	MIR3686								
UT7_3_187_R1_peak_1554	chr1	54223351	54223671	+	79	NA	intron (MRPL37, intron 6 of 6)	NA	-12932	SSBP3-AS1								
UT7_3_187_R1_peak_1768	chr1	68778197	68778592	+	79	NA	Intergenic	NA	-281173	DEPDC1								
UT7_3_187_R1_peak_20865	chr2	96242588	96243083	+	79	NA	TTS (STARD7-AS1)	NA	23178	TMEM127								
UT7_3_187_R1_peak_7863	chr12	6493424	6493810	+	79	NA	promoter-TSS (NCAPD2)	NA	-312	MRPL51								
UT7_3_187_R1_peak_35566	chr8	94719174	94719626	+	79	NA	promoter-TSS (DPY19L4)	NA	-475	DPY19L4								
UT7_3_187_R1_peak_33737	chr7	44257481	44257750	+	79	NA	intron (CAMK2B, intron 4 of 20)	NA	56647	YKT6								
UT7_3_187_R1_peak_30316	chr5	170279182	170279777	+	79	NA	intron (LCP2, intron 3 of 20)	NA	18339	LCP2								
UT7_3_187_R1_peak_22540	chr20	290112	290382	+	79	NA	intron (C20orf96, intron 1 of 9)	NA	510	C20orf96								
UT7_3_187_R1_peak_18194	chr19	15837693	15838699	+	79	NA	Intergenic	NA	9249	UCA1								
UT7_3_187_R1_peak_801	chr1	27532314	27532634	+	79	NA	Intergenic	NA	-42307	WASF2								
UT7_3_187_R1_peak_19144	chr19	45439648	45440190	+	79	NA	intron (ERCC1, intron 1 of 8)	NA	3265	MIR6088								
UT7_3_187_R1_peak_33319	chr7	2109813	2110202	+	79	NA	intron (MAD1L1, intron 9 of 16)	NA	122941	MAD1L1								
UT7_3_187_R1_peak_18642	chr19	35748610	35749037	+	79	NA	intron (LIN37, intron 1 of 8)	NA	462	LIN37								
UT7_3_187_R1_peak_19422	chr19	49872367	49872594	+	79	NA	intron (AKT1S1, intron 2 of 4)	NA	4907	AKT1S1								
UT7_3_187_R1_peak_352	chr1	15697165	15697400	+	79	NA	intron (PLEKHM2, intron 1 of 18)	NA	13145	PLEKHM2								
UT7_3_187_R1_peak_22124	chr2	216883948	216884378	+	79	NA	Intergenic	NA	-10231	LOC102723329								
UT7_3_187_R1_peak_19486	chr19	51416593	51416987	+	79	NA	exon (SIGLEC10, exon 3 of 9)	NA	884	LOC100129083								
UT7_3_187_R1_peak_17116	chr18	46058662	46058953	+	79	NA	intron (PSTPIP2, intron 1 of 14)	NA	13477	PSTPIP2								
UT7_3_187_R1_peak_20736	chr2	74555931	74556213	+	79	NA	exon (DOK1, exon 4 of 5)	NA	1687	DOK1								
UT7_3_187_R1_peak_7021	chr11	73218294	73218583	+	79	NA	promoter-TSS (P2RY2)	NA	769	P2RY2								
UT7_3_187_R1_peak_11410	chr14	100078299	100078864	+	79	NA	intron (EVL, intron 1 of 13)	NA	4112	EVL								
UT7_3_187_R1_peak_17770	chr19	8418619	8419180	+	79	NA	intron (MARCH2, intron 2 of 5)	NA	5204	MARCH2								
UT7_3_187_R1_peak_22410	chr2	233221484	233222100	+	79	NA	Intergenic	NA	-29779	ATG16L1								
UT7_3_187_R1_peak_37869	chr9	136713128	136713401	+	79	NA	intron (FAM69B, intron 1 of 4)	NA	692	FAM69B								
UT7_3_187_R1_peak_4714	chr10	45379834	45380211	+	79	NA	intron (ALOX5, intron 1 of 13)	NA	5846	ALOX5								
UT7_3_187_R1_peak_30685	chr6	3118377	3118590	+	79	NA	promoter-TSS (BPHL)	NA	-209	BPHL								
UT7_3_187_R1_peak_6539	chr11	62598787	62599139	+	79	NA	intron (MTA2, intron 3 of 17)	NA	2877	MTA2								
UT7_3_187_R1_peak_2572	chr1	153697860	153698401	+	79	NA	Intergenic	NA	-8337	MIR8083								
UT7_3_187_R1_peak_3890	chr1	230125695	230126206	+	79	NA	intron (GALNT2, intron 1 of 15)	NA	58741	GALNT2								
UT7_3_187_R1_peak_19154	chr19	45510407	45510822	+	79	NA	intron (VASP, intron 1 of 12)	NA	3172	VASP								
UT7_3_187_R1_peak_20471	chr2	62457201	62457481	+	79	NA	Intergenic	NA	49128	TMEM17								
UT7_3_187_R1_peak_31030	chr6	20445464	20445658	+	79	NA	intron (E2F3, intron 1 of 6)	NA	41882	E2F3								
UT7_3_187_R1_peak_13426	chr16	8867535	8867989	+	79	NA	promoter-TSS (CARHSP1)	NA	-1261	CARHSP1								
UT7_3_187_R1_peak_24278	chr21	42558729	42559548	+	79	NA	intron (SLC37A1, intron 12 of 18)	NA	20619	LOC101928212								
UT7_3_187_R1_peak_2199	chr1	111661097	111661310	+	79	NA	intron (RAP1A, intron 2 of 8)	NA	41359	RAP1A								
UT7_3_187_R1_peak_1291	chr1	43330510	43330932	+	79	NA	Intergenic	NA	-7083	MPL								
UT7_3_187_R1_peak_30552	chr5	179773406	179774043	+	78	NA	intron (MAML1, intron 4 of 4)	NA	-17991	LOC101928482								
UT7_3_187_R1_peak_36080	chr8	141226661	141227386	+	78	NA	intron (SLC45A4, intron 2 of 7)	NA	1551	SLC45A4								
UT7_3_187_R1_peak_12842	chr15	85692826	85693493	+	78	NA	intron (AKAP13, intron 18 of 38)	NA	63471	RP11-158M2.5								
UT7_3_187_R1_peak_11739	chr15	34102181	34102729	+	78	NA	promoter-TSS (EMC7)	NA	382	PGBD4								
UT7_3_187_R1_peak_510	chr1	21608403	21609013	+	78	NA	intron (RAP1GAP, intron 17 of 26)	NA	43147	RAP1GAP								
