PeakID (cmd=annotatePeaks.pl SP1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_17225	chr19	54517556	54517829	+	0	NA	Intergenic	NA	-3435	LOC101929818								
Interval_7574	chr12	111774009	111774186	+	0	NA	intron (ALDH2, intron 1 of 12)	NA	7210	ALDH2								
Interval_2625	chr1	201955114	201955814	+	0	NA	promoter-TSS (TIMM17A)	NA	-27	TIMM17A								
Interval_5117	chr11	46918427	46918885	+	0	NA	promoter-TSS (LRP4)	NA	-118	LRP4								
Interval_2182	chr1	156504891	156505626	+	0	NA	Intergenic	NA	-5766	MEF2D								
Interval_2240	chr1	159889993	159890198	+	0	NA	intron (CCDC19, intron 3 of 11)	NA	10021	CCDC19								
Interval_19214	chr2	218405950	218406840	+	0	NA	TTS (CTDSP1)	NA	3738	MIR26B								
Interval_28694	chr7	94620688	94620998	+	0	NA	intron (SGCE, intron 5 of 11)	NA	35362	SGCE								
Interval_17762	chr2	37822745	37822943	+	0	NA	Intergenic	NA	53019	LINC00211								
Interval_24924	chr5	49661655	49661926	+	0	NA	Intergenic	NA	779610	EMB								
Interval_19355	chr2	231604460	231605251	+	0	NA	Intergenic	NA	11991	C2orf57								
Interval_12385	chr17	18247382	18247545	+	0	NA	intron (FLII, intron 20 of 28)	NA	11453	FLII								
Interval_10808	chr16	19130946	19131219	+	0	NA	Intergenic	NA	17150	ITPRIPL2								
Interval_17792	chr2	40037433	40037660	+	0	NA	intron (SLC8A1-AS1, intron 2 of 4)	NA	119912	SLC8A1-AS1								
Interval_14106	chr18	9101723	9102017	+	0	NA	promoter-TSS (NDUFV2)	NA	-772	NDUFV2								
Interval_23544	chr3	197555853	197556240	+	0	NA	promoter-TSS (BDH1)	NA	-59	BDH1								
Interval_15924	chr19	18678006	18678309	+	0	NA	Intergenic	NA	-5496	CRTC1								
Interval_11394	chr16	67465895	67466083	+	0	NA	intron (ATP6V0D1, intron 1 of 7)	NA	15197	ATP6V0D1								
Interval_22736	chr3	107522744	107523268	+	0	NA	promoter-TSS (BBX)	NA	70	BBX								
Interval_2236	chr1	159436409	159436658	+	0	NA	intron (OR10J1, intron 1 of 1)	NA	-3189	OR10J1								
Interval_11138	chr16	46399248	46399529	+	0	NA	Intergenic	NA	169709	ANKRD26P1								
Interval_12606	chr17	32062095	32062286	+	0	NA	Intergenic	NA	21854	SH3GL1P1								
Interval_24992	chr5	62403207	62403519	+	0	NA	intron (DIMT1, intron 1 of 11)	NA	538	DIMT1								
Interval_10772	chr16	15395685	15395852	+	0	NA	promoter-TSS (MPV17L)	NA	191	MPV17L								
Interval_8836	chr14	70641751	70642068	+	0	NA	promoter-TSS (LOC101928075)	NA	122	TTC9								
Interval_21452	chr22	38755335	38756459	+	0	NA	promoter-TSS (SUN2)	NA	-115	SUN2								
Interval_31573	chr9	123304649	123304840	+	0	NA	Intergenic	NA	-36180	STRBP								
Interval_12034	chr17	4143395	4143860	+	0	NA	promoter-TSS (ZZEF1)	NA	459	CYB5D2								
Interval_14753	chr19	1449895	1450185	+	0	NA	promoter-TSS (APC2)	NA	3770	APC2								
Interval_20724	chr21	35509027	35509174	+	0	NA	intron (LOC100506403, intron 1 of 2)	NA	71664	LOC100506403								
Interval_20717	chr21	35026780	35027220	+	0	NA	intron (RUNX1, intron 2 of 7)	NA	12426	RUNX1-IT1								
Interval_13097	chr17	48100806	48101840	+	0	NA	promoter-TSS (CBX1)	NA	-125	CBX1								
Interval_250	chr1	8424504	8424893	+	0	NA	promoter-TSS (RERE)	NA	-1011	RERE								
Interval_7876	chr12	130818849	130819271	+	0	NA	intron (STX2, intron 3 of 10)	NA	20214	STX2								
Interval_3830	chr10	72354505	72355235	+	0	NA	exon (DNAJB12, exon 1 of 9)	NA	130	DNAJB12								
Interval_4414	chr10	122558269	122558670	+	0	NA	Intergenic	NA	-2246	DMBT1								
Interval_31274	chr9	94668958	94669153	+	0	NA	Intergenic	NA	-29414	FBP1								
Interval_15705	chr19	16153363	16154567	+	0	NA	intron (HSH2D, intron 6 of 7)	NA	19510	CIB3								
Interval_27682	chr6	152587580	152587773	+	0	NA	intron (SYNE1, intron 2 of 146)	NA	49217	SYNE1								
Interval_15193	chr19	7800254	7800490	+	0	NA	Intergenic	NA	12888	CLEC4GP1								
Interval_6474	chr12	6647186	6647801	+	0	NA	promoter-TSS (ACRBP)	NA	-79	ACRBP								
Interval_11365	chr16	66880193	66881047	+	0	NA	promoter-TSS (PDP2)	NA	13	PDP2								
Interval_2895	chr1	221742760	221743567	+	0	NA	promoter-TSS (DUSP10)	NA	-5703	DUSP10								
Interval_2663	chr1	203325886	203326056	+	0	NA	Intergenic	NA	20435	BTG2								
Interval_14789	chr19	1895338	1895704	+	0	NA	Intergenic	NA	-9851	ADAT3								
Interval_3464	chr10	28676991	28677746	+	0	NA	promoter-TSS (BAMBI)	NA	-127	BAMBI								
Interval_15362	chr19	10644792	10645004	+	0	NA	TTS (SLC44A2)	NA	8974	ILF3-AS1								
Interval_31596	chr9	124285969	124286147	+	0	NA	promoter-TSS (NEK6)	NA	-230	NEK6								
Interval_3990	chr10	86366460	86366945	+	0	NA	promoter-TSS (GRID1)	NA	-212	GRID1								
Interval_6902	chr12	51083045	51083904	+	0	NA	exon (CSRNP2, exon 1 of 5)	NA	-2013	CSRNP2								
Interval_4228	chr10	102478994	102479228	+	0	NA	TTS (ACTR1A)	NA	17698	TMEM180								
Interval_31091	chr9	37464581	37466274	+	0	NA	promoter-TSS (ZBTB5)	NA	-464	ZBTB5								
Interval_744	chr1	27392242	27392874	+	0	NA	promoter-TSS (GPR3)	NA	-86	GPR3								
Interval_25876	chr5	173782091	173782373	+	0	NA	Intergenic	NA	8710	LOC101928154								
Interval_31084	chr9	37027487	37028092	+	0	NA	intron (PAX5, intron 1 of 7)	NA	6690	PAX5								
Interval_2314	chr1	161750216	161750409	+	0	NA	intron (DUSP12, intron 1 of 5)	NA	544	DUSP12								
Interval_18446	chr2	105037542	105038344	+	0	NA	promoter-TSS (MRPS9)	NA	-82	MRPS9								
Interval_18281	chr2	86623146	86624206	+	0	NA	exon (RNF103, exon 1 of 3)	NA	201	RNF103								
Interval_18551	chr2	117171061	117171240	+	0	NA	Intergenic	NA	-643529	DDX18								
Interval_10877	chr16	23848084	23848305	+	0	NA	intron (PRKCB, intron 2 of 16)	NA	12215	PRKCB								
Interval_13450	chr17	67434141	67434388	+	0	NA	intron (PITPNC1, intron 1 of 8)	NA	-37279	MIR548AA2								
Interval_22665	chr3	79019356	79019643	+	0	NA	promoter-TSS (ROBO1)	NA	-392228	LOC101927374								
Interval_31971	chr9	136109332	136109991	+	0	NA	Intergenic	NA	9224	C9orf69								
Interval_3931	chr10	79070955	79071326	+	0	NA	intron (ZMIZ1, intron 1 of 24)	NA	2146	ZMIZ1								
Interval_24866	chr5	39425101	39425340	+	0	NA	promoter-TSS (DAB2)	NA	13	DAB2								
Interval_2801	chr1	211382341	211382902	+	0	NA	promoter-TSS (LINC00467)	NA	-134	LINC00467								
Interval_13670	chr17	76384323	76385013	+	0	NA	promoter-TSS (SPHK1)	NA	1505	SPHK1								
Interval_22654	chr3	72888033	72888224	+	0	NA	promoter-TSS (GXYLT2)	NA	-106	GXYLT2								
Interval_2699	chr1	204807043	204807494	+	0	NA	Intergenic	NA	-21386	NFASC								
Interval_28207	chr7	27921303	27921465	+	0	NA	intron (JAZF1, intron 2 of 5)	NA	181289	TAX1BP1								
Interval_29753	chr8	32572040	32572275	+	0	NA	intron (NRG1, intron 1 of 4)	NA	23947	NRG1								
Interval_20574	chr21	8213207	8213490	+	0	NA	Intergenic	NA	29725	LOC102723570								
Interval_2567	chr1	198157352	198157957	+	0	NA	intron (NEK7, intron 1 of 9)	NA	676	NEK7								
Interval_12630	chr17	34200095	34200259	+	0	NA	Intergenic	NA	-16545	RP11-215E13.1								
Interval_20564	chr20	64255420	64255850	+	0	NA	promoter-TSS (PCMTD2)	NA	-60	PCMTD2								
Interval_28545	chr7	74226747	74226951	+	0	NA	TTS (LAT2)	NA	17092	LAT2								
Interval_22526	chr3	53347317	53347933	+	0	NA	promoter-TSS (DCP1A)	NA	-104	DCP1A								
Interval_1881	chr1	146035576	146035740	+	0	NA	promoter-TSS (TRNAE21)	NA	-34	TRNAE21								
Interval_28818	chr7	101058562	101058737	+	0	NA	exon (MUC17, exon 13 of 13)	NA	-26856	TRIM56								
Interval_1681	chr1	109620663	109621273	+	0	NA	promoter-TSS (AMPD2)	NA	1155	AMPD2								
Interval_10847	chr16	21820264	21820635	+	0	NA	promoter-TSS (LOC102723428)	NA	-67	LOC102723428								
Interval_19061	chr2	200306557	200306772	+	0	NA	promoter-TSS (SPATS2L)	NA	652	SPATS2L								
Interval_7543	chr12	110605686	110605888	+	0	NA	Intergenic	NA	-8336	TCTN1								
Interval_6938	chr12	52036812	52037456	+	0	NA	promoter-TSS (NR4A1)	NA	-14268	NR4A1								
Interval_3612	chr10	46282975	46283272	+	0	NA	Intergenic	NA	-3874	ANTXRL								
Interval_20294	chr20	50929409	50929733	+	0	NA	intron (ADNP, intron 1 of 5)	NA	-1413	RP5-914P20.5								
Interval_13349	chr17	62423676	62424106	+	0	NA	promoter-TSS (METTL2A)	NA	6	METTL2A								
Interval_2590	chr1	200531067	200531333	+	0	NA	Intergenic	NA	89534	KIF14								
Interval_31394	chr9	107612208	107612370	+	0	NA	Intergenic	NA	-122726	KLF4								
Interval_29199	chr7	149090587	149091763	+	0	NA	promoter-TSS (ZNF786)	NA	-398	ZNF786								
Interval_20903	chr21	45079089	45079298	+	0	NA	intron (ADARB1, intron 1 of 11)	NA	4615	ADARB1								
Interval_16642	chr19	45439561	45439880	+	0	NA	intron (ERCC1, intron 1 of 8)	NA	3066	MIR6088								
Interval_25080	chr5	76305367	76305630	+	0	NA	intron (SV2C, intron 12 of 12)	NA	222326	SV2C								
Interval_22059	chr3	27369264	27369583	+	0	NA	promoter-TSS (NEK10)	NA	-2	NEK10								
Interval_23233	chr3	169772201	169772374	+	0	NA	promoter-TSS (MYNN)	NA	57	TRNAV24								
Interval_21759	chr22	50270727	50271026	+	0	NA	promoter-TSS (MAPK11)	NA	-526	MAPK11								
Interval_5228	chr11	60986244	60986709	+	0	NA	intron (CD6, intron 1 of 10)	NA	14835	CD6								
Interval_18763	chr2	150472424	150472807	+	0	NA	intron (RND3, intron 4 of 5)	NA	15080	RND3								
Interval_30738	chr8	143636304	143636701	+	0	NA	intron (ZNF623, intron 1 of 1)	NA	-4912	ZNF623								
Interval_32557	chrX	74292332	74292832	+	0	NA	intron (FTX, intron 1 of 6)	NA	992	FTX								
Interval_16825	chr19	48325141	48326257	+	0	NA	intron (EMP3, intron 1 of 4)	NA	327	EMP3								
Interval_26635	chr6	31568768	31568959	+	0	NA	Intergenic	NA	-3431	LTA								
Interval_23015	chr3	134250776	134251102	+	0	NA	promoter-TSS (RYK)	NA	-195	RYK								
Interval_27339	chr6	107957615	107957831	+	0	NA	intron (SEC63, intron 1 of 20)	NA	555	SEC63								
Interval_8656	chr14	53956796	53957004	+	0	NA	promoter-TSS (BMP4)	NA	-2348	BMP4								
Interval_22975	chr3	129596758	129597082	+	0	NA	intron (PLXND1, intron 1 of 35)	NA	9819	PLXND1								
Interval_29624	chr8	23219486	23219838	+	0	NA	intron (TNFRSF10A, intron 1 of 9)	NA	5505	TNFRSF10A								
Interval_20058	chr20	37345831	37346175	+	0	NA	promoter-TSS (SRC)	NA	1318	SRC								
Interval_7504	chr12	108822043	108822217	+	0	NA	intron (SSH1, intron 2 of 13)	NA	10704	LOC101929204								
Interval_8579	chr14	39266832	39267368	+	0	NA	promoter-TSS (CTAGE5)	NA	-39	LOC100288846								
Interval_5414	chr11	64743609	64743946	+	0	NA	exon (RASGRP2, exon 1 of 16)	NA	672	RASGRP2								
Interval_31608	chr9	124770924	124771978	+	0	NA	promoter-TSS (NR6A1)	NA	-141	NR6A1								
Interval_4340	chr10	114821510	114822361	+	0	NA	exon (FAM160B1, exon 1 of 17)	NA	191	FAM160B1								
Interval_30346	chr8	111832205	111832553	+	0	NA	Intergenic	NA	-711047	RP11-946L20.4								
Interval_1810	chr1	119001527	119001868	+	0	NA	Intergenic	NA	-13449	TBX15								
Interval_22953	chr3	129068272	129068813	+	0	NA	Intergenic	NA	7740	GP9								
Interval_8988	chr14	86582944	86583140	+	0	NA	Intergenic	NA	-322736	LOC283585								
Interval_16949	chr19	49473967	49474712	+	0	NA	promoter-TSS (FLT3LG)	NA	-144	FLT3LG								
Interval_29931	chr8	55520928	55521327	+	0	NA	intron (XKR4, intron 2 of 2)	NA	-65806	SBF1P1								
Interval_6838	chr12	48999470	48999702	+	0	NA	promoter-TSS (DDN)	NA	-281	DDN								
Interval_10751	chr16	13316169	13316387	+	0	NA	Intergenic	NA	-157935	LOC101927287								
Interval_26798	chr6	35371186	35371352	+	0	NA	intron (PPARD, intron 4 of 9)	NA	28711	PPARD								
Interval_31887	chr9	133022396	133022659	+	0	NA	Intergenic	NA	-8148	GTF3C5								
Interval_30	chr1	1064256	1064508	+	0	NA	intron (LOC100288175, intron 3 of 3)	NA	4667	LOC100288175								
Interval_3613	chr10	46284433	46285195	+	0	NA	Intergenic	NA	-2183	ANTXRL								
Interval_27973	chr7	2664802	2665196	+	0	NA	TTS (TTYH3)	NA	-14523	AMZ1								
Interval_2480	chr1	182029441	182030251	+	0	NA	Intergenic	NA	31866	ZNF648								
Interval_23110	chr3	144622906	144623211	+	0	NA	Intergenic	NA	651260	C3orf58								
Interval_27502	chr6	133951824	133952157	+	0	NA	promoter-TSS (TBPL1)	NA	-1173	TBPL1								
Interval_12586	chr17	31415073	31415541	+	0	NA	intron (RAB11FIP4, intron 1 of 14)	NA	23683	RAB11FIP4								
Interval_23509	chr3	196503376	196504099	+	0	NA	promoter-TSS (RNF168)	NA	31	RNF168								
Interval_6043	chr11	112024740	112025439	+	0	NA	exon (DLAT, exon 1 of 14)	NA	275	DLAT								
Interval_26603	chr6	30884274	30884873	+	0	NA	promoter-TSS (DDR1)	NA	-4115	DDR1								
Interval_12447	chr17	21551165	21552035	+	0	NA	promoter-TSS (C17orf51)	NA	78	C17orf51								
Interval_13222	chr17	55576223	55576433	+	0	NA	Intergenic	NA	13404	LOC102724732								
Interval_8248	chr13	76991421	76992466	+	0	NA	promoter-TSS (CLN5)	NA	19	CLN5								
Interval_17009	chr19	50050394	50050610	+	0	NA	promoter-TSS (FLJ26850)	NA	-178	FLJ26850								
Interval_32215	chrX	3713343	3714019	+	0	NA	promoter-TSS (PRKX)	NA	-47	PRKX								
Interval_21899	chr3	10247997	10248818	+	0	NA	promoter-TSS (TATDN2)	NA	-86	TATDN2								
Interval_25680	chr5	150783607	150783927	+	0	NA	intron (SMIM3, intron 1 of 1)	NA	5821	SMIM3								
Interval_5242	chr11	61391253	61391444	+	0	NA	Intergenic	NA	-1012	TMEM216								
Interval_29542	chr8	18978776	18979004	+	0	NA	intron (PSD3, intron 1 of 15)	NA	-155707	PSD3								
Interval_31700	chr9	128007876	128008291	+	0	NA	Intergenic	NA	-57369	FAM102A								
Interval_9439	chr15	37098848	37099112	+	0	NA	promoter-TSS (MEIS2)	NA	-619	MEIS2								
Interval_2154	chr1	156082391	156082679	+	0	NA	promoter-TSS (LMNA)	NA	-537	MEX3A								
Interval_18809	chr2	159574262	159574572	+	0	NA	intron (BAZ2B, intron 1 of 37)	NA	-40886	LOC643072								
Interval_30539	chr8	133060023	133060585	+	0	NA	promoter-TSS (SLA)	NA	-13723	MIR7848								
Interval_20592	chr21	17819089	17820156	+	0	NA	promoter-TSS (C21orf91)	NA	-236	C21orf91								
Interval_29227	chr7	150371866	150372137	+	0	NA	exon (REPIN1, exon 2 of 2)	NA	3195	REPIN1								
Interval_8832	chr14	69766833	69768029	+	0	NA	exon (LOC100289511, exon 1 of 1)	NA	282	LOC100289511								
Interval_16048	chr19	29213065	29213631	+	0	NA	promoter-TSS (UQCRFS1)	NA	-119	UQCRFS1								
Interval_11112	chr16	31467117	31467418	+	0	NA	TTS (ARMC5)	NA	-5938	TGFB1I1								
Interval_25999	chr5	179780473	179780641	+	0	NA	Intergenic	NA	-11158	LOC101928482								
Interval_23065	chr3	139677687	139678357	+	0	NA	promoter-TSS (NMNAT3)	NA	5	NMNAT3								
Interval_11857	chr16	89828007	89828907	+	0	NA	promoter-TSS (SPIRE2)	NA	-18	SPIRE2								
Interval_13470	chr17	68247367	68248534	+	0	NA	promoter-TSS (AMZ2)	NA	-54	AMZ2								
Interval_22512	chr3	53110323	53110488	+	0	NA	intron (RFT1, intron 7 of 11)	NA	20059	RFT1								
Interval_18644	chr2	128734866	128735068	+	0	NA	Intergenic	NA	-129633	LOC101927881								
Interval_24773	chr5	14813061	14813252	+	0	NA	intron (ANKH, intron 1 of 11)	NA	12797	MIR4637								
Interval_14075	chr18	3447821	3448837	+	0	NA	promoter-TSS (LOC101927094)	NA	-810	LOC101927094								
Interval_9890	chr15	69609256	69609462	+	0	NA	Intergenic	NA	47639	RP11-279F6.1								
Interval_17369	chr19	58305113	58305719	+	0	NA	Intergenic	NA	-21608	ZSCAN22								
Interval_27423	chr6	117482299	117483055	+	0	NA	promoter-TSS (DCBLD1)	NA	37	DCBLD1								
Interval_5047	chr11	44351019	44351205	+	0	NA	Intergenic	NA	-40927	ALX4								
Interval_3832	chr10	72625822	72626564	+	0	NA	promoter-TSS (MICU1)	NA	19063	LOC102723386								
Interval_26729	chr6	33343886	33344101	+	0	NA	Intergenic	NA	-19877	LOC102723452								
Interval_12001	chr17	3569793	3570026	+	0	NA	intron (TRPV1, intron 16 of 16)	NA	-11914	TRPV3								
Interval_4678	chr11	1763719	1764341	+	0	NA	promoter-TSS (CTSD)	NA	-38	CTSD								
Interval_14989	chr19	4327105	4328997	+	0	NA	intron (STAP2, intron 6 of 12)	NA	14735	STAP2								
Interval_12056	chr17	4731159	4731984	+	0	NA	exon (MED11, exon 1 of 3)	NA	143	MED11								
Interval_32552	chrX	72277108	72277495	+	0	NA	promoter-TSS (RPS4X)	NA	-10	RPS4X								
Interval_17021	chr19	50340455	50340696	+	0	NA	intron (NAPSB, intron 1 of 8)	NA	4173	NAPSB								
Interval_27465	chr6	127192994	127193195	+	0	NA	TTS (RSPO3)	NA	-73744	RNF146								
Interval_11713	chr16	87391514	87392628	+	0	NA	promoter-TSS (FBXO31)	NA	2520	MAP1LC3B								
Interval_3367	chr10	16436463	16437219	+	0	NA	promoter-TSS (PTER)	NA	-102	PTER								
Interval_20274	chr20	50221529	50221815	+	0	NA	Intergenic	NA	31089	CEBPB								
Interval_21684	chr22	46013900	46014432	+	0	NA	Intergenic	NA	7550	LOC730668								
Interval_12144	chr17	7393999	7395123	+	0	NA	exon (PLSCR3, exon 1 of 8)	NA	282	PLSCR3								
Interval_26006	chr5	179811146	179811812	+	0	NA	intron (SQSTM1, intron 1 of 8)	NA	-4527	MGAT4B								
Interval_30750	chr8	143928222	143928923	+	0	NA	intron (PLEC, intron 26 of 32)	NA	15363	PLEC								
Interval_8950	chr14	77311329	77311538	+	0	NA	intron (POMT2, intron 2 of 20)	NA	9449	POMT2								
Interval_18603	chr2	127081733	127082191	+	0	NA	promoter-TSS (BIN1)	NA	25305	BIN1								
Interval_25938	chr5	177425771	177427234	+	0	NA	promoter-TSS (GRK6)	NA	-5563	GRK6								
Interval_27671	chr6	150775870	150776072	+	0	NA	intron (PLEKHG1, intron 5 of 17)	NA	-90362	MTHFD1L								
Interval_15014	chr19	4636125	4636552	+	0	NA	Intergenic	NA	-3177	TNFAIP8L1								
Interval_14465	chr18	69719109	69719299	+	0	NA	intron (DOK6, intron 5 of 7)	NA	242601	CD226								
Interval_15496	chr19	12828561	12828752	+	0	NA	intron (RTBDN, intron 4 of 5)	NA	6772	RTBDN								
Interval_16570	chr19	44304711	44305197	+	0	NA	promoter-TSS (ZNF235)	NA	71	ZNF235								
Interval_17151	chr19	52922879	52924055	+	0	NA	promoter-TSS (ZNF888)	NA	-4623	ZNF888								
Interval_30788	chr8	144331666	144332472	+	0	NA	exon (SCRT1, exon 2 of 2)	NA	4212	SCRT1								
Interval_6776	chr12	46218041	46218236	+	0	NA	intron (SLC38A1, intron 5 of 16)	NA	49849	SLC38A1								
Interval_25296	chr5	118859029	118859220	+	0	NA	intron (DTWD2, intron 4 of 5)	NA	129421	DTWD2								
Interval_19488	chr2	240136058	240136500	+	0	NA	promoter-TSS (MYEOV2)	NA	68	MYEOV2								
Interval_4244	chr10	102927643	102927829	+	0	NA	TTS (CNNM2)	NA	9418	CNNM2								
Interval_29420	chr8	6800864	6801026	+	0	NA	Intergenic	NA	-34609	GS1-24F4.2								
Interval_22138	chr3	37861600	37862017	+	0	NA	promoter-TSS (CTDSPL)	NA	-345	CTDSPL								
Interval_26315	chr6	17599992	17600891	+	0	NA	exon (FAM8A1, exon 1 of 5)	NA	154	FAM8A1								
Interval_26137	chr6	6008346	6009409	+	0	NA	Intergenic	NA	-4820	NRN1								
Interval_31842	chr9	131268243	131268434	+	0	NA	intron (FAM78A, intron 1 of 1)	NA	8181	FAM78A								
Interval_26883	chr6	37962495	37962902	+	0	NA	intron (ZFAND3, intron 2 of 5)	NA	142841	ZFAND3								
Interval_25129	chr5	80695088	80695279	+	0	NA	intron (MSH3, intron 8 of 23)	NA	40535	MSH3								
Interval_30591	chr8	140254207	140254505	+	0	NA	intron (TRAPPC9, intron 14 of 21)	NA	203406	TRAPPC9								
Interval_11886	chr17	411075	411267	+	0	NA	intron (C17orf97, intron 1 of 1)	NA	844	C17orf97								
Interval_15676	chr19	15418560	15419523	+	0	NA	promoter-TSS (AKAP8L)	NA	64	AKAP8L								
Interval_28160	chr7	23679862	23680263	+	0	NA	promoter-TSS (FAM221A)	NA	450	FAM221A								
Interval_8371	chr13	113815496	113815760	+	0	NA	promoter-TSS (GAS6-AS1)	NA	18	GAS6-AS1								
Interval_30270	chr8	101375334	101375576	+	0	NA	Intergenic	NA	6562	NACAP1								
Interval_23013	chr3	133806165	133806438	+	0	NA	intron (SRPRB, intron 2 of 7)	NA	22268	SRPRB								
Interval_2289	chr1	161177149	161177834	+	0	NA	promoter-TSS (B4GALT3)	NA	477	B4GALT3								
Interval_28192	chr7	26864108	26865100	+	0	NA	exon (SKAP2, exon 1 of 13)	NA	101	SKAP2								
Interval_8036	chr13	28355890	28356188	+	0	NA	intron (FLT1, intron 15 of 29)	NA	123538	RNU6-82P								
Interval_32147	chrUn_KI270438v1	103935	104444	+	0	NA	NA	NA	NA	NA								
Interval_29701	chr8	28365803	28366097	+	0	NA	intron (ZNF395, intron 1 of 9)	NA	20510	ZNF395								
Interval_20035	chr20	36646133	36646324	+	0	NA	promoter-TSS (SLA2)	NA	-12	SLA2								
Interval_15151	chr19	7473023	7473217	+	0	NA	TTS (ARHGEF18)	NA	241	LOC100128573								
Interval_32474	chrX	53434219	53434752	+	0	NA	promoter-TSS (HSD17B10)	NA	-109	HSD17B10								
Interval_17501	chr2	10514833	10515018	+	0	NA	Intergenic	NA	62481	LOC102723993								
Interval_30137	chr8	86341986	86342923	+	0	NA	promoter-TSS (WWP1)	NA	-282	WWP1								
Interval_19209	chr2	218395883	218396635	+	0	NA	exon (SLC11A1, exon 13 of 13)	NA	-2079	CTDSP1								
Interval_28358	chr7	44040591	44040895	+	0	NA	promoter-TSS (RASA4CP)	NA	-120	RASA4CP								
Interval_4752	chr11	3946893	3947339	+	0	NA	intron (STIM1, intron 1 of 12)	NA	-41826	LOC101927733								
Interval_1542	chr1	92831764	92832541	+	0	NA	TTS (FAM69A)	NA	115	RPL5								
Interval_10737	chr16	11743612	11744053	+	0	NA	Intergenic	NA	-1107	TXNDC11								
Interval_21388	chr22	37607237	37607404	+	0	NA	Intergenic	NA	-1065	GGA1								
Interval_25451	chr5	135139810	135140150	+	0	NA	intron (C5orf66, intron 2 of 5)	NA	-99933	LOC101927953								
Interval_30409	chr8	123041602	123042629	+	0	NA	exon (DERL1, exon 1 of 8)	NA	-16343	DERL1								
Interval_6952	chr12	52586059	52586331	+	0	NA	intron (KRT72, intron 8 of 8)	NA	-12370	KRT74								
Interval_14699	chr19	1047682	1047886	+	0	NA	intron (ABCA7, intron 16 of 46)	NA	7668	ABCA7								
Interval_19067	chr2	200712968	200713449	+	0	NA	exon (AC007163.3, exon 3 of 3)	NA	17485	AOX2P								
Interval_17697	chr2	28603063	28603298	+	0	NA	intron (PLB1, intron 38 of 56)	NA	107109	PLB1								
Interval_15068	chr19	5870075	5870266	+	0	NA	intron (FUT5, intron 1 of 1)	NA	370	FUT5								
Interval_26824	chr6	36196329	36197548	+	0	NA	promoter-TSS (BRPF3)	NA	307	BRPF3								
Interval_11348	chr16	66483804	66484042	+	0	NA	intron (BEAN1, intron 4 of 4)	NA	-7521	CTD-2258A20.5								
Interval_4578	chr10	133318590	133319021	+	0	NA	Intergenic	NA	-9649	TUBGCP2								
Interval_3916	chr10	78029210	78029996	+	0	NA	promoter-TSS (POLR3A)	NA	-778	POLR3A								
Interval_17222	chr19	54462773	54465316	+	0	NA	promoter-TSS (LENG9)	NA	-333	LENG9								
Interval_17072	chr19	51127751	51128193	+	0	NA	exon (SIGLEC9, exon 5 of 8)	NA	3064	SIGLEC9								
Interval_8086	chr13	31847026	31847212	+	0	NA	intron (EEF1DP3, intron 1 of 3)	NA	336	EEF1DP3								
Interval_8645	chr14	52325181	52325359	+	0	NA	intron (PTGER2, intron 1 of 1)	NA	10972	PTGER2								
Interval_11827	chr16	89435842	89436066	+	0	NA	intron (ANKRD11, intron 1 of 13)	NA	69122	LOC101927863								
Interval_15701	chr19	16111148	16112146	+	0	NA	promoter-TSS (RAB8A)	NA	-33	RAB8A								
Interval_9386	chr15	28890929	28891091	+	0	NA	Intergenic	NA	-30627	APBA2								
Interval_19598	chr20	1392691	1393295	+	0	NA	promoter-TSS (MIR6869)	NA	-69	MIR6869								
Interval_12297	chr17	14738207	14738688	+	0	NA	Intergenic	NA	-276358	LOC101928475								
Interval_16119	chr19	33521545	33522308	+	0	NA	promoter-TSS (PEPD)	NA	-33	PEPD								
Interval_16067	chr19	30214807	30215013	+	0	NA	Intergenic	NA	-221571	ZNF536								
Interval_9044	chr14	91417450	91418269	+	0	NA	promoter-TSS (CCDC88C)	NA	-15	CCDC88C								
Interval_29551	chr8	19757856	19758048	+	0	NA	promoter-TSS (CSGALNACT1)	NA	-59479	INTS10								
Interval_1847	chr1	143264048	143264402	+	0	NA	Intergenic	NA	40111	LOC101929814								
Interval_17140	chr19	52536266	52536495	+	0	NA	intron (ZNF808, intron 1 of 3)	NA	8712	ZNF808								
Interval_21768	chr22	50314302	50314725	+	0	NA	intron (DENND6B, intron 12 of 20)	NA	-6930	PLXNB2								
Interval_949	chr1	35079210	35079670	+	0	NA	promoter-TSS (ZMYM1)	NA	-22700	ZMYM1								
Interval_20536	chr20	63942970	63943147	+	0	NA	promoter-TSS (MIR647)	NA	-347	MIR647								
Interval_19138	chr2	207772447	207772830	+	0	NA	Intergenic	NA	-3219	FZD5								
Interval_19184	chr2	216880713	216880909	+	0	NA	Intergenic	NA	-6879	LOC102723329								
Interval_15434	chr19	11849190	11849440	+	0	NA	intron (ZNF439, intron 1 of 3)	NA	589	ZNF439								
Interval_3197	chr1	245516364	245516732	+	0	NA	intron (KIF26B, intron 4 of 14)	NA	361563	KIF26B								
Interval_9277	chr14	105020794	105021845	+	0	NA	promoter-TSS (CDCA4)	NA	-231	CDCA4								
