PeakID (cmd=annotatePeaks.pl ZMYND8.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_833	chr1	54407577	54407887	+	0	NA	Intergenic	NA	-1337	SSBP3								
Interval_1857	chr1	203200561	203200751	+	0	NA	Intergenic	NA	-13862	CHI3L1								
Interval_7710	chr15	87776914	87777401	+	0	NA	Intergenic	NA	92926	LOC101929724								
Interval_646	chr1	39799259	39799488	+	0	NA	Intergenic	NA	10391	LOC101929536								
Interval_1384	chr1	153566448	153566923	+	0	NA	promoter-TSS (S100A2)	NA	-855	S100A2								
Interval_14076	chr2	224584844	224585968	+	0	NA	promoter-TSS (CUL3)	NA	-15581	CUL3								
Interval_299	chr1	20507971	20508317	+	0	NA	promoter-TSS (MUL1)	NA	37	MUL1								
Interval_7635	chr15	79872572	79873128	+	0	NA	intron (ST20-MTHFS, intron 3 of 3)	NA	24435	MTHFS								
Interval_24282	chr9	133417011	133417217	+	0	NA	intron (REXO4, intron 1 of 7)	NA	982	REXO4								
Interval_1697	chr1	181088393	181089069	+	0	NA	exon (IER5, exon 1 of 1)	NA	229	IER5								
Interval_19401	chr5	178312890	178313162	+	0	NA	intron (COL23A1, intron 2 of 28)	NA	-80242	PHYKPL								
Interval_16550	chr3	57596487	57596743	+	0	NA	intron (ARF4, intron 1 of 5)	NA	873	ARF4								
Interval_9424	chr17	33151093	33151565	+	0	NA	intron (ASIC2, intron 1 of 9)	NA	141659	ASIC2								
Interval_5150	chr12	53079384	53079801	+	0	NA	promoter-TSS (SPRYD3)	NA	-172	SPRYD3								
Interval_6607	chr14	71143038	71143262	+	0	NA	Intergenic	NA	167441	LOC102724015								
Interval_17718	chr4	55395512	55396280	+	0	NA	promoter-TSS (TMEM165)	NA	-17	TMEM165								
Interval_4070	chr11	65769914	65770084	+	0	NA	Intergenic	NA	10592	AP5B1								
Interval_3492	chr11	2928965	2929651	+	0	NA	exon (PHLDA2, exon 1 of 2)	NA	112	PHLDA2								
Interval_12071	chr19	46718300	46718664	+	0	NA	Intergenic	NA	-4162	PRKD2								
Interval_24763	chrX	101417993	101418396	+	0	NA	promoter-TSS (ARMCX4)	NA	10061	HNRNPH2								
Interval_609	chr1	37450053	37450253	+	0	NA	Intergenic	NA	24290	LINC01137								
Interval_2787	chr10	71713445	71714048	+	0	NA	exon (C10orf105, exon 2 of 2)	NA	24078	C10orf105								
Interval_5493	chr12	100988033	100988223	+	0	NA	intron (ANO4, intron 8 of 27)	NA	86482	ANO4								
Interval_16892	chr3	128846473	128846742	+	0	NA	Intergenic	NA	24934	RP11-723O4.2								
Interval_2199	chr1	234609878	234611423	+	0	NA	Intergenic	NA	-1125	IRF2BP2								
Interval_8634	chr16	71808391	71809492	+	0	NA	exon (AP1G1, exon 1 of 24)	NA	132	AP1G1								
Interval_9648	chr17	44689619	44689940	+	0	NA	promoter-TSS (CCDC43)	NA	18	CCDC43								
Interval_20405	chr6	87756862	87757234	+	0	NA	Intergenic	NA	-27812	LOC101928911								
Interval_7734	chr15	89963381	89963647	+	0	NA	Intergenic	NA	-38006	ZNF710								
Interval_3732	chr11	36289380	36289614	+	0	NA	promoter-TSS (COMMD9)	NA	-48	COMMD9								
Interval_16068	chr3	14566279	14566588	+	0	NA	Intergenic	NA	-24352	GRIP2								
Interval_3112	chr10	100913303	100913553	+	0	NA	exon (FAM178A, exon 1 of 1)	NA	859	FAM178A								
Interval_12935	chr2	48227665	48227947	+	0	NA	Intergenic	NA	-25821	LOC102724008								
Interval_12706	chr2	27663365	27664006	+	0	NA	exon (SLC4A1AP, exon 1 of 14)	NA	214	SLC4A1AP								
Interval_4330	chr11	78417909	78418486	+	0	NA	promoter-TSS (GAB2)	NA	11742	RP11-452H21.4								
Interval_16653	chr3	76352105	76352392	+	0	NA	intron (ROBO2, intron 2 of 23)	NA	-357410	LOC102724949								
Interval_18292	chr5	957429	957605	+	0	NA	Intergenic	NA	39823	LOC100506688								
Interval_11577	chr19	19320460	19321224	+	0	NA	promoter-TSS (MAU2)	NA	155	MAU2								
Interval_4065	chr11	65662629	65663504	+	0	NA	promoter-TSS (RELA)	NA	-94	RELA								
Interval_12727	chr2	28751261	28752460	+	0	NA	promoter-TSS (PPP1CB)	NA	100	PPP1CB								
Interval_2751	chr10	69179651	69180365	+	0	NA	promoter-TSS (SUPV3L1)	NA	-229	SUPV3L1								
Interval_5065	chr12	48105875	48106395	+	0	NA	promoter-TSS (SENP1)	NA	19	PFKM								
Interval_16783	chr3	120093829	120095857	+	0	NA	promoter-TSS (GSK3B)	NA	-426	GSK3B								
Interval_23231	chr8	133165737	133166036	+	0	NA	Intergenic	NA	-25153	WISP1								
Interval_15851	chr22	46281051	46281343	+	0	NA	intron (TTC38, intron 6 of 14)	NA	13233	TTC38								
Interval_12647	chr2	24084285	24084523	+	0	NA	promoter-TSS (TP53I3)	NA	811	TP53I3								
Interval_7659	chr15	81338624	81338813	+	0	NA	exon (TMC3, exon 18 of 22)	NA	14385	RP11-761I4.3								
Interval_8956	chr17	2511638	2512041	+	0	NA	promoter-TSS (METTL16)	NA	59	METTL16								
Interval_8764	chr16	85555939	85556295	+	0	NA	exon (GSE1, exon 1 of 15)	NA	-69356	GSE1								
Interval_12563	chr2	10544286	10544580	+	0	NA	Intergenic	NA	91989	LOC102723993								
Interval_23734	chr9	86354309	86354733	+	0	NA	promoter-TSS (ZCCHC6)	NA	-34	ZCCHC6								
Interval_24199	chr9	129261288	129261736	+	0	NA	Intergenic	NA	-20936	RP11-344B5.2								
Interval_4333	chr11	78574694	78575055	+	0	NA	promoter-TSS (NARS2)	NA	-10	NARS2								
Interval_12173	chr19	48993263	48993992	+	0	NA	promoter-TSS (GYS1)	NA	-272	RUVBL2								
Interval_3119	chr10	101071151	101071667	+	0	NA	Intergenic	NA	9628	KAZALD1								
Interval_10296	chr17_GL000205v2_random	87967	88239	+	0	NA	Intergenic	NA	-30137	MGC70870								
Interval_23566	chr9	26891952	26892972	+	0	NA	exon (CAAP1, exon 1 of 6)	NA	366	CAAP1								
Interval_14044	chr2	219253641	219254137	+	0	NA	promoter-TSS (TUBA4A)	NA	646	TUBA4B								
Interval_21334	chr7	41778010	41778619	+	0	NA	exon (INHBA-AS1, exon 4 of 4)	NA	-75206	INHBA								
Interval_21826	chr7	112080537	112080739	+	0	NA	intron (DOCK4, intron 1 of 52)	NA	125769	DOCK4								
Interval_254	chr1	16896422	16896607	+	0	NA	TTS (RNU1-2)	NA	534	RNU1-2								
Interval_20341	chr6	71248405	71248749	+	0	NA	Intergenic	NA	-40266	OGFRL1								
Interval_21396	chr7	47970215	47970398	+	0	NA	intron (HUS1, intron 5 of 8)	NA	9319	HUS1								
Interval_2696	chr10	63464899	63466738	+	0	NA	promoter-TSS (JMJD1C)	NA	589	JMJD1C-AS1								
Interval_4566	chr11	119525165	119525566	+	0	NA	Intergenic	NA	-101829	THY1								
Interval_18149	chr4	158671662	158672673	+	0	NA	promoter-TSS (ETFDH)	NA	-117	C4orf46								
Interval_12291	chr19	51565565	51565881	+	0	NA	Intergenic	NA	-15805	ZNF175								
Interval_18047	chr4	139178486	139178715	+	0	NA	Intergenic	NA	-1382	ELF2								
Interval_3485	chr11	2527070	2527265	+	0	NA	intron (KCNQ1, intron 1 of 15)	NA	65713	KCNQ1								
Interval_16577	chr3	60759362	60759837	+	0	NA	intron (FHIT, intron 3 of 8)	NA	-393367	LOC102724718								
Interval_15790	chr22	43125223	43125539	+	0	NA	intron (BIK, intron 2 of 4)	NA	14633	BIK								
Interval_11537	chr19	18388459	18388825	+	0	NA	exon (GDF15, exon 2 of 2)	NA	2072	MIR3189								
Interval_20815	chr6	156778926	156779699	+	0	NA	TTS (MIR4466)	NA	415	MIR4466								
Interval_24822	chrX	120629815	120630250	+	0	NA	exon (C1GALT1C1, exon 1 of 2)	NA	118	C1GALT1C1								
Interval_10181	chr17	80260179	80260486	+	0	NA	promoter-TSS (RNF213)	NA	-911	RNF213								
Interval_18241	chr4	184833479	184833714	+	0	NA	Intergenic	NA	13450	RP11-701P16.5								
Interval_2456	chr10	16817326	16817952	+	0	NA	promoter-TSS (RSU1)	NA	-185	RSU1								
Interval_19754	chr6	25174173	25174525	+	0	NA	Intergenic	NA	-36526	CMAHP								
Interval_18415	chr5	36240977	36241149	+	0	NA	intron (NADK2, intron 1 of 12)	NA	1216	NADK2								
Interval_1129	chr1	109493979	109494390	+	0	NA	promoter-TSS (CYB561D1)	NA	142	CYB561D1								
Interval_7490	chr15	70246003	70246246	+	0	NA	Intergenic	NA	-149244	TLE3								
Interval_4503	chr11	115848665	115848964	+	0	NA	Intergenic	NA	-70824	LOC102724165								
Interval_23771	chr9	93065283	93065734	+	0	NA	intron (SUSD3, intron 1 of 3)	NA	-9729	SUSD3								
Interval_15507	chr22	29267598	29267794	+	0	NA	promoter-TSS (EWSR1)	NA	-313	EWSR1								
Interval_20468	chr6	105994558	105995199	+	0	NA	Intergenic	NA	-91442	PRDM1								
Interval_6813	chr14	92585993	92586486	+	0	NA	intron (RIN3, intron 3 of 9)	NA	72458	RIN3								
Interval_1326	chr1	150561101	150561291	+	0	NA	TTS (ADAMTSL4)	NA	9267	MIR4257								
Interval_12228	chr19	49987138	49987559	+	0	NA	intron (VRK3, intron 12 of 12)	NA	17693	SIGLEC16								
Interval_19057	chr5	140664248	140664981	+	0	NA	promoter-TSS (WDR55)	NA	-1961	WDR55								
Interval_18097	chr4	146175699	146175961	+	0	NA	intron (LSM6, intron 1 of 3)	NA	147	LSM6								
Interval_13493	chr2	127886387	127886569	+	0	NA	promoter-TSS (AMMECR1L)	NA	-668	AMMECR1L								
Interval_463	chr1	27634760	27635037	+	0	NA	intron (FGR, intron 1 of 12)	NA	-8303	FGR								
Interval_16451	chr3	50568974	50569700	+	0	NA	promoter-TSS (HEMK1)	NA	185	HEMK1								
Interval_15058	chr21	17849219	17849434	+	0	NA	intron (CHODL-AS1, intron 1 of 2)	NA	-16476	LOC102724267								
Interval_2689	chr10	62708595	62708849	+	0	NA	Intergenic	NA	-96034	ADO								
Interval_15335	chr21	45642985	45643673	+	0	NA	Intergenic	NA	-100889	SLC19A1								
Interval_19180	chr5	151081068	151081392	+	0	NA	promoter-TSS (TNIP1)	NA	5956	TNIP1								
Interval_4535	chr11	118401163	118401532	+	0	NA	promoter-TSS (ATP5L)	NA	-42	ATP5L								
Interval_22190	chr8	8893540	8893817	+	0	NA	promoter-TSS (MFHAS1)	NA	-57	MFHAS1								
Interval_453	chr1	27365837	27366009	+	0	NA	intron (MAP3K6, intron 1 of 27)	NA	1083	MAP3K6								
Interval_24041	chr9	120735467	120735717	+	0	NA	Intergenic	NA	-21105	MEGF9								
Interval_18413	chr5	35989954	35990187	+	0	NA	intron (UGT3A1, intron 1 of 6)	NA	1363	UGT3A1								
Interval_23369	chr8	143541056	143542022	+	0	NA	promoter-TSS (ZC3H3)	NA	540	ZC3H3								
Interval_22534	chr8	38901237	38901481	+	0	NA	exon (PLEKHA2, exon 1 of 12)	NA	124	PLEKHA2								
Interval_17854	chr4	85498442	85498674	+	0	NA	intron (ARHGAP24, intron 1 of 9)	NA	-223957	MIR4451								
Interval_17018	chr3	149129345	149129840	+	0	NA	promoter-TSS (HPS3)	NA	-17	HPS3								
Interval_951	chr1	77060050	77060249	+	0	NA	promoter-TSS (MIR7156)	NA	6	MIR7156								
Interval_18066	chr4	140094868	140095077	+	0	NA	intron (MAML3, intron 1 of 4)	NA	35987	LOC101927544								
Interval_13746	chr2	172437819	172437996	+	0	NA	intron (ITGA6, intron 1 of 24)	NA	10321	ITGA6								
Interval_23478	chr9	5437656	5438114	+	0	NA	promoter-TSS (PLGRKT)	NA	490	PLGRKT								
Interval_13127	chr2	70768007	70768451	+	0	NA	promoter-TSS (ADD2)	NA	14	ADD2								
Interval_4719	chr12	2364570	2364809	+	0	NA	intron (CACNA1C, intron 3 of 45)	NA	94913	CACNA1C-IT3								
Interval_3149	chr10	102643089	102643992	+	0	NA	promoter-TSS (TRIM8)	NA	-955	TRIM8								
Interval_19053	chr5	140602921	140603191	+	0	NA	Intergenic	NA	-8486	LOC100505798								
Interval_3587	chr11	11370364	11370578	+	0	NA	intron (GALNT18, intron 6 of 6)	NA	-17114	CSNK2A3								
Interval_22425	chr8	28777122	28777776	+	0	NA	intron (INTS9, intron 12 of 15)	NA	75976	EXTL3								
Interval_8806	chr16	87765827	87766266	+	0	NA	promoter-TSS (KLHDC4)	NA	-55	KLHDC4								
Interval_13182	chr2	74833750	74834197	+	0	NA	promoter-TSS (HK2)	NA	-202	HK2								
Interval_14386	chr20	4760779	4761029	+	0	NA	Intergenic	NA	-20236	PRNT								
Interval_20556	chr6	117146826	117147051	+	0	NA	Intergenic	NA	-118803	VGLL2								
Interval_14542	chr20	23147953	23148241	+	0	NA	Intergenic	NA	-15461	LINC00656								
Interval_17390	chr3	197749636	197750228	+	0	NA	promoter-TSS (KIAA0226)	NA	-458	FYTTD1								
Interval_22255	chr8	12754045	12754435	+	0	NA	intron (LONRF1, intron 1 of 11)	NA	1243	LONRF1								
Interval_20363	chr6	79077002	79077175	+	0	NA	intron (PHIP, intron 4 of 39)	NA	1206	PHIP								
Interval_23861	chr9	99595880	99596071	+	0	NA	intron (RP11-554F20.1, intron 4 of 6)	NA	-220718	NAMA								
Interval_23716	chr9	78032377	78032663	+	0	NA	Intergenic	NA	-1071	GNAQ								
Interval_4746	chr12	4272283	4272608	+	0	NA	Intergenic	NA	-1292	CCND2								
Interval_19709	chr6	16759667	16760271	+	0	NA	intron (ATXN1, intron 1 of 8)	NA	1521	ATXN1								
Interval_7712	chr15	87940021	87940244	+	0	NA	intron (NTRK3, intron 5 of 8)	NA	-70049	LOC101929724								
Interval_22306	chr8	20866413	20866819	+	0	NA	Intergenic	NA	-107370	RP11-421P23.1								
Interval_17115	chr3	169836202	169836372	+	0	NA	intron (LRRIQ4, intron 5 of 5)	NA	14365	LRRIQ4								
Interval_6516	chr14	63641338	63642367	+	0	NA	promoter-TSS (WDR89)	NA	71	WDR89								
Interval_5883	chr12	132394195	132394365	+	0	NA	Intergenic	NA	-10810	LOC101928629								
Interval_3117	chr10	101042730	101043105	+	0	NA	Intergenic	NA	10603	SFXN3								
Interval_6172	chr13	92224568	92224792	+	0	NA	intron (GPC5, intron 7 of 7)	NA	-265483	MIR548AS								
Interval_2797	chr10	71775133	71775882	+	0	NA	intron (CDH23, intron 38 of 69)	NA	-1927	C10orf54								
Interval_12611	chr2	17753546	17754471	+	0	NA	promoter-TSS (SMC6)	NA	-210	GEN1								
Interval_2023	chr1	220701931	220702239	+	0	NA	Intergenic	NA	11799	C1orf115								
Interval_6546	chr14	67359607	67360540	+	0	NA	promoter-TSS (ATP6V1D)	NA	-70	ATP6V1D								
Interval_291	chr1	19799346	19799559	+	0	NA	promoter-TSS (TMCO4)	NA	465	TMCO4								
Interval_18559	chr5	61408606	61409062	+	0	NA	intron (ZSWIM6, intron 1 of 13)	NA	76561	ZSWIM6								
Interval_12894	chr2	46187053	46187601	+	0	NA	exon (PRKCE, exon 11 of 11)	NA	-70479	LOC101926974								
Interval_17133	chr3	171975892	171976161	+	0	NA	Intergenic	NA	-64528	FNDC3B								
Interval_13980	chr2	215311725	215312306	+	0	NA	promoter-TSS (ATIC)	NA	59	ATIC								
Interval_1136	chr1	109821110	109821633	+	0	NA	Intergenic	NA	-57349	EPS8L3								
Interval_14668	chr20	35771785	35772003	+	0	NA	promoter-TSS (PHF20)	NA	-29558	RBM39								
Interval_7149	chr15	42274141	42274583	+	0	NA	promoter-TSS (TMEM87A)	NA	194	GANC								
Interval_12232	chr19	50234459	50234728	+	0	NA	intron (MYH14, intron 10 of 41)	NA	30965	MYH14								
Interval_5733	chr12	121038804	121039357	+	0	NA	exon (OASL, exon 1 of 5)	NA	162	OASL								
Interval_8053	chr16	10308542	10308756	+	0	NA	Intergenic	NA	-77406	ATF7IP2								
Interval_3927	chr11	62590958	62591194	+	0	NA	intron (TUT1, intron 1 of 8)	NA	561	TUT1								
Interval_22695	chr8	60999211	60999464	+	0	NA	Intergenic	NA	-31589	LOC100130298								
Interval_15689	chr22	38705904	38706255	+	0	NA	exon (GTPBP1, exon 1 of 11)	NA	144	GTPBP1								
Interval_479	chr1	28111224	28111607	+	0	NA	Intergenic	NA	-22784	EYA3								
Interval_9931	chr17	65056238	65057295	+	0	NA	promoter-TSS (GNA13)	NA	36	GNA13								
Interval_6980	chr14	105060727	105060992	+	0	NA	intron (GPR132, intron 1 of 4)	NA	4691	GPR132								
Interval_10629	chr18	59885647	59886091	+	0	NA	Intergenic	NA	-14091	PMAIP1								
Interval_7142	chr15	41774042	41774962	+	0	NA	promoter-TSS (MAPKBP1)	NA	-42451	MAPKBP1								
Interval_9050	chr17	6780940	6781188	+	0	NA	intron (FBXO39, intron 2 of 4)	NA	4831	FBXO39								
Interval_4156	chr11	68119064	68119395	+	0	NA	intron (CHKA, intron 1 of 12)	NA	2162	CHKA								
Interval_11151	chr19	7869349	7869749	+	0	NA	intron (FLJ22184, intron 6 of 6)	NA	4892	FLJ22184								
Interval_20339	chr6	70667372	70667997	+	0	NA	promoter-TSS (SMAP1)	NA	-87	SMAP1								
Interval_446	chr1	27154493	27155515	+	0	NA	exon (SLC9A1, exon 1 of 12)	NA	126	SLC9A1								
Interval_16756	chr3	113515015	113515277	+	0	NA	promoter-TSS (SPICE1)	NA	41	SPICE1								
Interval_16578	chr3	60854837	60855074	+	0	NA	intron (FHIT, intron 2 of 8)	NA	396352	FHIT								
Interval_24534	chrX	19875035	19875495	+	0	NA	intron (SH3KBP1, intron 1 of 17)	NA	12361	SH3KBP1								
Interval_19922	chr6	30672905	30673219	+	0	NA	promoter-TSS (DHX16)	NA	-9	DHX16								
Interval_5739	chr12	121210554	121210839	+	0	NA	intron (P2RX4, intron 1 of 10)	NA	835	P2RX4								
Interval_7310	chr15	55401724	55402100	+	0	NA	intron (DYX1C1-CCPG1, intron 8 of 15)	NA	6598	CCPG1								
Interval_1346	chr1	151165622	151166263	+	0	NA	promoter-TSS (SCNM1)	NA	-48	LYSMD1								
Interval_14790	chr20	46689080	46689960	+	0	NA	exon (TP53RK, exon 1 of 2)	NA	117	TP53RK								
Interval_19121	chr5	146363307	146363477	+	0	NA	Intergenic	NA	24368	POU4F3								
Interval_7701	chr15	85380412	85380831	+	0	NA	promoter-TSS (AKAP13)	NA	31258	LOC102724393								
Interval_15497	chr22	28811826	28812089	+	0	NA	Intergenic	NA	-11385	XBP1								
Interval_13484	chr2	127387179	127388325	+	0	NA	exon (LOC100506922, exon 3 of 5)	NA	9624	LOC100506922								
Interval_6275	chr14	21103599	21104036	+	0	NA	promoter-TSS (ZNF219)	NA	4880	TMEM253								
Interval_24567	chrX	30638467	30638673	+	0	NA	Intergenic	NA	-14789	GK								
Interval_2425	chr10	8133189	8133422	+	0	NA	Intergenic	NA	-80810	GATA3-AS1								
Interval_13586	chr2	144509215	144509465	+	0	NA	intron (ZEB2, intron 2 of 9)	NA	9091	ZEB2								
Interval_18365	chr5	17118574	17119049	+	0	NA	Intergenic	NA	-98012	BASP1								
Interval_2868	chr10	74739122	74739292	+	0	NA	Intergenic	NA	-87206	KAT6B								
Interval_556	chr1	32816787	32817687	+	0	NA	promoter-TSS (S100PBP)	NA	-281	S100PBP								
Interval_23933	chr9	109440810	109441033	+	0	NA	intron (PTPN3, intron 6 of 23)	NA	10463	PTPN3								
Interval_18360	chr5	16785453	16785642	+	0	NA	intron (MYO10, intron 4 of 39)	NA	150538	MYO10								
Interval_17051	chr3	153058395	153058585	+	0	NA	Intergenic	NA	-103722	RAP2B								
Interval_4114	chr11	66616254	66617384	+	0	NA	exon (RBM14-RBM4, exon 1 of 3)	NA	237	RBM14								
Interval_11300	chr19	12785654	12785874	+	0	NA	Intergenic	NA	-1364	MIR5684								
Interval_17431	chr4	1721176	1721597	+	0	NA	promoter-TSS (TACC3)	NA	-29	TMEM129								
Interval_21095	chr7	6826265	6826436	+	0	NA	promoter-TSS (CCZ1B)	NA	-55	CCZ1B								
Interval_12200	chr19	49580324	49580880	+	0	NA	promoter-TSS (PRRG2)	NA	-42	PRRG2								
Interval_13939	chr2	203891518	203891797	+	0	NA	Intergenic	NA	23869	CTLA4								
Interval_18639	chr5	76402548	76403396	+	0	NA	promoter-TSS (IQGAP2)	NA	206095	LOC101929109								
Interval_13639	chr2	151288681	151288871	+	0	NA	intron (NMI, intron 1 of 7)	NA	1140	NMI								
Interval_19801	chr6	26234465	26234921	+	0	NA	exon (HIST1H1D, exon 1 of 1)	NA	295	HIST1H1D								
Interval_10376	chr18	9913462	9914814	+	0	NA	exon (VAPA, exon 1 of 7)	NA	180	VAPA								
Interval_22569	chr8	42541036	42542489	+	0	NA	promoter-TSS (SLC20A2)	NA	-61	SMIM19								
Interval_16548	chr3	57227465	57227947	+	0	NA	promoter-TSS (HESX1)	NA	-31	APPL1								
Interval_6754	chr14	88006240	88006532	+	0	NA	intron (GPR65, intron 1 of 1)	NA	1262	GPR65								
Interval_11620	chr19	29285848	29286183	+	0	NA	TTS (LOC284395)	NA	-72786	UQCRFS1								
Interval_17715	chr4	54801235	54801454	+	0	NA	Intergenic	NA	143416	KIT								
Interval_5341	chr12	69470236	69470435	+	0	NA	promoter-TSS (FRS2)	NA	-14	FRS2								
Interval_5413	chr12	90216869	90217228	+	0	NA	Intergenic	NA	-458274	LOC102724834								
Interval_17698	chr4	52712140	52712768	+	0	NA	promoter-TSS (SNORA26)	NA	0	DANCR								
Interval_21624	chr7	92635005	92635188	+	0	NA	intron (CDK6, intron 5 of 7)	NA	-44702	FAM133B								
Interval_1779	chr1	193059032	193060060	+	0	NA	promoter-TSS (UCHL5)	NA	-163	UCHL5								
Interval_2029	chr1	220880142	220880465	+	0	NA	promoter-TSS (HLX-AS1)	NA	-163	HLX-AS1								
Interval_112	chr1	7783914	7784084	+	0	NA	promoter-TSS (PER3)	NA	-740	PER3								
Interval_709	chr1	42958240	42958545	+	0	NA	promoter-TSS (SLC2A1-AS1)	NA	-657	SLC2A1-AS1								
Interval_13874	chr2	197515764	197516325	+	0	NA	promoter-TSS (MOB4)	NA	-254	MOB4								
Interval_15655	chr22	37731914	37732124	+	0	NA	intron (TRIOBP, intron 7 of 23)	NA	13936	LOC102724378								
Interval_18747	chr5	95834647	95834915	+	0	NA	Intergenic	NA	-9835	LOC102724720								
Interval_13780	chr2	177245069	177245514	+	0	NA	intron (NFE2L2, intron 1 of 4)	NA	10719	MIR3128								
Interval_16384	chr3	48898783	48899079	+	0	NA	promoter-TSS (SLC25A20)	NA	-39	SLC25A20								
Interval_6711	chr14	77616435	77617199	+	0	NA	promoter-TSS (SPTLC2)	NA	-50	SPTLC2								
Interval_12193	chr19	49489232	49489465	+	0	NA	promoter-TSS (SNORD32A)	NA	-618	SNORD32A								
Interval_4466	chr11	110429920	110430198	+	0	NA	exon (FDX1, exon 1 of 4)	NA	122	FDX1								
Interval_20708	chr6	143450167	143450396	+	0	NA	promoter-TSS (PEX3)	NA	-500	PEX3								
Interval_2669	chr10	56361127	56361498	+	0	NA	promoter-TSS (ZWINT)	NA	-10	ZWINT								
Interval_220	chr1	15231752	15231964	+	0	NA	Intergenic	NA	-15376	FHAD1								
Interval_7540	chr15	74546148	74546567	+	0	NA	intron (ARID3B, intron 2 of 8)	NA	5180	ARID3B								
Interval_10957	chr19	2950363	2951071	+	0	NA	Intergenic	NA	-5746	ZNF77								
Interval_10643	chr18	61955789	61955968	+	0	NA	Intergenic	NA	-61477	RNF152								
Interval_11500	chr19	17765169	17765403	+	0	NA	intron (FCHO1, intron 6 of 28)	NA	10969	FCHO1								
Interval_9595	chr17	42832827	42833574	+	0	NA	promoter-TSS (PSME3)	NA	58	PSME3								
Interval_8409	chr16	49952420	49952651	+	0	NA	Intergenic	NA	-72671	CNEP1R1								
Interval_14200	chr2	237475172	237475711	+	0	NA	Intergenic	NA	-11810	MLPH								
Interval_10474	chr18	35377129	35377440	+	0	NA	promoter-TSS (ZNF396)	NA	53	ZNF396								
Interval_18532	chr5	56414540	56414877	+	0	NA	Intergenic	NA	67061	LOC102467147								
Interval_16583	chr3	61895150	61895362	+	0	NA	intron (PTPRG, intron 2 of 29)	NA	273200	LOC101929296								
Interval_3694	chr11	33211259	33211543	+	0	NA	Intergenic	NA	-45921	HIPK3								
Interval_15282	chr21	42879147	42879769	+	0	NA	promoter-TSS (WDR4)	NA	111	WDR4								
Interval_20496	chr6	108559375	108559939	+	0	NA	promoter-TSS (FOXO3)	NA	-96673	FOXO3								
Interval_16718	chr3	105970472	105970645	+	0	NA	Intergenic	NA	-101546	CBLB								
Interval_21656	chr7	97872116	97872599	+	0	NA	promoter-TSS (ASNS)	NA	-192	ASNS								
Interval_24666	chrX	49123672	49123992	+	0	NA	promoter-TSS (GPKOW)	NA	-31	GPKOW								
Interval_21842	chr7	114922392	114922573	+	0	NA	exon (MDFIC, exon 1 of 5)	NA	328	MDFIC								
Interval_3114	chr10	100999217	100999391	+	0	NA	promoter-TSS (LZTS2)	NA	-510	LZTS2								
Interval_896	chr1	64864144	64864511	+	0	NA	intron (JAK1, intron 8 of 24)	NA	102583	JAK1								
Interval_24908	chrX	153926132	153926522	+	0	NA	promoter-TSS (ARHGAP4)	NA	-67	ARHGAP4								
Interval_22330	chr8	22396575	22396745	+	0	NA	intron (SLC39A14, intron 2 of 9)	NA	29411	SLC39A14								
Interval_4022	chr11	65061790	65061999	+	0	NA	Intergenic	NA	-3357	NAALADL1								
Interval_24468	chrX	10165662	10165939	+	0	NA	intron (CLCN4, intron 2 of 10)	NA	8855	CLCN4								
Interval_24931	chrX	154516105	154516638	+	0	NA	promoter-TSS (FAM3A)	NA	-129	FAM3A								
Interval_21173	chr7	24756092	24756347	+	0	NA	intron (DFNA5, intron 1 of 9)	NA	1801	DFNA5								
Interval_2183	chr1	233277574	233277883	+	0	NA	intron (PCNXL2, intron 1 of 33)	NA	17979	PCNXL2								
Interval_11378	chr19	14380751	14382056	+	0	NA	exon (CD97, exon 1 of 19)	NA	259	CD97								
Interval_14268	chr2	241686663	241687466	+	0	NA	promoter-TSS (LOC101927187)	NA	-96	DTYMK								
Interval_17060	chr3	155806182	155806382	+	0	NA	promoter-TSS (C3orf33)	NA	-2171	C3orf33								
Interval_20725	chr6	145148526	145148726	+	0	NA	Intergenic	NA	-34097	TRNAQ32								
Interval_35	chr1	1658850	1659377	+	0	NA	promoter-TSS (CDK11B)	NA	-101	CDK11B								
Interval_1687	chr1	180502478	180502935	+	0	NA	exon (ACBD6, exon 1 of 8)	NA	181	ACBD6								
Interval_19433	chr5	179780450	179780637	+	0	NA	Intergenic	NA	-11172	LOC101928482								
Interval_17524	chr4	10018849	10019293	+	0	NA	exon (SLC2A9, exon 2 of 13)	NA	2435	SLC2A9								
Interval_7299	chr15	55253424	55253848	+	0	NA	intron (RAB27A, intron 1 of 6)	NA	16650	RAB27A								
Interval_398	chr1	25997485	25997795	+	0	NA	promoter-TSS (PAFAH2)	NA	532	PAFAH2								
Interval_6837	chr14	93534053	93534246	+	0	NA	intron (UNC79, intron 11 of 49)	NA	67283	UNC79								
Interval_7375	chr15	63497812	63498175	+	0	NA	Intergenic	NA	-6591	USP3								
Interval_11499	chr19	17751282	17751817	+	0	NA	promoter-TSS (FCHO1)	NA	-2768	FCHO1								
Interval_12091	chr19	47225795	47228645	+	0	NA	promoter-TSS (MIR3191)	NA	232	MIR3190								
