PeakID (cmd=annotatePeaks.pl MEF2C.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_4631	chr9	96150319	96150588	+	0	NA	Intergenic	NA	-34042	LOC158434								
Interval_2583	chr2	238377112	238377230	+	0	NA	intron (TRAF3IP1, intron 13 of 14)	NA	-49570	ASB1								
Interval_2569	chr2	231666831	231667197	+	0	NA	Intergenic	NA	-41511	PTMA								
Interval_2485	chr2	181407289	181407587	+	0	NA	Intergenic	NA	-49454	ITGA4								
Interval_3950	chr6	164108904	164109334	+	0	NA	Intergenic	NA	-437635	LOC102724152								
Interval_2052	chr19	13261132	13261404	+	0	NA	intron (CACNA1A, intron 26 of 47)	NA	110800	IER2								
Interval_1649	chr16	75333749	75333975	+	0	NA	intron (CFDP1, intron 5 of 6)	NA	57646	LOC101928178								
Interval_266	chr1	160204586	160204877	+	0	NA	promoter-TSS (PEA15)	NA	3656	RP11-536C5.7								
Interval_2904	chr3	10189495	10189758	+	0	NA	intron (IRAK2, intron 2 of 11)	NA	24749	IRAK2								
Interval_1628	chr16	59274213	59274430	+	0	NA	Intergenic	NA	480870	APOOP5								
Interval_2772	chr21	37210203	37210417	+	0	NA	intron (DSCR9, intron 2 of 2)	NA	1807	DSCR9								
Interval_3981	chr7	6175659	6176117	+	0	NA	intron (CYTH3, intron 5 of 12)	NA	70916	USP42								
Interval_1451	chr15	74552901	74553085	+	0	NA	intron (ARID3B, intron 2 of 8)	NA	11816	ARID3B								
Interval_3764	chr6	38443439	38443652	+	0	NA	intron (BTBD9, intron 5 of 10)	NA	-38035	LOC101929425								
Interval_2670	chr20	37990762	37991091	+	0	NA	intron (TTI1, intron 7 of 7)	NA	42505	TTI1								
Interval_1862	chr18	2857510	2857739	+	0	NA	intron (EMILIN2, intron 2 of 7)	NA	10594	EMILIN2								
Interval_4075	chr7	69208916	69209081	+	0	NA	Intergenic	NA	388497	LOC100507468								
Interval_4456	chr8	108137043	108137180	+	0	NA	Intergenic	NA	-53908	RSPO2								
Interval_3786	chr6	50792047	50792442	+	0	NA	Intergenic	NA	-29780	TFAP2B								
Interval_4696	chr9	124217918	124218222	+	0	NA	Intergenic	NA	-40181	NEK6								
Interval_44	chr1	21261941	21262169	+	0	NA	intron (ECE1, intron 2 of 16)	NA	-31235	RP5-1071N3.1								
Interval_1801	chr17	61279516	61279724	+	0	NA	intron (BCAS3, intron 22 of 23)	NA	87985	LOC101927855								
Interval_3932	chr6	156459510	156459751	+	0	NA	Intergenic	NA	-164889	LOC101928923								
Interval_728	chr11	47724249	47724412	+	0	NA	TTS (FNBP4)	NA	-8966	AGBL2								
Interval_4007	chr7	21580290	21580502	+	0	NA	intron (DNAH11, intron 8 of 81)	NA	37181	DNAH11								
Interval_2652	chr20	26216167	26216320	+	0	NA	Intergenic	NA	-7010	LOC284801								
Interval_1934	chr18	59143463	59143823	+	0	NA	intron (SEC11C, intron 1 of 4)	NA	3759	SEC11C								
Interval_1029	chr12	97076988	97077215	+	0	NA	Intergenic	NA	169878	NEDD1								
Interval_1694	chr17	5255315	5255487	+	0	NA	Intergenic	NA	-20541	SCIMP								
Interval_2213	chr2	11386293	11386561	+	0	NA	Intergenic	NA	-7554	LINC00570								
Interval_1019	chr12	93126044	93126306	+	0	NA	intron (RP11-486A14.2, intron 3 of 4)	NA	12898	LOC102724901								
Interval_3343	chr4	122584475	122584715	+	0	NA	Intergenic	NA	-34388	IL21-AS1								
Interval_4709	chr9	129320787	129320986	+	0	NA	promoter-TSS (C9orf106)	NA	-130	C9orf106								
Interval_1943	chr18	63236488	63236836	+	0	NA	intron (BCL2, intron 2 of 2)	NA	82718	BCL2								
Interval_638	chr10	114034689	114034879	+	0	NA	Intergenic	NA	-9263	ADRB1								
Interval_4567	chr9	13974959	13975075	+	0	NA	intron (LOC101929507, intron 1 of 2)	NA	-32264	LOC101929489								
Interval_2294	chr2	53778817	53779015	+	0	NA	intron (GPR75-ASB3, intron 1 of 9)	NA	7932	ASB3								
Interval_510	chr10	33248840	33249080	+	0	NA	intron (NRP1, intron 6 of 11)	NA	85719	NRP1								
Interval_4001	chr7	18317333	18317718	+	0	NA	intron (HDAC9, intron 2 of 26)	NA	-7987	LOC102724098								
Interval_1089	chr12	124026755	124027130	+	0	NA	intron (ZNF664-FAM101A, intron 2 of 4)	NA	53727	ZNF664								
Interval_1040	chr12	104280956	104281083	+	0	NA	intron (TXNRD1, intron 3 of 16)	NA	-22713	EID3								
Interval_3717	chr6	16636205	16636321	+	0	NA	intron (ATXN1, intron 3 of 7)	NA	125227	ATXN1								
Interval_186	chr1	104760133	104760356	+	0	NA	Intergenic	NA	687221	LOC100129138								
Interval_1138	chr13	33353447	33353603	+	0	NA	intron (STARD13, intron 2 of 14)	NA	2952	LOC102723425								
Interval_1475	chr15	82805998	82806392	+	0	NA	promoter-TSS (FSD2)	NA	-125	FSD2								
Interval_3121	chr3	141109705	141110025	+	0	NA	intron (SPSB4, intron 2 of 2)	NA	57964	SPSB4								
Interval_3100	chr3	128674861	128675024	+	0	NA	Intergenic	NA	-24066	RPN1								
Interval_823	chr11	114167036	114167274	+	0	NA	TTS (LOC101928875)	NA	6927	LOC101928875								
Interval_2858	chr22	36508304	36508430	+	0	NA	Intergenic	NA	-1324	FOXRED2								
Interval_2203	chr2	8303636	8303812	+	0	NA	intron (LINC00299, intron 2 of 8)	NA	24695	LINC00299								
Interval_4160	chr7	127856956	127857140	+	0	NA	intron (SND1, intron 12 of 23)	NA	-140461	SND1-IT1								
Interval_1659	chr16	80650478	80650623	+	0	NA	intron (CDYL2, intron 2 of 6)	NA	-77742	RP11-18F14.1								
Interval_1237	chr14	59849809	59850001	+	0	NA	intron (RTN1, intron 1 of 8)	NA	20934	RTN1								
Interval_4521	chr8	133092837	133093057	+	0	NA	intron (SLA, intron 1 of 8)	NA	10119	SLA								
Interval_668	chr10	132588262	132588847	+	0	NA	intron (INPP5A, intron 1 of 15)	NA	50705	INPP5A								
Interval_2917	chr3	12681974	12682286	+	0	NA	Intergenic	NA	-17929	RAF1								
Interval_1960	chr18	74140063	74140251	+	0	NA	intron (FBXO15, intron 2 of 9)	NA	7769	FBXO15								
Interval_1496	chr15	92969057	92969253	+	0	NA	intron (CHD2, intron 17 of 38)	NA	64747	MIR3175								
Interval_3724	chr6	20169390	20169576	+	0	NA	intron (MBOAT1, intron 1 of 7)	NA	-42629	LOC101928573								
Interval_4150	chr7	117066748	117066972	+	0	NA	intron (ST7, intron 1 of 15)	NA	46629	MIR6132								
Interval_3059	chr3	104521994	104522302	+	0	NA	Intergenic	NA	-844565	ALCAM								
Interval_1445	chr15	72141452	72141697	+	0	NA	TTS (SENP8)	NA	-23475	MYO9A								
Interval_2770	chr21	36097886	36098188	+	0	NA	intron (AP000688.14, intron 2 of 3)	NA	28113	CBR1								
Interval_1729	chr17	26619961	26620105	+	0	NA	Intergenic	NA	673909	MIR4522								
Interval_3083	chr3	121724236	121724368	+	0	NA	intron (GOLGB1, intron 5 of 21)	NA	25465	GOLGB1								
Interval_2739	chr21	24223686	24223917	+	0	NA	Intergenic	NA	97576	AP000469.2								
Interval_4686	chr9	120931595	120931801	+	0	NA	Intergenic	NA	-4803	TRAF1								
Interval_351	chr1	203536943	203537192	+	0	NA	Intergenic	NA	42924	OPTC								
Interval_253	chr1	156126128	156126577	+	0	NA	intron (LMNA, intron 1 of 12)	NA	11682	LMNA								
Interval_955	chr12	53493063	53493359	+	0	NA	promoter-TSS (MAP3K12)	NA	-141	MAP3K12								
Interval_1733	chr17	27544666	27544882	+	0	NA	intron (KSR1, intron 2 of 21)	NA	-86398	LGALS9								
Interval_1232	chr14	58427416	58427579	+	0	NA	promoter-TSS (TIMM9)	NA	17	TIMM9								
Interval_2340	chr2	74418502	74418772	+	0	NA	promoter-TSS (C2orf81)	NA	-920	C2orf81								
Interval_1929	chr18	56892001	56892169	+	0	NA	intron (WDR7, intron 21 of 27)	NA	180034	LINC-ROR								
Interval_1587	chr16	34590868	34591054	+	0	NA	Intergenic	NA	158969	LOC102724523								
Interval_2156	chr19	48967317	48967548	+	0	NA	TTS (GYS1)	NA	2123	FTL								
Interval_4410	chr8	82227967	82228296	+	0	NA	Intergenic	NA	-385831	SNX16								
Interval_2538	chr2	218733741	218733918	+	0	NA	intron (TTLL4, intron 1 of 18)	NA	22994	TTLL4								
Interval_4441	chr8	101314297	101314454	+	0	NA	Intergenic	NA	-54518	NACAP1								
Interval_476	chr10	7403738	7403958	+	0	NA	intron (SFMBT2, intron 1 of 20)	NA	5493	SFMBT2								
Interval_2717	chr20	60137061	60137398	+	0	NA	Intergenic	NA	-1263	RP5-1043L13.1-2								
Interval_2656	chr20	31106749	31106882	+	0	NA	Intergenic	NA	-150849	DEFB115								
Interval_1597	chr16	46388917	46389030	+	0	NA	Intergenic	NA	180124	ANKRD26P1								
Interval_778	chr11	76626855	76627232	+	0	NA	promoter-TSS (LOC101928813)	NA	-209	LOC101928813								
Interval_902	chr12	24679292	24679487	+	0	NA	Intergenic	NA	-95221	LINC00477								
Interval_243	chr1	152461598	152461892	+	0	NA	Intergenic	NA	-47471	CRNN								
Interval_2546	chr2	222161064	222161250	+	0	NA	Intergenic	NA	-136990	CCDC140								
Interval_2662	chr20	33994157	33994283	+	0	NA	exon (RP5-1125A11.1, exon 1 of 3)	NA	147	RP5-1125A11.1								
Interval_2731	chr21	18812282	18812590	+	0	NA	Intergenic	NA	-52624	AL109763.2								
Interval_234	chr1	149997651	149997834	+	0	NA	intron (OTUD7B, intron 1 of 11)	NA	-60844	MTMR11								
Interval_1617	chr16	56917160	56917323	+	0	NA	Intergenic	NA	12977	MIR6863								
Interval_3719	chr6	17022720	17022901	+	0	NA	Intergenic	NA	-79448	STMND1								
Interval_2500	chr2	197258616	197258917	+	0	NA	intron (ANKRD44-IT1, intron 5 of 5)	NA	-28190	LOC101927567								
Interval_1233	chr14	58747312	58747601	+	0	NA	Intergenic	NA	-1295	LOC102723725								
Interval_3572	chr5	129367964	129368221	+	0	NA	Intergenic	NA	-16313	LOC102723654								
Interval_2695	chr20	49915933	49916119	+	0	NA	promoter-TSS (SPATA2)	NA	-2287	SPATA2								
Interval_394	chr1	219090704	219090983	+	0	NA	intron (RP11-135J2.4, intron 3 of 4)	NA	82945	RP11-135J2.4								
Interval_3526	chr5	88827194	88827354	+	0	NA	intron (MEF2C, intron 2 of 10)	NA	-3347	MEF2C								
Interval_2986	chr3	45113767	45113884	+	0	NA	intron (CDCP1, intron 2 of 8)	NA	32597	CDCP1								
Interval_2124	chr19	43562708	43563083	+	0	NA	intron (XRCC1, intron 2 of 16)	NA	12683	XRCC1								
Interval_2716	chr20	60117118	60117459	+	0	NA	Intergenic	NA	-21204	RP5-1043L13.1-2								
Interval_1355	chr15	33188706	33188971	+	0	NA	intron (FMN1, intron 2 of 4)	NA	5895	FMN1								
Interval_3936	chr6	157764337	157764610	+	0	NA	intron (SNX9, intron 1 of 19)	NA	48427	SNX9								
Interval_752	chr11	65497622	65497785	+	0	NA	promoter-TSS (MALAT1)	NA	-59	MALAT1								
Interval_3075	chr3	113830719	113830889	+	0	NA	Intergenic	NA	-8030	GRAMD1C								
Interval_1753	chr17	39209729	39210006	+	0	NA	TTS (STAC2)	NA	9584	RPL19								
Interval_1893	chr18	32522861	32523047	+	0	NA	Intergenic	NA	11291	WBP11P1								
Interval_3883	chr6	128181521	128181684	+	0	NA	intron (PTPRK, intron 7 of 29)	NA	118902	RP11-103C16.2								
Interval_3577	chr5	131104542	131104801	+	0	NA	Intergenic	NA	60677	HINT1								
Interval_2798	chr22	10771340	10771451	+	0	NA	Intergenic	NA	173610	LOC102723780								
Interval_4216	chr8	5268672	5268860	+	0	NA	Intergenic	NA	-273960	CSMD1								
Interval_312	chr1	183956701	183956939	+	0	NA	intron (COLGALT2, intron 6 of 11)	NA	80950	COLGALT2								
Interval_2735	chr21	21029353	21029550	+	0	NA	intron (NCAM2, intron 1 of 17)	NA	-226343	LINC00320								
Interval_4272	chr8	25030743	25030864	+	0	NA	Intergenic	NA	-73934	NEFL								
Interval_1452	chr15	74781287	74781649	+	0	NA	promoter-TSS (CSK)	NA	-616	CSK								
Interval_1315	chr14	93709302	93709606	+	0	NA	Intergenic	NA	79002	PRIMA1								
Interval_2910	chr3	12187854	12188101	+	0	NA	intron (SYN2, intron 9 of 9)	NA	-28626	TIMP4								
Interval_515	chr10	42078562	42078675	+	0	NA	Intergenic	NA	-163905	LOC101929373								
Interval_4061	chr7	47970239	47970358	+	0	NA	intron (HUS1, intron 5 of 8)	NA	9323	HUS1								
Interval_91	chr1	41751182	41751724	+	0	NA	intron (HIVEP3, intron 1 of 8)	NA	-122646	HIVEP3								
Interval_4145	chr7	113521555	113521806	+	0	NA	Intergenic	NA	397347	PPP1R3A								
Interval_3095	chr3	126472314	126472656	+	0	NA	intron (ZXDC, intron 1 of 7)	NA	3434	ZXDC								
Interval_1123	chr13	28421798	28422024	+	0	NA	intron (FLT1, intron 10 of 11)	NA	73217	FLT1								
Interval_4458	chr8	111463343	111463459	+	0	NA	Intergenic	NA	-227220	RP11-946L20.4								
Interval_3615	chr5	147437350	147437596	+	0	NA	intron (DPYSL3, intron 1 of 13)	NA	16224	DPYSL3								
Interval_1464	chr15	78171502	78171665	+	0	NA	intron (ACSBG1, intron 13 of 13)	NA	22206	IDH3A								
Interval_1438	chr15	70023910	70024161	+	0	NA	Intergenic	NA	-48213	LOC101929129								
Interval_217	chr1	124562408	124562523	+	0	NA	Intergenic	NA	3043353	EMBP1								
Interval_3761	chr6	37183321	37183554	+	0	NA	Intergenic	NA	13291	PIM1								
Interval_413	chr1	225999574	225999860	+	0	NA	promoter-TSS (SDE2)	NA	-352	SDE2								
Interval_4687	chr9	121156585	121156776	+	0	NA	intron (CNTRL, intron 27 of 42)	NA	45407	RAB14								
Interval_4856	chrY	11721961	11722128	+	0	NA	Intergenic	NA	699546	GYG2P1								
Interval_1320	chr14	97074991	97075244	+	0	NA	Intergenic	NA	131538	LINC00618								
Interval_4523	chr8	133216490	133216841	+	0	NA	intron (WISP1, intron 2 of 2)	NA	3698	WISP1								
Interval_79	chr1	35411411	35411625	+	0	NA	intron (ZMYM4, intron 26 of 29)	NA	142551	ZMYM4								
Interval_2078	chr19	18479006	18479235	+	0	NA	intron (ELL, intron 1 of 11)	NA	-40471	ISYNA1								
Interval_990	chr12	82320565	82320712	+	0	NA	Intergenic	NA	37782	CCDC59								
Interval_4244	chr8	16423444	16423584	+	0	NA	Intergenic	NA	-230723	MSR1								
Interval_3067	chr3	108293090	108293352	+	0	NA	Intergenic	NA	-18564	HHLA2								
Interval_572	chr10	73641850	73642002	+	0	NA	promoter-TSS (MYOZ1)	NA	-169	MYOZ1								
Interval_254	chr1	156151458	156151661	+	0	NA	intron (SEMA4A, intron 1 of 14)	NA	-1972	SEMA4A								
Interval_1238	chr14	60102529	60102719	+	0	NA	intron (PCNXL4, intron 1 of 9)	NA	10713	PCNXL4								
Interval_3006	chr3	49882308	49882433	+	0	NA	Intergenic	NA	-12434	CAMKV								
Interval_2609	chr20	5659360	5659553	+	0	NA	Intergenic	NA	-48900	GPCPD1								
Interval_4173	chr7	137981673	137981980	+	0	NA	intron (CREB3L2, intron 1 of 11)	NA	28478	AC022173.2								
Interval_701	chr11	22194468	22194677	+	0	NA	intron (ANO5, intron 1 of 20)	NA	1905	ANO5								
Interval_1895	chr18	32923017	32923334	+	0	NA	Intergenic	NA	-150164	KLHL14								
Interval_1997	chr19	2900524	2900711	+	0	NA	promoter-TSS (ZNF57)	NA	-281	ZNF57								
Interval_4286	chr8	29641800	29642086	+	0	NA	Intergenic	NA	106166	LINC00589								
Interval_989	chr12	82047601	82047764	+	0	NA	Intergenic	NA	93963	RP11-362A1.1								
Interval_3710	chr6	15084715	15084946	+	0	NA	Intergenic	NA	-161145	JARID2								
Interval_4414	chr8	86108592	86108910	+	0	NA	intron (ATP6V0D2, intron 1 of 7)	NA	9841	ATP6V0D2								
Interval_526	chr10	48668265	48668565	+	0	NA	Intergenic	NA	-23863	WDFY4								
Interval_997	chr12	89468762	89468928	+	0	NA	intron (POC1B, intron 6 of 11)	NA	55961	GALNT4								
Interval_3546	chr5	103499607	103499817	+	0	NA	Intergenic	NA	42273	LOC102467212								
Interval_1596	chr16	46388599	46388773	+	0	NA	Intergenic	NA	180411	ANKRD26P1								
Interval_4603	chr9	36029867	36030161	+	0	NA	Intergenic	NA	-6899	RECK								
Interval_1693	chr17	4509884	4510076	+	0	NA	intron (SPNS2, intron 1 of 11)	NA	-19642	SPNS2								
Interval_4837	chrX	117815199	117815315	+	0	NA	Intergenic	NA	170156	KLHL13								
Interval_619	chr10	101353750	101354146	+	0	NA	promoter-TSS (BTRC)	NA	24010	LOC102724260								
Interval_587	chr10	78756773	78756981	+	0	NA	Intergenic	NA	310571	ZMIZ1-AS1								
Interval_72	chr1	32066478	32066764	+	0	NA	Intergenic	NA	-6281	TMEM39B								
Interval_3703	chr6	14665905	14666082	+	0	NA	TTS (LOC102724463)	NA	4540	LOC102724463								
Interval_2373	chr2	100192817	100193177	+	0	NA	Intergenic	NA	-15257	LINC01104								
Interval_4314	chr8	39971624	39971920	+	0	NA	intron (IDO2, intron 3 of 10)	NA	36817	IDO2								
Interval_3232	chr4	13528655	13528771	+	0	NA	intron (LINC01097, intron 2 of 3)	NA	2704	LINC01097								
Interval_4654	chr9	107750762	107750956	+	0	NA	Intergenic	NA	-261093	KLF4								
Interval_2376	chr2	100813566	100813751	+	0	NA	Intergenic	NA	-7367	NPAS2								
Interval_4774	chrX	1870460	1870629	+	0	NA	Intergenic	NA	255411	ASMT								
Interval_1986	chr19	1260846	1261099	+	0	NA	Intergenic	NA	-8296	CIRBP								
Interval_4029	chr7	28409148	28409564	+	0	NA	promoter-TSS (CREB5)	NA	1	CREB5								
Interval_2338	chr2	74080028	74080192	+	0	NA	intron (TET3, intron 2 of 8)	NA	67802	BOLA3								
Interval_4562	chr9	6628984	6629219	+	0	NA	intron (GLDC, intron 2 of 24)	NA	16591	GLDC								
Interval_199	chr1	110619528	110619954	+	0	NA	intron (KCNA2, intron 1 of 4)	NA	11733	KCNA2								
Interval_4854	chrY	11327623	11327736	+	0	NA	Intergenic	NA	1093911	GYG2P1								
Interval_661	chr10	129103402	129103533	+	0	NA	Intergenic	NA	-363825	MGMT								
Interval_443	chr1	234963312	234963443	+	0	NA	Intergenic	NA	106441	LOC731656								
Interval_1027	chr12	96120800	96121027	+	0	NA	Intergenic	NA	-73489	ELK3								
Interval_1127	chr13	28671553	28671683	+	0	NA	intron (POMP, intron 4 of 5)	NA	12614	POMP								
Interval_4621	chr9	89388314	89388535	+	0	NA	intron (SEMA4D, intron 13 of 20)	NA	69934	SECISBP2								
Interval_3036	chr3	72043200	72043367	+	0	NA	intron (LINC00877, intron 6 of 6)	NA	57172	LINC00877								
Interval_3268	chr4	40621695	40621860	+	0	NA	intron (RBM47, intron 1 of 5)	NA	8844	RBM47								
Interval_397	chr1	220876765	220876931	+	0	NA	intron (HLX-AS1, intron 1 of 2)	NA	-2553	HLX								
Interval_4760	chrX	368899	369086	+	0	NA	intron (PPP2R3B, intron 1 of 13)	NA	-4885	PPP2R3B								
Interval_2997	chr3	48835766	48835932	+	0	NA	intron (PRKAR2A, intron 1 of 9)	NA	11986	PRKAR2A								
Interval_1756	chr17	40098207	40098565	+	0	NA	intron (NR1D1, intron 1 of 7)	NA	2339	NR1D1								
Interval_1621	chr16	57675720	57675909	+	0	NA	intron (GPR97, intron 2 of 10)	NA	7627	GPR97								
Interval_499	chr10	26480988	26481156	+	0	NA	intron (APBB1IP, intron 2 of 14)	NA	-10835	APBB1IP								
Interval_2657	chr20	32205541	32205725	+	0	NA	intron (PLAGL2, intron 1 of 2)	NA	2110	PLAGL2								
Interval_1433	chr15	69546281	69546593	+	0	NA	Intergenic	NA	-15283	RP11-279F6.1								
Interval_3114	chr3	134487514	134487761	+	0	NA	intron (CEP63, intron 1 of 9)	NA	932	CEP63								
Interval_1515	chr16	1543263	1543590	+	0	NA	intron (TMEM204, intron 3 of 3)	NA	8421	LOC102724611								
Interval_4597	chr9	33290027	33290563	+	0	NA	promoter-TSS (NFX1)	NA	-159	NFX1								
Interval_2236	chr2	20579315	20579480	+	0	NA	Intergenic	NA	13151	HS1BP3-IT1								
Interval_2355	chr2	90389498	90389609	+	0	NA	Intergenic	NA	30050	LOC101060017								
Interval_2498	chr2	196160211	196160320	+	0	NA	intron (STK17B, intron 2 of 7)	NA	-11332	LOC101927454								
Interval_813	chr11	106012913	106013079	+	0	NA	intron (MSANTD4, intron 1 of 2)	NA	9231	MSANTD4								
Interval_2645	chr20	21100671	21101076	+	0	NA	Intergenic	NA	-25110	PLK1S1								
Interval_18	chr1	9425890	9426158	+	0	NA	exon (LOC100506022, exon 2 of 2)	NA	2972	LOC100506022								
Interval_1566	chr16	27305131	27305256	+	0	NA	Intergenic	NA	-36401	NSMCE1								
Interval_3840	chr6	101761328	101761680	+	0	NA	intron (GRIK2, intron 7 of 17)	NA	-307209	LOC101927388								
Interval_3967	chr7	593332	593543	+	0	NA	intron (PRKAR1B, intron 7 of 10)	NA	-9408	AC147651.4								
Interval_4201	chr7	152690104	152690455	+	0	NA	Intergenic	NA	-14114	XRCC2								
Interval_2493	chr2	190962181	190962488	+	0	NA	intron (GLS, intron 17 of 17)	NA	51916	STAT1								
Interval_3877	chr6	123276575	123276739	+	0	NA	intron (TRDN, intron 24 of 38)	NA	-162926	RP11-532N4.2								
Interval_4255	chr8	20953401	20953650	+	0	NA	Intergenic	NA	-20461	RP11-421P23.1								
Interval_3107	chr3	130850387	130850615	+	0	NA	promoter-TSS (ATP2C1)	NA	-43947	ATP2C1								
Interval_25	chr1	12528339	12528512	+	0	NA	Intergenic	NA	21179	SNORA59A								
Interval_4107	chr7	85471811	85471957	+	0	NA	Intergenic	NA	-349953	SEMA3D								
Interval_4040	chr7	36212213	36212371	+	0	NA	intron (EEPD1, intron 2 of 7)	NA	59065	EEPD1								
Interval_1511	chr15	101295834	101296063	+	0	NA	promoter-TSS (SNRPA1)	NA	-672	SNRPA1								
Interval_3854	chr6	108874917	108875104	+	0	NA	intron (ARMC2, intron 4 of 17)	NA	26579	ARMC2								
Interval_4706	chr9	128668301	128668516	+	0	NA	Intergenic	NA	-11558	WDR34								
Interval_4249	chr8	19493301	19493563	+	0	NA	intron (CSGALNACT1, intron 4 of 9)	NA	-92155	LOC102724881								
Interval_4818	chrX	57874845	57875019	+	0	NA	Intergenic	NA	35701	ZXDA								
Interval_4793	chrX	19906317	19906588	+	0	NA	Intergenic	NA	-18826	SH3KBP1								
Interval_1678	chr16	89115303	89115466	+	0	NA	intron (ACSF3, intron 6 of 10)	NA	21575	ACSF3								
Interval_2399	chr2	113390614	113390819	+	0	NA	Intergenic	NA	-46975	CBWD2								
Interval_1361	chr15	40098798	40099114	+	0	NA	intron (BMF, intron 3 of 3)	NA	9916	BMF								
Interval_3303	chr4	83240557	83240752	+	0	NA	Intergenic	NA	43513	COQ2								
Interval_3315	chr4	98232265	98232570	+	0	NA	Intergenic	NA	-29027	RAP1GDS1								
Interval_426	chr1	230212796	230212970	+	0	NA	intron (GALNT2, intron 3 of 15)	NA	145674	GALNT2								
Interval_196	chr1	109816396	109816825	+	0	NA	Intergenic	NA	-52588	EPS8L3								
Interval_3359	chr4	139740546	139740812	+	0	NA	TTS (MGST2)	NA	74911	MGST2								
Interval_1280	chr14	78835126	78835304	+	0	NA	intron (NRXN3, intron 10 of 20)	NA	-444124	NRXN3								
Interval_214	chr1	122889272	122889381	+	0	NA	Intergenic	NA	1370214	EMBP1								
Interval_4669	chr9	112012440	112012603	+	0	NA	Intergenic	NA	80421	MIR4668								
Interval_2227	chr2	15449629	15449875	+	0	NA	intron (NBAS, intron 21 of 51)	NA	111596	NBAS								
Interval_3620	chr5	149154020	149154239	+	0	NA	intron (ABLIM3, intron 2 of 20)	NA	12367	ABLIM3								
Interval_4610	chr9	73437880	73438029	+	0	NA	Intergenic	NA	-14945	LOC102723850								
Interval_764	chr11	69297137	69297680	+	0	NA	TTS (MYEOV)	NA	3253	MYEOV								
Interval_2177	chr19	54207756	54207903	+	0	NA	TTS (RPS9)	NA	6996	RPS9								
Interval_2686	chr20	47024839	47025196	+	0	NA	intron (EYA2, intron 5 of 13)	NA	-123269	LOC101927355								
Interval_1925	chr18	55988654	55988935	+	0	NA	Intergenic	NA	-68595	RP11-214L13.1								
Interval_2000	chr19	3762382	3762546	+	0	NA	promoter-TSS (APBA3)	NA	-203	MRPL54								
Interval_4438	chr8	100437985	100438415	+	0	NA	Intergenic	NA	55437	MIR4471								
Interval_2345	chr2	85174026	85174226	+	0	NA	intron (TCF7L1, intron 3 of 11)	NA	-39484	LOC102724579								
Interval_3007	chr3	49918272	49918538	+	0	NA	intron (MON1A, intron 1 of 5)	NA	11607	MON1A								
Interval_3612	chr5	146447003	146447119	+	0	NA	promoter-TSS (TCERG1)	NA	-250	TCERG1								
Interval_726	chr11	47533741	47534100	+	0	NA	intron (CELF1, intron 1 of 13)	NA	-31510	PTPMT1								
Interval_456	chr1	242634873	242635028	+	0	NA	Intergenic	NA	-110254	PLD5								
Interval_255	chr1	156281344	156281684	+	0	NA	intron (SMG5, intron 1 of 21)	NA	1371	SMG5								
Interval_1569	chr16	28534529	28534960	+	0	NA	Intergenic	NA	4430	NUPR1								
Interval_3954	chr6	166588987	166589103	+	0	NA	intron (RPS6KA2, intron 2 of 21)	NA	38177	RPS6KA2								
Interval_3147	chr3	159938848	159939018	+	0	NA	intron (IL12A-AS1, intron 9 of 9)	NA	-49903	IL12A								
Interval_3418	chr4	184534699	184534808	+	0	NA	Intergenic	NA	59951	LOC102723779								
Interval_4223	chr8	9066608	9067022	+	0	NA	Intergenic	NA	18362	MIR4660								
Interval_2648	chr20	23225384	23225692	+	0	NA	Intergenic	NA	37571	LOC100505664								
Interval_3143	chr3	156579440	156579644	+	0	NA	Intergenic	NA	-24358	SSR3								
Interval_2806	chr22	17483967	17484438	+	0	NA	intron (CECR2, intron 2 of 18)	NA	-79281	SLC25A18								
Interval_1519	chr16	3547118	3547482	+	0	NA	intron (LOC101929732, intron 2 of 2)	NA	4561	LOC101929732								
Interval_1094	chr12	126507140	126507294	+	0	NA	Intergenic	NA	64736	RP5-944M2.3								
Interval_4380	chr8	68503875	68504248	+	0	NA	intron (C8orf34, intron 5 of 6)	NA	-172570	LOC286189								
Interval_4326	chr8	42362583	42362741	+	0	NA	exon (POLB, exon 12 of 15)	NA	14494	DKK4								
Interval_1470	chr15	80587750	80588077	+	0	NA	intron (ARNT2, intron 17 of 18)	NA	6810	MIR5572								
Interval_2463	chr2	166727167	166727397	+	0	NA	Intergenic	NA	-233050	SCN7A								
Interval_1880	chr18	21484940	21485181	+	0	NA	intron (GREB1L, intron 17 of 32)	NA	33961	GREB1L								
Interval_3400	chr4	169293312	169293631	+	0	NA	Intergenic	NA	-22373	SH3RF1								
Interval_1293	chr14	89303885	89304262	+	0	NA	intron (FOXN3, intron 3 of 5)	NA	45979	LOC102724423								
Interval_2060	chr19	14943463	14944002	+	0	NA	Intergenic	NA	2243	OR7C2								
Interval_4253	chr8	20825985	20826321	+	0	NA	Intergenic	NA	-147833	RP11-421P23.1								
Interval_581	chr10	76306920	76307242	+	0	NA	intron (C10orf11, intron 4 of 5)	NA	-580923	LOC101929328								
