PeakID (cmd=annotatePeaks.pl LMO2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_17235	chr5	38453606	38453838	+	0	NA	intron (EGFLAM, intron 20 of 22)	NA	-50251	EGFLAM-AS2								
Interval_904	chr1	70041538	70042099	+	0	NA	intron (LRRC7, intron 20 of 25)	NA	122496	PIN1P1								
Interval_21220	chr8	123072757	123073157	+	0	NA	intron (TBC1D31, intron 1 of 20)	NA	277	TBC1D31								
Interval_16336	chr3	196811099	196811355	+	0	NA	intron (PAK2, intron 8 of 14)	NA	-26141	RNU6-42P								
Interval_16547	chr4	38666814	38667460	+	0	NA	intron (KLF3, intron 1 of 5)	NA	-2509	FLJ13197								
Interval_2964	chr10	102395732	102395924	+	0	NA	exon (NFKB2, exon 1 of 22)	NA	232	NFKB2								
Interval_13800	chr20	35284340	35284786	+	0	NA	promoter-TSS (FAM83C-AS1)	NA	154	EIF6								
Interval_2619	chr10	69318339	69318592	+	0	NA	promoter-TSS (HK1)	NA	48465	HK1								
Interval_634	chr1	40064601	40065300	+	0	NA	intron (CAP1, intron 6 of 12)	NA	24191	CAP1								
Interval_12346	chr2	69763173	69763352	+	0	NA	intron (ANXA4, intron 1 of 12)	NA	21267	ANXA4								
Interval_7925	chr16	50693599	50693818	+	0	NA	intron (NOD2, intron 1 of 11)	NA	112	NOD2								
Interval_6025	chr14	50667739	50668529	+	0	NA	exon (SAV1, exon 1 of 5)	NA	219	SAV1								
Interval_2762	chr10	79286212	79287387	+	0	NA	intron (ZMIZ1, intron 8 of 24)	NA	-60667	PPIF								
Interval_7993	chr16	57667036	57667419	+	0	NA	promoter-TSS (GPR97)	NA	-960	GPR97								
Interval_15210	chr3	19946892	19947930	+	0	NA	exon (RAB5A, exon 1 of 6)	NA	331	RAB5A								
Interval_10398	chr19	4976215	4976430	+	0	NA	intron (KDM4B, intron 1 of 23)	NA	43635	MIR4747								
Interval_13441	chr20	379851	380504	+	0	NA	promoter-TSS (TRIB3)	NA	-487	TRIB3								
Interval_13968	chr20	48722148	48724000	+	0	NA	intron (PREX1, intron 5 of 39)	NA	-66479	PREX1								
Interval_18256	chr6	11323342	11323574	+	0	NA	intron (NEDD9, intron 1 of 7)	NA	58890	NEDD9								
Interval_15469	chr3	49093020	49094915	+	0	NA	promoter-TSS (QRICH1)	NA	104	QRICH1								
Interval_5928	chr14	24212836	24213429	+	0	NA	TTS (MDP1)	NA	698	CHMP4A								
Interval_9289	chr17	63741099	63741798	+	0	NA	intron (STRADA, intron 1 of 12)	NA	370	STRADA								
Interval_15612	chr3	53255186	53255453	+	0	NA	intron (TKT, intron 1 of 13)	NA	733	TKT								
Interval_18401	chr6	26155565	26156307	+	0	NA	promoter-TSS (HIST1H1E)	NA	-395	HIST1H1E								
Interval_12100	chr2	43106366	43106728	+	0	NA	Intergenic	NA	-4102	LOC100506047								
Interval_1768	chr1	201506858	201507052	+	0	NA	promoter-TSS (CSRP1)	NA	304	CSRP1								
Interval_14636	chr22	29597234	29597493	+	0	NA	Intergenic	NA	-6193	NF2								
Interval_16903	chr4	139298602	139299108	+	0	NA	intron (NDUFC1, intron 1 of 5)	NA	2379	NDUFC1								
Interval_9226	chr17	59209385	59209959	+	0	NA	promoter-TSS (SMG8)	NA	-338	SMG8								
Interval_8438	chr17	3915520	3917369	+	0	NA	promoter-TSS (P2RX1)	NA	62	P2RX1								
Interval_11123	chr19	39397773	39399287	+	0	NA	exon (MED29, exon 4 of 4)	NA	7207	MED29								
Interval_9037	chr17	44689900	44690225	+	0	NA	promoter-TSS (CCDC43)	NA	-265	CCDC43								
Interval_4080	chr11	75815209	75815984	+	0	NA	promoter-TSS (LOC100506113)	NA	429	UVRAG								
Interval_5080	chr12	89525179	89525375	+	0	NA	promoter-TSS (LOC102724782)	NA	75	LOC102724782								
Interval_16128	chr3	170869393	170870161	+	0	NA	intron (RPL22L1, intron 1 of 3)	NA	424	RPL22L1								
Interval_947	chr1	84572618	84574486	+	0	NA	intron (CTBS, intron 1 of 6)	NA	928	CTBS								
Interval_6772	chr15	50134289	50134628	+	0	NA	Intergenic	NA	-23941	ATP8B4								
Interval_5278	chr12	112977673	112977909	+	0	NA	promoter-TSS (OAS2)	NA	-678	OAS2								
Interval_6978	chr15	69452878	69453472	+	0	NA	intron (RPLP1, intron 1 of 2)	NA	355	RPLP1								
Interval_11142	chr19	39706334	39706639	+	0	NA	intron (LGALS14, intron 2 of 4)	NA	2180	LGALS14								
Interval_620	chr1	39205450	39205807	+	0	NA	intron (MACF1, intron 1 of 100)	NA	-62837	MACF1								
Interval_5010	chr12	68610292	68610696	+	0	NA	promoter-TSS (RAP1B)	NA	-345	RAP1B								
Interval_16859	chr4	122152337	122152762	+	0	NA	exon (KIAA1109, exon 1 of 87)	NA	-54707	KIAA1109								
Interval_3680	chr11	61166435	61166647	+	0	NA	Intergenic	NA	-5367	VPS37C								
Interval_21359	chr8	133572153	133572854	+	0	NA	promoter-TSS (ST3GAL1)	NA	-563	ST3GAL1								
Interval_5769	chr13	99981421	99981600	+	0	NA	promoter-TSS (ZIC2)	NA	-262	ZIC2								
Interval_10787	chr19	16888647	16889441	+	0	NA	promoter-TSS (F2RL3)	NA	29	F2RL3								
Interval_10882	chr19	18480082	18480364	+	0	NA	intron (ELL, intron 1 of 11)	NA	41904	ELL								
Interval_974	chr1	89552491	89552809	+	0	NA	intron (LRRC8B, intron 1 of 5)	NA	27811	LRRC8B								
Interval_19002	chr6	99424765	99425350	+	0	NA	exon (RP11-98I9.4, exon 1 of 3)	NA	203	RP11-98I9.4								
Interval_11131	chr19	39411995	39412194	+	0	NA	promoter-TSS (PLEKHG2)	NA	166	TRNAI18								
Interval_11759	chr19	58408527	58408926	+	0	NA	promoter-TSS (ZNF584)	NA	-260	LOC100506634								
Interval_2671	chr10	72332270	72332570	+	0	NA	TTS (DNAJB12)	NA	22580	DNAJB12								
Interval_11797	chr2	8545037	8545736	+	0	NA	Intergenic	NA	38406	AC011747.4								
Interval_11703	chr19	55643559	55644232	+	0	NA	promoter-TSS (ZNF581)	NA	41	ZNF581								
Interval_8553	chr17	7834840	7835552	+	0	NA	promoter-TSS (KDM6B)	NA	-4721	KDM6B								
Interval_6061	chr14	57390582	57391011	+	0	NA	intron (NAA30, intron 1 of 4)	NA	243	NAA30								
Interval_21579	chr9	17843279	17843458	+	0	NA	Intergenic	NA	264413	SH3GL2								
Interval_21023	chr8	89902619	89903088	+	0	NA	intron (OSGIN2, intron 1 of 5)	NA	985	OSGIN2								
Interval_5021	chr12	69239613	69240473	+	0	NA	intron (CPSF6, intron 1 of 10)	NA	506	CPSF6								
Interval_21695	chr9	36148748	36148891	+	0	NA	intron (GLIPR2, intron 3 of 3)	NA	12283	GLIPR2								
Interval_15800	chr3	119579361	119580229	+	0	NA	exon (ADPRH, exon 1 of 5)	NA	119	ADPRH								
Interval_10945	chr19	24033473	24034141	+	0	NA	intron (ZNF254, intron 1 of 1)	NA	-53353	ZNF254								
Interval_3830	chr11	65572677	65572976	+	0	NA	exon (FAM89B, exon 1 of 2)	NA	477	FAM89B								
Interval_97	chr1	6393582	6393810	+	0	NA	promoter-TSS (ACOT7)	NA	70	ACOT7								
Interval_6588	chr15	31365668	31365926	+	0	NA	intron (KLF13, intron 1 of 1)	NA	38917	KLF13								
Interval_4207	chr11	96390018	96390254	+	0	NA	promoter-TSS (CCDC82)	NA	142	JRKL								
Interval_2687	chr10	73413639	73413978	+	0	NA	intron (ANXA7, intron 1 of 13)	NA	250	ANXA7								
Interval_12571	chr2	100562454	100562681	+	0	NA	promoter-TSS (PDCL3)	NA	-389	PDCL3								
Interval_8930	chr17	40107882	40108077	+	0	NA	Intergenic	NA	-7254	NR1D1								
Interval_1976	chr1	224334177	224334594	+	0	NA	Intergenic	NA	-4213	NVL								
Interval_18906	chr6	67896054	67896587	+	0	NA	Intergenic	NA	-144603	LOC102723883								
Interval_14939	chr22	46592614	46592875	+	0	NA	intron (GRAMD4, intron 1 of 17)	NA	15517	GRAMD4								
Interval_602	chr1	37859859	37860198	+	0	NA	promoter-TSS (MTF1)	NA	-408	MTF1								
Interval_17841	chr5	143792460	143792888	+	0	NA	Intergenic	NA	-19487	HMHB1								
Interval_1200	chr1	144412287	144412880	+	0	NA	promoter-TSS (RNVU1-15)	NA	7	RNVU1-15								
Interval_10095	chr18	77066779	77068369	+	0	NA	intron (MBP, intron 1 of 7)	NA	20077	MBP								
Interval_141	chr1	9233326	9233719	+	0	NA	Intergenic	NA	-8831	H6PD								
Interval_18300	chr6	13762980	13763291	+	0	NA	Intergenic	NA	51425	MCUR1								
Interval_1621	chr1	174022586	174022767	+	0	NA	Intergenic	NA	-29604	RC3H1								
Interval_2863	chr10	95907554	95907898	+	0	NA	promoter-TSS (C10orf131)	NA	-239	C10orf131								
Interval_8993	chr17	42985619	42986039	+	0	NA	intron (RUNDC1, intron 2 of 5)	NA	-5301	PTGES3L								
Interval_18956	chr6	87322722	87323118	+	0	NA	exon (GJB7, exon 2 of 3)	NA	332	SMIM8								
Interval_17214	chr5	34915252	34916367	+	0	NA	promoter-TSS (BRIX1)	NA	94	BRIX1								
Interval_2163	chr1	236185776	236186026	+	0	NA	intron (GPR137B, intron 5 of 5)	NA	43348	GPR137B								
Interval_13973	chr20	48826827	48827894	+	0	NA	intron (PREX1, intron 1 of 39)	NA	-94378	ARFGEF2								
Interval_19812	chr7	46932602	46932843	+	0	NA	Intergenic	NA	-235600	LOC730338								
Interval_10635	chr19	12682077	12682551	+	0	NA	promoter-TSS (DHPS)	NA	-427	DHPS								
Interval_1112	chr1	111755571	111756419	+	0	NA	promoter-TSS (LOC101928718)	NA	-198	FAM212B								
Interval_7792	chr16	30418283	30418579	+	0	NA	exon (ZNF771, exon 3 of 3)	NA	11017	ZNF771								
Interval_11704	chr19	55647809	55648508	+	0	NA	exon (CCDC106, exon 1 of 6)	NA	590	CCDC106								
Interval_19939	chr7	74405793	74406074	+	0	NA	TTS (CLIP2)	NA	-47857	GTF2IRD1								
Interval_5728	chr13	50917041	50917220	+	0	NA	intron (RNASEH2B, intron 1 of 10)	NA	-6418	RNASEH2B-AS1								
Interval_11980	chr2	27946526	27946784	+	0	NA	intron (BRE, intron 3 of 12)	NA	-49767	MIR4263								
Interval_21677	chr9	35079757	35079936	+	0	NA	exon (FANCG, exon 1 of 14)	NA	170	FANCG								
Interval_15107	chr3	12187400	12188025	+	0	NA	intron (SYN2, intron 9 of 9)	NA	-28361	TIMP4								
Interval_15641	chr3	57983921	57984087	+	0	NA	Intergenic	NA	-24416	FLNB								
Interval_8482	chr17	5378855	5379072	+	0	NA	intron (RABEP1, intron 15 of 16)	NA	-40678	RPAIN								
Interval_6820	chr15	55249832	55251731	+	0	NA	intron (RAB27A, intron 1 of 6)	NA	20128	RAB27A								
Interval_12649	chr2	112645958	112646610	+	0	NA	intron (SLC20A1, intron 1 of 10)	NA	427	SLC20A1								
Interval_7983	chr16	57185219	57185990	+	0	NA	promoter-TSS (RSPRY1)	NA	-10582	FAM192A								
Interval_4568	chr12	11838634	11838847	+	0	NA	intron (ETV6, intron 2 of 7)	NA	151224	LOC101928186								
Interval_18296	chr6	13708756	13709117	+	0	NA	intron (RANBP9, intron 1 of 13)	NA	1902	RANBP9								
Interval_1345	chr1	153790426	153790657	+	0	NA	Intergenic	NA	16187	SLC27A3								
Interval_8456	chr17	4711681	4711951	+	0	NA	intron (ARRB2, intron 1 of 12)	NA	1322	ARRB2								
Interval_21631	chr9	27655383	27655596	+	0	NA	Intergenic	NA	-81623	C9orf72								
Interval_5912	chr14	23555928	23556308	+	0	NA	promoter-TSS (ZFHX2)	NA	-128	ZFHX2								
Interval_20993	chr8	81111145	81112128	+	0	NA	exon (PAG1, exon 1 of 10)	NA	432	PAG1								
Interval_21259	chr8	125219468	125220548	+	0	NA	intron (NSMCE2, intron 5 of 7)	NA	93674	LOC102723524								
Interval_2568	chr10	63519122	63519336	+	0	NA	intron (JMJD1C, intron 1 of 25)	NA	-2124	REEP3								
Interval_6695	chr15	42736557	42737019	+	0	NA	intron (CDAN1, intron 1 of 27)	NA	320	CDAN1								
Interval_14617	chr22	28679199	28680228	+	0	NA	exon (TTC28, exon 1 of 23)	NA	62121	CHEK2								
Interval_21345	chr8	133144698	133144925	+	0	NA	Intergenic	NA	-41745	SLA								
Interval_1116	chr1	112882707	112882927	+	0	NA	Intergenic	NA	-32174	RP11-426L16.8								
Interval_456	chr1	28259571	28260017	+	0	NA	exon (SESN2, exon 1 of 10)	NA	342	SESN2								
Interval_19689	chr7	37342933	37343129	+	0	NA	intron (ELMO1, intron 1 of 21)	NA	143	ELMO1								
Interval_1081	chr1	109895900	109896561	+	0	NA	Intergenic	NA	-14381	CSF1								
Interval_672	chr1	42681714	42682163	+	0	NA	promoter-TSS (YBX1)	NA	-451	YBX1								
Interval_11358	chr19	45467692	45468576	+	0	NA	exon (FOSB, exon 1 of 5)	NA	139	FOSB								
Interval_8602	chr17	8967138	8967525	+	0	NA	exon (LOC101928235, exon 2 of 2)	NA	1505	LOC101928235								
Interval_6511	chr14	105255106	105255249	+	0	NA	intron (BRF1, intron 4 of 17)	NA	6635	BTBD6								
Interval_22637	chrX	48573840	48574175	+	0	NA	promoter-TSS (RBM3)	NA	-346	RBM3								
Interval_20666	chr8	26578266	26578540	+	0	NA	promoter-TSS (DPYSL2)	NA	-2	DPYSL2								
Interval_18832	chr6	43884362	43884873	+	0	NA	Intergenic	NA	-6411	LOC100132354								
Interval_21518	chr8	144900817	144901422	+	0	NA	intron (ZNF250, intron 1 of 5)	NA	949	ZNF250								
Interval_1339	chr1	153633971	153634580	+	0	NA	promoter-TSS (S100A13)	NA	199	CHTOP								
Interval_8819	chr17	31320746	31321516	+	0	NA	intron (EVI2A, intron 1 of 2)	NA	618	EVI2A								
Interval_18773	chr6	41786921	41787181	+	0	NA	promoter-TSS (TOMM6)	NA	-392	TOMM6								
Interval_15462	chr3	48989391	48989720	+	0	NA	promoter-TSS (LOC101928838)	NA	181	LOC101928838								
Interval_18122	chr5	180291460	180292112	+	0	NA	intron (MAPK9, intron 1 of 12)	NA	285	MAPK9								
Interval_460	chr1	28369683	28370013	+	0	NA	promoter-TSS (PHACTR4)	NA	77	PHACTR4								
Interval_18980	chr6	89828846	89829083	+	0	NA	promoter-TSS (CASP8AP2)	NA	-936	CASP8AP2								
Interval_4187	chr11	94553964	94554425	+	0	NA	Intergenic	NA	10343	FUT4								
Interval_17862	chr5	149549713	149549986	+	0	NA	intron (CSNK1A1, intron 2 of 9)	NA	1703	CSNK1A1								
Interval_1931	chr1	220121777	220122206	+	0	NA	intron (IARS2, intron 12 of 22)	NA	-3750	MIR194-1								
Interval_21641	chr9	33024358	33025039	+	0	NA	promoter-TSS (DNAJA1)	NA	-513	DNAJA1								
Interval_19966	chr7	75938341	75938560	+	0	NA	intron (POR, intron 1 of 15)	NA	-5333	SNORA14A								
Interval_749	chr1	45803104	45803343	+	0	NA	promoter-TSS (MAST2)	NA	-374	MAST2								
Interval_9132	chr17	49787573	49787805	+	0	NA	promoter-TSS (KAT7)	NA	-930	KAT7								
Interval_80	chr1	3666869	3667048	+	0	NA	intron (TP73, intron 1 of 13)	NA	14393	TP73								
Interval_7949	chr16	55538785	55539127	+	0	NA	intron (LPCAT2, intron 8 of 13)	NA	-27716	CAPNS2								
Interval_18824	chr6	43630447	43630628	+	0	NA	intron (MAD2L1BP, intron 1 of 3)	NA	995	MAD2L1BP								
Interval_15425	chr3	47475500	47475784	+	0	NA	intron (SCAP, intron 1 of 19)	NA	-32548	SCAP								
Interval_12243	chr2	61470107	61471970	+	0	NA	promoter-TSS (USP34)	NA	-324	USP34								
Interval_18029	chr5	176361699	176361909	+	0	NA	promoter-TSS (KIAA1191)	NA	-1886	KIAA1191								
Interval_2264	chr10	988461	988990	+	0	NA	intron (GTPBP4, intron 1 of 14)	NA	294	GTPBP4								
Interval_11898	chr2	23497170	23497403	+	0	NA	intron (KLHL29, intron 2 of 13)	NA	111859	KLHL29								
Interval_11964	chr2	27582626	27583079	+	0	NA	promoter-TSS (ZNF512)	NA	-117	ZNF512								
Interval_22100	chr9	123638127	123638296	+	0	NA	intron (DENND1A, intron 9 of 22)	NA	-152589	MIR7150								
Interval_19509	chr7	5217962	5218695	+	0	NA	intron (WIPI2, intron 6 of 11)	NA	28124	WIPI2								
Interval_18065	chr5	177479102	177480437	+	0	NA	Intergenic	NA	-6129	DBN1								
Interval_17930	chr5	157100149	157100466	+	0	NA	intron (HAVCR2, intron 3 of 6)	NA	8930	HAVCR2								
Interval_11172	chr19	40690914	40691401	+	0	NA	promoter-TSS (NUMBL)	NA	600	NUMBL								
Interval_4720	chr12	45989801	45990610	+	0	NA	intron (SCAF11, intron 1 of 14)	NA	1856	SCAF11								
Interval_19083	chr6	116279241	116279857	+	0	NA	promoter-TSS (DSE)	NA	568	TSPYL1								
Interval_17062	chr4	184347672	184347914	+	0	NA	intron (RP11-290F5.2, intron 2 of 2)	NA	6184	RP11-290F5.2								
Interval_6402	chr14	95185614	95186331	+	0	NA	exon (CLMN, exon 13 of 13)	NA	28284	DICER1-AS1								
Interval_17398	chr5	67166862	67167310	+	0	NA	exon (MAST4, exon 30 of 30)	NA	29703	CD180								
Interval_20639	chr8	23069252	23069667	+	0	NA	promoter-TSS (TNFRSF10B)	NA	-272	TNFRSF10B								
Interval_19619	chr7	25124535	25125261	+	0	NA	TTS (C7orf31)	NA	463	CYCS								
Interval_6160	chr14	69397536	69399219	+	0	NA	promoter-TSS (SLC39A9)	NA	-2	SLC39A9								
Interval_17050	chr4	183098477	183099007	+	0	NA	promoter-TSS (WWC2)	NA	457	WWC2-AS2								
Interval_6539	chr15	23565173	23566684	+	0	NA	exon (MKRN3, exon 1 of 1)	NA	621	MKRN3								
Interval_16333	chr3	196711980	196712842	+	0	NA	promoter-TSS (PIGX)	NA	37	PIGX								
Interval_8600	chr17	8966497	8966692	+	0	NA	promoter-TSS (PIK3R5)	NA	768	LOC101928235								
Interval_19054	chr6	109690784	109691036	+	0	NA	promoter-TSS (FIG4)	NA	-311	FIG4								
Interval_5604	chr13	29818266	29818558	+	0	NA	intron (UBL3, intron 1 of 4)	NA	32271	UBL3								
Interval_10282	chr19	2394020	2394333	+	0	NA	intron (TMPRSS9, intron 2 of 18)	NA	12669	TMPRSS9								
Interval_11207	chr19	41364730	41365282	+	0	NA	promoter-TSS (B9D2)	NA	-833	B9D2								
Interval_17529	chr5	94433440	94433764	+	0	NA	intron (KIAA0825, intron 14 of 20)	NA	185002	KIAA0825								
Interval_20922	chr8	65633831	65634107	+	0	NA	promoter-TSS (ARMC1)	NA	-972	ARMC1								
Interval_7415	chr16	2205327	2205745	+	0	NA	promoter-TSS (MLST8)	NA	322	MLST8								
Interval_15110	chr3	12350437	12350790	+	0	NA	promoter-TSS (PPARG)	NA	62763	PPARG								
Interval_5083	chr12	89708790	89709542	+	0	NA	promoter-TSS (ATP2B1)	NA	211	LINC00936								
Interval_20462	chr7	156640369	156640555	+	0	NA	promoter-TSS (RNF32)	NA	192	C7orf13								
Interval_8936	chr17	40219634	40219885	+	0	NA	promoter-TSS (WIPF2)	NA	437	WIPF2								
Interval_9738	chr18	2958487	2958817	+	0	NA	intron (LPIN2, intron 2 of 19)	NA	-12029	LOC727896								
Interval_15117	chr3	12556434	12556933	+	0	NA	promoter-TSS (MKRN2)	NA	-331	MKRN2								
Interval_3037	chr10	110918596	110920430	+	0	NA	promoter-TSS (BBIP1)	NA	-30	SHOC2								
Interval_22295	chr9	132669617	132669919	+	0	NA	promoter-TSS (GTF3C4)	NA	-97	DDX31								
Interval_18040	chr5	176715844	176716097	+	0	NA	Intergenic	NA	-27235	LOC102577424								
Interval_12502	chr2	96145153	96145469	+	0	NA	exon (DUSP2, exon 1 of 4)	NA	129	DUSP2								
Interval_5338	chr12	119876975	119877280	+	0	NA	intron (CIT, intron 1 of 46)	NA	-62323	LOC102723723								
Interval_13980	chr20	49046287	49046710	+	0	NA	promoter-TSS (LOC102723483)	NA	-231	LOC102723483								
Interval_19790	chr7	44977550	44979128	+	0	NA	intron (MYO1G, intron 1 of 21)	NA	766	MYO1G								
Interval_6639	chr15	40108224	40108876	+	0	NA	promoter-TSS (BMF)	NA	-2464	BMF								
Interval_1082	chr1	109910531	109911172	+	0	NA	exon (CSF1, exon 1 of 9)	NA	240	CSF1								
Interval_2543	chr10	58266551	58266848	+	0	NA	intron (IPMK, intron 1 of 5)	NA	1235	IPMK								
Interval_15949	chr3	133573628	133574886	+	0	NA	promoter-TSS (CDV3)	NA	-177	CDV3								
Interval_15527	chr3	50350378	50350613	+	0	NA	promoter-TSS (CYB561D2)	NA	-339	CYB561D2								
Interval_10244	chr19	1942918	1943173	+	0	NA	intron (CSNK1G2, intron 1 of 10)	NA	1896	CSNK1G2								
Interval_529	chr1	32394121	32394439	+	0	NA	intron (BSDC1, intron 1 of 9)	NA	181	BSDC1								
Interval_6415	chr14	96797341	96798178	+	0	NA	intron (VRK1, intron 1 of 13)	NA	374	VRK1								
Interval_11947	chr2	27086256	27086499	+	0	NA	promoter-TSS (KHK)	NA	-383	KHK								
Interval_1443	chr1	156129183	156129458	+	0	NA	intron (LMNA, intron 2 of 10)	NA	3203	LMNA								
Interval_8709	chr17	21034011	21034334	+	0	NA	intron (USP22, intron 1 of 12)	NA	9237	USP22								
Interval_22891	chrX	136496554	136496758	+	0	NA	promoter-TSS (HTATSF1)	NA	-856	HTATSF1								
Interval_12751	chr2	135875807	135876467	+	0	NA	intron (MCM6, intron 1 of 16)	NA	340	MCM6								
Interval_8666	chr17	17591068	17591282	+	0	NA	intron (PEMT, intron 1 of 6)	NA	528	PEMT								
Interval_22527	chrX	16719750	16720054	+	0	NA	intron (SYAP1, intron 1 of 8)	NA	318	SYAP1								
Interval_8754	chr17	28842404	28842628	+	0	NA	intron (FAM222B, intron 1 of 4)	NA	323	FAM222B								
Interval_4019	chr11	72813499	72815865	+	0	NA	intron (ATG16L2, intron 1 of 9)	NA	275	ATG16L2								
Interval_20880	chr8	56005917	56006152	+	0	NA	intron (LYN, intron 12 of 12)	NA	67867	SNORD54								
Interval_19714	chr7	38303376	38306012	+	0	NA	Intergenic	NA	-26411	LOC102724797								
Interval_18522	chr6	30033764	30033943	+	0	NA	intron (ZNRD1-AS1, intron 5 of 5)	NA	-19931	HCG8								
Interval_16401	chr4	2485121	2485403	+	0	NA	intron (RNF4, intron 2 of 8)	NA	16194	RNF4								
Interval_22927	chrX	153794657	153795203	+	0	NA	promoter-TSS (IDH3G)	NA	-407	IDH3G								
Interval_8285	chr16	88681992	88682579	+	0	NA	intron (SNAI3, intron 1 of 2)	NA	4979	SNAI3								
Interval_21557	chr9	6566982	6567161	+	0	NA	intron (GLDC, intron 15 of 24)	NA	78621	GLDC								
Interval_13511	chr20	3204018	3204602	+	0	NA	intron (DDRGK1, intron 1 of 8)	NA	339	DDRGK1								
Interval_4665	chr12	29428286	29428773	+	0	NA	intron (OVCH1, intron 27 of 27)	NA	-8116	LOC101928800								
Interval_22597	chrX	40267254	40267660	+	0	NA	intron (RP11-320G24.1, intron 1 of 2)	NA	4573	RP11-320G24.1								
Interval_10202	chr19	1249921	1252159	+	0	NA	intron (MIDN, intron 2 of 7)	NA	2482	MIDN								
Interval_585	chr1	36481997	36482363	+	0	NA	intron (CSF3R, intron 1 of 16)	NA	1134	CSF3R								
Interval_2827	chr10	89301557	89301895	+	0	NA	promoter-TSS (IFIT2)	NA	-223	IFIT2								
Interval_22018	chr9	113416238	113416516	+	0	NA	intron (C9orf43, intron 3 of 13)	NA	-4375	C9orf43								
Interval_13897	chr20	43942262	43942684	+	0	NA	intron (TOX2, intron 1 of 8)	NA	26331	TOX2								
Interval_20265	chr7	128343649	128343843	+	0	NA	exon (RBM28, exon 1 of 15)	NA	162	RBM28								
Interval_12759	chr2	137707002	137707367	+	0	NA	Intergenic	NA	219223	LOC101928273								
Interval_9152	chr17	50866761	50868012	+	0	NA	intron (TOB1-AS1, intron 1 of 1)	NA	707	TOB1-AS1								
Interval_12259	chr2	62304798	62304941	+	0	NA	Intergenic	NA	98987	MIR5192								
Interval_13024	chr2	190881932	190882211	+	0	NA	intron (GLS, intron 1 of 14)	NA	1250	GLS								
Interval_19867	chr7	64903324	64903665	+	0	NA	intron (ZNF273, intron 1 of 3)	NA	252	ZNF273								
Interval_16924	chr4	140236913	140237092	+	0	NA	Intergenic	NA	-82923	MAML3								
Interval_10778	chr19	16571590	16572373	+	0	NA	exon (SLC35E1, exon 1 of 6)	NA	401	SLC35E1								
Interval_19006	chr6	100880967	100881317	+	0	NA	exon (ASCC3, exon 1 of 4)	NA	230	ASCC3								
Interval_12213	chr2	57430358	57430580	+	0	NA	Intergenic	NA	-271275	LOC101927235								
Interval_7139	chr15	78437937	78439070	+	0	NA	intron (IREB2, intron 1 of 21)	NA	327	IREB2								
Interval_11529	chr19	50026101	50026478	+	0	NA	promoter-TSS (VRK3)	NA	334	ZNF473								
Interval_3634	chr11	57740941	57741311	+	0	NA	promoter-TSS (C11orf31)	NA	-124	C11orf31								
Interval_19739	chr7	41732592	41733308	+	0	NA	intron (INHBA-AS1, intron 2 of 3)	NA	-29842	INHBA								
Interval_8127	chr16	71884198	71884506	+	0	NA	promoter-TSS (ZNF821)	NA	-162	ZNF821								
Interval_8020	chr16	66516842	66517840	+	0	NA	intron (TK2, intron 6 of 8)	NA	31568	BEAN1								
Interval_18378	chr6	25962840	25963358	+	0	NA	exon (TRIM38, exon 2 of 8)	NA	410	TRIM38								
Interval_1158	chr1	115728250	115728665	+	0	NA	intron (CASQ2, intron 5 of 10)	NA	40348	CASQ2								
Interval_5194	chr12	107685236	107685683	+	0	NA	promoter-TSS (PWP1)	NA	-354	PWP1								
Interval_21749	chr9	70418585	70418782	+	0	NA	Intergenic	NA	-4026	KLF9								
Interval_16277	chr3	193593167	193593974	+	0	NA	intron (OPA1, intron 1 of 28)	NA	426	OPA1								
Interval_16105	chr3	167941384	167941908	+	0	NA	Intergenic	NA	45698	RP11-298O21.5								
Interval_21931	chr9	104968323	104968677	+	0	NA	Intergenic	NA	23262	LOC101928579								
Interval_16173	chr3	179604734	179605378	+	0	NA	promoter-TSS (MRPL47)	NA	269	NDUFB5								
Interval_736	chr1	45521470	45522067	+	0	NA	exon (PRDX1, exon 1 of 6)	NA	170	PRDX1								
Interval_18825	chr6	43635801	43636370	+	0	NA	intron (MAD2L1BP, intron 1 of 2)	NA	6543	MAD2L1BP								
Interval_8945	chr17	40417308	40417832	+	0	NA	intron (TOP2A, intron 1 of 34)	NA	380	TOP2A								
Interval_20341	chr7	139681169	139681384	+	0	NA	intron (HIPK2, intron 2 of 14)	NA	39614	LOC101928984								
Interval_19090	chr6	117601847	117602048	+	0	NA	intron (GOPC, intron 1 of 7)	NA	595	GOPC								
Interval_5930	chr14	24232726	24232905	+	0	NA	promoter-TSS (GMPR2)	NA	-57	GMPR2								
Interval_21980	chr9	111896453	111896596	+	0	NA	promoter-TSS (UGCG)	NA	-598	UGCG								
Interval_7874	chr16	34582134	34582431	+	0	NA	Intergenic	NA	150290	LOC102724523								
Interval_6441	chr14	100762379	100762779	+	0	NA	Intergenic	NA	35714	DLK1								
Interval_21105	chr8	101204845	101205668	+	0	NA	intron (ZNF706, intron 1 of 5)	NA	476	ZNF706								
Interval_17383	chr5	62707979	62708592	+	0	NA	Intergenic	NA	129550	LRRC70								
