PeakID (cmd=annotatePeaks.pl ZEB2.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_15428	chr7	130065415	130065872	+	0	NA	Intergenic	NA	-4901	KLHDC10								
Interval_13282	chr5	60109148	60109272	+	0	NA	intron (PDE4D, intron 2 of 16)	NA	-378722	PART1								
Interval_15316	chr7	101254867	101255088	+	0	NA	Intergenic	NA	-9887	FIS1								
Interval_1598	chr1	233868528	233868721	+	0	NA	Intergenic	NA	244429	MIR4427								
Interval_15930	chr8	41005791	41006178	+	0	NA	Intergenic	NA	-156337	ZMAT4								
Interval_7249	chr18	9902381	9902608	+	0	NA	Intergenic	NA	-11464	VAPA								
Interval_10407	chr20	1883071	1883338	+	0	NA	Intergenic	NA	-10913	SIRPA								
Interval_5353	chr15	92831650	92831917	+	0	NA	Intergenic	NA	36299	ASB9P1								
Interval_14151	chr6	35081529	35082041	+	0	NA	intron (ANKS1A, intron 17 of 23)	NA	59625	TCP11								
Interval_12414	chr3	184135289	184135489	+	0	NA	exon (EIF2B5, exon 1 of 16)	NA	367	EIF2B5								
Interval_10842	chr20	51800105	51800433	+	0	NA	intron (SALL4, intron 1 of 3)	NA	897	SALL4								
Interval_4538	chr14	69440056	69440233	+	0	NA	intron (SLC39A9, intron 2 of 5)	NA	41476	SLC39A9								
Interval_8424	chr19	31208537	31208847	+	0	NA	intron (LOC101927254, intron 1 of 3)	NA	19355	LOC101927254								
Interval_12856	chr4	87386081	87386293	+	0	NA	intron (HSD17B11, intron 1 of 5)	NA	5116	HSD17B11								
Interval_13129	chr5	1889110	1889340	+	0	NA	intron (CTD-2194D22.4, intron 2 of 3)	NA	1894	CTD-2194D22.4								
Interval_2501	chr11	10857611	10857922	+	0	NA	promoter-TSS (ZBED5-AS1)	NA	307	ZBED5								
Interval_8280	chr19	17370016	17370368	+	0	NA	intron (PLVAP, intron 1 of 5)	NA	7136	PLVAP								
Interval_2795	chr11	64886218	64886487	+	0	NA	Intergenic	NA	4871	MIR192								
Interval_4044	chr12	124609097	124609509	+	0	NA	Intergenic	NA	-1742	LOC101927436								
Interval_8013	chr19	10443589	10443832	+	0	NA	intron (PDE4A, intron 1 of 14)	NA	12860	PDE4A								
Interval_10543	chr20	20259468	20259792	+	0	NA	intron (C20orf26, intron 20 of 26)	NA	-1238	LOC101929575								
Interval_2478	chr11	9359354	9359567	+	0	NA	Intergenic	NA	-25162	IPO7								
Interval_9938	chr2	159623133	159623362	+	0	NA	Intergenic	NA	-7651	BAZ2B								
Interval_12697	chr4	38529725	38529884	+	0	NA	Intergenic	NA	-6624	RP11-83C7.2								
Interval_12582	chr4	3285909	3286150	+	0	NA	Intergenic	NA	-6949	RGS12								
Interval_8119	chr19	13836772	13836992	+	0	NA	promoter-TSS (MIR27A)	NA	-231	MIR23A								
Interval_12786	chr4	64200355	64200513	+	0	NA	Intergenic	NA	209037	TECRL								
Interval_9862	chr2	131492874	131493255	+	0	NA	promoter-TSS (MZT2A)	NA	251	LOC150776								
Interval_5277	chr15	84840853	84841050	+	0	NA	intron (ALPK3, intron 5 of 13)	NA	24271	ALPK3								
Interval_8841	chr19	48332672	48332992	+	0	NA	exon (TMEM143, exon 8 of 8)	NA	7460	EMP3								
Interval_6948	chr17	68512040	68512682	+	0	NA	promoter-TSS (PRKAR1A)	NA	-18	PRKAR1A								
Interval_15886	chr8	37791885	37792377	+	0	NA	Intergenic	NA	-5089	GPR124								
Interval_1541	chr1	225754514	225754705	+	0	NA	Intergenic	NA	-23204	SRP9								
Interval_7304	chr18	32018627	32018856	+	0	NA	exon (RNF125, exon 1 of 6)	NA	259	RNF125								
Interval_6716	chr17	45148243	45148613	+	0	NA	exon (HEXIM1, exon 1 of 1)	NA	1111	HEXIM1								
Interval_8371	chr19	18861245	18861719	+	0	NA	intron (UPF1, intron 17 of 23)	NA	29547	UPF1								
Interval_6578	chr17	36545264	36545747	+	0	NA	intron (GGNBP2, intron 1 of 13)	NA	617	GGNBP2								
Interval_11486	chr22	41422150	41422459	+	0	NA	Intergenic	NA	22982	TOB2								
Interval_13914	chr6	11093505	11093909	+	0	NA	promoter-TSS (SMIM13)	NA	-326	SMIM13								
Interval_11422	chr22	37907560	37907769	+	0	NA	intron (MICALL1, intron 1 of 15)	NA	1329	MICALL1								
Interval_12161	chr3	119677216	119677692	+	0	NA	promoter-TSS (COX17)	NA	-58	COX17								
Interval_2522	chr11	13672309	13672494	+	0	NA	intron (FAR1, intron 1 of 11)	NA	3742	FAR1								
Interval_6213	chr17	1555916	1556567	+	0	NA	intron (PITPNA, intron 2 of 11)	NA	6575	PITPNA								
Interval_10127	chr2	207135872	207136055	+	0	NA	intron (KLF7, intron 1 of 3)	NA	-25900	MIR2355								
Interval_7750	chr19	3558345	3558592	+	0	NA	promoter-TSS (MFSD12)	NA	-889	MFSD12								
Interval_7012	chr17	75456439	75456685	+	0	NA	promoter-TSS (KIAA0195)	NA	-29725	LOC102723674								
Interval_3765	chr12	101854638	101854939	+	0	NA	Intergenic	NA	-22792	DRAM1								
Interval_13380	chr5	88268824	88269052	+	0	NA	promoter-TSS (TMEM161B-AS1)	NA	56	TMEM161B-AS1								
Interval_6075	chr16	85262728	85262886	+	0	NA	intron (GSE1, intron 1 of 14)	NA	-20151	LINC00311								
Interval_5038	chr15	63503328	63503556	+	0	NA	Intergenic	NA	-38613	USP3								
Interval_9755	chr2	105571740	105572065	+	0	NA	Intergenic	NA	38657	LOC285000								
Interval_255	chr1	16366059	16366377	+	0	NA	promoter-TSS (SZRD1)	NA	-812	SZRD1								
Interval_10146	chr2	215636916	215637074	+	0	NA	intron (LINC00607, intron 5 of 9)	NA	-41189	LOC102724861								
Interval_14583	chr6	139378844	139379010	+	0	NA	Intergenic	NA	-4277	CITED2								
Interval_9380	chr2	41966976	41967197	+	0	NA	Intergenic	NA	-13283	C2orf91								
Interval_14186	chr6	36851736	36851894	+	0	NA	Intergenic	NA	-7550	LOC102723698								
Interval_6595	chr17	38592159	38592577	+	0	NA	intron (SRCIN1, intron 1 of 18)	NA	-19548	SRCIN1								
Interval_5986	chr16	72172164	72172378	+	0	NA	promoter-TSS (PMFBP1)	NA	-106	PMFBP1								
Interval_1887	chr10	49190104	49190511	+	0	NA	Intergenic	NA	-1907	C10orf128								
Interval_12002	chr3	55625865	55626199	+	0	NA	intron (ERC2, intron 17 of 18)	NA	33437	ERC2-IT1								
Interval_10227	chr2	227335649	227335876	+	0	NA	intron (MFF, intron 3 of 7)	NA	-10598	AC097662.2								
Interval_13728	chr5	172150581	172150857	+	0	NA	intron (STK10, intron 2 of 18)	NA	37623	STK10								
Interval_3844	chr12	110450206	110450542	+	0	NA	promoter-TSS (ARPC3)	NA	37	ARPC3								
Interval_14688	chr6	158667060	158667418	+	0	NA	intron (SYTL3, intron 5 of 17)	NA	17225	SYTL3								
Interval_17112	chr9	129202783	129203106	+	0	NA	Intergenic	NA	-24683	IER5L								
Interval_9294	chr2	27010708	27010986	+	0	NA	intron (MAPRE3, intron 1 of 6)	NA	-22059	TMEM214								
Interval_10621	chr20	32674407	32674843	+	0	NA	promoter-TSS (C20orf203)	NA	-22644	C20orf203								
Interval_14713	chr6	161375006	161375164	+	0	NA	intron (PARK2, intron 7 of 8)	NA	-101010	AGPAT4								
Interval_10248	chr2	231052994	231053111	+	0	NA	Intergenic	NA	-3812	PSMD1								
Interval_8958	chr19	50639119	50639499	+	0	NA	promoter-TSS (SYT3)	NA	-10136	C19orf81								
Interval_17327	chrX	323779	324032	+	0	NA	Intergenic	NA	4760	LINC00685								
Interval_13491	chr5	132069580	132069781	+	0	NA	Intergenic	NA	-4112	CSF2								
Interval_9647	chr2	85672783	85672991	+	0	NA	Intergenic	NA	-4668	SFTPB								
Interval_7339	chr18	47936834	47937036	+	0	NA	Intergenic	NA	-5742	SMAD2								
Interval_2641	chr11	46974193	46974351	+	0	NA	intron (C11orf49, intron 1 of 7)	NA	37583	C11orf49								
Interval_10731	chr20	44736678	44736863	+	0	NA	Intergenic	NA	-9077	KCNK15								
Interval_13882	chr6	7129683	7129988	+	0	NA	intron (RREB1, intron 1 of 12)	NA	21778	RREB1								
Interval_14288	chr6	45429831	45430031	+	0	NA	intron (RUNX2, intron 1 of 5)	NA	-51880	SUPT3H								
Interval_8363	chr19	18520334	18520528	+	0	NA	intron (ELL, intron 1 of 11)	NA	1696	ELL								
Interval_14222	chr6	41439693	41439944	+	0	NA	Intergenic	NA	-57559	LOC100505711								
Interval_4167	chr13	28100094	28100285	+	0	NA	intron (FLT3, intron 1 of 23)	NA	403	FLT3								
Interval_4295	chr13	112298368	112298873	+	0	NA	Intergenic	NA	-14847	LINC01043								
Interval_12614	chr4	7577139	7577686	+	0	NA	intron (SORCS2, intron 3 of 26)	NA	117384	MIR4274								
Interval_4534	chr14	69090286	69090448	+	0	NA	exon (DCAF5, exon 7 of 7)	NA	62668	DCAF5								
Interval_1040	chr1	148402713	148402844	+	0	NA	promoter-TSS (RNVU1-3)	NA	63	RNVU1-3								
Interval_9020	chr19	54020046	54020411	+	0	NA	Intergenic	NA	27940	CACNG6								
Interval_9530	chr2	68365103	68365413	+	0	NA	promoter-TSS (PLEK)	NA	68	PLEK								
Interval_1428	chr1	205288307	205288587	+	0	NA	Intergenic	NA	33308	NUAK2								
Interval_2445	chr11	3021329	3021514	+	0	NA	intron (CARS, intron 10 of 22)	NA	-29044	NAP1L4								
Interval_8158	chr19	14382821	14383217	+	0	NA	intron (CD97, intron 2 of 19)	NA	1875	CD97								
Interval_617	chr1	42146915	42147259	+	0	NA	Intergenic	NA	-6334	GUCA2B								
Interval_6114	chr16	87492820	87493003	+	0	NA	promoter-TSS (ZCCHC14)	NA	-648	ZCCHC14								
Interval_141	chr1	8218847	8219150	+	0	NA	Intergenic	NA	16234	LOC102724539								
Interval_12188	chr3	123585219	123585408	+	0	NA	promoter-TSS (PTPLB)	NA	-236	PTPLB								
Interval_2473	chr11	9060775	9061079	+	0	NA	intron (SCUBE2, intron 7 of 21)	NA	29452	MIR5691								
Interval_14239	chr6	42453256	42453462	+	0	NA	Intergenic	NA	-2098	TRERF1								
Interval_6164	chr16	89171331	89171537	+	0	NA	promoter-TSS (CDH15)	NA	-321	CDH15								
Interval_7235	chr18	8609324	8609482	+	0	NA	promoter-TSS (RAB12)	NA	-14611	RAB12								
Interval_1992	chr10	72262286	72262444	+	0	NA	Intergenic	NA	-11554	DDIT4								
Interval_5391	chr15	101002770	101002990	+	0	NA	intron (LRRK1, intron 6 of 33)	NA	83625	LRRK1								
Interval_15551	chr7	152158896	152159157	+	0	NA	exon (KMT2C, exon 45 of 61)	NA	79739	GALNT11								
Interval_11836	chr3	42842731	42842943	+	0	NA	intron (ACKR2, intron 2 of 2)	NA	33304	CYP8B1								
Interval_17137	chr9	131252634	131252953	+	0	NA	Intergenic	NA	23726	FAM78A								
Interval_13462	chr5	126542530	126542811	+	0	NA	exon (ALDH7A1, exon 18 of 18)	NA	52720	ALDH7A1								
Interval_17491	chrX	107672939	107673238	+	0	NA	Intergenic	NA	44664	PRPS1								
Interval_10048	chr2	190404693	190404884	+	0	NA	Intergenic	NA	-3567	MFSD6								
Interval_4319	chr13	113944916	113945458	+	0	NA	Intergenic	NA	11296	LOC100507747								
Interval_2223	chr10	103967956	103968116	+	0	NA	intron (SLK, intron 1 of 18)	NA	324	SLK								
Interval_12260	chr3	133114078	133114244	+	0	NA	intron (TMEM108, intron 1 of 4)	NA	-10708	TMEM108								
Interval_5348	chr15	91954444	91954684	+	0	NA	intron (SLCO3A1, intron 2 of 10)	NA	100745	SLCO3A1								
Interval_3979	chr12	121672419	121672679	+	0	NA	promoter-TSS (MORN3)	NA	-2895	MORN3								
Interval_2878	chr11	68002868	68003194	+	0	NA	exon (UNC93B1, exon 3 of 11)	NA	1092	UNC93B1								
Interval_16937	chr9	109967586	109967833	+	0	NA	intron (PALM2-AKAP2, intron 6 of 10)	NA	-80889	AKAP2								
Interval_5383	chr15	100342417	100342595	+	0	NA	promoter-TSS (ADAMTS17)	NA	-553	ADAMTS17								
Interval_9695	chr2	96638302	96638774	+	0	NA	promoter-TSS (KANSL3)	NA	-160	KANSL3								
Interval_7336	chr18	46104001	46104383	+	0	NA	promoter-TSS (HAUS1)	NA	41	ATP5A1								
Interval_14080	chr6	28711713	28712027	+	0	NA	Intergenic	NA	1281	TRNAA8								
Interval_2849	chr11	66744508	66744755	+	0	NA	promoter-TSS (C11orf80)	NA	-105	C11orf80								
Interval_2147	chr10	96423131	96423354	+	0	NA	intron (TLL2, intron 5 of 20)	NA	-63877	OPALIN								
Interval_7861	chr19	6361411	6361655	+	0	NA	promoter-TSS (CLPP)	NA	81	CLPP								
Interval_737	chr1	59674578	59674880	+	0	NA	intron (FGGY, intron 14 of 15)	NA	58523	MIR4711								
Interval_12740	chr4	48831140	48831476	+	0	NA	promoter-TSS (OCIAD1)	NA	726	OCIAD1								
Interval_644	chr1	44676541	44676791	+	0	NA	intron (C1orf228, intron 1 of 10)	NA	1944	C1orf228								
Interval_2084	chr10	86521761	86522076	+	0	NA	promoter-TSS (WAPAL)	NA	-3145	WAPAL								
Interval_13161	chr5	16629350	16629781	+	0	NA	exon (RP11-260E18.1, exon 4 of 4)	NA	-12507	FAM134B								
Interval_6184	chr16	89967469	89967676	+	0	NA	exon (DEF8, exon 13 of 13)	NA	-5008	AFG3L1P								
Interval_7427	chr18	62425642	62425907	+	0	NA	Intergenic	NA	-97882	ZCCHC2								
Interval_13757	chr5	175590564	175590787	+	0	NA	Intergenic	NA	-67169	HRH2								
Interval_11219	chr22	22063154	22063375	+	0	NA	Intergenic	NA	35296	LOC102724653								
Interval_8895	chr19	49151836	49152054	+	0	NA	TTS (PPFIA3)	NA	3479	HRC								
Interval_8850	chr19	48491131	48491323	+	0	NA	exon (LMTK3, exon 14 of 15)	NA	21593	CYTH2								
Interval_10843	chr20	52104014	52104191	+	0	NA	intron (ZFP64, intron 5 of 8)	NA	87883	ZFP64								
Interval_7854	chr19	5884359	5884650	+	0	NA	Intergenic	NA	-13964	FUT5								
Interval_4477	chr14	56579352	56579616	+	0	NA	promoter-TSS (TMEM260)	NA	-307	TMEM260								
Interval_239	chr1	15574432	15574590	+	0	NA	intron (AGMAT, intron 6 of 6)	NA	10599	AGMAT								
Interval_1350	chr1	186680079	186680417	+	0	NA	exon (PTGS2, exon 1 of 10)	NA	179	PTGS2								
Interval_10354	chr2	241204822	241205987	+	0	NA	intron (ANO7, intron 10 of 24)	NA	16895	ANO7								
Interval_11228	chr22	22722089	22722299	+	0	NA	Intergenic	NA	77571	GGTLC2								
Interval_14719	chr6	163611329	163612376	+	0	NA	Intergenic	NA	59632	LOC102724152								
Interval_4125	chr13	20188717	20188910	+	0	NA	exon (GJB2, exon 2 of 2)	NA	4162	GJB2								
Interval_10251	chr2	231181788	231182207	+	0	NA	Intergenic	NA	-16583	ARMC9								
Interval_9681	chr2	95165500	95165819	+	0	NA	promoter-TSS (ZNF514)	NA	242	ZNF2								
Interval_10563	chr20	23225430	23225755	+	0	NA	Intergenic	NA	37970	LOC100505664								
Interval_10883	chr20	58209862	58210121	+	0	NA	Intergenic	NA	13290	ANKRD60								
Interval_9435	chr2	46970603	46971001	+	0	NA	intron (TTC7A, intron 3 of 19)	NA	29518	TTC7A								
Interval_11846	chr3	45167582	45167749	+	0	NA	Intergenic	NA	-21243	CDCP1								
Interval_6503	chr17	29536770	29536928	+	0	NA	intron (TAOK1, intron 19 of 19)	NA	30175	ABHD15								
Interval_5121	chr15	69721452	69721638	+	0	NA	Intergenic	NA	-113689	LINC00593								
Interval_3853	chr12	110894400	110894643	+	0	NA	intron (CCDC63, intron 9 of 11)	NA	26079	MYL2								
Interval_11559	chr22	45545698	45545874	+	0	NA	intron (FBLN1, intron 11 of 14)	NA	42947	FBLN1								
Interval_14886	chr7	20113551	20113709	+	0	NA	intron (AC005062.2, intron 1 of 5)	NA	26796	AC005062.2								
Interval_5007	chr15	58243316	58243501	+	0	NA	intron (LOC101928635, intron 2 of 2)	NA	6572	LOC101928635								
Interval_2087	chr10	86711253	86711420	+	0	NA	intron (LDB3, intron 9 of 13)	NA	44551	LDB3								
Interval_15897	chr8	37901531	37902118	+	0	NA	Intergenic	NA	-2327	RAB11FIP1								
Interval_9493	chr2	62202388	62202566	+	0	NA	intron (B3GNT2, intron 1 of 1)	NA	-3405	MIR5192								
Interval_9788	chr2	112726626	112726953	+	0	NA	Intergenic	NA	37888	CKAP2L								
Interval_13545	chr5	138575492	138575893	+	0	NA	promoter-TSS (HSPA9)	NA	-63	HSPA9								
Interval_16083	chr8	67467457	67467696	+	0	NA	intron (CPA6, intron 8 of 10)	NA	123848	LOC102724708								
Interval_838	chr1	94805973	94806185	+	0	NA	intron (LINC01057, intron 1 of 4)	NA	14202	LINC01057								
Interval_8638	chr19	41612547	41612848	+	0	NA	Intergenic	NA	14377	CEACAM4								
Interval_8471	chr19	35458880	35459331	+	0	NA	Intergenic	NA	9390	FFAR2								
Interval_2197	chr10	102229907	102230065	+	0	NA	TTS (ELOVL3)	NA	3708	ELOVL3								
Interval_1486	chr1	212485205	212485415	+	0	NA	Intergenic	NA	52423	NENF								
Interval_14	chr1	1067851	1068155	+	0	NA	Intergenic	NA	6304	RNF223								
Interval_6387	chr17	12858155	12858460	+	0	NA	intron (ARHGAP44, intron 1 of 20)	NA	59035	MIR1269B								
Interval_15114	chr7	73902896	73903246	+	0	NA	Intergenic	NA	41912	WBSCR28								
Interval_9572	chr2	70510217	70510431	+	0	NA	intron (TGFA, intron 2 of 5)	NA	-28684	TGFA-IT1								
Interval_14483	chr6	114064885	114065210	+	0	NA	intron (HS3ST5, intron 2 of 3)	NA	-10366	LOC101927794								
Interval_17389	chrX	1583125	1583397	+	0	NA	Intergenic	NA	-8332	AKAP17A								
Interval_4458	chr14	51846620	51846905	+	0	NA	promoter-TSS (GNG2)	NA	-410	GNG2								
Interval_6478	chr17	27244995	27245166	+	0	NA	Intergenic	NA	48862	MIR4522								
Interval_6227	chr17	2087603	2087771	+	0	NA	exon (SMG6, exon 1 of 7)	NA	32588	HIC1								
Interval_15155	chr7	75611104	75611313	+	0	NA	intron (HIP1, intron 1 of 30)	NA	-81915	LOC102723650								
Interval_16574	chr8	143541372	143541660	+	0	NA	promoter-TSS (ZC3H3)	NA	11974	ZC3H3								
Interval_7066	chr17	78030207	78030383	+	0	NA	intron (TNRC6C, intron 2 of 21)	NA	26058	TNRC6C								
Interval_4962	chr15	50182542	50182796	+	0	NA	exon (SLC27A2, exon 1 of 10)	NA	473	SLC27A2								
Interval_14839	chr7	5822998	5823175	+	0	NA	promoter-TSS (ZNF815P)	NA	-74	ZNF815P								
Interval_3535	chr12	51403806	51404114	+	0	NA	intron (SLC4A8, intron 1 of 14)	NA	-12308	GALNT6								
Interval_2438	chr11	2892193	2892614	+	0	NA	intron (SLC22A18AS, intron 3 of 3)	NA	-6776	CDKN1C								
Interval_13717	chr5	171154775	171154975	+	0	NA	intron (RANBP17, intron 14 of 27)	NA	-154409	TLX3								
Interval_13163	chr5	16937008	16937233	+	0	NA	promoter-TSS (MYO10)	NA	-1035	MYO10								
Interval_6567	chr17	35578474	35578803	+	0	NA	promoter-TSS (PEX12)	NA	-1	PEX12								
Interval_13641	chr5	150357500	150357864	+	0	NA	promoter-TSS (TCOF1)	NA	-20	TCOF1								
Interval_12883	chr4	101599725	101599884	+	0	NA	Intergenic	NA	-214022	BANK1								
Interval_8786	chr19	46714540	46714839	+	0	NA	promoter-TSS (PRKD2)	NA	-369	PRKD2								
Interval_261	chr1	16901358	16901517	+	0	NA	Intergenic	NA	5457	RNU1-2								
Interval_14921	chr7	27339538	27339761	+	0	NA	Intergenic	NA	96949	EVX1								
Interval_16559	chr8	142101610	142102881	+	0	NA	Intergenic	NA	-74094	MIR4472-1								
Interval_1628	chr1	235367352	235367547	+	0	NA	promoter-TSS (TBCE)	NA	89	TBCE								
Interval_1706	chr10	1485156	1485348	+	0	NA	intron (ADARB2, intron 1 of 9)	NA	-41378	ADARB2-AS1								
Interval_13974	chr6	15905853	15906027	+	0	NA	Intergenic	NA	-89004	LOC101928406								
Interval_13669	chr5	156513495	156513653	+	0	NA	intron (SGCD, intron 5 of 9)	NA	186817	SGCD								
Interval_6914	chr17	64778353	64778515	+	0	NA	exon (LOC146880, exon 3 of 3)	NA	-2362	MIR6080								
Interval_5048	chr15	64351722	64351935	+	0	NA	intron (CSNK1G1, intron 1 of 11)	NA	4415	CSNK1G1								
Interval_1469	chr1	209755943	209756189	+	0	NA	promoter-TSS (TRAF3IP3)	NA	34	TRAF3IP3								
Interval_8439	chr19	33280450	33280752	+	0	NA	Intergenic	NA	21963	CEBPA								
Interval_6533	chr17	31451488	31451764	+	0	NA	intron (RAB11FIP4, intron 3 of 14)	NA	60002	RAB11FIP4								
Interval_15084	chr7	72792967	72793187	+	0	NA	intron (TYW1B, intron 6 of 13)	NA	35157	TYW1B								
Interval_2814	chr11	65506537	65507083	+	0	NA	TTS (MALAT1)	NA	9048	MALAT1								
Interval_9150	chr1_KI270713v1_random	20931	22213	+	0	NA	Intergenic	NA	7256	TRNAN-GUU-7								
Interval_7635	chr19	1194693	1194861	+	0	NA	Intergenic	NA	-11512	STK11								
Interval_1434	chr1	205672148	205672385	+	0	NA	exon (SLC45A3, exon 1 of 5)	NA	-2249	SLC45A3								
Interval_2798	chr11	65041407	65041617	+	0	NA	TTS (SNX15)	NA	599	SAC3D1								
Interval_6321	chr17	7191555	7191841	+	0	NA	intron (DLG4, intron 19 of 20)	NA	-12134	ASGR1								
Interval_8694	chr19	43827122	43827392	+	0	NA	promoter-TSS (ZNF283)	NA	-64	ZNF283								
Interval_2514	chr11	12145659	12145838	+	0	NA	intron (MICAL2, intron 2 of 27)	NA	-16331	MICAL2								
Interval_14875	chr7	16646161	16646442	+	0	NA	promoter-TSS (ANKMY2)	NA	-484	ANKMY2								
Interval_8485	chr19	35748154	35748498	+	0	NA	promoter-TSS (LIN37)	NA	-35	LIN37								
Interval_5247	chr15	80059741	80059939	+	0	NA	promoter-TSS (ZFAND6)	NA	272	ZFAND6								
Interval_6331	chr17	7315327	7315591	+	0	NA	promoter-TSS (GPS2)	NA	-120	GPS2								
Interval_5479	chr16	4016710	4016953	+	0	NA	intron (ADCY9, intron 2 of 10)	NA	-64666	LOC102724927								
Interval_4762	chr14	103016351	103016601	+	0	NA	intron (CDC42BPB, intron 1 of 37)	NA	40929	CDC42BPB								
Interval_14781	chr7	1504338	1504761	+	0	NA	promoter-TSS (INTS1)	NA	-167	INTS1								
Interval_2356	chr10	133056876	133058872	+	0	NA	Intergenic	NA	-30031	GPR123								
Interval_890	chr1	111222283	111222441	+	0	NA	Intergenic	NA	-7349	CHI3L2								
Interval_14032	chr6	26216383	26216731	+	0	NA	promoter-TSS (HIST1H2AE)	NA	87	HIST1H2BG								
Interval_10028	chr2	178530588	178530834	+	0	NA	exon (TTN, exon 194 of 199)	NA	7884	TTN-AS1								
Interval_13832	chr5	180916046	180916255	+	0	NA	intron (BTNL8, intron 3 of 7)	NA	17073	BTNL8								
Interval_14992	chr7	43117205	43117505	+	0	NA	intron (HECW1, intron 2 of 29)	NA	4738	HECW1								
Interval_16430	chr8	127914975	127915309	+	0	NA	intron (PVT1, intron 1 of 7)	NA	24514	PVT1								
Interval_11997	chr3	54963686	54963975	+	0	NA	intron (LRTM1, intron 1 of 2)	NA	-35785	LRTM1								
Interval_5035	chr15	63479713	63480120	+	0	NA	Intergenic	NA	48599	LOC102723355								
Interval_16164	chr8	91040052	91040372	+	0	NA	intron (TMEM55A, intron 1 of 4)	NA	763	TMEM55A								
Interval_11410	chr22	37591137	37591295	+	0	NA	Intergenic	NA	-11199	LGALS2								
Interval_9178	chr2	8472612	8473157	+	0	NA	Intergenic	NA	110908	AC011747.4								
Interval_4933	chr15	43239940	43240147	+	0	NA	intron (TGM5, intron 7 of 12)	NA	-18918	EPB42								
Interval_14083	chr6	28864233	28864478	+	0	NA	promoter-TSS (LOC401242)	NA	-599	TRNAA27								
Interval_14751	chr6	169751536	169751698	+	0	NA	promoter-TSS (ERMARD)	NA	-5	ERMARD								
Interval_5672	chr16	28212055	28212331	+	0	NA	promoter-TSS (XPO6)	NA	-275	XPO6								
Interval_6483	chr17	27532360	27532735	+	0	NA	intron (KSR1, intron 2 of 21)	NA	76082	KSR1								
Interval_6284	chr17	4748318	4748676	+	0	NA	Intergenic	NA	8482	ZMYND15								
Interval_1188	chr1	160863524	160864016	+	0	NA	promoter-TSS (CD244)	NA	-868	CD244								
Interval_13231	chr5	42718717	42719157	+	0	NA	exon (GHR, exon 11 of 11)	NA	-37881	CCDC152								
Interval_14473	chr6	110944674	110944868	+	0	NA	Intergenic	NA	-13789	GTF3C6								
Interval_4567	chr14	74257617	74257775	+	0	NA	intron (VSX2, intron 3 of 4)	NA	18224	VSX2								
Interval_1938	chr10	68301166	68301409	+	0	NA	intron (LOC102724915, intron 2 of 2)	NA	20705	LOC102724915								
Interval_5117	chr15	69458781	69458941	+	0	NA	Intergenic	NA	6041	RPLP1								
Interval_9781	chr2	112275204	112275729	+	0	NA	promoter-TSS (ZC3H6)	NA	-135	ZC3H6								
Interval_316	chr1	21972343	21972581	+	0	NA	Intergenic	NA	-4463	CELA3B								
Interval_1818	chr10	32346257	32346442	+	0	NA	intron (EPC1, intron 1 of 1)	NA	869	EPC1								
Interval_13400	chr5	95843263	95843485	+	0	NA	Intergenic	NA	-1242	LOC102724720								
Interval_8755	chr19	45454663	45454829	+	0	NA	intron (ERCC1, intron 1 of 8)	NA	-13250	FOSB								
Interval_12080	chr3	75615506	75615818	+	0	NA	Intergenic	NA	-15161	MIR1324								
Interval_16845	chr9	93114762	93115190	+	0	NA	Intergenic	NA	18728	C9orf89								
Interval_7324	chr18	42183846	42184021	+	0	NA	Intergenic	NA	-19904	LINC00907								
Interval_3698	chr12	89354048	89354265	+	0	NA	Intergenic	NA	-1637	DUSP6								
Interval_13293	chr5	65925037	65925490	+	0	NA	Intergenic	NA	-1291	ERBB2IP								
Interval_568	chr1	37474039	37474507	+	0	NA	promoter-TSS (ZC3H12A)	NA	170	LINC01137								
Interval_9923	chr2	157453386	157453544	+	0	NA	Intergenic	NA	-9373	CYTIP								
Interval_2295	chr10	122980305	122980481	+	0	NA	promoter-TSS (PSTK)	NA	-21	PSTK								
Interval_8411	chr19	28726653	28726882	+	0	NA	Intergenic	NA	-94039	LOC101927210								
Interval_3667	chr12	69518699	69518857	+	0	NA	intron (FRS2, intron 2 of 9)	NA	48429	FRS2								
Interval_13413	chr5	100550757	100550991	+	0	NA	intron (FAM174A, intron 1 of 2)	NA	15454	FAM174A								
Interval_2308	chr10	124507811	124508000	+	0	NA	intron (LHPP, intron 5 of 5)	NA	46082	LHPP								
Interval_16331	chr8	119955548	119955818	+	0	NA	intron (DEPTOR, intron 3 of 8)	NA	82028	DEPTOR								
Interval_16432	chr8	128048708	128048935	+	0	NA	promoter-TSS (MIR1207)	NA	-382	MIR1207								
Interval_7802	chr19	4564299	4564516	+	0	NA	Intergenic	NA	-4648	SEMA6B								
Interval_4553	chr14	73042685	73042843	+	0	NA	Intergenic	NA	-15552	ZFYVE1								
Interval_3003	chr11	79404381	79404661	+	0	NA	intron (TENM4, intron 1 of 33)	NA	-2412	MIR708								
Interval_9340	chr2	32648286	32648588	+	0	NA	intron (TTC27, intron 4 of 19)	NA	13137	MIR4765								
