PeakID (cmd=annotatePeaks.pl IKZF1.consensus_peaks.bed genome.fa -gid -gtf genes.gtf -cpu 6)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Interval_23525	chr21	39006806	39007204	+	0	NA	intron (LOC102724740, intron 1 of 2)	NA	4254	LOC102724740								
Interval_16764	chr19	2418132	2418581	+	0	NA	intron (TMPRSS9, intron 14 of 18)	NA	9560	TIMM13								
Interval_13927	chr17	19111429	19111633	+	0	NA	TTS (SNORD3D)	NA	1105	SNORD3D								
Interval_9537	chr13	112311405	112312093	+	0	NA	Intergenic	NA	-1718	LINC01043								
Interval_18592	chr19	48868397	48868774	+	0	NA	promoter-TSS (PLEKHA4)	NA	42	PLEKHA4								
Interval_18155	chr19	41140135	41140332	+	0	NA	Intergenic	NA	24052	CYP2F1								
Interval_6216	chr11	63888371	63888790	+	0	NA	promoter-TSS (MARK2)	NA	28355	RCOR2								
Interval_14428	chr17	38730588	38730948	+	0	NA	TTS (MLLT6)	NA	511	CISD3								
Interval_16190	chr18	56505759	56505897	+	0	NA	Intergenic	NA	132764	TXNL1								
Interval_15673	chr17_KI270729v1_random	5488	6020	+	0	NA	NA	NA	NA	NA								
Interval_8204	chr12	57213428	57213604	+	0	NA	TTS (LRP1)	NA	-3279	NXPH4								
Interval_35102	chr8	132997556	132997832	+	0	NA	intron (TG, intron 36 of 36)	NA	48887	MIR7848								
Interval_10269	chr14	76904732	76904988	+	0	NA	Intergenic	NA	78478	C14orf166B								
Interval_416	chr1	17477456	17477651	+	0	NA	Intergenic	NA	-29972	LOC102723454								
Interval_12677	chr16	46389619	46389754	+	0	NA	Intergenic	NA	179411	ANKRD26P1								
Interval_248	chr1	10940188	10940371	+	0	NA	Intergenic	NA	36009	C1orf127								
Interval_27389	chr4	89492816	89493036	+	0	NA	Intergenic	NA	-184916	GPRIN3								
Interval_141	chr1	7961258	7961506	+	0	NA	promoter-TSS (PARK7)	NA	-540	PARK7								
Interval_32110	chr7	38273391	38273567	+	0	NA	intron (TARP, intron 1 of 3)	NA	168	TARP								
Interval_2518	chr1	167714169	167714306	+	0	NA	promoter-TSS (TRNAP11)	NA	-488	TRNAP11								
Interval_11988	chr16	528727	529047	+	0	NA	intron (CAPN15, intron 1 of 12)	NA	888	CAPN15								
Interval_21465	chr2	218806341	218806677	+	0	NA	intron (CYP27A1, intron 1 of 8)	NA	24760	CYP27A1								
Interval_28538	chr5	88829113	88829372	+	0	NA	intron (MEF2C, intron 2 of 10)	NA	53972	MEF2C								
Interval_1345	chr1	55244858	55245020	+	0	NA	Intergenic	NA	19283	MIR4422								
Interval_7740	chr12	30754891	30755149	+	0	NA	promoter-TSS (LOC645485)	NA	-54	LOC645485								
Interval_29020	chr5	141692048	141692367	+	0	NA	Intergenic	NA	-10004	ARAP3								
Interval_36225	chr9	114004176	114004778	+	0	NA	intron (ZNF618, intron 5 of 13)	NA	73995	AMBP								
Interval_32025	chr7	30787573	30787769	+	0	NA	intron (INMT-FAM188B, intron 6 of 19)	NA	16254	FAM188B								
Interval_29829	chr6	12265734	12266089	+	0	NA	Intergenic	NA	-24385	EDN1								
Interval_17215	chr19	10229043	10229211	+	0	NA	intron (S1PR2, intron 1 of 1)	NA	-1328	MIR4322								
Interval_23638	chr21	46432350	46432539	+	0	NA	intron (PCNT, intron 39 of 47)	NA	-26505	DIP2A								
Interval_32292	chr7	50663286	50663510	+	0	NA	intron (GRB10, intron 6 of 17)	NA	68955	GRB10								
Interval_12416	chr16	23857554	23857817	+	0	NA	intron (PRKCB, intron 2 of 16)	NA	21706	PRKCB								
Interval_30990	chr6	108534208	108534381	+	0	NA	Intergenic	NA	-105199	FOXO3								
Interval_24050	chr22	36546252	36546454	+	0	NA	Intergenic	NA	-17123	EIF3D								
Interval_17898	chr19	34999682	34999866	+	0	NA	promoter-TSS (GRAMD1A)	NA	-230	GRAMD1A								
Interval_8394	chr12	89352511	89352851	+	0	NA	promoter-TSS (DUSP6)	NA	-162	DUSP6								
Interval_5976	chr11	47359808	47359975	+	0	NA	exon (SPI1, exon 3 of 5)	NA	-7189	MYBPC3								
Interval_3613	chr1	245599304	245599793	+	0	NA	intron (KIF26B, intron 5 of 14)	NA	444563	KIF26B								
Interval_6789	chr11	94130701	94131138	+	0	NA	intron (PANX1, intron 1 of 4)	NA	-22658	PANX1								
Interval_3725	chr10	12043028	12043471	+	0	NA	promoter-TSS (UPF2)	NA	-79	UPF2								
Interval_9192	chr13	21537185	21537452	+	0	NA	intron (MICU2, intron 4 of 10)	NA	14092	RNU6-59P								
Interval_9180	chr13	20126613	20126880	+	0	NA	Intergenic	NA	34639	GJA3								
Interval_23887	chr22	29152962	29153210	+	0	NA	intron (KREMEN1, intron 9 of 9)	NA	30201	LOC102724925								
Interval_30664	chr6	44060159	44060329	+	0	NA	Intergenic	NA	-13669	LOC101929683								
Interval_18082	chr19	39745733	39746145	+	0	NA	Intergenic	NA	-7910	CLC								
Interval_2797	chr1	186828588	186828830	+	0	NA	promoter-TSS (PLA2G4A)	NA	-240	PLA2G4A								
Interval_4445	chr10	71889971	71890542	+	0	NA	Intergenic	NA	-38931	PSAP								
Interval_13015	chr16	69171292	69171774	+	0	NA	Intergenic	NA	-15614	SNTB2								
Interval_4827	chr10	97499546	97500121	+	0	NA	intron (UBTD1, intron 1 of 2)	NA	822	UBTD1								
Interval_28021	chr5	14593438	14593678	+	0	NA	intron (FAM105A, intron 1 of 7)	NA	11776	FAM105A								
Interval_6122	chr11	61381822	61382135	+	0	NA	Intergenic	NA	-10382	TMEM216								
Interval_18366	chr19	44939735	44940023	+	0	NA	Intergenic	NA	-2359	APOC4-APOC2								
Interval_36189	chr9	112750491	112750690	+	0	NA	promoter-TSS (SNX30)	NA	-264	SNX30								
Interval_6955	chr11	116313072	116313352	+	0	NA	Intergenic	NA	-326210	LOC101929011								
Interval_8627	chr12	108306970	108307135	+	0	NA	intron (CMKLR1, intron 1 of 2)	NA	32265	CMKLR1								
Interval_8591	chr12	104764567	104764892	+	0	NA	Intergenic	NA	173096	MIR3922								
Interval_18939	chr19	55088539	55089071	+	0	NA	TTS (EPS8L1)	NA	12952	EPS8L1								
Interval_27453	chr4	105622255	105622545	+	0	NA	intron (ARHGEF38, intron 3 of 14)	NA	60809	ARHGEF38-IT1								
Interval_5419	chr11	2400204	2400766	+	0	NA	promoter-TSS (TSSC4)	NA	-8	TSSC4								
Interval_5414	chr11	1850106	1850381	+	0	NA	Intergenic	NA	9293	MIR4298								
Interval_10260	chr14	76730025	76730329	+	0	NA	Intergenic	NA	-31715	VASH1								
Interval_8405	chr12	89783826	89783988	+	0	NA	Intergenic	NA	74952	LINC00936								
Interval_15242	chr17	72977037	72977330	+	0	NA	intron (SLC39A11, intron 4 of 9)	NA	115531	SLC39A11								
Interval_35355	chr8	143978660	143978895	+	0	NA	intron (PARP10, intron 8 of 9)	NA	7494	PARP10								
Interval_31350	chr6	148364084	148364271	+	0	NA	intron (SASH1, intron 1 of 19)	NA	-144271	SASH1								
Interval_32351	chr7	66682416	66682958	+	0	NA	intron (RABGEF1, intron 1 of 9)	NA	596	RABGEF1								
Interval_23348	chr21	29019865	29020018	+	0	NA	promoter-TSS (RWDD2B)	NA	-4676	USP16								
Interval_12867	chr16	57628220	57628733	+	0	NA	promoter-TSS (GPR56)	NA	172	GPR56								
Interval_37522	chrX	132218135	132218327	+	0	NA	promoter-TSS (RAP2C)	NA	100	RAP2C-AS1								
Interval_13732	chr17	8117585	8117741	+	0	NA	intron (ALOXE3, intron 2 of 15)	NA	820	ALOXE3								
Interval_33930	chr8	37793376	37793540	+	0	NA	Intergenic	NA	-3425	GPR124								
Interval_13917	chr17	18314634	18315573	+	0	NA	promoter-TSS (SMCR8)	NA	-177	SMCR8								
Interval_11669	chr15	80819178	80819361	+	0	NA	intron (KIAA1199, intron 1 of 29)	NA	22804	MIR549								
Interval_6869	chr11	105034861	105035240	+	0	NA	intron (CASP1, intron 1 of 8)	NA	107	CASP1								
Interval_10436	chr14	92701537	92701846	+	0	NA	Intergenic	NA	46939	LGMN								
Interval_26003	chr3	134253686	134254174	+	0	NA	Intergenic	NA	-3186	RYK								
Interval_1231	chr1	46583048	46583308	+	0	NA	promoter-TSS (MKNK1)	NA	-1248	LOC101929673								
Interval_25157	chr3	45258420	45258669	+	0	NA	Intergenic	NA	-32222	TMEM158								
Interval_36365	chr9	124290897	124291110	+	0	NA	promoter-TSS (NEK6)	NA	32752	NEK6								
Interval_22141	chr20	18831948	18832101	+	0	NA	Intergenic	NA	-1829	C20orf78								
Interval_15476	chr17	78378489	78378726	+	0	NA	promoter-TSS (PGS1)	NA	-17	PGS1								
Interval_1640	chr1	93909316	93909532	+	0	NA	promoter-TSS (GCLM)	NA	174	GCLM								
Interval_30369	chr6	34657370	34657682	+	0	NA	intron (C6orf106, intron 1 of 4)	NA	39324	C6orf106								
Interval_28854	chr5	135433961	135434217	+	0	NA	Intergenic	NA	13259	C5orf20								
Interval_10004	chr14	65101887	65102024	+	0	NA	intron (MAX, intron 1 of 3)	NA	589	MAX								
Interval_7861	chr12	48105980	48106166	+	0	NA	promoter-TSS (PFKM)	NA	-53	SENP1								
Interval_8352	chr12	76275594	76276046	+	0	NA	Intergenic	NA	73086	BBS10								
Interval_28173	chr5	40835266	40835672	+	0	NA	promoter-TSS (RPL37)	NA	-184	RPL37								
Interval_16747	chr19	2187868	2188349	+	0	NA	intron (DOT1L, intron 3 of 27)	NA	23959	DOT1L								
Interval_13868	chr17	16386804	16387055	+	0	NA	Intergenic	NA	6132	UBB								
Interval_19075	chr2	8234242	8234508	+	0	NA	intron (LINC00299, intron 7 of 8)	NA	94044	LINC00299								
Interval_19028	chr19	58519971	58520126	+	0	NA	promoter-TSS (ZBTB45)	NA	174	ZBTB45								
Interval_34177	chr8	56211854	56212172	+	0	NA	promoter-TSS (PLAG1)	NA	257	CHCHD7								
Interval_11562	chr15	75198476	75198648	+	0	NA	promoter-TSS (C15orf39)	NA	-3318	C15orf39								
Interval_3728	chr10	12270906	12271082	+	0	NA	Intergenic	NA	74818	CDC123								
Interval_25392	chr3	52237391	52238153	+	0	NA	intron (TWF2, intron 1 of 8)	NA	1395	TWF2								
Interval_22517	chr20	37366178	37366315	+	0	NA	intron (SRC, intron 2 of 13)	NA	21561	SRC								
Interval_13086	chr16	75002677	75002901	+	0	NA	intron (ZNRF1, intron 1 of 4)	NA	3772	ZNRF1								
Interval_12748	chr16	51539072	51539290	+	0	NA	Intergenic	NA	-14079	LOC102723323								
Interval_5854	chr11	36594320	36594735	+	0	NA	promoter-TSS (C11orf74)	NA	34	C11orf74								
Interval_8397	chr12	89433880	89434070	+	0	NA	intron (POC1B, intron 9 of 10)	NA	-81456	DUSP6								
Interval_21190	chr2	197310573	197310847	+	0	NA	promoter-TSS (ANKRD44)	NA	87	ANKRD44								
Interval_26203	chr3	161222785	161222950	+	0	NA	intron (NMD3, intron 2 of 15)	NA	1556	NMD3								
Interval_17110	chr19	7680405	7680593	+	0	NA	promoter-TSS (TRAPPC5)	NA	-322	TRAPPC5								
Interval_8661	chr12	108908110	108908395	+	0	NA	Intergenic	NA	27896	DAO								
Interval_4202	chr10	48505902	48506063	+	0	NA	intron (ARHGAP22, intron 3 of 9)	NA	-12333	ARHGAP22								
Interval_26235	chr3	169952326	169952644	+	0	NA	intron (LOC100128164, intron 1 of 1)	NA	14249	LOC100128164								
Interval_7651	chr12	19642382	19642556	+	0	NA	intron (LOC101928387, intron 1 of 2)	NA	39306	LOC101928387								
Interval_19838	chr2	62265174	62265382	+	0	NA	Intergenic	NA	59452	MIR5192								
Interval_2702	chr1	182484643	182485063	+	0	NA	intron (RGSL1, intron 7 of 22)	NA	34732	RGSL1								
Interval_34968	chr8	125668712	125668862	+	0	NA	Intergenic	NA	235670	TRIB1								
Interval_12624	chr16	31073659	31074018	+	0	NA	promoter-TSS (ZNF668)	NA	-422	ZNF646								
Interval_30642	chr6	43831179	43831481	+	0	NA	Intergenic	NA	-59698	LOC100132354								
Interval_16118	chr18	49177989	49178177	+	0	NA	intron (DYM, intron 13 of 16)	NA	-128315	MIR4744								
Interval_16298	chr18	62499110	62499892	+	0	NA	Intergenic	NA	-23924	ZCCHC2								
Interval_28319	chr5	61328203	61328415	+	0	NA	Intergenic	NA	-3964	ZSWIM6								
Interval_25620	chr3	81760963	81761881	+	0	NA	exon (GBE1, exon 1 of 16)	NA	377	GBE1								
Interval_22998	chr20	59751157	59751294	+	0	NA	intron (PHACTR3, intron 3 of 11)	NA	30015	PHACTR3								
Interval_29343	chr5	170539233	170539450	+	0	NA	intron (KCNIP1, intron 1 of 7)	NA	-149664	KCNMB1								
Interval_20974	chr2	170832695	170832864	+	0	NA	intron (GAD1, intron 5 of 16)	NA	16087	GAD1								
Interval_32812	chr7	106631147	106631514	+	0	NA	Intergenic	NA	29858	CCDC71L								
Interval_12026	chr16	2340675	2341174	+	0	NA	promoter-TSS (ABCA17P)	NA	2	ABCA17P								
Interval_11804	chr15	90131370	90131590	+	0	NA	Intergenic	NA	-29004	IDH2								
Interval_30484	chr6	37630354	37630807	+	0	NA	Intergenic	NA	66456	MDGA1								
Interval_30773	chr6	56708844	56709103	+	0	NA	intron (DST, intron 5 of 98)	NA	33390	DST								
Interval_2181	chr1	154407117	154407944	+	0	NA	promoter-TSS (LOC101928101)	NA	-707	LOC101928101								
Interval_13599	chr17	4949737	4950125	+	0	NA	promoter-TSS (ENO3)	NA	-845	PFN1								
Interval_26324	chr3	180036239	180036510	+	0	NA	intron (PEX5L, intron 1 of 13)	NA	-62154	PEX5L								
Interval_31870	chr7	17123087	17123435	+	0	NA	Intergenic	NA	175219	LOC101927609								
Interval_15402	chr17	76584879	76585266	+	0	NA	intron (ST6GALNAC2, intron 1 of 7)	NA	991	ST6GALNAC2								
Interval_34364	chr8	73877165	73877604	+	0	NA	intron (UBE2W, intron 1 of 6)	NA	1526	UBE2W								
Interval_17137	chr19	7944312	7944670	+	0	NA	promoter-TSS (TIMM44)	NA	-668	TIMM44								
Interval_15082	chr17	62663209	62663387	+	0	NA	intron (MRC2, intron 1 of 29)	NA	35897	MRC2								
Interval_32057	chr7	35695211	35695585	+	0	NA	promoter-TSS (HERPUD2)	NA	-236	HERPUD2								
Interval_34633	chr8	101411452	101411642	+	0	NA	Intergenic	NA	42654	NACAP1								
Interval_29321	chr5	169953378	169953559	+	0	NA	intron (FAM196B, intron 1 of 3)	NA	27272	FAM196B								
Interval_3257	chr1	223731132	223731398	+	0	NA	intron (CAPN2, intron 2 of 20)	NA	29672	CAPN2								
Interval_14207	chr17	28896819	28897387	+	0	NA	TTS (DHRS13)	NA	5934	DHRS13								
Interval_13041	chr16	70432386	70433134	+	0	NA	intron (ST3GAL2, intron 1 of 6)	NA	6328	ST3GAL2								
Interval_6668	chr11	76763928	76764143	+	0	NA	Intergenic	NA	-18278	TSKU								
Interval_20904	chr2	159832823	159833174	+	0	NA	intron (LY75, intron 27 of 34)	NA	-34743	CD302								
Interval_13143	chr16	81545021	81545239	+	0	NA	intron (CMIP, intron 1 of 20)	NA	11188	MIR7854								
Interval_27267	chr4	76210452	76210659	+	0	NA	intron (SCARB2, intron 1 of 8)	NA	3344	SCARB2								
Interval_29644	chr6	3023689	3024138	+	0	NA	exon (HTATSF1P2, exon 1 of 1)	NA	858	HTATSF1P2								
Interval_18059	chr19	39402611	39403237	+	0	NA	Intergenic	NA	-3923	ZFP36								
Interval_36589	chr9	132507125	132507262	+	0	NA	intron (C9orf171, intron 4 of 6)	NA	-75413	BARHL1								
Interval_25245	chr3	47225820	47226067	+	0	NA	intron (KIF9-AS1, intron 2 of 6)	NA	-56843	KLHL18								
Interval_4914	chr10	101354530	101354823	+	0	NA	intron (BTRC, intron 1 of 8)	NA	562	BTRC								
Interval_26895	chr4	26135527	26135877	+	0	NA	Intergenic	NA	-184122	RBPJ								
Interval_26189	chr3	160129658	160129970	+	0	NA	intron (IL12A-AS1, intron 3 of 9)	NA	77278	IL12A-AS1								
Interval_942	chr1	35047496	35047776	+	0	NA	Intergenic	NA	-15668	ZMYM6								
Interval_21934	chr20	3115518	3115805	+	0	NA	intron (UBOX5, intron 3 of 4)	NA	8750	UBOX5-AS1								
Interval_7891	chr12	48996806	48997014	+	0	NA	exon (DDN, exon 2 of 2)	NA	2395	DDN								
Interval_10272	chr14	76918789	76919100	+	0	NA	Intergenic	NA	92562	C14orf166B								
Interval_22960	chr20	57458828	57459017	+	0	NA	Intergenic	NA	66730	CTCFL								
Interval_12104	chr16	4307222	4307700	+	0	NA	Intergenic	NA	20887	LOC101926896								
Interval_18385	chr19	45406097	45406275	+	0	NA	promoter-TSS (CD3EAP)	NA	294	PPP1R13L								
Interval_34812	chr8	119955849	119956049	+	0	NA	intron (DEPTOR, intron 3 of 8)	NA	82294	DEPTOR								
Interval_30852	chr6	84151688	84151848	+	0	NA	intron (KIAA1009, intron 22 of 25)	NA	75890	KIAA1009								
Interval_16497	chr18	77081377	77081731	+	0	NA	intron (MBP, intron 1 of 8)	NA	23732	MBP								
Interval_31706	chr7	1176145	1176311	+	0	NA	Intergenic	NA	15443	AC091729.9								
Interval_34820	chr8	120123489	120123742	+	0	NA	Intergenic	NA	-1493	COL14A1								
Interval_9920	chr14	59361300	59361523	+	0	NA	intron (DAAM1, intron 22 of 24)	NA	103930	GPR135								
Interval_27621	chr4	139692282	139692534	+	0	NA	intron (MGST2, intron 2 of 3)	NA	26640	MGST2								
Interval_30410	chr6	36018443	36018595	+	0	NA	intron (SLC26A8, intron 2 of 19)	NA	-9158	MAPK14								
Interval_31982	chr7	27442633	27442785	+	0	NA	Intergenic	NA	45020	LOC102724477								
Interval_13017	chr16	69300582	69300751	+	0	NA	intron (SNTB2, intron 6 of 6)	NA	-10718	VPS4A								
Interval_20639	chr2	127064837	127065091	+	0	NA	intron (BIN1, intron 6 of 18)	NA	16892	BIN1								
Interval_13823	chr17	13346012	13346218	+	0	NA	Intergenic	NA	197503	MIR548H3								
Interval_32008	chr7	30169289	30169450	+	0	NA	Intergenic	NA	34433	MTURN								
Interval_17972	chr19	36771777	36771929	+	0	NA	intron (ZNF850, intron 1 of 3)	NA	962	ZNF850								
Interval_25477	chr3	57596491	57596968	+	0	NA	intron (ARF4, intron 1 of 5)	NA	759	ARF4								
Interval_27072	chr4	49142865	49143174	+	0	NA	Intergenic	NA	-18313	LOC101927209								
Interval_28164	chr5	40413887	40414055	+	0	NA	Intergenic	NA	-266980	PTGER4								
Interval_37687	chrY	10813457	10813753	+	0	NA	Intergenic	NA	902807	TTTY23								
Interval_31672	chr7	317378	317522	+	0	NA	Intergenic	NA	27280	WI2-2373I1.2								
Interval_21986	chr20	4766491	4766975	+	0	NA	Intergenic	NA	-26065	PRNT								
Interval_28587	chr5	96791016	96791567	+	0	NA	intron (ERAP1, intron 8 of 19)	NA	6794	LOC102724748								
Interval_15041	chr17	59964412	59964663	+	0	NA	promoter-TSS (RP11-178C3.2)	NA	219	RNFT1								
Interval_5774	chr11	33885505	33885681	+	0	NA	intron (LMO2, intron 1 of 5)	NA	-15069	LMO2								
Interval_20282	chr2	96145767	96145950	+	0	NA	promoter-TSS (DUSP2)	NA	-418	DUSP2								
Interval_15714	chr17_KI270730v1_random	25657	25873	+	0	NA	NA	NA	NA	NA								
Interval_28700	chr5	118553621	118554069	+	0	NA	intron (LOC101927280, intron 1 of 9)	NA	8272	LOC101927280								
Interval_32555	chr7	84194855	84195228	+	0	NA	promoter-TSS (SEMA3A)	NA	121826	SEMA3A								
Interval_28313	chr5	60945938	60946140	+	0	NA	promoter-TSS (ERCC8)	NA	910	NDUFAF2								
Interval_37122	chrX	12865439	12865592	+	0	NA	Intergenic	NA	-1568	TLR7								
Interval_32143	chr7	41005304	41005659	+	0	NA	Intergenic	NA	-25542	AC005029.1								
Interval_24098	chr22	37486527	37486768	+	0	NA	promoter-TSS (MFNG)	NA	-260	MFNG								
Interval_12645	chr16	31244033	31244264	+	0	NA	Intergenic	NA	-15819	ITGAM								
Interval_11805	chr15	90158022	90158184	+	0	NA	Intergenic	NA	17518	LOC102724576								
Interval_29717	chr6	6726041	6726225	+	0	NA	intron (LOC101928047, intron 1 of 1)	NA	8296	LOC101928047								
Interval_10601	chr14	102088586	102088781	+	0	NA	intron (HSP90AA1, intron 2 of 11)	NA	51066	HSP90AA1								
Interval_31646	chr6	170066217	170066378	+	0	NA	Intergenic	NA	-43065	LOC102724475								
Interval_21487	chr2	219387332	219387571	+	0	NA	promoter-TSS (DNPEP)	NA	345	DNPEP								
Interval_26037	chr3	138901666	138901885	+	0	NA	Intergenic	NA	45365	FOXL2								
Interval_37787	chrY	10988943	10989200	+	0	NA	Intergenic	NA	1078273	TTTY23								
Interval_34785	chr8	118285456	118285665	+	0	NA	intron (SAMD12, intron 4 of 4)	NA	-173741	EXT1								
Interval_25284	chr3	48557059	48557672	+	0	NA	promoter-TSS (PFKFB4)	NA	-534	PFKFB4								
Interval_24139	chr22	38172963	38173155	+	0	NA	intron (PLA2G6, intron 1 of 16)	NA	8787	PLA2G6								
Interval_15690	chr17_KI270729v1_random	26858	27021	+	0	NA	NA	NA	NA	NA								
Interval_20243	chr2	88866972	88867128	+	0	NA	intron (LOC101928457, intron 1 of 2)	NA	5823	LOC101928457								
Interval_11668	chr15	80789261	80789458	+	0	NA	intron (KIAA1199, intron 1 of 29)	NA	9988	KIAA1199								
Interval_32078	chr7	36743434	36743696	+	0	NA	Intergenic	NA	-19016	AOAH								
Interval_9270	chr13	29849239	29849407	+	0	NA	intron (UBL3, intron 1 of 4)	NA	1360	UBL3								
Interval_6523	chr11	71997084	71997422	+	0	NA	exon (RNF121, exon 9 of 9)	NA	-1408	IL18BP								
Interval_15909	chr18	13218402	13218691	+	0	NA	promoter-TSS (LDLRAD4)	NA	-184	LDLRAD4								
Interval_28270	chr5	55897833	55898072	+	0	NA	intron (IL31RA, intron 9 of 17)	NA	44630	IL31RA								
Interval_7921	chr12	49672199	49672457	+	0	NA	intron (FMNL3, intron 1 of 25)	NA	35086	FMNL3								
Interval_34025	chr8	42026700	42026858	+	0	NA	intron (KAT6A, intron 3 of 17)	NA	25209	KAT6A								
Interval_36785	chrUn_GL000216v2	26431	26637	+	0	NA	NA	NA	NA	NA								
Interval_26514	chr3	194134450	194135245	+	0	NA	Intergenic	NA	-1295	HES1								
Interval_15214	chr17	69047618	69047825	+	0	NA	intron (ABCA9, intron 2 of 37)	NA	14572	ABCA9								
Interval_34653	chr8	102238795	102239979	+	0	NA	promoter-TSS (RRM2B)	NA	-269	RRM2B								
Interval_14547	chr17	41645475	41646115	+	0	NA	Intergenic	NA	-5596	KRT42P								
Interval_36447	chr9	128007610	128007922	+	0	NA	Intergenic	NA	-27233	FAM102A								
Interval_30556	chr6	41777628	41777910	+	0	NA	intron (FRS3, intron 2 of 7)	NA	2136	FRS3								
Interval_27214	chr4	68693886	68694093	+	0	NA	Intergenic	NA	-23213	UGT2B15								
Interval_7535	chr12	9810795	9811043	+	0	NA	Intergenic	NA	-16562	KLRF1								
Interval_18028	chr19	38829252	38829440	+	0	NA	intron (ECH1, intron 3 of 9)	NA	-7286	ECH1								
Interval_1239	chr1	47179019	47179804	+	0	NA	exon (LINC00853, exon 1 of 2)	NA	161	LINC00853								
Interval_13444	chr17	1267798	1268719	+	0	NA	Intergenic	NA	-2306	BHLHA9								
Interval_29533	chr5	179792081	179792285	+	0	NA	exon (LOC101928482, exon 2 of 2)	NA	468	LOC101928482								
Interval_2884	chr1	201895911	201896167	+	0	NA	TTS (LMOD1)	NA	7370	SHISA4								
Interval_19382	chr2	28601727	28601962	+	0	NA	intron (PLB1, intron 37 of 57)	NA	105773	PLB1								
Interval_28376	chr5	68962976	68963131	+	0	NA	Intergenic	NA	80839	RP11-141O11.2								
Interval_19609	chr2	43225654	43226038	+	0	NA	intron (ZFP36L2, intron 1 of 1)	NA	760	ZFP36L2								
Interval_4171	chr10	45354302	45354494	+	0	NA	Intergenic	NA	-19778	ALOX5								
Interval_14674	chr17	44138100	44138318	+	0	NA	Intergenic	NA	-3843	C17orf53								
Interval_12763	chr16	53099506	53100321	+	0	NA	intron (CHD9, intron 1 of 38)	NA	44920	CHD9								
Interval_30827	chr6	76435170	76435402	+	0	NA	Intergenic	NA	-362608	IMPG1								
Interval_25918	chr3	128123897	128124101	+	0	NA	promoter-TSS (RUVBL1)	NA	-171	RUVBL1								
Interval_12550	chr16	30355176	30355991	+	0	NA	promoter-TSS (CD2BP2)	NA	206	LOC101928707								
Interval_27610	chr4	139301061	139301218	+	0	NA	promoter-TSS (NAA15)	NA	-383	NAA15								
Interval_33985	chr8	38932682	38933197	+	0	NA	intron (PLEKHA2, intron 2 of 11)	NA	31704	PLEKHA2								
Interval_17204	chr19	9827673	9827814	+	0	NA	promoter-TSS (UBL5)	NA	-149	UBL5								
Interval_6024	chr11	57457421	57457587	+	0	NA	Intergenic	NA	-3033	RTN4RL2								
Interval_27194	chr4	57111278	57111425	+	0	NA	promoter-TSS (IGFBP7)	NA	-966	IGFBP7								
Interval_30838	chr6	81753605	81753830	+	0	NA	Intergenic	NA	-1006	FAM46A								
Interval_16099	chr18	48851050	48851387	+	0	NA	intron (CTIF, intron 10 of 11)	NA	99493	SMAD7								
Interval_10006	chr14	65102483	65103096	+	0	NA	promoter-TSS (MAX)	NA	-245	MAX								
Interval_36340	chr9	123339009	123339331	+	0	NA	Intergenic	NA	-29609	CRB2								
Interval_16172	chr18	55988587	55989048	+	0	NA	Intergenic	NA	-68618	RP11-214L13.1								
Interval_28459	chr5	78483881	78484060	+	0	NA	Intergenic	NA	-123429	LOC728769								
Interval_30312	chr6	33206831	33207009	+	0	NA	promoter-TSS (MIR219-1)	NA	-915	MIR219-1								
Interval_7745	chr12	31653470	31653754	+	0	NA	intron (METTL20, intron 1 of 3)	NA	-5575	METTL20								
Interval_8168	chr12	56569925	56570531	+	0	NA	intron (RBMS2, intron 4 of 13)	NA	48271	RBMS2								
Interval_9990	chr14	64708273	64708536	+	0	NA	intron (PLEKHG3, intron 1 of 14)	NA	3990	PLEKHG3								
Interval_5737	chr11	27926989	27927477	+	0	NA	Intergenic	NA	-129582	MIR610								
Interval_841	chr1	31605795	31606236	+	0	NA	Intergenic	NA	-11685	HCRTR1								
Interval_18515	chr19	47515446	47515621	+	0	NA	promoter-TSS (NAPA)	NA	-508	NAPA								
Interval_14626	chr17	43212563	43212796	+	0	NA	TTS (NBR1)	NA	804	TMEM106A								
Interval_294	chr1	12344228	12344812	+	0	NA	intron (VPS13D, intron 42 of 69)	NA	114464	VPS13D								
Interval_23594	chr21	44024945	44025364	+	0	NA	intron (TRAPPC10, intron 1 of 22)	NA	12788	TRAPPC10								
Interval_13709	chr17	7717811	7718260	+	0	NA	exon (DNAH2, exon 1 of 86)	NA	-1686	DNAH2								
Interval_26608	chr3	197394717	197395095	+	0	NA	Intergenic	NA	60931	LOC101926923								
Interval_21169	chr2	195543058	195543227	+	0	NA	Intergenic	NA	-114169	SLC39A10								
Interval_23041	chr20	62791391	62791681	+	0	NA	Intergenic	NA	-4916	MRGBP								
Interval_36313	chr9	121252251	121252447	+	0	NA	Intergenic	NA	33181	GSN-AS1								
Interval_37130	chrX	12978441	12978980	+	0	NA	Intergenic	NA	3603	TMSB4X								
Interval_28111	chr5	35925085	35925248	+	0	NA	intron (CAPSL, intron 1 of 4)	NA	13466	CAPSL								
Interval_17598	chr19	17333908	17334114	+	0	NA	promoter-TSS (GTPBP3)	NA	818	ANO8								
